date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人增加,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,除列避險之衍生金融負債,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-03,1,2013,95992.0,,-775000,,,,,14399,-10663,,,,,-572,-204,21104,10627,-16225,,,,,91,0.0,,-4099,,15251,0.0,-18000.0,8711,25687,3452,,-16765,74997,79,,-21154,204,,,2013年01月01日至2013年03月31日,431490,459562,28072,-36975,,90884,111834,,,46326,,-56674,-36975,,38361,14456,52817,690000,32.0,,,4.0,,,,,,,,148809,459562,,,,,,,
2013-08-09,2,2013,191232.0,0.0,-1405000,,,,,28804,-33881,,,,,-311,-1265,42084,17486,-25776,,,,,-1493,400.0,,-13080,,14325,,-18000.0,5935,12440,1980,,-25987,150677,1212,,-42419,1265,,,2013年01月01日至2013年06月30日,431490,399768,-31722,-48618,,119151,160349,,,-104772,,-142372,-48618,,49064,-31329,17735,1385000,100.0,,,259.0,,,,,,,,208967,399768,-44.0,970.0,,,,,
2013-11-08,3,2013,284305.0,1938.0,-2320000,,,,,32080,-16814,,,,,931,-2423,63028,15788,-27451,,,0.0,,-9487,224.0,,19372,,7237,,-18000.0,2212,37951,5217,,-24472,226881,-1122,,-62092,2423,24952.0,,2013年01月01日至2013年09月30日,431490,409941,-21549,-130468,,200720,239970,,600000.0,-135809,,-213585,-130468,-24952.0,41529,44604,86133,1660000,110.0,,,31258.0,,,,,,,,370438,409941,-4533.0,0.0,,,,,
2014-03-21,4,2013,678452.0,1938.0,-2635000,,,,,66236,-30306,,,,,-182,-4456,83799,20259,-29969,,-3469.0,0.0,,-8472,-781.0,,71056,,-13272,,-18000.0,-8402,53738,10530,-7014.0,-31342,303200,-3286,,-80742,4456,25562.0,,2013年01月01日至2013年12月31日,431490,405286,-26204,-519401,,247071,298331,-444.0,600000.0,-107967,,-262192,-519401,-25562.0,37548,101732,139280,1900000,340.0,,,40904.0,,,,,0.0,0.0,,817732,405286,-536.0,0.0,,,289039.0,,
2014-05-09,1,2014,-38871.0,,-295000,,,,,-60240,15029,,,,,-15944,-1779,20371,5865,-1621,,,,,1767,-165.0,,21874,-427.0,1459,,0.0,9714,-10380,-2804,-1154.0,90086,33696,4166,,-18423,1779,1256.0,,2014年01月01日至2014年03月31日,405286,526546,121260,106831,,30236,45624,,,55665,,-4927,106831,-1256.0,-50221,27885,-22336,235000,0.0,,,0.0,,,107651.0,-91670.0,,,,-61207,526546,,,,,,,
2014-08-05,2,2014,-81459.0,727.0,-1425000,,,,,-55309,18295,,,,,10413,-3750,40600,-2877,-8330,,,,,3507,-165.0,,41698,-21373.0,-8009,,0.0,15813,-25829,-3909,0.0,182714,65419,25120,,-38028,3750,2363.0,,2014年01月01日至2014年06月30日,405286,576011,170725,208164,,102482,134575,-116.0,,80060,,-111594,208164,-23312.0,-47505,55375,7870,1255000,72253.0,,,-72253.0,,,107651.0,-91670.0,,,,-73589,576011,-178.0,0.0,,,,,
2014-11-07,3,2014,-22597.0,727.0,-1645000,,,,,-55989,23128,,,,,13751,-6564,60939,5393,-14634,,,,,4555,-165.0,,50352,-21373.0,-10087,,10000.0,9331,15407,2458,,180644,107862,14302,,-64239,6564,24570.0,,2014年01月01日至2014年09月30日,405286,669407,264121,225016,,219377,251321,-370.0,0.0,165615,,-141293,225016,-24570.0,-56745,105647,48902,1350000,73149.0,,,-73149.0,,,107651.0,-91670.0,,,,26305,669407,1161.0,,,,,,
2015-03-20,4,2014,25063.0,727.0,-1730000,,,,,-72879,25031,,,,,16585,-10688,81204,26211,-17922,-676.0,0.0,,,6415,-64.0,,38071,-21373.0,-12857,,10000.0,1794,81142,2956,,180340,139101,-4631,,-82376,10688,25333.0,,2014年度,405286,632063,226777,237115,,275705,322762,-387.0,0.0,51345,,-255479,237115,-25333.0,-83942,144526,60584,1435000,73975.0,,,-73966.0,,,107651.0,-91670.0,,,,85647,632063,-702.0,,,,0.0,,1957.0
2015-05-08,1,2015,,,-235000,,,,,-3862,-956,-105.0,,,,-1190,-4115,20950,-6850,-1242,,,,,5051,20.0,,8069,-48708.0,-6150,,-10000.0,-103,-17984,5000,,-1629,36516,-17320,,-18954,4115,982.0,57420.0,2015年01月01日至2015年03月31日,632063,701949,69886,42513,,52665,66522,,,109388,,25700,42513,-982.0,-10115,-23296,-33411,210000,,803.0,,,,,0.0,0.0,,,,24009,701949,,,,,,,
2015-08-11,2,2015,,,-415000,,,,,-17589,-3935,-807.0,,,,-1243,-8278,41776,-11625,-4773,,-1029.0,,-69000.0,5008,,-69.0,9627,-65155.0,-12994,5000.0,,-1704,30690,4445,,-71006,72379,-21244,,-38080,8278,3027.0,83970.0,2015年01月01日至2015年06月30日,632063,714404,82341,56333,,82528,126792,0.0,,167668,,82444,56333,-3027.0,-32287,18776,-13511,390000,4236.0,803.0,,-4236.0,,,0.0,0.0,,,,70459,714404,-17489.0,,,,,-19652.0,
