date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）,預收款項增加－處分資產
2013-05-10,1,2013,,120951.0,,-46662,-4993,9454,241,-3953,,-148.0,-844,-49,55496,-22094,-283,,0.0,,0.0,-122,0,,,6,75109,-79696,-113,-226465,164,40383,100807,,,1499,-55469,0.0,85,0.0,,2013年01月01日至2013年03月31日,285461,302409,-12517,16948,146796,,3446,58838,41875.0,0.0,-4787,146796,-86635,-122274,-208909,1722,-75,,,,,42453.0,,0.0,-87958,780,302409,-8,0.0,,,-23244.0,23417,-3367,-2854,
2013-08-09,2,2013,,272667.0,0.0,-49555,-12515,14711,-1542,101432,,-148.0,-2166,-261,110582,-29209,-5873,,-82204.0,,,-1417,0,,-677.0,0,57996,-18939,-390,-254354,-209,-87546,200908,0.0,0.0,3008,-111534,,281,,,2013年01月01日至2013年06月30日,285461,163055,-14333,-122406,300110,,358373,469653,-314469.0,,-364024,300110,-34560,-68564,-103124,1886,-132,0.0,0.0,,,,,,169543,1293,163055,-27,0.0,,,-23522.0,11860,-530,-2467,
2013-11-08,3,2013,,446104.0,,-219523,-25535,16829,-1609,101715,0.0,-148.0,-3534,-296,163250,-26609,-7614,,0.0,,,-1034,540,,-593.0,0,161040,-184419,-1,9439,968,69517,298742,0.0,0.0,4489,-164890,,332,,,2013年01月01日至2013年09月30日,285461,343159,8118,57698,355842,,751609,916199,,-517836.0,-736819,355842,-212360,326613,114253,2315,-124,0.0,0.0,8.0,176.0,76485.0,,,560357,394,343159,-32,0.0,,,-23683.0,36622,-936,-1190,
2014-03-20,4,2013,0.0,563650.0,,-219524,14232,18137,1926,100820,,-388.0,-4899,-489,214938,-39465,-9476,,0.0,,,-327,0,-3510.0,-1084.0,0,237034,-88544,-1,79741,118,23714,395190,0.0,0.0,5412,-216172,,508,,,2013年01月01日至2013年12月31日,285461,564180,-37833,278719,411980,,1154357,1370070,,-636853.0,-859887,411980,-65846,460286,394440,3418,-620,0.0,0.0,8.0,176.0,31236.0,,,958090,102,564180,-49,0.0,,,-7898.0,24436,0,6439,
2014-05-08,1,2014,,125839.0,,-231498,-40921,-3441,-3616,-1192,,0.0,-1384,-36,46802,-19925,-194,,,,,-100,5706,,,-10,-62075,-86658,0,221915,-69,8543,96008,,,808,-47296,,53,,,2014年01月01日至2014年03月31日,564180,727679,-16762,163499,6706,,103257,150476,297416.0,,71624,6706,-135710,153641,17931,23,503,,,,,8724.0,,,143770,90,727679,24,,,,0.0,-1497,0,-4605,
2014-08-07,2,2014,,280169.0,,-289565,-35635,-2707,-3617,-1903,,-151.0,-2744,-287,91692,-15240,-136,,-36425.0,,,35,11477,,0.0,134,-59744,-25005,-389,-57149,-4762,-36440,190026,,,1530,-92958,,288,,,2014年01月01日至2014年06月30日,564180,432891,-993,-131289,24294,,-35697,56918,234176.0,,-43912,24294,-71483,-176062,-247545,138,912,,,,,,,,32624,580,432891,55,,,,-2.0,-49797,0,-7417,
2014-11-11,3,2014,,357579.0,,-358330,-26513,-4780,-3411,-927,0.0,-151.0,-4111,-328,136051,-38521,-464,-930.0,-13966.0,,,657,6607,,0.0,875,-193794,44402,-99,-395305,-3888,-15113,283318,,,2209,-137490,,345,,,2014年01月01日至2014年09月30日,564180,267526,-60743,-296654,220038,,-190270,-53132,298973.0,0.0,-52750,220038,27376,-658125,-630749,680,555,,,0.0,0.0,0.0,,,-273170,847,267526,7,,,,-29.0,-59431,-1157,12150,
2015-03-26,4,2014,331.0,464638.0,,-358330,-3505,-6985,-3270,-1927,,-1049.0,-5500,-823,180975,-63607,-2299,-1851.0,-78238.0,,,5356,6718,0.0,0.0,1097,-201412,-31899,-92,-511446,-4769,-80131,373867,,,2602,-181601,,823,,,2014年度,564180,369533,-95192,-194647,540836,,-73100,107689,373851.0,0.0,22191,540836,-44017,-853768,-897785,803,868,,,0.0,0.0,0.0,,,-433147,290,369533,-11,,-48.0,2154.0,0.0,-127229,-1140,-5541,2546.0
2015-05-06,1,2015,,,,-72084,-31320,-1913,-58,-150,,,-1394,-901,44130,-35016,-612,,,,,193,506,,,0,-163471,-48798,7,14578,2789,25137,87832,,,421,-44319,,918,,114656.0,2015年01月01日至2015年03月31日,369533,329239,-15615,-40294,126782,,59187,102592,0.0,-18024.0,-89602,126782,-74545,-64301,-138846,11,-10,,,,,,27256.0,,-24190,-201,329239,-4,,,,,83866,-1518,5825,
2015-08-11,2,2015,,,,-72084,-53787,-11630,246,616,,-2946.0,-2776,-2005,88201,-40340,-3661,,,-21887.0,,8187,457,,-5.0,0,88580,-156790,-297,274817,3703,-28629,175404,,,833,-88892,,2006,,272592.0,2015年01月01日至2015年06月30日,369533,732432,4706,362899,155640,,577564,664429,0.0,-74069.0,-145696,155640,-206741,442938,236197,26,43,,,,,,,,508789,663,732432,21,,,,-1.0,86852,-156,3224,
2015-11-10,3,2015,,,,-289798,-37090,-25436,162,646,0.0,-2946.0,-4175,-2142,131924,-12515,-4859,0.0,,0.0,,8863,599,,-6.0,0,65459,-46912,111,302446,5090,7037,262760,,,1359,-132896,,2157,,356920.0,2015年01月01日至2015年09月30日,369533,870138,-38802,500605,299071,,877574,1009011,0.0,-82292.0,-371491,299071,-83418,436438,353020,7038,-690,,,,,,7810.0,,709940,1115,870138,-698,,,,-2177.0,88233,0,-804,
2016-03-24,4,2015,0.0,,,-399175,-31149,-20399,131,772,,-7000.0,-7306,-2531,173648,-10139,-8352,0.0,,-26542.0,,11994,472,,-7332.0,0,86277,-162202,73,454420,-19297,-41973,349760,,,1901,-174548,,2526,,509122.0,2015年度,369533,894196,-7150,524663,304779,200.0,1086550,1260029,0.0,-111072.0,-509775,304779,-187024,633152,446128,7253,-833,,,,,,,,955250,527,894196,-1457,,0.0,0.0,-10361.0,131379,0,5396,0.0
2016-05-04,1,2016,,,,-207177,-29963,-35338,-118,1232,,-245.0,-4641,-100,39102,6888,-190,,,,,22091,0,-556.0,,6827,148351,2235,-61,99993,110,53845,86850,,,755,-39382,,114,,277503.0,2016年01月01日至2016年03月31日,894196,960333,48280,66137,-133375,,303399,342667,,-90262.0,-297995,-133375,-18067,216606,198539,55,201,,,,,,47398.0,,476042,28,960333,0,,,84965.0,,2258,0,9812,
2016-08-09,2,2016,,,,-266338,-36351,-52862,-154,1827,,-819.0,-5390,-508,76492,66750,-378,-3668.0,,39925.0,,67128,-19945,,6858.0,0,314447,-34016,-370,226381,24322,68286,171345,,,1531,-77378,,512,,453888.0,2016年01月01日至2016年06月30日,894196,1285354,58726,391158,-192159,-649.0,628109,705717,0.0,-85704.0,-371987,-192159,-73193,517181,443988,260,114,,,,,,,,897876,411,1285354,-742,,,,84450.0,3066,0,-2064,26108.0
2016-11-08,3,2016,,,,-493841,-36228,-23557,47273,1726,0.0,-819.0,-6108,-1702,112710,56332,-3997,-3668.0,,0.0,,30558,0,-67591.0,0.0,5961,311415,-23671,203,315693,23904,173908,271291,,,2325,-114023,,1720,,577891.0,2016年01月01日至2016年09月30日,894196,1310393,82441,416197,-236641,-1344.0,850445,963490,0.0,-103056.0,-664488,-236641,-11232,633472,622240,263,108,,,,3051.0,,150169.0,,1200131,427,1310393,-742,,,,83217.0,4291,-109,2108,26108.0
