date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少
2013-05-10,1,2013,18545.0,,-178689.0,-22406,0.0,4774,,-1551,-2649,3672,0.0,,,,,-1714,430,13868,-16610,,-15919.0,,0.0,-81.0,-14912.0,,-224,,,,-520.0,,-42863,,,-106163,2916,-39912,1016,-46950,18067,,0.0,0.0,826,-832,,1812,,,2013年01月01日至2013年03月31日,1479410,1058047,-421363,16175,-216470,-195476,,2663.0,,-171811,16175,3506,,-130699,-99497,-230196,1092.0,,,,-738,-155.0,,0.0,,,-211651,-7167,1058047,-21974,-1453.0,,4215.0,,,-19863
2013-08-09,2,2013,23020.0,,-178689.0,-6085,,3324,,-13055,1223,4907,0.0,,,,,-3274,546,13054,-16170,,-25084.0,,0.0,-90.0,-15000.0,,147,,31.0,,28.0,,-60092,,,-73816,4187,-98457,58,-37736,34818,12873.0,0.0,0.0,178,-948,,3439,,,2013年01月01日至2013年06月30日,1479410,1080922,-398488,61465,-168629,-138022,,,-26757.0,-205177,61465,3465,,-92763,-129744,-222507,18580.0,,0.0,,-9961,-155.0,0.0,,0.0,,-199487,-8901,1080922,-33098,-2744.0,,238.0,,0.0,11327
2013-11-08,3,2013,42898.0,,-178689.0,-47400,-3000.0,3989,,7366,298,5938,0.0,,,,,-4736,554,-4229,-20387,,-29962.0,,0.0,-642.0,0.0,,307,,511.0,,,685.0,121833,,,57126,6312,-29960,2856,-18727,52357,16273.0,0.0,0.0,2686,-956,-39046.0,4929,,,2013年01月01日至2013年09月30日,1479410,1284184,-195226,-35558,49244,122813,,,-41757.0,-221514,-35558,4662,,21623,93850,115473,28272.0,,3307.0,0.0,-9944,-155.0,0.0,,0.0,,158371,-4719,1284184,-38496,-2833.0,,-1579.0,,,-21439
2014-03-07,4,2013,667084.0,,-178689.0,-20529,-3000.0,-1987,-29962.0,25249,5598,20497,0.0,,,,120844.0,-6581,559,-7005,-16430,-14903.0,,,,-616.0,0.0,,6675,,511.0,,,1559.0,8883,0.0,-8494.0,24653,-20,83207,1417,5677,72087,16273.0,0.0,0.0,3677,-961,-39046.0,6498,,,2013年01月01日至2013年12月31日,1479410,1460111,-19299,-525527,212919,288763,,,-41757.0,-230890,-525527,4910,,43890,103316,147206,33717.0,,32312.0,,-9944,248.0,0.0,0.0,0.0,,814290,-2960,1460111,-42335,-2280.0,461400.0,-2461.0,15489.0,,-10075
2014-05-13,1,2014,15185.0,,0.0,-47511,1500.0,165,0.0,18793,-1,207,,,,1438.0,0.0,-2509,3,13090,-986,0.0,0.0,,0.0,0.0,-70670.0,,-230,,,-480.0,0.0,1699.0,-29755,0.0,-23463.0,16142,3123,112225,42,-67909,15966,0.0,0.0,0.0,1161,-3,0.0,2427,,,2014年01月01日至2014年03月31日,1460111,1502638,42527,52483,155801,158731,,0.0,,-58455,52483,800,,-7045,98108,91063,610.0,,,,-6,0.0,0.0,0.0,0.0,,106248,701,1502638,-5354,0.0,0.0,-34512.0,0.0,,15432
2014-08-12,2,2014,29416.0,,0.0,26528,0.0,6450,0.0,-17358,-5170,2135,,,,1459.0,0.0,-5221,6,194,-2157,0.0,0.0,,0.0,0.0,-148043.0,,-347,2409.0,-480.0,,,892.0,1739,0.0,-57274.0,203172,2382,-115559,1584,-147076,30911,0.0,0.0,0.0,2321,-6,,4875,,,2014年01月01日至2014年06月30日,1460111,1562890,102779,187536,344215,348985,,,0.0,-94554,187536,1752,,217999,-85966,132033,773.0,,0.0,,-6,0.0,0.0,0.0,0.0,,161449,1140,1562890,-9639,0.0,0.0,-39209.0,0.0,,24990
2014-11-12,3,2014,45437.0,12200.0,0.0,41876,3000.0,2032,,-25680,-2514,-1169,,,,,,-9668,18,4643,-20874,,0.0,,,-208.0,-405620.0,,2192,50099.0,0.0,-77.0,,1046.0,24260,,-57274.0,286033,1892,-111915,1817,-411471,44840,0.0,,,3480,0,-38822.0,9063,,,2014年01月01日至2014年09月30日,1460111,1592654,132543,304374,567976,619021,,,13000.0,-28605,304374,5781,,314512,-45302,269210,1985.0,,0.0,,-1206,0.0,,,,,314647,8560,1592654,-21286,0.0,,-34353.0,,,41018
2015-03-13,4,2014,66904.0,24552.0,0.0,46761,0.0,6703,0.0,-44880,-816,-2677,-4310.0,15000.0,,,,-13952,96,33760,-55981,0.0,,,,-205.0,-801918.0,,96,51335.0,-77.0,,,1009.0,21517,,-57274.0,157991,-282,-56832,1803,-828612,60946,0.0,,,4459,-79,-38958.0,13518,425.0,,2014年度,1460111,1185281,-274830,333811,520311,568861,,,25000.0,-289,333811,12583,-425.0,157060,11086,168146,3931.0,,0.0,,-2912,0.0,,,,,235050,147,1185281,-23456,0.0,0.0,-34273.0,6013.0,,43021
2015-04-30,1,2015,,,,-18384,2000.0,-4304,,34838,-2037,57,228.0,,,-1081.0,,-3482,122,-8703,-140,,,,,,,-144763.0,1690,2505.0,,0.0,-1892.0,0.0,-5671,,0.0,-129599,888,85902,-144,-147876,15940,,,,976,-120,,3684,,22092.0,2015年01月01日至2015年03月31日,1185281,1054237,-131044,28479,14054,11131,,9000.0,,11481,28479,6701,,-112628,73188,-39440,0.0,,,,145,,,,,,-17348,-2428,1054237,-641,,,-24.0,,,-786
2015-08-12,2,2015,,,,-6964,3500.0,-6709,,-7982,402,115,159.0,-75.0,,1203.0,,-9046,260,-15807,-4655,-59990.0,,,,-1124.0,,-108535.0,1132,2683.0,,0.0,-1492.0,0.0,-16796,,0.0,121918,777,-30156,-1329,-172572,31146,,,,1878,-253,,9111,,38214.0,2015年01月01日至2015年06月30日,1185281,1169637,-15644,89555,156180,176392,,14000.0,,16555,89555,12828,,108569,-59946,48623,926.0,,,,-427,407.0,,,1095.0,36.0,86837,-2795,1169637,-29070,,,-53.0,,,-5517
2015-11-11,3,2015,,0.0,,-39269,0.0,-11816,,-121,1482,172,81.0,,,,,-12573,427,15917,-27978,-59990.0,,,,-2436.0,,-10273.0,-400,2930.0,,0.0,-1052.0,0.0,-66632,,0.0,-15998,501,-78401,-6437,-99869,47519,,,,2832,-402,-158538.0,12844,500.0,50053.0,2015年01月01日至2015年09月30日,1185281,846302,-338979,105526,-299024,-102577,,41000.0,,43997,105526,12273,-500.0,-61703,-196453,-258156,765.0,,,,56,383.0,,,1095.0,36.0,-208103,-6988,846302,-50851,,,67.0,,,-34730
2016-03-11,4,2015,,500.0,,8705,,-5367,,19395,1219,3036,570.0,-1145.0,,,,-16492,663,28226,-70481,-59328.0,,,,-3002.0,,-191140.0,352,12396.0,,0.0,-947.0,,-59482,,0.0,135970,0,-56752,147,287288,65034,,,,3848,-640,-158538.0,16387,500.0,-530196.0,2015年度,1185281,1583025,397744,705394,18931,213077,,52000.0,,63299,705394,14348,-500.0,164921,-127042,37879,799.0,610887.0,,,397,-597882.0,,,,36.0,-492317,-2185,1583025,-51855,,,48.0,0.0,,-7377
2016-05-04,1,2016,,,,-38665,0.0,-12219,,-25475,-97143,-368,-144.0,-130.0,,,,-4992,338,-24564,-1012,,,,,-166.0,,-78300.0,-755,5486.0,,,0.0,769.0,20804,,,134040,282,-85022,-1925,-78709,18286,,,,1181,-330,,5088,,20681.0,2016年01月01日至2016年03月31日,1583025,1556909,-26116,52983,-27638,-30316,,99439.0,,104795,52983,6623,,75766,-179746,-103980,,,,,0,,,,,,-83299,5952,1556909,-2080,,,0.0,,,-4097
2016-08-10,2,2016,,,,-16663,0.0,-7389,0.0,-22495,-4911,-142,133.0,-129.0,-96690.0,0.0,,-8867,502,-20639,-7933,0.0,,,,-166.0,,-751032.0,-1555,8331.0,0.0,,0.0,668.0,-5511,,,281928,282,4714,-1809,-852981,35763,,,,2384,-496,,8792,,37646.0,2016年01月01日至2016年06月30日,1583025,1235949,-347076,152816,418384,418970,,99958.0,,108160,152816,9419,,254141,-25633,228508,2172.0,,,,0,0.0,,,0.0,0.0,266154,11231,1235949,-8882,,,,,,-10860
2016-11-09,3,2016,,0.0,0.0,-38567,0.0,-1795,0.0,-11707,-5685,-1184,224.0,-686.0,-93682.0,,0.0,-13536,637,-35012,-23418,0.0,,-10000.0,,-1143.0,,-197913.0,-1085,8591.0,0.0,,-297.0,,-34468,,0.0,75285,282,81359,-2451,-325099,51072,,,,4081,-676,-132330.0,13557,405.0,50448.0,2016年01月01日至2016年09月30日,1583025,1118548,-464477,167864,131146,263395,-264659.0,21242.0,,-235512,167864,9236,-405.0,31239,13844,45083,1354.0,,0.0,,472,0.0,,,0.0,0.0,95531,7130,1118548,-13205,-24.0,0.0,0.0,0.0,,-23340
