date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,避險之衍生金融資產（增加）減少,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加
2013-05-02,1,2013,1976824.0,8775.0,-358763,-489923,,-36587,-6319,-295543,,40106,43.0,,,1028.0,-39448,87171,22696,-481948,,,-90749,5206.0,0.0,100,0.0,-101,59,-676767,,14287,-22317,139318,160010,29618.0,-522768,1919702,,8048,,55816,-87084,40294,,,2013年01月01日至2013年03月31日,19096662,17035644,-51817,,-2061018,-2084372,,-1343930,-1296453,,145835,-4740,-217016,-2084372,230,,-487384,-701521,-1188905,0,62,0.0,,,-36,,0.0,787919,-12730,17035644,-687,,,509,,
2013-07-29,2,2013,3986272.0,8775.0,-2071859,-571546,,8570,127743,-172779,0.0,42411,2024.0,,,1197.0,-72682,173252,21139,-1367724,,0.0,-126329,2151.0,0.0,120,0.0,-241,868,-1186088,,29075,321173,-411041,6627,55910.0,-1440967,3836639,,6083,,113290,-147226,59962,19409.0,,2013年01月01日至2013年06月30日,19096662,13929439,-44265,,-5167223,-3937150,,-1812755,-1741253,,227453,-93015,-1934640,-3937150,338,-19409.0,-41747,-1748628,-1790375,0,76,9600.0,0.0,0.0,-42,,-3000.0,2195897,-4102,13929439,-3647,,,637,,-9600.0
2013-10-28,3,2013,5903384.0,8775.0,-3400622,-671766,,-87638,201587,-92989,0.0,42444,2279.0,,,-10311.0,-98804,256676,28690,-3106728,,0.0,-146600,2964.0,0.0,220,0.0,-245,627,-1849661,,359406,53902,-334927,-749885,82706.0,-3208894,5716397,,6199,,167458,-256690,101634,60825.0,,2013年01月01日至2013年09月30日,19096662,12783410,-77478,,-6313252,-4843639,,-2118486,-2021106,0.0,1571765,-388891,-1014562,-4843639,371,-60825.0,28050,-3108901,-3080851,1200000,3144,9462.0,0.0,0.0,-418,,-2957.0,2822533,2215,12783410,-3149,,,687,,-9462.0
2014-03-17,4,2013,7991505,15928,-5233718,-396110,,-27788,-27831,-54945,0,46020,823,,,-63197,-122360,334896,-124936,-4318034,-9538,0,-177199,4127,94,220,0,-419,805,-1935491,,170953,-50175,136131,-40385,107813,-4492330,7521836,,4841,,222073,-334616,124708,60821,,2013年01月01日至2013年12月31日,19096662,11978574,86271,,-7118088,-6353152,,-579588,-425404,0,1724911,-1214336,-1921234,-6353152,411,-60821,-146120,-1917637,-2063757,2800000,3766,9538,0,0,7923,,-2973,5927748,49230,11978574,-5097,,0,772,122,0
2014-04-29,1,2014,1918513.0,0.0,-666755,-339439,,15050,-4629,-149599,,-234,166.0,,,-19479.0,-18395,70050,22424,-339141,,,-92864,0.0,,0,,-25,289,-710798,,-284931,-12671,-98189,132151,27508.0,-451441,1827086,2924.0,1358,,59327,-71666,17652,,,2014年01月01日至2014年03月31日,11978574,9626309,-21773,,-2352265,-1284273,,-856601,-790314,,0,-522312,-1066647,-1284273,22,,-614527,-810027,-1424554,122248,13,,,,2196,,,493959,-3289,9626309,-12273,,,6,,
2014-07-24,2,2014,3847149.0,3481.0,-4638048,-622823,,6921,-8025,-80345,,-209,227.0,,,-18815.0,-33443,140330,19050,-788246,,,-150678,271.0,,0,,-466,434,-863197,,-186202,-13811,-405268,162572,55090.0,-999437,3665516,,445,6926.0,122559,-143175,33878,47877.0,,2014年01月01日至2014年06月30日,11978574,7443310,4195,-13.0,-4535264,-3084386,,-1327602,-1206131,,791663,-603590,-2227275,-3084386,45,-47877.0,-790022,-1178872,-1968894,2222372,14,5735.0,,,9853,-50687.0,-21213.0,1878255,-14251,7443310,-60051,,,101,,0.0
2014-10-29,3,2014,5735302.0,3481.0,-5180213,-772576,,-47197,33438,32396,,90,360.0,,-27280.0,,-45814,210578,11364,-1395577,,,-165397,271.0,,13154,,-460,529,-765948,-89.0,64303,-23865,-478274,-982182,81696.0,-1602090,5493037,,3859,15082.0,187204,-212646,45913,88836.0,,2014年01月01日至2014年09月30日,11978574,7256880,-23485,,-4721694,-4184512,,-1466411,-1327833,,1963322,-1203590,-1664557,-4184512,17652,-89634.0,-641277,-2237346,-2878623,2742372,6137,5730.0,,,9535,-29343.0,-39035.0,2856679,-24273,7256880,-60681,,,38,,0.0
2015-03-16,4,2014,7786311,3481,-7092783,-543590,,-18092,3751,-58567,,1120,507,,,-32180,-58375,281388,41450,-1659991,0,,-172671,271,0,14337,,-1340,1063,-513835,,-44524,-25857,233408,10990,118204,-1877897,7315609,,1263,24097,249211,-283104,58670,89780,,2014年度,11978574,7636201,-91680,-114,-4342373,-6469401,,293182,496511,,3593320,-2053590,-2799108,-6469401,60496,-89780,-482679,-337720,-820399,2739172,6194,5770,,,9479,-29343,-39076,6965912,9337,7636201,-68675,7113,124785,-71,0,
2015-04-27,1,2015,,,-1662005,-568152,5550.0,42670,-6701,-121406,,439,-17.0,,,-2019.0,-10267,65062,-15008,-452767,,,-18635,,,36,-13214.0,-16006,15724,-563593,,-173673,-3873,-40533,215683,,-473144,1441062,-7113.0,95,6163.0,49928,-66987,11311,3815.0,1595068.0,2015年01月01日至2015年03月31日,7636201,6346342,-5449,41.0,-1289859,-353696,-1147.0,-149238,23068,,2164090,-2393320,-652469,-353696,52460,-3815.0,-751220,-467084,-1218304,1251900,120,,,,-117,,,376764,3889,6346342,-120445,,,61,,
2015-07-22,2,2015,,28209.0,-11444508,-635409,4654.0,5945,-6009,22062,,-16090,0.0,-194.0,,-2054.0,-18418,138374,-39948,-1011856,,,-20546,0.0,,36,-13214.0,-16004,15724,-1110231,0.0,-7365,1805,-386858,216905,,-1017215,2887083,-7113.0,51,13121.0,92160,-138603,19661,35398.0,3281017.0,2015年01月01日至2015年06月30日,7636201,3810809,59533,35.0,-3825392,-1570962,259.0,-374869,-168766,,5434900,-5243320,-2393360,-1570962,156674,-35399.0,-626695,-1252126,-1878821,8872827,5402,0.0,,,-4655,0.0,-7491.0,1402196,22483,3810809,-122559,,,113,,
