date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產（增加）減少,償還金融債券,其他借款增加,其他借款減少,其他各項負債準備淨變動,其他負債增加（減少）,其他資產增加,其他資產減少,其他資產（增加）減少,其他金融負債增加（減少）,其他金融資產減少,其他金融資產（增加）減少,再保險合約資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產及設備,取得投資性不動產,取得採用權益法之投資,取得無形資產,各項保險負債淨變動,呆帳費用提列（轉列收入）數,員工福利負債準備增加（減少）,央行及同業融資增加,央行及同業融資減少,央行及銀行同業存款增加（減少）,存入保證金增加,存入保證金減少,存放央行及拆借金融同業（增加）減少,存款及匯款增加（減少）,應付商業本票增加,應付商業本票減少,應付款項增加（減少）,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行金融債券,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產及設備,處分其他資產損失（利益）,處分及報廢不動產及設備損失（利益）,處分承受擔保品,處分承受擔保品損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,調整項目合計,負債準備增加（減少）,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,避險之衍生金融負債增加（減少）,金融資產減損損失,金融資產減損迴轉利益,附買回票券及債券負債增加,附買回票券及債券負債減少,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-23,1,2013,-4844678.0,,-12801583,,1080647.0,0.0,,814,-272041,,,10761107,,44932,-6226,-9227440,2916965,1030302,-113258,-913668,,-5951,155423,1123130,,,-2358,-9862560,,,,8610712,310722,0.0,4772084,-620312,-1304918,181728,22545046,-25966,41222,-2267705,9329718,1101,,2013年01月01日至2013年03月31日,179095973,212998161,33902188,3552480,30333086,23148802,,,,152990460,3521527,3843718,3552480,,-924,12826137,11614863,24441000,,,106,,,,,19596322,-93985,7451733,56486174,121170,-1340989,-4998727,-21046,,-8922.0,2454707.0,0.0,,
2013-08-22,2,2013,-10403467.0,,-16532118,,1831142.0,0.0,0.0,-30007,-258287,66645.0,-213890.0,31038688,,-2911327,55,-18589575,5894182,1032895,-336045,-913668,,-37369,-321751,2309021,-62954.0,,-6894,-32707425,,,-738917.0,28338649,786946,0.0,13237625,-7022431,-1477589,485264,16439769,-51696,81881,-5673960,18408463,211260,,2013年01月01日至2013年06月30日,155278625,178341964,23063339,7796419,20463178,8197734,,,,119093378,2495101,3044855,7796419,,-213398,33202751,-22397969,10804782,1135.0,-1018.0,3623,0.0,0.0,,,401315,-54644,-6079713,56753485,-680319,-6536310,-5339397,-20871,,,433661.0,0.0,,0.0
2013-11-21,3,2013,-15663115.0,,-15547080,,1491256.0,0.0,1346.0,748551,-429803,84608.0,-1756674.0,27469746,,-4368762,-584,-28185014,8965917,560171,-490363,-1069417,,-60872,-591483,4151133,-77560.0,,-6768,-8099030,97377.0,0.0,-2534020.0,58419543,1298195,0.0,-2811698,-2207545,-1963685,728543,-2849372,-102790,121937,-8540103,28089173,751876,,2013年01月01日至2013年09月30日,136430306,168062367,31632061,11435747,31399431,12414658,,-3656412.0,0.0,124976602,2085867,1636144,11435747,,-755152,68752241,-52110215,16642026,2162.0,-1238.0,3686,0.0,0.0,,,978911,11,-5974287,40999898,-1316173,-6860649,-16871891,-36673,,,2412496.0,0.0,0.0,0.0
2014-03-20,4,2013,-18000049.0,750000.0,-12807468,,1560008.0,,4440.0,297018,-707512,138854.0,10970.0,26472682,,-23134347,-834,-38131760,12199328,752402,-1246788,-1741880,,-201985,400614,7214906,,,-8908,-11805915,,,-2742552.0,109890687,1988873,0.0,-2665288,-5325860,-3007147,982426,-25573798,-96810,165358,-12171414,37743458,760831,,2013年01月01日至2013年12月31日,136430306,177331417,40901111,13049154,36487638,11874129,,-3656412.0,0.0,117178752,3469271,6668218,13049154,,-760515,115177880,-98352856,16825024,2164.0,,24863,,147.0,,,-1175025,-122807,-1441874,56683394,-1719366,-6851886,-27337093,-36611,0.0,,6784657.0,0.0,0.0,-3046.0
2014-05-22,1,2014,-4691744.0,,5366020,-3500000.0,0.0,-258017.0,4069.0,-128300,-187247,31375.0,23728.0,4376542,,-5877883,516,-10450763,3576174,875669,-115798,-484,-305319.0,-87504,312149,1584009,,,496062,25308186,,,-1106749.0,15749917,0,-506240.0,-7093422,12268284,-664977,265080,12057952,-38082,51858,-2851040,10050169,1053,,2014年01月01日至2014年03月31日,177331417,201735948,24404531,4276996,27381736,20392003,,,,123029049,4895982,-3187897,4276996,,-1053,38858741,-18051990,20806751,,-376.0,133,,0.0,,,16115007,-80847,-31526150,73810917,-210449,734638,-9257708,-7973,,,580298.0,,5058.0,0.0
2014-08-22,2,2014,-10750527.0,,9599104,-6800000.0,0.0,-426950.0,-2063.0,-113690,-5121057,,199075.0,7070475,,-842166,-2191,-21262570,7347306,96472,-263020,-484,-1208814.0,-135923,411084,2691913,-99037.0,1683.0,0,30543609,,,-1665990.0,36364906,446821,,-4207077,8554669,-6332306,371537,7196549,-27371,106938,-6945223,20640355,210770,,2014年01月01日至2014年06月30日,177331417,217878069,40546652,9402028,54660591,41596741,,,,122150738,3854503,-7878105,9402028,,-210454,68176650,-25231410,42945240,0.0,,827,,0.0,396992.0,-118748.0,32194713,30,-32448195,91872828,-842052,-1374593,-15822265,-7973,,,0.0,-1099659.0,,-58926.0
2014-11-20,3,2014,-16198335.0,,10161435,-5800000.0,1405029.0,0.0,4752.0,984191,-1254185,,,-386221,,5018517,-2104,-32141196,11030804,900593,-493120,-3091,-1208814.0,-163150,388675,4749163,-109584.0,14847.0,0,12683473,0.0,,-2535118.0,42587941,1394985,,134487,8903236,-2725362,559367,-1949922,-53441,163366,-10299466,31299934,721338,,2014年01月01日至2014年09月30日,177331417,191544212,14212795,13495536,25125741,5421161,,-4326754.0,,98140537,3832949,-9088177,13495536,,-723852,54257034,-46133074,8123960,8.0,,1659,,0.0,396990.0,-118748.0,-8074375,7596,-55228608,89570726,-2017226,-1636876,-10500510,-7973,,,0.0,-1776284.0,,-58884.0
2015-03-19,4,2014,-28947950.0,,13036838,-7800000.0,4810552.0,,18588.0,703317,-222238,,244714.0,-478056,0.0,-6606769,766,-42879260,14601666,2724735,-1146226,-368012,-1208814.0,-300993,-7083924,6308204,,11725.0,0,-15280348,,,-2548291.0,91408657,4901372,,5441505,4895278,-2849285,751380,-3514347,25805,219802,-14520097,42531065,818028,,2014年度,177331417,197384706,20053289,16483045,28073639,1468800,,-4326754.0,,133219869,1882206,-7895800,16483045,,-817712,90092847,-76159142,13933705,7.0,,-103798,,5789.0,396991.0,,-15014245,-68748,-72295570,62282631,-2224157,8374493,-9371761,-7973,,,0.0,-5492695.0,5510.0,0.0
2015-05-21,1,2015,,,12097482,0.0,0.0,-2561439.0,-9824.0,814372,-5928958,,0.0,-3189897,0.0,9530843,-2907,-10547492,3554228,-841816,-110554,-19657,0.0,-22109,-887488,730983,,0.0,-2983,3016647,,,-1159966.0,2227434,2854405,0.0,-13251292,2271309,-6045750,201657,-26834056,4628,61897,-3040876,10888914,1808,-6917667.0,2015年01月01日至2015年03月31日,197384706,219937030,22552324,4941715,24211722,16700558,,0.0,7000000.0,162048953,56040,5228168,4941715,,-2208,-10487236,29163746,18676510,35528.0,0.0,-24048,,0.0,0.0,,11758843,-90382,49991938,57832037,-338682,-14118,-16730897,0,,,0.0,-2061815.0,0.0,0.0
2015-08-20,2,2015,,,10582218,0.0,,-5042599.0,-11404.0,400479,16686,,0.0,-2397930,,10689984,-5478,-21132109,7121535,-1444497,-393355,-19657,0.0,-42331,-692670,1108395,-103672.0,0.0,-11501,23395750,,,-1115034.0,7905963,0,-2356020.0,-8843547,-1703691,-148563,405772,-39700554,473905,118940,-6986401,21276652,207610,-12913864.0,2015年01月01日至2015年06月30日,197384706,258389824,61005118,9641006,65467709,51920334,,0.0,6100000.0,208219350,566367,-2869531,9641006,,-225134,22507135,32686057,55193192,44773.0,,-33162,,0.0,245321.0,-44641.0,42279328,-61183,74057327,49604107,-950486,2211275,-20118715,0,,,,-1559411.0,0.0,-3291.0
