date,season,year,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他項目,其他預付款項增加,利息收入,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產重分類淨損失（利益）,非金融資產減損損失,預付款項（增加）減少,預付設備款增加
2015-08-13,2,2015,-19260,904,116,509,,-48620,-2211,-446,-602,0,,777,32296,-598,-217773,30901,-105743,-49820,1836,0,340,2163,64726,2015年01月01日至2015年06月30日,851522,734755,9571,-116767,164833,-98797,-18432,,,32296,164833,52843,11757,-259748,-247991,0,0,-183265,0,734755,-82528,0,,1570,62355,
2016-03-07,4,2015,-14422,-1999,-474,616,1246,,-3799,631,-1870,0,,-10510,33516,618,8570,-77592,-294214,-48181,3948,-50000,548,4001,45720,2015年度,851522,764594,-12063,-86928,569743,123158,258401,,-196052,-162536,569743,70566,-92488,-264574,-357062,0,0,-311342,0,764594,-139244,-102,,-4114,72453,-46929
2016-08-01,2,2016,16004,170,193,-2289,,0,0,-492,-691,0,-49500,19560,2750,-67,-271139,-30174,322100,-50258,1445,-50000,136,2568,50841,2016年01月01日至2016年06月30日,764594,1624341,8746,859747,239283,238609,285201,669138,,671888,239283,14191,-13977,9054,-4923,0,0,45918,0,1624341,-49160,95,-2600,9268,10212,
2016-11-03,3,2016,-1821,-2807,381,-4,,,-4134,-1442,-797,,-49500,65627,2750,-2374,-370456,210229,132301,-52671,2038,-439189,199,3911,109846,2016年01月01日至2016年09月30日,764594,828021,13578,63427,249693,-240047,-145362,669138,-314301,357587,249693,23205,208789,-713690,-504901,,,-395055,,828021,-98596,-50,,9383,-33535,0
