date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產（增加）減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,存入保證金增加,存出保證金增加,存貨（增加）減少,庫藏股票買回成本,應付公司債匯率影響數,應付帳款增加（減少）,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）
2013-05-09,1,2013,99134.0,,0.0,-226913,74667,,,-9800.0,,,,-6365,6890,38725,-190566,-278,7307,0.0,,,-859,163916,,,-943054,1676046,-1652.0,-181247,158266,-40000.0,4256,-1720,6365,,,2013年01月01日至2013年03月31日,2172204,2911157,-67169,738953,106338,,829630,908482,,,53565,51845,106338,,-1171619,1874629,703010,13891,,-325,802144,,,2911157,-78852,-3726
2013-08-13,2,2013,316219.0,-17814.0,0.0,-292149,92359,,,-31700.0,,0.0,,-12742,13318,57712,-387054,-3295,1851,0.0,,,-971,311879,,,-1708964,2270087,-3212.0,-384343,320591,-40000.0,8651,-5792,12742,,,2013年01月01日至2013年06月30日,2172204,2690982,-35090,518778,99293,,836505,1045512,,,32510,8904,99293,,-2004325,2634325,630000,25935,0.0,1181,946219,,181.0,2690982,-209007,18278
2013-11-13,3,2013,528649.0,-750014.0,0.0,-128857,45907,,,,,0.0,,-18418,17007,47414,-543362,-6714,6333,0.0,,,1593,33516,,,-1105639,1571048,-4283.0,-496093,482341,110000.0,13153,-8762,18418,,,2013年01月01日至2013年09月30日,2172204,1521564,3627,-650640,343945,,1114024,1394286,-487191.0,,-70018,-1315985,343945,,-1238779,1760471,521692,33972,0.0,6918,1050341,,-1319.0,1521564,-280262,19007
2014-03-14,4,2013,663808.0,-799913.0,0.0,-39381,-53788,,-65603.0,,0.0,0.0,,-24640,19456,75593,-700794,-8450,16757,0.0,,,-317,-17730,,,68235,-21339,-5999.0,-640761,657683,93000.0,17857,-10762,24640,,,2013年01月01日至2013年12月31日,2172204,1584250,-49590,-587954,905967,,1242671,1527170,-487191.0,,32409,-1265457,905967,,22855,-65460,-42605,44160,0.0,8536,621203,,-1305.0,1584250,-284499,19054
2014-05-12,1,2014,155605.0,,0.0,-178269,187507,,,0.0,,,,-6385,2693,-7352,-119647,-6559,-1546,0.0,,600.0,15,98375,,,-774574,1620613,-1228.0,-109771,169859,-765.0,4661,-2212,6224,,,2014年01月01日至2014年03月31日,1584250,2504608,-13151,920358,84566,,1133390,1191830,,,-94297,-95909,84566,,-954071,1905730,951659,10196,,-60,1107264,,,2504608,-58440,-466
2014-08-13,2,2014,407167.0,0.0,,-193970,158210,,,0.0,,0.0,,-13318,5488,-38992,-214076,-9956,3614,0.0,,600.0,583,211923,,,-1176661,1389661,-2394.0,-199698,337113,17000.0,9639,-4763,12999,,,2014年01月01日至2014年06月30日,1584250,2146665,59029,562415,154909,,823296,965845,,,-18028,-22191,154909,,-1373025,1776794,403769,10752,0.0,5624,810936,,0.0,2146665,-142549,-22
2014-11-11,3,2014,814118.0,0.0,,76560,-23174,,,,,0.0,,-20876,7901,17124,-452065,-12015,289420,,,600.0,-1140,-983732,,,881508,410520,-3442.0,-431755,514638,17000.0,14945,-7015,17478,,,2014年01月01日至2014年09月30日,1584250,2080395,-2749,496145,269883,,1262520,1459241,-324794.0,,-20535,-351744,269883,,954626,-579386,375240,15987,0.0,10870,1189358,,0.0,2080395,-196721,-31
2015-03-11,4,2014,882897.0,0.0,0.0,243740,-133964,,-77144.0,,0.0,0.0,,-33957,10713,69353,-756497,-15961,280064,0.0,,44.0,-1139,-1266048,,4587.0,2518547,-698848,-5896.0,-681057,706586,17419.0,20217,-10219,32332,,,2014年度,1584250,3985330,-126699,2401080,541193,,1824371,2021896,-324794.0,1495000.0,28382,1188413,541193,,2756391,-2158585,597806,60208,0.0,21577,1480703,,0.0,3985330,-197525,-191
2015-05-12,1,2015,,,0.0,-276576,198048,,,0.0,,,,-12074,2570,-35414,-277131,-4524,-362,0.0,,0.0,-143,414657,,5524.0,-2058708,1786911,,-270033,202373,0.0,4992,-3006,11276,,213383.0,2015年01月01日至2015年03月31日,3985330,3766820,9761,-218510,-92099,-1136.0,96494,184480,,,-6551,-9557,-92099,,-2336420,2399616,63196,489,,599,276579,,,3766820,-87986,0
2015-08-05,2,2015,,0.0,,-397819,294450,,,0.0,,0.0,,-19853,5362,-56645,-533947,-15359,-1649,0.0,-16103.0,1492.0,-692,825174,,11070.0,-2922439,1509351,,-526272,403490,0.0,9495,-5398,22542,,441645.0,2015年01月01日至2015年06月30日,3985330,2790987,19140,-1194343,-151539,-3233.0,-572762,-404410,,,-18655,-38664,-151539,,-3323491,2628975,-694516,1184,0.0,14440,-252871,,0.0,2790987,-168352,150
2015-11-11,3,2015,,-3703.0,,-247725,250075,,,,,935.0,,-27785,8375,54265,-822714,-17096,3042,,,1553.0,-801,655161,-38235.0,16633.0,-2896326,956408,,-798223,604404,0.0,12638,-6155,23230,,698182.0,2015年01月01日至2015年09月30日,3985330,2485465,65703,-1499865,436162,-4705.0,-359873,-152768,-204605.0,,-144889,-396034,436162,,-3148756,1861644,-1287112,19158,0.0,14542,-588930,,0.0,2485465,-207105,-305
2016-03-25,4,2015,,-14834.0,0.0,-224087,151185,,-20377.0,,0.0,0.0,,-34341,11571,-28208,-1004989,-21112,1725,0.0,,1798.0,-68,771135,-38235.0,22180.0,-2879297,1801680,,-932556,809801,0.0,17704,-10738,35548,2040.0,1056785.0,2015年度,3985330,3826165,214087,-159165,792773,-6144.0,1179123,1443653,-204605.0,0.0,-110910,-377524,792773,-2502.0,-3109528,2703623,-405905,58065,0.0,18104,650880,,0.0,3826165,-266570,-1544
2016-05-10,1,2016,,-23235,0,-126237,109347,,-3046,0,,,,-7555,3281,-75747,-246164,-6916,6191,0,,-1000,352,314368,,5534,-580480,818405,,-228885,205373,0,4492,-3426,7585,,349095,2016年01月01日至2016年03月31日,3826165,4231411,126615,405246,-121459,-1638,740905,758355,,,-3366,-31027,-121459,,-708355,1239074,530719,16258,,3081,879814,,240,4231411,-17450,1843
2016-08-04,2,2016,,-44673.0,,-251447,-62805,,,,,,,-14818,6865,-108516,-391570,-13094,-3889,,0.0,500.0,-360,514898,,10979.0,-985598,1013894,,-370678,408691,,8950,-5974,11922,,512311.0,2016年01月01日至2016年06月30日,3826165,3885771,84010,59606,-51661,-3133.0,627869,687074,,,-38922,-89069,-51661,,-1239563,1465987,226424,22424,,9252,738735,615.0,428.0,3885771,-59205,1843
2016-11-10,3,2016,,-47098.0,,-38663,-132589,1269.0,,,,0.0,-115.0,-22292,10368,-189781,-536575,-12966,463,,,108.0,-1366,369052,0.0,16392.0,-442188,350333,,-504287,605412,,13305,-9168,17065,,763183.0,2016年01月01日至2016年09月30日,3826165,3245550,127426,-580615,11829,-4818.0,743791,877408,-323160.0,,-251020,-630338,11829,,-484400,586796,102396,29670,,9866,865579,,400.0,3245550,-133617,1843
