date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他籌資活動,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,長期應收租賃款減少,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-09,1,2013,3926.0,-18257,3096,-50306,-27366,,,1610,9710,,,220,19032,-18967,-456000,-65000.0,-104,-348,1448,15890.0,,17251,-369002,905,736022,5512,363.0,-352071,19757,-2357,301,-220,,,,2013年01月01日至2013年03月31日,398470,285967,-14618,-112503,13538,,350340,354670,,-133039,-129804,13538,,-436297,773503,337206,,,145851,,942,-149,16426.0,,341132,285967,-4110,,,123.0,177.0,178,38988,,
2013-08-12,2,2013,49768.0,1058,3181,37753,-18476,,,6454,-29905,,,784,1941,-45557,-762800,-65000.0,-161,345,-675,15938.0,,-152362,-239167,8220,267831,13762,-271.0,-183688,39438,-1596,608,-1592,,,,2013年01月01日至2013年06月30日,398470,258968,5813,-139502,71103,,60511,72023,,-24392,-18266,71103,0.0,-192407,143559,-48848,0.0,,695511,,1022,-1021,8261.0,,920,258968,-9920,,,25.0,347.0,4375,29623,,
2013-11-07,3,2013,74052.0,1632,-2967,-121834,-30888,,,3272,0,11346.0,-1975.0,1557,3545,-61594,-1085800,-65000.0,-203,78,-306,,15167.0,-193622,-302155,6947,699963,7559,-205.0,-353976,59417,2804,919,-1557,1975.0,51.0,,2013年01月01日至2013年09月30日,398470,269645,3033,-128825,91121,,297671,309385,-50000.0,-29031,-76065,91121,-51.0,-415615,559827,144212,26.0,,866143,,1542,-1168,3501.0,,218264,269645,-12183,0.0,,210.0,0.0,7896,79782,-37772.0,
2014-03-28,4,2013,127849.0,113970,-3152,-23631,6780,262.0,0.0,-2095,3168,,-3682.0,4482,3941,-142361,-1201800,-65000.0,-212,-497,-2271,,8469.0,99853,40334,3687,-125242,-11965,-578.0,-281875,83756,3932,1228,-4487,3678.0,51.0,,2013年01月01日至2013年12月31日,398470,341361,5844,-57109,113217,,398804,404775,-50000.0,-126593,-177979,113217,-51.0,170508,-6799,163709,312.0,,1132447,,9921,-1473,-16898.0,,291558,341361,-5213,,1206.0,,2980.0,23183,26665,,36726.0
2014-05-09,1,2014,21986.0,-128328,2560,4936,-2156,49.0,,-161,-3232,,-1506.0,343,1573,-15423,-894500,0.0,-6,-207,-2139,,3424.0,-32147,-331803,-4170,901436,10779,565.0,-349020,19792,1715,316,-343,1557.0,,,2014年01月01日至2014年03月31日,341361,320604,3258,-20757,10692,,347904,348017,,-18914,-21214,10692,,-571738,887077,315339,266.0,,546181,,-189,-404,14270.0,,337325,320604,-1327,,,,,-1132,6556,,-112938.0
2014-08-11,2,2014,38457.0,-102226,2376,996,-557,,,263,-652,,-3486.0,714,639,-24555,-1008000,0.0,-6,-73,-2382,-1388.0,,-10025,-201812,-3878,306722,24113,945.0,-170991,39022,2810,629,-714,3547.0,,,2014年01月01日至2014年06月30日,341361,264081,-1594,-77280,78178,,46152,62591,,49039,46920,78178,,-412586,358542,-54044,278.0,,863788,,-147,-995,-456.0,,-15587,264081,-19272,,,,,1577,35913,,-106611.0
2014-11-07,3,2014,64492.0,-96230,1355,1489,-527,,,289,-980,0.0,-3780.0,1710,1723,-37064,-1269500,0.0,-119,-331,-2196,,-6242.0,71554,-378431,-4328,474183,26337,379.0,-209678,58084,2165,940,-1710,3851.0,52.0,,2014年01月01日至2014年09月30日,341361,326686,1378,-14675,95097,,159905,189562,-60000.0,95282,33375,95097,-52.0,-572660,602633,29973,278.0,,1090166,,330,-1320,13710.0,,94465,326686,-31850,,,73.0,0.0,5368,29731,0.0,-95539.0
2015-03-26,4,2014,90410,27745,-3024,1187,1200,117,0,352,484,,-6190,2993,10720,-63049,-1375500,0,-119,-338,-3750,,-8172,-79838,67880,-4027,39745,18825,-633,-117109,77455,5957,1193,-2982,6159,52,,2014年度,341361,437254,5071,95893,116278,,186589,213391,-60000,79091,15693,116278,-52,-1512,8215,6703,281,40,1316563,-40,1728,-1779,12363,,97113,437254,-30031,,0,,0,4412,31190,,-93664
2015-05-08,1,2015,,-148907,5390,1563,-4895,25.0,,-21,0,,-1475.0,1135,-1980,-23382,-708000,,-1308,35,102,,7379.0,12038,-421978,217,606691,4747,,-186078,21765,4122,291,-1146,1529.0,,24775.0,2015年01月01日至2015年03月31日,437254,327482,-746,-109772,9581,675.0,117721,117917,,-39516,-39435,9581,,-583541,667102,83561,0.0,,507007,,888,-434,,32226.0,108336,327482,-579,,,,,-806,43106,,-15111.0
2015-08-12,2,2015,,-167750,5264,1880,-4278,,,-943,1,,-2843.0,2062,-4230,-28646,-839300,,-4908,19,-17,2740.0,,17409,-482441,884,694568,8233,,-97455,43259,4696,630,-2073,2916.0,,46062.0,2015年01月01日至2015年06月30日,437254,450577,-2321,13323,25549,178.0,141409,146239,,-25441,-26401,25549,,-668486,743114,74628,214.0,,766141,,781,-784,,6303.0,120690,450577,-5673,,,,,563,21918,,-21237.0
2015-11-10,3,2015,,-140636,-9,2343,-3863,,,-931,1,,-3815.0,3085,-162,-45848,-1036800,,-11823,4,-87,,-1032.0,24217,-385751,9811,474883,6452,,12597,63682,4844,939,-3096,3892.0,73.0,77325.0,2015年01月01日至2015年09月30日,437254,430878,8718,-6376,52193,746.0,62641,78279,-60000.0,-20434,-81452,52193,-73.0,-532100,480861,-51239,214.0,,1103775,,784,-1406,,4067.0,26086,430878,-16507,,,43.0,,563,-20819,,-18613.0
2016-03-23,4,2015,,-26336,-9155,-555,-35,43.0,,-1447,0,,-5209.0,4878,-1986,-66626,-1420800,,-12030,1324,308,,-19338.0,82371,-158590,13506,277799,9206,,-285940,84089,7369,1248,-4888,5272.0,73.0,103349.0,2015年度,437254,444036,11902,6782,81264,1117.0,367712,385885,-60000.0,-11865,-73004,81264,-73.0,-171441,372713,201272,214.0,495.0,1255612,,786,-1548,,-23467.0,304621,444036,-18630,,,,,-1417,12484,,-583.0
2016-05-11,1,2016,,-129496,9075,2957,-6042,-1759.0,,0,-124,,-1057.0,1457,-1977,-14198,-427500,-487.0,0,-58,648,,7861.0,25364,-162126,-12579,427321,-716,,-174699,20483,4703,294,-1458,1102.0,,22415.0,2016年01月01日至2016年03月31日,444036,387660,-2883,-56376,2269,-3368.0,128092,128354,,-8440,-7792,2269,,-323381,427051,103670,255.0,,221917,,-255,-285,,37577.0,126085,387660,94,,,,,16,-26192,,-18769.0
2016-08-08,2,2016,,-137633,4703,2469,-2764,-1697.0,,0,0,,-2925.0,2676,-1464,-23629,-508900,-791.0,0,-462,1288,-4804.0,,-59200,-265450,-31,343994,-2335,,101602,40355,2544,557,-2677,3021.0,,41593.0,2016年01月01日至2016年06月30日,444036,401923,-195,-42113,28645,-15213.0,-141337,-135834,,-2202,-914,28645,,-430677,224605,-206072,267.0,,609234,,-188,-552,,30225.0,-164479,401923,-5847,,,,,-217,-58096,,-14819.0
2016-11-08,3,2016,,-131521,8237,3830,-6021,,,0,-1,,-5005.0,4460,-7250,-30333,-659950,-791.0,-121,-1368,2307,,66.0,-117511,-216317,-13552,381638,-4012,,231770,59911,2641,806,-4461,5105.0,65.0,54346.0,2016年01月01日至2016年09月30日,444036,470133,-6625,26097,32992,-15698.0,-112470,-97086,-50000.0,-38260,-85953,32992,-65.0,-392219,207795,-184424,316.0,,896071,,-199,-1209,,29513.0,-130078,470133,-16093,,,-3000.0,,999,-54536,,-18961.0
