date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他金融負債增加,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得待出售非流動資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款增加,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收款項增加,應收款項減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付費用（增加）減少,預收款項增加（減少）,預收款項增加－處分資產
2013-05-07,1,2013,0,468415.0,,,-264979,-111886,-9812,,,,,,-670822,,,0.0,394,4887,-18647,238406,105205,-324406,,0.0,,0.0,,,,-62,,-10.0,,-571.0,-789235,,,152392,17092.0,,-4488.0,98627.0,,298069,262.0,32669,-222082,-75304,,0.0,178207,,-906.0,134120,375405,-2903,,-1297,411,-258033,15137,8818,,2013年01月01日至2013年03月31日,9252469,10556392,1303923,363263,,-537044,-296998,,,,1589122.0,1601642,363263,-8818,448931,-1577607,-1128676,178620,467,,4988,,458236.0,-214288.0,,,,,,-660261,4113,10556392,-5968,31485,,,55945,-18325.0,,94545,
2013-08-06,2,2013,8027,1158394.0,,,-1218288,-56640,59875,,,,,5376.0,-404753,,,0.0,393,4264,-40470,500239,111668,-443232,,0.0,,0.0,-169096.0,,,-98,,64.0,,-28119.0,-221354,,,16752,-76660.0,,873.0,100000.0,,-511097,389.0,615366,-234411,32629,,0.0,459091,,-7384.0,-111764,746664,-6724,,51601,904,-479296,33898,69163,,2013年01月01日至2013年06月30日,9252469,10983867,1731398,340076,,862781,1260545,,,1986548.0,,868713,340076,-11263,-700528,462603,-237925,0,695,,12229,,458235.0,-215247.0,,,,9402.0,-147.0,920469,-18478,10983867,-21529,45746,0.0,,55945,162884.0,,-47894,54582.0
2013-11-06,3,2013,9345,1683777.0,,,-1958030,-27857,-46838,0.0,,,,9485.0,-468568,,,0.0,3599,4260,-62919,752659,46860,-653420,,-27005.0,,0.0,-169096.0,,,-112,,3758.0,,-32091.0,-207604,,,193669,-76660.0,,-8631.0,89423.0,0.0,-417517,402.0,431519,-497538,228379,,0.0,-142490,-175089.0,-9877.0,-115440,1124566,2299,,62507,1337,-758215,52063,74057,,2013年01月01日至2013年09月30日,9252469,11305497,2053028,396145,,172785,832355,,0.0,,3734390.0,1948823,396145,-16157,-207486,-1040081,-1247567,78880,47098,,26121,,458235.0,-215247.0,238353.0,-123281.0,,9402.0,-147.0,436210,-14280,11305497,-27475,64900,0.0,,55945,-164151.0,,153667,
2014-03-25,4,2013,16300,2358391.0,,,-3191863,91598,23183,,,,,16986.0,-51501,,,0.0,7418,4741,-91585,999831,65524,-629233,-7000.0,-27693.0,0.0,0.0,-169096.0,,,-22,,5016.0,,-9363.0,-674031,,-2498.0,217749,-75541.0,,809.0,89085.0,,-437268,208.0,421955,-237515,270080,0.0,,-102195,,-7728.0,-44149,1506809,15859,0.0,92260,1859,-988642,91916,77207,,2013年01月01日至2013年12月31日,9252469,8180966,-1071503,614556,,2165762,3025393,0.0,0.0,,2240722.0,-3258640,614556,-16157,40752,11694,52446,78880,67842,,34442,,458236.0,-215247.0,238353.0,-123281.0,,9401.0,541.0,2410837,-10863,8180966,-40112,87288,0.0,-2480688.0,63110,345859.0,,261996,
2014-05-07,1,2014,2617,706492.0,,,385971,-210582,30443,,241.0,,0.0,,-88645,,,,1240,-4,-21427,227032,76984,-641912,,,,,,,,-8,,4134.0,,-5164.0,-35175,,,-4133,-665.0,-2774.0,,915.0,,-566091,,-492308,-205152,-49636,,,-189377,-21711.0,-4196.0,-645764,381359,-48202,,94221,412,-254783,17604,10698,,2014年01月01日至2014年03月31日,8180966,8356265,175299,114353,,-2078032,-1796113,,,,2430844.0,2822111,114353,-10698,-1010606,-1606352,-2616958,0,35,37.0,7653,,0.0,0.0,,,463.0,,,-1910466,5357,8356265,-55438,7204,,6.0,17668,-506589.0,,-227522,
2014-08-06,2,2014,8150,1120694.0,,,-5197085,22274,-50039,,220.0,,-20004.0,0.0,13425,,,1233.0,0,-16,-40812,463648,1095,-1793133,,-10991.0,,,0.0,,,-16,4210.0,,,-9527.0,104639,,,124437,22466.0,20914.0,,0.0,,-541396,,-272154,-158405,-102765,,,896439,,-8825.0,-1437215,741177,-29414,363797.0,127257,988,-468624,40789,15350,,2014年01月01日至2014年06月30日,8180966,9140620,959654,498853,,272359,926573,,,,2236940.0,2123415,498853,-15350,-452329,-240645,-692974,5078176,31372,38.0,16556,,0.0,0.0,,,463.0,0.0,0.0,427720,484,9140620,-241729,-216687,,954.0,35336,-642371.0,,-92683,0.0
2014-11-10,3,2014,11008,1527772.0,25206.0,-1336693.0,-653012,-18715,-6736,0.0,442.0,,-22929.0,0.0,192308,,,0.0,3693,-71,-64710,673495,43867,-2978695,,-23655.0,,0.0,-903192.0,,,345,4651.0,,-6269.0,,151300,,,-30338,0.0,11789.0,,0.0,-80000.0,-39295,,-268126,-75800,-198364,,0.0,1117601,-626.0,-10631.0,-3465034,1102250,151,363797.0,-51391,1338,-725612,64717,69020,,2014年01月01日至2014年09月30日,8180966,8955935,774969,863649,,1432906,2411970,-327068.0,1483290.0,66603.0,,2763230,863649,-17420,-127574,148123,20549,3899485,31973,37.0,22572,,0.0,0.0,0.0,0.0,463.0,0.0,0.0,1548321,21588,8955935,-387189,-220778,0.0,-294468.0,70671,-763585.0,,-61972,45000.0
2015-03-24,4,2014,12862,1865340.0,25243.0,-1344338.0,-6977559,87191,-131083,,,,-61941.0,0.0,-184285,,,,-6948,94,-90735,904339,209478,-4715700,-15000.0,-34160.0,,,-588135.0,,,392,1386.0,,-10052.0,,49015,-398814.0,-217.0,5939,,17837.0,,0.0,-80000.0,375772,1173.0,-342907,-569270,-190489,,,1012028,,-10556.0,-4965605,1465649,-551389,363798.0,-64601,1891,-939575,90370,69024,,2014年度,8180966,8866805,685839,1360318,,1104724,2338717,-327068.0,1551720.0,292781.0,,4337242,1360318,-17424,398568,-1285509,-886941,11513881,33461,,30685,,0.0,0.0,442643.0,-234199.0,-47364.0,0.0,,978399,20197,8866805,-453812,-224541,,-294734.0,128509,-377129.0,,-97812,
2015-05-05,1,2015,2249,,,,-2023923,-182624,107138,,28.0,,,3057.0,120744,,-815.0,,4406,-528049,-18815,202785,-6271,-1355267,-10000.0,-18372.0,,,-339016.0,-2683.0,,-20,0.0,-114.0,0.0,1228.0,-631150,76427.0,,-19864,22366.0,8509.0,,0.0,-75000.0,-96633,,-16950,579129,-107695,,,-11483,,,-1729440,370041,-8978,,116106,336,-238985,18898,8792,904584.0,2015年01月01日至2015年03月31日,8866805,7269974,-1596831,82451,-12204.0,331509,623316,,,1552328.0,,-192629,82451,-8792,-425334,61615,-363719,356500,51,0.0,7309,-89271.0,,,,,-10893.0,,,540865,-14048,7269974,-80512,-22512,,-1633.0,794839,30860.0,,-130836,
2015-08-06,2,2015,17121,,,,-5218775,-59024,104430,,32.0,,0.0,237503.0,-23599,-1258.0,,,8713,-528102,-33478,410011,-37203,-2859732,-10000.0,-18372.0,,,-442220.0,,,-45,67.0,,-47429.0,,565013,76427.0,,-206782,-35216.0,7868.0,,,155000.0,-263667,,216046,1018786,-13582,,,-231234,,,-3143420,739431,100455,0.0,518838,874,-443601,33879,23123,1870616.0,2015年01月01日至2015年06月30日,8866805,9656147,789342,-251459,-15929.0,1776094,2369123,,,535577.0,,2193871,-251459,-12023,-663877,1413843,749966,6894715,961,0.0,16759,-89271.0,,,,-17902.0,,,,2620582,-3658,9656147,-206430,-25239,,-171487.0,784371,-322472.0,,-87469,
