date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,員工執行認股權,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少
2013-05-10,1,2013,15924.0,-27866,,,10024,4757,5777.0,3025,0.0,,,,,-9830,,-3053,1143,48286,-50106,,0.0,-6295,,-72888,-19349,1435,-1728,201491,69988,-16336,-59936,26719,690.0,4238,-1157,,,,2013年01月01日至2013年03月31日,1382854,1651709,-11192.0,268855,183799,317865,332789,,0.0,-37360,-37360,183799,3414.0,,-39726,172792,133066,,950,0.0,148990,1651709,-13767,,-25954
2013-08-13,2,2013,58473.0,199,0.0,,-7196,18800,1527.0,608,,,,2950.0,,-16564,6494.0,-8082,2563,85276,-84632,,0.0,1277,,-170933,59042,-1995,-1300,113521,17835,-30502,-101196,55790,-3530.0,7777,-2572,8082.0,,,2013年01月01日至2013年06月30日,1382854,1689846,-15707.0,306992,365711,355842,406512,,240000.0,-275880,-32930,365711,6828.0,,75354,-93026,-17672,,795,0.0,40801,1689846,-56180,738.0,-13748
2013-11-08,3,2013,87478.0,27628,,-3309.0,-12008,12210,3101.0,1047,,,,3000.0,,-19497,4364.0,-19719,4036,33465,-91036,,0.0,-1822,60538.0,-251695,-65756,-465,1800,85953,27798,-20932,-110533,87168,-3530.0,12128,-4084,19719.0,,,2013年01月01日至2013年09月30日,1382854,1307231,-11133.0,-75623,506007,286465,369667,-355929.0,286560.0,-275880,-285020,506007,9640.0,,-23536,-200282,-223818,,795,0.0,-136340,1307231,-98837,2021.0,-28969
2014-03-27,4,2013,111613.0,27112,0.0,-2598.0,-343,-1385,,1487,,0.0,170936.0,602.0,0.0,-9080,4371.0,-30636,5242,53115,-138333,,0.0,-3545,69610.0,-203824,-78171,318,6,180881,-42146,-26798,24023,114092,-3530.0,7318,-5479,30636.0,,,2013年01月01日至2013年12月31日,1048745,1127335,,78590,615970,506027,585663,-355929.0,59620.0,-275880,-504575,615970,12452.0,,-50633,-91287,-141920,500.0,1047,0.0,-30307,1127335,-104793,1272.0,4473
2014-05-12,1,2014,28877.0,-32376,,,10703,12957,,418,,-57076.0,,-31.0,,-19203,6616.0,-7823,502,-18559,-54188,,,-1258,,-30891,17285,-6111,-508,30612,132658,-44598,-129480,27253,4633.0,2285,-499,7823.0,,,2014年01月01日至2014年03月31日,1127335,1205403,,78068,107808,226138,222144,,,0,-31,107808,1476.0,,-8335,93794,85459,987.0,263,-1102.0,114336,1205403,-3330,665.0,-9323
2014-08-12,2,2014,52917.0,-4089,,,9544,-2000,,834,,70908.0,,21.0,,-28497,2400.0,-13861,1351,-46541,-83687,-12297.0,,-2760,,-112032,79569,-4394,-2623,-42809,85762,-33656,-52600,53371,4633.0,9194,-1175,13861.0,,,2014年01月01日至2014年06月30日,1127335,1235926,,108591,231749,217451,262325,,50000.0,-59740,-9719,231749,2952.0,,67297,-89638,-22341,973.0,585,-1102.0,30576,1235926,-57560,787.0,-1080
2014-11-11,3,2014,88538.0,25874,120.0,,2442,987,,1251,,,33689.0,130.0,,-131778,6718.0,-16870,1591,66648,-197219,-12867.0,,-69,0.0,-190419,49521,-3416,-1022,-119771,-11102,-41919,-307205,76750,4633.0,13556,-1537,16870.0,20.0,,2014年01月01日至2014年09月30日,1127335,831367,,-295968,386471,96114,180194,-340935.0,470000.0,-280840,-151525,386471,4427.0,-20.0,73195,-368010,-294815,970.0,2542,-1102.0,-206277,831367,-99433,1015.0,-11874
2015-03-20,4,2014,145702.0,44664,1384.0,,2122,535,,1551,,141144.0,,220.0,,-125150,30529.0,-24169,2334,16051,-272579,-13566.0,,4033,57876.0,-163569,170390,-5970,-1491,-237687,-85888,-57136,-269175,106340,4633.0,18139,-2376,24169.0,20.0,,2014年度,1127335,1117947,,-9388,595692,338491,423169,-340935.0,1140000.0,-953300,-94755,595692,5901.0,-20.0,209679,-527904,-318225,976.0,2786,-1102.0,-172523,1117947,-106491,931.0,9621
2015-05-12,1,2015,,-69657,,,3033,4900,,411,,-114444.0,,-61.0,,104042,-16374.0,-4587,741,16272,-241719,,,-3033,,-45090,-137650,-2667,-615,146259,64616,8087,-252121,30035,0.0,4487,-771,4587.0,,11564.0,2015年01月01日至2015年03月31日,1117947,1025063,,-92884,161237,143026,149275,,250000.0,-250000,-61,161237,0.0,,-205278,181752,-23526,0.0,241,0.0,-11962,1025063,-10065,54.0,4847
2015-08-10,2,2015,,-53113,,-2487.0,2837,-4880,,-326,,-336023.0,,-383.0,,140956,-17457.0,-8464,1549,-46463,-321374,0.0,,2425,,39243,-85372,-2093,294,93162,78638,3454,-205923,63086,0.0,8378,-1536,8464.0,,-123058.0,2015年01月01日至2015年06月30日,1117947,1201680,,83733,410123,288989,352387,,1060000.0,-1010000,47130,410123,0.0,,-145490,210812,65322,310518.0,-173657,0.0,-57736,1201680,-70326,1082.0,-6522
