date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他非流動資產增加,利息收入,利息費用,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損迴轉利益,預付款項（增加）減少,預付費用（增加）減少
2014-08-12,2,2014,106015,-49426,8849,30,-3738,-126,680,-4932,-164,-481,20447,-35535,,-511,-304,0,0,2,-59204,75641,,9963,122,,-51364,302,-122026,-20763,-4882,5252,54031,-41140,83939,3364,-20629,379,,,2014年01月01日至2014年06月30日,127380,94511,-32869,163642,122702,156251,640200,-25327,-980000,,-114431,163642,,40333,-153739,-113406,300000,0,,6,,-7391,94511,-13299,-956,,-6051
2015-03-24,4,2014,200954,-564991,32799,39,1328,886,228,-4087,-1205,-1041,36201,-101321,0,-1526,266,0,,,14879,156768,-370,2685,-169758,,-16758,-171,-57230,-89855,-33948,39099,-79400,-108139,165308,7112,-36427,1002,5791,,2014年度,127380,133565,6185,362944,484200,532940,640200,-25327,,-1550000,-369876,362944,-5791,176509,-207467,-30958,1300000,0,0,14,0,169996,133565,-19106,-1115,-1937,
2015-05-11,1,2015,,-104960,-65695,-160,-262,-117,145,-1958,1085,-266,7156,-29031,0,-436,-634,0,,,6757,-20946,1986,-6168,-9984,,-39166,-301,19617,30950,12535,33422,41692,-30340,37733,1248,-7227,232,0,50518,2015年01月01日至2015年03月31日,133565,178423,44858,69673,110142,117161,0,0,,0,-34944,69673,0,-130407,127377,-3030,80000,0,0,5281,0,47488,178423,-24,0,-17319,
2015-08-12,2,2015,,-90341,-51992,-142,-4209,91,290,-1266,0,-602,14729,-40118,0,-10537,755,0,,235,419,14393,1114,-8591,19999,,-40437,-348,54725,-13385,-77717,-5476,85117,-51686,76048,2754,-14079,556,0,98965,2015年01月01日至2015年06月30日,133565,179447,45882,181368,187600,226186,0,-289690,,0,-90032,181368,0,-89780,35633,-54147,270000,0,0,5281,0,44818,179447,-25063,0,-7999,
2015-11-11,3,2015,,-1242988,-42875,-1227,-5199,-492,434,-1420,-895,-940,19867,-54105,0,-25774,-80,300,,964,-20253,-8912,1982,3667,229900,,-70939,-146,72148,-16922,23617,1794,77416,-81230,111962,4498,-20498,826,6949,133639,2015年01月01日至2015年09月30日,133565,365002,231437,225584,323546,367898,601599,-289690,,-400000,-10879,225584,-6949,-121988,130663,8675,1090000,0,0,5281,0,142314,365002,-31629,0,-5418,
2016-03-23,4,2015,,-1552988,-35470,-3329,5776,-383,229,-781,0,-1599,25019,-83497,0,-39987,815,300,,1169,14687,-68604,2633,-8244,299887,,-27388,-102,26729,26959,102093,-24341,87255,-123073,147541,7578,-25664,1427,6949,177663,2015年度,133565,424694,291129,239711,455094,504057,601599,-289690,,-400000,-40892,239711,-6949,-131170,217853,86683,1300000,23,0,5258,0,264346,424694,-31675,0,-11817,
2016-05-12,1,2016,,-500000,-22113,-1559,2555,39,47,2339,-4015,-736,4715,-53745,,-3136,4289,26,,50,2623,-45722,-503,-1464,,-99909,-46230,-86,12683,8015,-20119,39542,47899,-58507,35650,8521,-4611,937,,52439,2016年01月01日至2016年03月31日,424694,266158,-158536,27960,49854,53567,,,,,-149883,27960,,-113516,86684,-26832,450000,,,0,,25607,266158,-39,,-2439,
2016-08-11,2,2016,,-500000,-23135,-622,-5757,113,97,-534,,-1160,9072,-108140,,-8894,4280,2284,-276,,-78126,-35126,-592,-1077,,-189884,-16188,146,-36673,18410,-43052,28468,49334,-117844,72447,15788,-9231,1359,,100427,2016年01月01日至2016年06月30日,424694,132691,-292003,101385,33441,69080,,0,30000,,-207600,101385,,-81632,-51100,-132732,450000,,,0,,-32305,132691,-27767,,11048,
2016-11-11,3,2016,,-500000,-29743,422,-10980,112,146,-8651,0,-1469,13567,-113786,,-24178,4398,2284,-311,,-105321,-8657,-1540,1145,,-249873,-4940,898,-14917,9377,41294,62844,42997,-146926,110372,20091,-13683,1659,1853,145106,2016年01月01日至2016年09月30日,424694,262286,-162408,160141,252107,300577,0,-150000,120000,,-267589,160141,-1853,-53671,49001,-4670,510000,,,0,,140436,262286,-38299,,12193,
