date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動資產（增加）減少,其他營業資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分投資損失（利益）,處分採用權益法之投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少,預付設備款增加,預付費用（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,-68195.0,-15757,-14028,3740,,,0.0,,,-11543,,36170,-73,0.0,-28389,,,-105060,,,,218,,-4177,,,-1101,5373,35739,-32008,1209,,5496,,,11543,,,2013年01月01日至2013年03月31日,929923,1032914,102991,158285,98829,116121,,,,,,158285,1609,,-16091,42122,26031,,,97774.0,,,,-65184,,,-42164,1032914,-28835,0.0,,,,19215.0,767
2013-08-08,2,2013,-106562,-38499,-70676,7507,,,-1230,0,,-22915,,59052,-4527,0,-28735,,,-144678,-354,,,398,,-82063,,,31225,-13580,22678,-19164,2518,5247,11130,,,22915,1647,,2013年01月01日至2013年06月30日,929923,919583,-10340,309126,-38280,950,,-11948,,,-11948,309126,3235,-1647,-6234,-195380,-201614,0,,151206,0,,,-104528,,,-308176,919583,-62145,0,,,,-51739,1040
2013-11-11,3,2013,-200129.0,-39408,-16434,11837,,,,0.0,0.0,-29771,,45366,-5628,-83089.0,-57815,,,-145370,-1153.0,,,529,,-91899,-115308.0,,2309,-21093,15384,-111800,3831,7917.0,17993,,,29771,1811.0,,2013年01月01日至2013年09月30日,929923,665470,-264453,436919,37930,101568,,-235949.0,,,-235949.0,436919,4876,-1811.0,-32630,-102592,-135222,0.0,,282915.0,0.0,,,-203693,,,-335351,665470,-93409,,,,,11450.0,4469
2014-03-12,4,2013,-200614.0,36528,-15267,16762,,,,0.0,,-33605,,70210,-7928,-113389.0,-217456,,,-145527,-1252.0,,,844,3470.0,-88003,-138956.0,,-3117,-100412,24747,-280518,5084,11603.0,26198,,,33605,1923.0,,2013年01月01日至2013年12月31日,929923,930104,181,482226,-95682,-11156,538650.0,-235949.0,,,306171.0,482226,6292,-1923.0,37928,-330696,-292768,98.0,0.0,325207.0,-57.0,,,-215050,,,-493382,930104,-118131,,,,,-151761.0,4517
2014-05-05,1,2014,-79889.0,-43895,-38750,5187,-634.0,108.0,,,,-4602,,-10149,-738,-196883.0,0,,,-10000,-111.0,,,158,,-55618,,,2720,1273,-15872,-84469,829,6490.0,8680,,,4602,,,2014年01月01日至2014年03月31日,930104,987507,57403,170670,102021,116620,50000.0,,,,50000.0,170670,964,,-43684,69523,25839,,,117076.0,,,,-92408,1000.0,,-54050,987507,-19201,,,,,179016.0,-2509
2014-08-14,2,2014,-141506,-36939,-114180,10231,52,,216,,,-8933,,-33220,-1577,-241905,-2795,-5500,,-10000,-108,,,266,,7111,,,8743,-111289,-27125,-212719,1672,9666,17124,,,8933,,,2014年01月01日至2014年06月30日,930104,712256,-217848,346250,2417,39777,,-18826,,,25674,346250,1512,0,-24215,-140752,-164967,,,208366,,,50000,-162813,1000,,-306473,712256,-46293,,,,-176147,104679,3981
2014-11-12,3,2014,-148281.0,-75195,-121376,15511,52.0,,357.0,,,-12547,,3328,-182034,-316944.0,-15206,-5500.0,,-10313,-378.0,,,303,,-16959,-253668.0,,20755,-112923,-38338,-520136,4112,11538.0,27365,,,12547,0.0,,2014年01月01日至2014年09月30日,930104,533722,-396382,472864,67622,138744,,-294517.0,302821.0,,52804.0,472864,1977,0.0,-47615,-138224,-185839,38.0,,241982.0,,,50000.0,-181029,1000.0,,-334120,533722,-83669,,,,-481.0,151320.0,6825
2015-02-26,4,2014,-167045.0,-60246,-88092,19864,-3223.0,,,460.0,,-16392,,50405,-195195,-327706.0,-15722,-5500.0,,-10787,-1143.0,-25682.0,,2155,2180.0,-80566,-256153.0,,38303,-154891,-31069,-498491,6737,11676.0,40401,,,16392,258.0,,2014年度,930104,605723,-324381,596907,110149,204203,0.0,-294517.0,261393.0,,13556.0,596907,8410,-258.0,-23805,-201854,-225659,1241.0,,311450.0,-29.0,,50000.0,-219745,1035.0,,-392704,605723,-110446,,,,-411.0,155987.0,-1862
2015-05-13,1,2015,,-5627,-3675,4015,39.0,29.0,,,,-3777,,-9618,-6560,,50496,,0.0,0,-385.0,,,608,,65889,,,4067,-89704,-3645,108786,2159,2376.0,14504,,,3777,35538.0,-41375.0,2015年01月01日至2015年03月31日,605723,735496,129773,166350,65189,87867,0.0,,,-34584.0,-34584.0,166350,658,-35538.0,-3574,-33534,-37108,,,,24.0,,,-22389,0.0,25682.0,-78483,735496,-26455,,,,,-2467.0,-2014
2015-08-12,2,2015,,19050,-25251,7958,87.0,-2431.0,,0.0,,-9573,1520.0,-28599,-22415,0.0,-20347,0.0,,0,-379.0,,,3377,,71279,,-66332.0,5823,-167055,-4775,119416,4530,3443.0,28773,-1520.0,,9573,36056.0,-52479.0,2015年01月01日至2015年06月30日,605723,566305,-39418,324784,-12278,58162,,0.0,,-51625.0,-117957.0,324784,1323,-36056.0,23216,-237359,-214143,297.0,,99840.0,-206.0,,0.0,-49610,0.0,25682.0,-266622,566305,-78493,,,-109213.0,-7276.0,,-1657
