date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款增加,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,發行特別股負債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,避險之衍生金融資產（增加）減少,金融資產減損損失,非控制權益變動,預付款項（增加）減少,預付設備款增加,預付費用（增加）減少,預收款項增加（減少）
2013-05-14,1,2013,58517.0,,-290662.0,213682,,-28056.0,-357231,,-30668,-24269,,-858529,,-45500.0,65714.0,3795.0,,-11863,,-32963,23535,26207,-8107,,-128607,,0.0,-28033.0,,,,49444.0,-44163.0,-44163.0,9052.0,-53848,,-150984,,-370414.0,,-55437.0,37596,-9735,180404.0,68376,5178,-2377.0,-282105,31320,,36346,-33793,32894,,,2013年01月01日至2013年03月31日,1259884,918668,-341216,11560,,-89572,-85485,,,,141277,,4254,11560,162862,-318424,-155562,200000.0,0,,69916,,365,,-99,559.0,13.0,41378.0,,,-97045,-88.0,1777197,-3188.0,,,,,-57018,-174395.0,-70281.0,466115
2013-08-13,2,2013,114909.0,,-809569.0,394540,-9533.0,-28056.0,-476485,,-29276,-97699,,-906226,-148.0,-67790.0,93429.0,4170.0,,790,,-68004,48098,42284,-17962,,-237905,,-59131.0,-33546.0,,,,112241.0,-108083.0,-274280.0,268592.0,-107048,,-164063,,-670613.0,971815.0,-1005900.0,-103272,1585,664703.0,-43589,6236,-3439.0,-328166,62658,,86275,-67203,68054,,,2013年01月01日至2013年06月30日,1268027,290247,-977780,49346,,-423457,-394274,,,0.0,877885,-711000.0,-268441,49346,-100496,-458033,-558529,400000.0,18,,264142,,567,-208251.0,-14698,559.0,13.0,141239.0,,,-443620,,1196473,-30034.0,,,,0.0,-139016,-170014.0,-266720.0,485308
2013-11-13,3,2013,134850.0,,-1044082.0,1126094,-12585.0,-31060.0,-883258,,-102150,-75872,,-564472,-1747.0,-329965.0,67790.0,3559.0,,818,,-100733,71803,32658,-65336,,-290081,,-59131.0,,,,,148287.0,-139922.0,-289156.0,282828.0,-107710,,-121615,,-735552.0,5411128.0,-5375000.0,-18281,-32559,368117.0,-31429,8559,-9761.0,-557850,92059,,117093,-103069,100787,,,2013年01月01日至2013年09月30日,1268027,694959,-573068,155301,,-106630,-73504,,,0.0,4096000,-3974910.0,58754,155301,954520,-1318175,-363655,981136.0,30,,376973,,819,-163207.0,-46188,559.0,13.0,93481.0,,,-228805,,1259431,-30844.0,-16.0,,,-47442.0,-151807,-152393.0,-412216.0,830117
2014-03-27,4,2013,208206.0,,-793160.0,908034,12151.0,,-805337,0.0,-105467,-28052,,-852121,,-202196.0,0.0,,-1292.0,-7025,,-143706,96126,53509,-88028,,-365182,,-59131.0,0.0,,,332.0,,-15384.0,-89873.0,,393315,,97625,,-355123.0,36661.0,,-21040,-49953,166569.0,136459,8366,-12203.0,-669519,176754,0.0,137981,-141933,143658,3736.0,,2013年01月01日至2013年12月31日,1268027,695400,-572627,272708,,837328,890097,-205877.0,,0.0,238090,,-793945,272708,733070,-323887,409183,,1677,0.0,419760,,1064,-163207.0,-60324,559.0,,109941.0,,,617389,124562.0,1547521,-54494.0,-21.0,,0.0,-52983.0,-145254,-230550.0,,84531
2014-05-14,1,2014,29038.0,,-353061.0,-81825,,-29772.0,236361,,19808,-76537,,-889971,,0.0,66160.0,-164.0,,-80615,,-29369,20890,11316,-23604,,-137699,,,,,,-440.0,0.0,-9121.0,0.0,3245.0,-42272,,35896,-464538.0,,,-8457.0,-32543,16607,360885.0,1657,563,-1559.0,-111666,39367,,2971,-32612,29355,,,2014年01月01日至2014年03月31日,695400,893905,198505,54318,,-113342,-107025,,800000.0,,-17000,0.0,412197,54318,-489317,298936,-190381,,19,,96557,,279,,-5486,0.0,,4133.0,,,-161343,-609.0,1783876,-3060.0,826.0,,,,-11916,-10090.0,-186412.0,36053
2014-05-14,1,2015,,,-1830048.0,-107974,,-10768.0,388324,,45093,44486,,0,,-470478.0,0.0,3747.0,,0,5365.0,-38314,7722,-8482,-56889,,-65765,,,,,-15000.0,40.0,0.0,27891.0,-56538.0,0.0,-144900,,-147369,321020.0,,,-274318.0,-24871,-18198,-182784.0,-207374,-10402,,-520358,44674,,-5631,-13817,25121,,8932.0,2015年01月01日至2015年03月31日,2481070,1631478,-849592,2160087,1066.0,1961476,2233502,,0.0,,-209500,0.0,-2282228,2160087,233061,-168578,64483,,29340,,74304,,551,,-3559,0.0,,,46071.0,,73415,-28502.0,1631478,-283330.0,3449.0,,,,-37730,0.0,,174598
2014-08-13,2,2014,58207.0,5053.0,0.0,-206441,,-29772.0,268103,,66173,-114333,,-20000,,,575733.0,322.0,,-75656,0.0,-58722,40298,-5457,-29657,,-224173,,0.0,-220419.0,,,-445.0,0.0,-33571.0,-60237.0,0.0,-651077,,263759,-530927.0,,,-80435.0,-4581,275474,,-68821,-1032,,56620,86575,,-6150,-63441,58816,,,2014年01月01日至2014年06月30日,695400,1591929,896529,84340,,-306726,-280617,,800000.0,,0,-2562094.0,1152092,84340,-164425,-258739,-423164,3027870.0,40,,154363,,595,0.0,-7992,0.0,0.0,0.0,,,-364957,-1838.0,1611929,-21484.0,4048.0,,,0.0,32947,-38655.0,,249430
2014-11-13,3,2014,275589.0,,0.0,-208561,-36501.0,-29772.0,317440,,23276,-106318,,-303840,,401809.0,0.0,-748.0,,-70974,,-90216,57037,11853,-30714,,-327775,,0.0,-220359.0,,,-256.0,-22341.0,0.0,-57815.0,0.0,-213607,-120024.0,-71111,-411459.0,,0.0,-80524.0,-20568,-65845,876950.0,679568,-668,,-266207,137891,,17314,-94552,90240,5053.0,,2014年01月01日至2014年09月30日,695400,2271479,1576079,223719,,1349828,1560061,,800000.0,,-2840094,0.0,480605,223719,-539924,1600677,1060753,2626449.0,40,,235619,,655,0.0,-12264,0.0,0.0,0.0,,3335.0,1336342,16915.0,2575319,-205921.0,6548.0,,158880.0,-2137.0,113157,-54630.0,,168085
2015-03-30,4,2014,360721.0,,2657696.0,-435064,-43640.0,-29772.0,312078,0.0,36397,-125943,,0,,284846.0,0.0,,-186.0,-66350,,-128395,74719,40594,-78028,,-347400,,0.0,0.0,,,685.0,,-40620.0,-101684.0,,-348785,-120024.0,-224907,-417929.0,,-112671.0,,8252,178695,1855754.0,361818,5027,-2024.0,-788218,189076,0.0,77826,-126093,129116,5053.0,,2014年度,695400,2481070,1785670,355646,,2009930,2235386,-215027.0,800000.0,0.0,-2560094,,523364,355646,-827305,2346324,1519019,,12892,0.0,303544,3335.0,1096,0.0,-16614,0.0,,-611438.0,,,1879740,-40584.0,2481070,-228479.0,3448.0,,158880.0,-5734.0,107680,-43192.0,,292194
2015-11-12,3,2015,,,,-322624,83907.0,-10768.0,99873,,-28168,46019,569949.0,-297018,,364533.0,,4026.0,,34743,,-124331,27275,1322,-45827,,-169150,-155000.0,-119760.0,,-327445.0,,705.0,48840.0,,-22499.0,,12392,0.0,-104915,72811.0,,194299.0,,37880,68575,-570013.0,477214,-1208,,-170932,138142,,25969,-59437,110146,0.0,52572.0,2015年01月01日至2015年09月30日,2481070,1419054,-1062016,1561563,6692.0,725477,992919,,0.0,,-147000,,-1617883,1561563,24150,-645366,-621216,-1718048.0,9107,,160182,,1170,,-8678,1469.0,174.0,,,140134.0,-568644,-27128.0,1716072,,-7854.0,-1334571.0,0.0,0.0,-13596,-30651.0,,305695
