date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他金融資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,生物資產（增加）減少,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產重分類淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-07,1,2013,-32059.0,,,-29971,78,,-1038,0.0,,,8000.0,-287,20,12233,-13185,,-555657,-139,,,,206.0,-55536,-9426.0,8264,692,-280,56299,2172,-262.0,38637,11053,,699,-20,502,,,2013年01月01日至2013年03月31日,590207,623657,-17064,33450,51677,,-8908,-9199,,,0.0,,-8512,51677,,,-22595,-6222,-28817,7205,10827.0,581380,-1236,-27454,-60876,,623657,-191,,2210,,914,,,-9235
2013-08-06,2,2013,-28829.0,,,-26370,3776,,-2052,8000.0,,,,-524,20,12372,-22515,,-1233698,-762,,,,206.0,-50112,-9426.0,15975,-4876,1049,-1099,-7693,-107.0,-34607,21918,,1423,-20,687,0.0,,2013年01月01日至2013年06月30日,590207,517217,-18410,-72990,67063,,-42243,-37391,,,0.0,,-8512,67063,,0.0,-16381,-59244,-75625,7205,10827.0,1204130,-1236,-34230,-104454,,517217,-5519,,2210,,914,,,-12116
2013-11-06,3,2013,-52407.0,,,-21923,-6212,,-1630,0.0,,0.0,8000.0,-700,20,7424,-27583,-30000.0,-1895111,-762,,,,200.0,-43557,-9426.0,6737,-5083,1528,-45119,-2038,49.0,126506,32576,-451.0,2140,-20,1136,57130.0,,2013年01月01日至2013年09月30日,590207,586511,-9531,-3696,122751,,-55314,-50874,,,-73800.0,,-82312,122751,,-60956.0,-20322,-100896,-121218,7215,10827.0,1996590,-1246,-16890,-173625,,586511,-5556,-30.0,2210,,914,,,-3519
2014-03-21,4,2013,-52583.0,3084.0,,-4835,-2350,,-281,,,,8000.0,-880,376,9540,-33920,-30000.0,-2400106,-2952,,,,22.0,-36727,-9426.0,14390,7755,-263,-34541,-7627,206.0,240828,42732,-595.0,2930,-376,1316,64508.0,,2013年01月01日至2013年12月31日,590207,537460,-15112,-52747,152500,,25197,29852,-246000.0,,-73800.0,,-328312,152500,,-64508.0,16972,-87037,-70065,7225,10794.0,2614173,-1253,-19108,-122648,,537460,-5595,30.0,2210,,914,,,-5197
2014-05-09,1,2014,-55282.0,,,1685,-453,,-769,,,,0.0,-125,38,5661,-2399,,-979501,-283,,,,171.0,864,0.0,-27865,-14900,-141,62230,2122,351.0,31003,9877,,838,-38,5,924.0,,2014年01月01日至2014年03月31日,537460,597380,-10255,59920,56610,,23360,25104,,,-104.0,,-104,56610,,-924.0,-41639,65415,23776,150,0.0,1011941,-150,-55724,-31506,,597380,-1711,-56.0,1199,,0,,,652
2014-08-08,2,2014,-82423.0,,,12092,-2952,,-632,0.0,,,,-606,40,1638,-11412,-12200.0,-1820112,-2129,,,,166.0,-63244,0.0,78686,-11958,1745,24559,717,577.0,158731,20100,,1710,-40,335,924.0,,2014年01月01日至2014年06月30日,537460,741830,-2910,204370,95715,,44105,56035,,,,,-104,95715,,-11582.0,80510,-37767,42743,160,0.0,2003334,-160,-90160,-39680,,741830,-12225,-54.0,1199,,-104,,,3153
2014-11-07,3,2014,-151112.0,,,25555,-7141,,1044,,,,0.0,-1114,40,4598,-24826,-12200.0,-2543406,-2129,,,,-271.0,-125286,0.0,97438,-5789,5216,-76400,-4113,928.0,-73923,30616,0.0,2643,-40,997,41640.0,,2014年01月01日至2014年09月30日,537460,345204,-7123,-192256,187411,,-82974,-64401,,,-39853.0,,-39957,187411,,-61943.0,124392,-225092,-100700,160,0.0,2467109,-160,-115617,-251812,,345204,-19530,-19.0,1199,,-104,366.0,,-12152
2015-03-13,4,2014,-181457.0,0.0,,52827,1770,,-2479,,,,0.0,-1668,42,15954,-41761,-12200.0,-2715501,-9361,,346.0,,-271.0,-95762,0.0,-6632,-23134,-378,2355,-1599,1391.0,99945,40060,353.0,3791,-42,1668,61767.0,,2014年度,537460,551401,-28250,13941,214143,,-62001,-44027,0.0,,-39853.0,,-39957,214143,,-61767.0,21595,-98308,-76713,160,0.0,2817112,-154,-135066,-258170,,551401,-19600,-18.0,1998,,-104,,-771.0,-5425
2015-05-08,1,2015,,,,-17405,94,,-338,,,,,-381,0,-3506,-9893,,-363382,0,,-43.0,,0.0,15758,,-26860,3288,-556,68479,4404,,-32229,9873,,1213,0,381,490.0,-8718.0,2015年01月01日至2015年03月31日,551401,568476,5138,17075,16196,237.0,53138,52795,,,,,-328,16196,,-490.0,-41634,86951,45317,0,,340556,0,-27012,36599,,568476,-38,6.0,0,,-328,,2978.0,-1784
2015-08-07,2,2015,,,,-30708,1603,,1088,0.0,,,,-905,0,-8122,-18106,0.0,-742100,-405,,-37.0,,-23.0,-59652,0.0,71702,9062,187,65534,-3360,,83973,20306,,2440,0,381,490.0,-55416.0,2015年01月01日至2015年06月30日,551401,702825,12560,151424,76672,587.0,75901,75645,,,,,-328,76672,,-997.0,51918,2471,54389,0,0.0,844117,0,-92747,-1027,,702825,-125,10.0,0,0.0,-328,,3954.0,-1654
