date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他金融負債減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分投資損失（利益）,處分採用權益法之投資,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,除列按攤銷後成本衡量金融資產淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-03,1,2013,,-132560.0,-9616.0,9938,-5045,-166,-1051,,,0.0,2175.0,,-2858,-770,5267,4926,-136019,,0.0,,-1343,-127597.0,,648,0.0,,,327,-63471,8397,-5670,25523,20648,-1003.0,-35342,35404,3844,-4904,770,,2013年01月01日至2013年03月31日,517022,797891,,280869,169032,,-9812,2406,,,,-46529.0,321097,169032,46283,-80349,-34066,,1487,1000.0,-43,101196.0,,,-8.0,,133600.0,-176885.0,0.0,,-166626,797891,-8084,,,375067.0,,-17,-56953,-5135,,34787
2013-08-08,2,2013,98.0,-103993.0,0.0,-4135,3730,-197,3172,,,0.0,266.0,,-4524,-3275,9299,5911,-319161,,-92888.0,,-8543,-205958.0,,336,0.0,,,390,-98934,-19798,-3183,90,14353,-463.0,-398313,71521,7849,-9288,1708,,2013年01月01日至2013年06月30日,517022,536430,,19408,236879,,-9160,34156,,,20072.0,0.0,420970,236879,-11943,-86787,-98730,25565.0,1697,6080.0,-54,101196.0,,,-37.0,,136000.0,-191303.0,,,-202723,536430,-35736,1607.0,0.0,375067.0,,-34,-9198,-12602,,15833
2013-11-07,3,2013,,-60465.0,0.0,13738,3349,868,4319,,,,346.0,0.0,-9572,-6591,13573,177,-444817,0.0,-94889.0,,-9587,-118414.0,,337,0.0,,-2108.0,0,-42456,2439,-2385,11775,27991,-4792.0,-548706,108526,13190,-13474,3592,,2013年01月01日至2013年09月30日,517022,757227,,240205,350389,,223514,269160,,-89595.0,23531.0,0.0,565220,350389,39104,-59868,-20764,84327.0,1701,6080.0,-46,,171544.0,0.0,-37.0,,138168.0,-192190.0,,,-81229,757227,-35764,2824.0,,375067.0,,-51,-64846,-15268,,29236
2014-03-24,4,2013,0.0,-3144.0,-146279.0,83635,1465,725,578,0.0,,,35789.0,,-15815,-9630,18561,5695,-549066,0.0,-94888.0,,-9841,-54687.0,,-902,0.0,0.0,-4122.0,0,-222872,53881,35419,-44408,27844,-4251.0,-617701,148420,19922,-18543,5179,,2013年01月01日至2013年12月31日,517022,756380,,239358,409989,,297092,378913,360066.0,-89595.0,200279.0,0.0,554272,409989,251134,-279066,-27932,7467.0,1709,6080.0,502,,171544.0,0.0,-37.0,0.0,142181.0,-196228.0,,,-31076,756380,-68457,3501.0,,15001.0,12747.0,0,-41673,-39252,,81725
2014-05-09,1,2014,,50010.0,-12651.0,-59667,15420,645,7551,,,,0.0,-38.0,-674,-2510,4905,-2953,-67868,,,,-9440,-77998.0,,3042,,,,264,878,-23873,-37216,-17654,6599,-1606.0,-147500,40319,3956,-4834,2967,,2014年01月01日至2014年03月31日,756380,650040,,-106340,79731,,1640,23574,,,,-244838.0,42473,79731,-116488,10321,-106167,300000.0,114,0.0,-79,0.0,,,0.0,,0.0,0.0,,,-56157,650040,-20067,394.0,,0.0,,-17,-2473,0,8102.0,5229
2014-08-11,2,2014,196.0,101832.0,,-42845,19737,-308,3540,,,,1462.0,,-2928,-5705,9816,-7667,-124888,,0.0,,-11042,-72944.0,,6365,,,,2919,655,-16372,-56938,7447,2407,-959.0,-210028,82113,8206,-9931,3324,,2014年01月01日至2014年06月30日,756380,788476,,32096,183424,,148670,223928,,,0.0,-274838.0,101121,183424,-124493,63165,-61328,374497.0,255,0.0,-103,0.0,,,0.0,,0.0,0.0,,,40504,788476,-68651,978.0,,0.0,,-34,29379,-1400,,-7071
2014-11-08,3,2014,,145332.0,,-52420,21125,500,1943,,,,1540.0,,-5560,-9394,15072,-423,-185630,,-33779.0,,-39528,-32854.0,,-1696,,,0.0,3027,-79224,-46822,-18847,76815,3797,-312.0,-291186,126405,13778,-14996,6132,,2014年01月01日至2014年09月30日,756380,577524,,-178856,130594,,113738,215098,,-119460.0,0.0,-274838.0,-985,130594,-123150,62322,-60828,391773.0,1603,0.0,240,,0.0,,0.0,,0.0,0.0,,,84504,577524,-92496,978.0,,0.0,,-51,37866,0,1535.0,-5249
2015-03-25,4,2014,,201433.0,-203134.0,-24177,18721,-185,16820,10837.0,,,4244.0,,-25408,-13514,20268,12970,-249370,,-33780.0,,-42007,-21785.0,,-5758,,,0.0,2543,-127318,-40182,-27650,10819,-5568,-336.0,-369482,170930,22076,-20246,8810,,2014年度,756380,1166822,,410442,207365,,148580,252190,587562.0,-119460.0,0.0,-82838.0,618374,207365,-98017,-58591,-156608,432000.0,3239,0.0,6407,,0.0,,0.0,,0.0,0.0,,,44825,1166822,-92174,1092.0,,0.0,0.0,-68,27935,-2914,,-16324
2015-05-06,1,2015,591.0,,-11460.0,-30427,21261,3968,1881,-3897.0,,,,0.0,-3336,-3266,5117,-14233,-48125,-3419.0,,,-60750,,-27503.0,11753,,,,20,39910,-26097,-23040,35027,-622,,-146218,44712,10061,-5084,1782,68595.0,2015年01月01日至2015年03月31日,1263099,1093196,,-169903,-57960,626.0,2008,28962,,,,0.0,-11460,-57960,-69478,87805,18327,0.0,332,,-356,,,,,,,,,,86922,1093196,-23652,,,,0.0,-17,-9652,-3437,0.0,9389
2015-08-11,2,2015,591.0,,-23108.0,-31602,10964,519,2040,2168.0,,,0.0,,-8333,-7108,10310,-19777,-94866,-3419.0,,,-118948,,-12524.0,13970,,,,-60,95536,-13755,-35764,52281,387,,-241539,91269,20359,-10289,5543,132711.0,2015年01月01日至2015年06月30日,1263099,1142947,,-120152,-86829,-2781.0,74272,122982,,,30000.0,0.0,66892,-86829,-73450,150550,77100,60000.0,332,,-65,,,,,,,,,,209811,1142947,-43964,3419.0,,,,-34,-10658,-3721,,7765
