date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少
2013-05-14,1,2013,3657.0,,-5671,81586,4867,,,,,-141,1501,,-70,,,-369,7682.0,,700.0,,-12210.0,,-96582,-17828,-1454,,-10207.0,0.0,,10723,-1066,-47583,33,-47246,-13202,401.0,-4967,1556,467,225,-983.0,184.0,,,2013年01月01日至2013年03月31日,242878,211797,-31081,45510,,-441279,-441444,,,116100.0,,415165,45510,56484,-547095,-490611,299348,0,49,,,-486954,,211797,-19.0,,-347382
2013-08-13,2,2013,6431.0,-34480.0,1327,250499,-20840,,,,,-378,1969,,-440,,,-450,8579.0,,,0.0,-13282.0,,-705532,99730,8560,,-10349.0,29965.0,,3438,-3677,-165893,61,-58911,-14297,789.0,-5593,3049,1314,428,-1330.0,377.0,,,2013年01月01日至2013年06月30日,242878,240282,-2596,80428,,-617112,-617442,,,143900.0,,620109,80428,350317,-1054618,-704301,482054,0,49,,,-697870,,240282,-47.0,,-89206
2013-11-12,3,2013,9638.0,-896681.0,4200,221470,-17339,,,,,-490,2482,,-597,,,-878,17972.0,,,1650.0,-2743.0,,-213951,63852,17984,,36497.0,0.0,,29529,-1979,-130736,64,3703,11072,1204.0,15009,4435,2300,618,,,527.0,,2013年01月01日至2013年09月30日,242878,542399,299521,474929,,372730,372338,-129600.0,,112900.0,,-88218,474929,372757,-484986,-112229,826152,1255,293,,,-102591,,542399,,,-137799
2014-03-18,4,2013,12125.0,-1315680.0,23995,216044,12968,,,,,-850,3074,,-1047,,,-1174,25152.0,,,-78.0,-3921.0,,-628682,54739,26564,,46662.0,29957.0,,-1432,1269,-163737,64,48998,19964,1604.0,20580,5768,3025,918,-3231.0,893.0,,,2013年01月01日至2013年12月31日,242878,442580,199702,605866,,208613,207897,-129600.0,,174300.0,,-29491,605866,374336,-784430,-410094,1214841,1570,190,,,-397969,4891.0,442580,-177.0,,-74005
2014-04-29,1,2014,2516.0,-63700.0,-27907,61648,-53902,,,,,-99,297,,-493,,,-252,24488.0,,,258.0,963.0,,6565,-14497,-15114,-8677.0,,,-29957.0,143,-1678,50936,-151,-49684,-4750,453.0,25171,1308,918,225,-285.0,193.0,,,2014年01月01日至2014年03月31日,442580,408471,-34109,73359,,-38336,-38529,,,0.0,-179300.0,-20944,73359,-5629,-108775,-114404,252040,465,-133,,,-111888,,408471,0.0,,-57789
2014-08-13,2,2014,5366.0,-145300.0,-12224,14780,-118807,,,,,-435,666,,-14324,-151278.0,-1335.0,-2120,,,358.0,,0.0,7865.0,77275,74821,-15482,62328.0,,0.0,-29957.0,-5968,-2568,28948,-6002,-106532,-52750,905.0,-133651,2913,2019,445,,526.0,,,2014年01月01日至2014年06月30日,442580,287794,-154786,241635,,-256530,-256318,,,85200.0,,235395,241635,116592,-619911,-503319,325492,2779,-242,24762.0,,-497953,,287794,,,-442043
2014-11-10,3,2014,12392.0,-226730.0,-32768,162506,-189397,,,,,-488,1417,,-14443,-151278.0,-1335.0,-3631,,,158.0,,8364.0,0.0,-1021911,50084,-17320,18612.0,,30005.0,,-2870,-6358,-82341,-6694,-94588,-33607,1363.0,-128295,4789,6146,776,-551.0,592.0,,,2014年01月01日至2014年09月30日,442580,234354,-208226,395481,,-1055075,-1054921,-150000.0,,147700.0,,975144,395481,173249,-1636043,-1462794,1174562,2788,-248,31240.0,,-1450402,,234354,-746.0,,-207505
2015-03-27,4,2014,16902.0,-660520.0,-24472,-97472,-8852,,,,,-768,1982,,-14453,-209673.0,-3027.0,-3993,,,1173.0,0.0,8174.0,0.0,-779719,58176,-29394,13822.0,,30039.0,,27051,-8237,-4264,-183,-6410,-14147,1828.0,-185576,6609,7881,1397,-1516.0,869.0,,,2014年度,442580,364449,-78131,559568,,-517021,-517111,-150000.0,,165700.0,,624466,559568,-60298,-1033283,-1093581,1239590,2847,-199,34549.0,,-1076679,-1600.0,364449,-779.0,,-219708
2015-04-30,1,2015,,-140210.0,-2759,20965,-21575,0.0,-567.0,-327.0,0.0,-36,443,,-188,-34069.0,-6067.0,-600,,-32664.0,,,,,-552076,-136349,-1558,12758.0,,,-120.0,-26382,0,126721,-52,7233,21368,,-73915,1900,683,354,,36.0,,3350.0,2015年01月01日至2015年03月31日,364449,180933,-183516,51513,,-304165,-304009,,,,0.0,194564,51513,-133325,-225547,-358872,335946,0,6,,0.0,-355522,,180933,0.0,,192834
2015-08-13,2,2015,,-372750.0,8630,92439,-22469,0.0,-209.0,-1118.0,0.0,-273,869,-2165.0,-253,-66185.0,-6067.0,-754,,-24700.0,,,0.0,,-968843,7995,-1558,7606.0,,0.0,0.0,6985,0,44303,-30,6113,-10933,,-99074,5072,-1042,712,,275.0,,5353.0,2015年01月01日至2015年06月30日,364449,216444,-148005,151090,0.0,-445638,-428004,,,128400.0,,398872,151090,122097,-706544,-584447,644076,3,15,,0.0,-579094,,216444,,,245315
