date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他金融資產增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少,預收款項增加（減少）
2013-11-11,3,2013,,32982,0,-14576,,,0,,,8598,,,0,,,-257222,,-9135,8951,33602,-151626,,,,-1321333,-61122,,86138,,14146,87,-131680,41176,,,-8951,9135,,2013年01月01日至2013年09月30日,848982,898866,-203,49884,653507,,392049,541369,,-280560,,-244087,653507,,38746,-183866,-145120,60000,,,-7938,,131,,1589366,-112138,898866,-149320,,-136890,-56077
2014-03-12,4,2013,,49804,,-21319,6887,-11196,,-2873,14575,81459,-2085,54498,0,-98380,-3197,,,-16767,12998,60122,-653642,-1692957,,,,-25333,-6641,251,271,4235,117,-520465,58618,,,-12998,13472,,2013年01月01日至2013年12月31日,848982,2646363,,1797381,866957,,794868,993758,1496376,-280560,,1462856,866957,3924,112138,-35141,76997,281357,0,74100,,1840139,130,-9099,,126801,2646363,-198890,,-23931,-13237
2014-05-09,1,2014,,8408,,-69085,-2626,-289,,1068,-172,-103664,1186,19791,,-49353,-3871,,,-16867,6529,2296,-9300,-796319,,-30561,,191,12637,-9124,230,745,34,-25479,20661,,,-6529,13475,,2014年01月01日至2014年03月31日,2646363,2665071,,18708,250296,,117505,160027,,,,-75614,250296,,-111240,12563,-98677,0,45,,,850405,94,-2009,,-90269,2665071,-42522,,9315,-27999
2014-11-11,3,2014,,39044,,-424230,4554,2793,,957,-306,-85955,839,46177,,-101241,957,,,-35339,15869,20600,-59558,-2433094,,-59593,,-62050,20841,32476,64,-7322,104,-110198,62771,,914,-15869,35339,,2014年01月01日至2014年09月30日,2646363,2059945,,-586418,718886,,435375,632972,,-492096,,-932195,718886,,-34009,-90949,-124958,0,199,,,2506793,249,,,-85914,2059945,-197597,-5420,-23131,-54999
2015-03-12,4,2014,,49329,,-437815,27476,6065,,937,-29019,-2801,1227,55019,,-107350,988,,,-47687,16025,101858,-94187,-3390355,-78325,-65371,,3671,19599,-13295,438,-21743,143,-215944,85975,,2096,-16025,50009,,2014年度,2646363,2410252,,-236111,997281,,823911,1073893,0,-492096,,-945936,997281,0,45421,-18138,27283,0,374,0,,3468273,192,,,76612,2410252,-249982,-7272,26351,-46785
2015-08-11,2,2015,,,,0,-17962,-2825,,229,25939,-13512,1497,26163,,-3262,,0,,-24431,0,-54081,-11602,-2601048,-776,0,,-61879,56946,4013,-736,-161986,,18183,44082,2284,6420,0,25434,20010,2015年01月01日至2015年06月30日,2410252,2675902,,265650,510707,82,301548,431557,,,,0,510707,,145293,-244453,-99160,,0,,,2609437,73,,,-79150,2675902,-130009,-8418,-47517,92388
2015-11-12,3,2015,,,,0,-19514,-7857,,-7676,28157,-83090,-1030,27272,,220404,,2360,,-30173,0,55915,-23706,-6497899,-476,-989,,-198396,109027,14286,-587,-361836,,243845,66092,3117,9832,0,31036,34200,2015年01月01日至2015年09月30日,2410252,2370411,,-39841,923867,121,216845,433166,,-556446,,-556446,923867,,64355,-589256,-524901,,0,,,6513115,100,,,-490701,2370411,-216321,-14768,-47888,24110
2016-03-04,4,2015,1633,,,0,20584,-5529,,-13437,27148,40355,2837,12073,,99131,,2278,10784,-35906,1421,-18280,-36648,-10313791,-465,-954,,-201908,112328,14351,-1002,-638046,,121223,98505,3981,13133,0,36113,69209,2015年度,2410252,3396435,,986183,1441649,160,549758,825592,,-556446,889928,333482,1441649,,180576,-865842,-685266,,0,,,10335559,121,,,-616057,3396435,-275834,-24463,-41434,-13746
2016-05-12,1,2016,,,,,-1590,-2473,,13454,434,-54844,-1857,1206,,107165,-139442,,,-7287,4279,-33495,-6976,-3633926,0,-18170,,-35289,-64130,-2594,-144,380842,,-45168,22719,1090,4042,,6752,22779,2016年01月01日至2016年03月31日,3396435,3860494,,464059,429312,-2100,542722,612670,,,,,429312,,-179860,340439,160579,,,,,3639429,182,,,183358,3860494,-69948,-2246,-17001,-53335
2016-08-12,2,2016,,,,,-28921,-4984,,10607,950,-59822,-14706,-17425,,106148,-146141,,,-12482,8578,-87793,-20751,-7786982,-122084,-18170,,-28986,-114621,-14306,-573,631625,,-176799,45361,1964,6982,,12621,51712,2016年01月01日至2016年06月30日,3396435,4017445,,621010,638952,-2099,885602,1030718,,,,,638952,,-267945,607999,340054,,,,,7798560,285,,,391766,4017445,-145116,1024,9082,-25767
