date,season,year,不影響現金流量之收益費損項目合計,償還公司債,其他投資活動,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）
2013-05-09,1,2013,274735.0,,,-341264,5908,79.0,21143,-7605,16615,19739,-132001,,-550000,,-7287,326,6512.0,,,139437,541824,-9774,-307671,40265,-76082,-240991,232722,-2317,16926,-9643,6557,,2013年01月01日至2013年03月31日,4643375,4505556,-137819,358433,613886,625811,,,,-536965.0,-530453,358433,,190786,-198143,-7357,274,,447944,-2656,267378,4505556,-8839,-419
2013-08-07,2,2013,497746.0,,,-54248,156443,,38749,-15090,34519,44014,-290082,,-1570700,,-41352,-49603,10434.0,0.0,321.0,-58949,1186358,10491,-369434,-19126,58570,-1225321,465436,-4559,34774,-21163,14891,,2013年01月01日至2013年06月30日,4643375,4901593,258218,834529,2052362,2242380,,,,-623271.0,-612837,834529,,1142601,-232496,910105,548,,675944,-4490,1407851,4901593,-183746,-1990
2013-11-06,3,2013,777756.0,,,87494,107492,,77268,-24691,49084,44122,-438320,,-1838700,0.0,-54178,-49493,35978.0,0.0,75.0,-412423,2345375,28156,-1134935,-22980,50930,-1516464,687265,-8056,51719,-31176,22796,,2013年01月01日至2013年09月30日,4643375,4876824,233449,1542270,3057680,3369135,-669268.0,,0.0,-718599.0,-1351889,1542270,,2461025,-1411916,1049109,4593,,810066,-4947,1826865,4876824,-303075,-393
2014-03-19,4,2013,1048321.0,,,296426,108895,,87423,-34232,65304,38561,-651977,,-2260700,,-80873,-48139,48262.0,-2154.0,,161734,845484,27927,-74297,38276,81530,-1790065,908192,-10211,78218,-40559,33355,,2013年01月01日至2013年12月31日,4643375,5408133,764758,1960103,4153100,4494399,-669268.0,,,-1015832.0,-1636838,1960103,9582.0,1169837,316138,1485975,7572,,1198067,-7633,2534296,5408133,-334095,-183
2014-05-07,1,2014,277761.0,,,-475406,-7193,,3402,-11269,17869,1080,-214708,-45036.0,-354000,,-33423,2069,4442.0,-582.0,0.0,346104,-400758,-28282,-38225,28240,60709,-163735,224383,-2894,22375,-9025,10862,,2014年01月01日至2014年03月31日,5408133,5775211,367078,312164,27559,75114,,,497732.0,0.0,502174,312164,25173.0,-904446,389635,-514811,14,,484000,-2697,-237050,5775211,-49392,-650
2014-08-06,2,2014,589506.0,-1500000.0,,-322175,-41320,,11518,-23189,35628,-46344,-409545,-45036.0,-578000,,-47897,-1508,6480.0,-1763.0,0.0,269130,927725,-34580,-1608423,-5610,52609,584787,446835,-5410,39605,-22163,24560,,2014年01月01日至2014年06月30日,5408133,4791716,-616417,772239,405608,599101,,,,-66948.0,-1560468,772239,97560.0,570970,-1333614,-762644,1009,,1666019,-11059,-173138,4791716,-195890,-474
2014-11-05,3,2014,961728.0,-1500000.0,,-282105,-168899,,128507,-29647,42947,24082,-770655,-45036.0,-1068000,,-69180,1480,11822.0,-1715.0,0.0,-712892,2106196,-11597,-2153729,-24078,18386,428577,677816,-8982,56556,-30735,31860,,2014年01月01日至2014年09月30日,5408133,3923721,-1484412,1251784,610279,984794,-965304.0,,,-93868.0,-2547350,1251784,107377.0,1812494,-3041212,-1228718,1124,,2382039,-15237,-266990,3923721,-375640,911
2015-03-18,4,2014,1264881.0,-1500000.0,6178.0,46485,-254875,,92216,-35198,50085,85616,-1100655,-91132.0,-1571000,,-77958,49355,17019.0,-991.0,,-1393859,2415554,-8028,-1998021,15563,-47883,-12872,920717,-10520,75140,-37637,37047,,2014年度,5408133,4230147,-1177986,1780189,1424144,1820006,-965304.0,,,-226589.0,-2674874,1780189,140165.0,2454011,-3679075,-1225064,1169,,2821517,-17475,39817,4230147,-395272,396
2015-05-08,1,2015,,,,-286481,-126791,,23574,-5765,7132,-19973,-258499,0.0,-249000,,-11155,2388,0.0,0.0,405.0,-998375,342479,-4292,-32856,10634,11406,-8819,257385,-2339,19269,-6885,6037,326397.0,2015年01月01日至2015年03月31日,4230147,4160434,-69713,585464,-213277,-172415,,,172356.0,,172356,585464,28094.0,51706,-1135982,-1084276,209,,509221,-1991,-757879,4160434,-40014,-1350
2015-08-10,2,2015,,0.0,4836.0,-97403,65505,,2535,-12181,14493,-43353,-738851,0.0,-673000,,-45396,-27433,0.0,0.0,2072.0,-163975,-169636,-24659,-1100846,3345,119334,-441116,522549,-4110,34191,-15434,13631,589357.0,2015年01月01日至2015年06月30日,4230147,4134669,-95478,1092661,96232,313683,,,292759.0,0.0,292759,1092661,64048.0,-291698,-1076637,-1368335,324,,1008899,-3865,-778978,4134669,-215648,-870
