date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益
2013-04-29,1,2013,191322.0,0.0,-2179248,-101094,-48384,499,-51363,-85439,,,,0.0,,-61469,89072,241694,-315223,0.0,-27000.0,,,-385,-1835494.0,,-884,15510,,,-3,-2164,0.0,-1017806,,-231769,,0.0,94247,61778,-43166,-2145.0,1314790,279712,,3171,26645,-84923,64840,,,2013年01月01日至2013年03月31日,9093251,10845110,1751859,184021,,-984656,-1032045,,9187698,-7788251,1180031,184021,548.0,,-274870,-1132518,-1407388,2029248,0,0.0,300588.0,1138,-146611.0,,,3194468.0,,-1216066,17254,10845110,-17451,,,0.0,,
2013-07-30,2,2013,556784.0,94004.0,-1500000,-42738,-34089,289,-91409,206950,,,,0.0,,-125656,181838,289995,-697715,-4108.0,-27000.0,,,-577,-3897637.0,,426,27076,,3.0,-8,-70071,87382.0,986736,,-810018,,0.0,21753,-562336,-174541,-279.0,1211052,554801,,7773,46463,-174222,126276,1477.0,,2013年01月01日至2013年06月30日,9093251,12829992,3736741,136248,,286245,226996,,15633374,-13336774,1949449,136248,893.0,-1477.0,-889045,423009,-466036,1300000,0,40.0,366671.0,1556,-175359.0,,,5358586.0,,90748,33646,12829992,-67027,,,0.0,65526.0,
2013-10-30,3,2013,643708.0,101987.0,-3250000,-236641,-17999,-5925,46580,234135,,,-120364.0,-478810.0,,-204570,281214,100178,-1072575,-6701.0,-57000.0,,0.0,-577,-3995457.0,,1323,36337,,5.0,-8,-72093,156765.0,1796722,,-853343,599582.0,-349692.0,60081,-379198,-104747,5579.0,2132390,853243,,6174,84958,-271725,202424,139859.0,,2013年01月01日至2013年09月30日,9093251,13673192,4579941,476213,,1804017,1708361,-899262.0,22711322,-21933203,543356,476213,893.0,-139859.0,-934548,1522988,588440,3900000,31,234.0,617836.0,1855,-217435.0,,,6919255.0,,1232148,43196,13673192,-106768,,,0.0,,-24088.0
2014-03-20,4,2013,982209.0,101987.0,-5556733,7348,-8260,-8519,-4675,151371,,,-120364.0,-478810.0,,-280775,380842,375534,-1491032,-31701.0,-250077.0,,0.0,-1235,-4989517.0,,1874,49112,,5.0,-8,-74713,157166.0,2205271,,-282025,,0.0,96537,-536742,-240534,7422.0,1642177,1155898,,8230,113273,-373102,281062,139859.0,,2013年01月01日至2013年12月31日,9093251,14166276,5073025,653641,,3312183,3083634,-899262.0,31582262,-31443460,-256869,653641,893.0,-139859.0,-114803,1562587,1447784,6384317,165,234.0,646122.0,7012,-217465.0,,,8034093.0,,2429993,60590,14166276,-52513,,,0.0,,-47714.0
2014-04-30,1,2014,463980.0,,-600000,-62986,-6260,-6714,743,-220640,,,-81001.0,-4913.0,,-80499,111915,633338,-214375,-190.0,-24922.0,-107250.0,,-1581,-6432.0,,1499,10970,,,0,-76,,-852687,,96423,,,-131935,-824623,51433,2134.0,371247,334691,,2340,31388,-100684,78642,,,2014年01月01日至2014年03月31日,14166276,15108428,942152,-223211,,-1642513,-1689602,,7951879,-7224835,1580080,-223211,0.0,,-70880,-1859491,-1930371,1650000,767,,0.0,352,0.0,,,703970.0,,-1466391,24741,15108428,-31553,,,,62294.0,
2014-08-01,2,2014,804717.0,0.0,-2403746,-53023,15044,-5235,-40694,-137270,,,-81564.0,-153471.0,,-169455,227244,-2093,-486435,-25190.0,-106130.0,-107250.0,,-2367,-6523.0,,1120,35258,,0.0,0,-29708,0.0,-213426,,-373563,749273.0,,-97375,-281094,-38308,4271.0,-183536,666113,,3815,63462,-218911,173959,2954.0,,2014年01月01日至2014年06月30日,14166276,12805197,-1361079,-163037,,-426665,-557022,,13756292,-14459701,-748785,-163037,0.0,-2954.0,-538413,-660289,-1198702,1900000,928,0.0,0.0,791,0.0,,,703970.0,,-393985,21971,12805197,-43602,,,,14581.0,
2014-11-11,3,2014,1072972.0,15075.0,-2902550,44648,31113,-8222,263433,-475729,,,-206839.0,-153471.0,,-252757,331577,326830,-834978,-25190.0,-214519.0,-107250.0,,-2375,-184844.0,,-3711,67551,,4.0,0,-29708,29539.0,11078,,-828938,1198997.0,,-329954,314746,32770,6397.0,-708009,999573,,4019,137079,-328880,259812,165193.0,,2014年01月01日至2014年09月30日,14166276,12611387,-1554889,-12243,,317812,147671,-461410.0,19017951,-21180054,-1491522,-12243,0.0,-165193.0,-818814,-94244,-913058,3204119,26366,0.0,330.0,627,-134.0,,,707412.0,,159914,25600,12611387,-89671,,,,,21892.0
2015-03-19,4,2014,1766499.0,15075.0,-3606290,-14184,5541,-10562,151110,-67300,,,-223680.0,-158495.0,,-325936,426527,450050,-1353492,-25491.0,-250238.0,-107250.0,,-2389,-540737.0,,31975,88222,,8.0,0,-73973,69534.0,680786,-54908.0,-1182124,,399915.0,-198753,602512,277658,8528.0,-1600027,1354469,,7319,187975,-420909,337117,165438.0,,2014年度,14166276,13568886,-597390,-396604,,1992319,1777916,-461410.0,22399227,-24786107,-1439732,-396604,0.0,-165438.0,-1080614,1488635,408021,5109770,34310,0.0,2830.0,46,-153.0,,,741281.0,,2174520,24279,13568886,-122714,,130530.0,,249715.0,0.0
2015-05-12,1,2015,,,-1700000,-24162,-8792,-5768,-130763,129661,-1114577.0,,-4966.0,0.0,,-83329,87069,-151076,-853448,0.0,0.0,0.0,,0,,-35851.0,386,50885,-35526.0,603.0,-3,-60214,2611.0,89062,,559474,798950.0,,113202,297366,-297559,,-1988902,363365,,2567,35066,-91016,77091,,182392.0,2015年01月01日至2015年03月31日,13568886,11129719,-2439167,108037,2468.0,1068215,1002038,,2859024,-4465805,-1367404,108037,,,507639,203970,711609,1215484,802,,,-492,,,,,76741.0,894001,-12580,11129719,-10914,,,,-222240.0,
2015-08-04,2,2015,,,-2522592,103239,54071,-9515,-169715,-277218,-1114577.0,1103964.0,-68543.0,-461545.0,77897.0,-154766,172077,-370163,-1226440,0.0,-17559.0,0.0,,0,,-44706.0,350,111857,,605.0,-3,-61902,62475.0,-11640,-62476.0,539450,-51.0,,109566,394116,-277777,,-1233511,702891,,4825,73750,-230882,161102,0.0,618222.0,2015年01月01日至2015年06月30日,13568886,13686638,117752,771597,4956.0,1910343,1833232,,8092931,-7600734,-188917,771597,,0.0,571376,-127963,443413,2022428,931,,,944,,,,,516494.0,1061635,-16120,13686638,-83991,,,,-181849.0,
2015-10-30,3,2015,,0.0,-3846612,76735,39999,21666,-100639,-338886,-1166249.0,1103964.0,-88232.0,-462077.0,77897.0,-221645,261504,508047,-1680415,-25000.0,-44780.0,0.0,,0,,-78475.0,-12846,111857,,605.0,-3,-61902,64534.0,296247,-134870.0,-246444,499685.0,,200915,420322,-320267,,-1310162,1040252,,5065,115767,-315697,229152,190742.0,780027.0,2015年01月01日至2015年09月30日,13568886,12293597,-1275289,311321,7456.0,1120364,1126775,-231417.0,12125297,-12563157,-1593538,311321,,-190742.0,-83654,119081,35427,2760774,1145,,2612.0,967,-32.0,302397.0,-124505.0,,553677.0,815454,-21677,12293597,-235563,,,,,-93758.0
2016-03-28,4,2015,,0.0,-4647500,72349,-30434,21728,-56685,-199692,-1166249.0,1103964.0,-88273.0,-462402.0,78041.0,-262425,331406,387759,-2236502,-25000.0,-44780.0,0.0,,-216,,-96757.0,-13415,111857,,604.0,-2,-90740,94091.0,1803269,-173364.0,-495254,,-399915.0,-44344,811296,-42397,,-1843013,1372918,,5091,159073,-340139,269776,190742.0,1225322.0,2015年度,13568886,8876114,-4692772,-324181,9975.0,2771913,2724131,-231417.0,14070124,-19605228,-6009431,-324181,,-190742.0,-540780,2363770,1822990,5205549,2454,,7671.0,1784,24306.0,302397.0,-124505.0,,588546.0,3048312,-26821,8876114,-221994,,0.0,,0.0,-78169.0
