date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動資產增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,預付投資款增加,預付款項（增加）減少,預付設備款增加
2013-05-14,1,2013,45817.0,,-10500,-46997,12426,1847,23,,,-42563.0,,6212,72,-102070,,,,2994,,,-29040,-16988,-8538,-49887.0,,-90.0,401639,1950,-863.0,-124.0,-144633,32423,338,177.0,147,4041,-3387,,,2013年01月01日至2013年03月31日,255358,508523,253165,-170057,174202,177589,,,,245911.0,,223524,-170057,,-70552,372381,301829,38000,,,,,347646,508523,,,-13931,
2013-08-13,2,2013,89582.0,,-38000,7267,235,-2357,-1835,-139.0,,-3876.0,,12669,117,-233746,-88500.0,,-9617.0,3082,,239.0,5410,9079,-8538,,-69872.0,-90.0,-81670,-4614,,,-374688,65462,311,177.0,253,8116,-7608,,,2013年01月01日至2013年06月30日,255358,235422,-19936,-162995,-198896,-191288,,,,335903.0,,553531,-162995,,5533,-123408,-117875,325500,,,,,-28293,235422,0.0,0.0,-41111,-39188.0
2013-11-13,3,2013,141623.0,,-98000,2935,1335,-3758,-2808,-114.0,,-9962.0,,20040,88,-377529,-88500.0,,-10247.0,3034,4693.0,,24834,42199,-8538,-209826.0,,-90.0,-33562,-24299,,,-505873,98824,0,177.0,441,12681,-13195,,,2013年01月01日至2013年09月30日,255358,621872,366514,-121312,-45115,-10106,498750.0,0.0,,334290.0,,917414,-121312,6603.0,32634,-63051,-30417,392200,,,,,111206,621872,-21814.0,-15340.0,-28728,-8988.0
2014-03-27,4,2013,188902.0,,-108000,8191,-2139,-12622,-1627,-42.0,,-5936.0,-393.0,26515,130,-548845,-103840.0,0.0,-11035.0,5331,0.0,,17985,73032,-8538,-209826.0,,-90.0,-106963,-5641,,,-673575,133658,506,177.0,387,16940,-18829,393.0,,2013年01月01日至2013年12月31日,255358,413247,157889,-58388,32253,72527,498750.0,0.0,0.0,245957.0,,799081,-58388,6603.0,60437,-118424,-57987,372200,,201.0,,-139.0,130915,413247,-21838.0,,-20216,-4120.0
2014-05-13,1,2014,44224.0,,-30000,6586,8126,146,567,6.0,,-1237.0,-18.0,4432,-12,-125770,0.0,0.0,0.0,-3093,0.0,,-62016,4824,0,0.0,,0.0,-30956,4309,,,-129736,38863,-399,-3690.0,-82,4122,-6554,18.0,,2014年01月01日至2014年03月31日,413247,201792,-211455,67157,18672,36176,0.0,0.0,0.0,-123379.0,,-100379,67157,0.0,11163,-86368,-75205,53000,,0.0,,0.0,-30981,201792,-10968.0,,-2708,-2729.0
2014-08-14,2,2014,101809.0,,-60000,41607,855,390,350,7.0,-4729.0,-712.0,-152.0,10056,-52,-249731,0.0,0.0,-5704.0,-458,,1848.0,-148589,-44434,0,,0.0,0.0,2665,-1125,,,-265132,84775,-506,0.0,18,7884,-13367,152.0,,2014年01月01日至2014年06月30日,413247,206825,-206422,138361,57736,80720,0.0,0.0,0.0,-61974.0,,1026,138361,0.0,-2936,-156514,-159450,123000,447.0,0.0,-314.0,0.0,-57641,206825,-9769.0,,-5941,-11280.0
2014-11-13,3,2014,155241.0,,-120000,47435,10823,2532,459,7.0,-6604.0,-712.0,-158.0,16433,-1,-371636,0.0,0.0,-6769.0,-2919,,1980.0,-251468,-76475,0,,0.0,0.0,135675,-6693,,,-400459,131064,332,0.0,21,11114,-19830,158.0,,2014年01月01日至2014年09月30日,413247,288978,-124269,245396,190202,221023,0.0,0.0,496000.0,0.0,-463011.0,85989,245396,0.0,-26169,-153445,-179614,173000,447.0,0.0,-314.0,0.0,-24373,288978,-11149.0,0.0,-35637,-23769.0
2015-03-26,4,2014,214088.0,,-189740,20896,7854,498,433,6.0,-8501.0,-712.0,-279.0,24059,63,-457377,-61000.0,0.0,-11172.0,-3039,,2056.0,-278112,-55390,0,,0.0,0.0,98646,63,,,-529289,179102,-232,0.0,159,14400,-17430,279.0,,2014年度,413247,404743,-8504,309844,280408,312630,0.0,0.0,496000.0,,-308946.0,240314,309844,0.0,-34222,-177080,-211302,243000,447.0,0.0,-314.0,0.0,2786,404743,-15071.0,,2537,-1531.0
2015-05-12,1,2015,,,-21669,-9015,3092,471,1467,64.0,-101.0,0.0,-36.0,7459,-19,-154550,0.0,0.0,-227.0,2597,-216.0,,-61831,-6032,0,0.0,,,31929,7524,,,-145433,48394,-274,0.0,161,3255,-4194,36.0,53409.0,2015年01月01日至2015年03月31日,404743,555523,150780,50048,77901,82113,0.0,0.0,0.0,240000.0,,218331,50048,0.0,-14786,-6558,-21344,0,32.0,9528.0,-6.0,-8415.0,32065,555523,-54.0,,11362,0.0
2015-08-12,2,2015,,,-68846,24047,6607,3418,1158,0.0,-101.0,0.0,-203.0,14935,-44,-256473,0.0,-766.0,-4544.0,234,-1182.0,,-131075,11128,0,0.0,,,-14575,10781,,,-253405,100374,-274,-23.0,278,6417,-8705,203.0,113614.0,2015年01月01日至2015年06月30日,404743,422531,17788,74651,63156,107435,0.0,,0.0,66927.0,,208081,74651,0.0,38319,-119149,-80830,210000,32.0,9528.0,-6.0,-8415.0,32784,422531,-35777.0,,8079,0.0
