date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應收款（增加）減少,其他應收款－關係人增加,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得投資性不動產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付公司債匯率影響數,應付帳款增加（減少）,應付短期票券增加,應收帳款（增加）減少,應收款項減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,概括承受他公司之淨現金收取數,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2013-05-14,1,2013,10516.0,1080411.0,,-2198325,-6537649,-59138,,,191233.0,86508,539745.0,,,498,-17021,,-170286.0,-119860,424975,229070,-1919725,,-199370,,,-217615.0,-117547,-5073,1456757.0,,-15936,0.0,-4907.0,-475068.0,,-104232,,525561,535594,119331,429011,-81435.0,266198,-7501.0,,-1645441,1121407,-3520964,-1025067,22354,-495598,69735,2299,,2013年01月01日至2013年03月31日,8309069,14912589,522049,-37.0,6603520,1589845,,,-361704,216772,,,1333415,,8381595,1589845,500.0,-2299,721454,-3174938,-2453484,15129985,13531,69892,-7856,-1689,,,,,,,-1373073,2128,,14912589,-154912,,-309974,,,0.0,-47212.0,,-272321,
2013-08-14,2,2013,,760969.0,,-2314707,-9963474,-634013,-1922790.0,,,118224,300127.0,0.0,,973,-34043,-140100.0,0.0,-324518,840440,380291,-4527504,-107290.0,-910824,0.0,-2071.0,-223834.0,-213440,-6763,-4375368.0,,102,0.0,-36932.0,-24170.0,,267493,,613386,1345251,-307915,-329358,,973809,-9316.0,,-12206900,2269558,-1014513,-1825559,45013,-650740,268534,3956,,2013年01月01日至2013年06月30日,8309069,19077321,-102986,-25.0,10768252,4784025,,,4899064,5972948,,6499996.0,-997485,,17695797,4784025,603.0,-286748,1353353,-925399,427954,24630025,50081,196192,-7243,-8134,,0.0,0.0,8.0,,,1188923,-8894,116382.0,19077321,-695634,,-490446,,,-113838.0,0.0,-44813.0,-307041,26312.0
2013-11-04,3,2013,,992372.0,,-6814707,-23341212,-95668,-1922790.0,,,-161918,101113.0,0.0,0.0,1050,1104,,-183898.0,-471952,1251357,250211,-6967026,-107290.0,-1293573,0.0,-2071.0,-409354.0,-238943,-8716,1636776.0,,9258,0.0,-27401.0,-72562.0,0.0,930988,,283361,-29468,817200,352504,,1430292,-9902.0,,-9042035,3385267,-3658182,-2437274,149641,-1066184,477129,3335974,,2013年01月01日至2013年09月30日,8309069,13255032,-580576,,4945963,6479352,,,7753011,6036476,-5492251.0,6499996.0,2039308,,5984776,6479352,603.0,-694567,511101,-1946349,-1435248,32659030,90923,435439,-7555,-24809,,0.0,0.0,,,,-442876,392354,116382.0,13255032,-1030384,,41277,-51064.0,,-456300.0,0.0,-29145.0,-744365,209181.0
2014-03-24,4,2013,,1710875.0,,-6814707,-35542745,17938,-1922790.0,,,-224048,25511.0,0.0,0.0,5811,2237,-104377.0,,-727788,1640205,430793,-8522673,-297321.0,-2904207,,-2071.0,-409624.0,-245836,-7355,0.0,,42458,0.0,-32506.0,,7667.0,-182005,,463723,1260077,152032,-31366,,-18029,-20073.0,,-11256192,4624877,76829,-3208725,176239,-1359274,737830,4058444,,2013年01月01日至2013年12月31日,8309069,19184742,-601824,,10875673,10277840,,,14781266,12695466,-5492251.0,6499996.0,1639455,,6919806,10277840,603.0,-700889,1202225,-495474,706751,47419563,123912,847208,-5776,-72474,379793.0,0.0,0.0,,1795671.0,,2417626,-126,116382.0,19184742,-1351200,,-47155,-68085.0,32500.0,-934542.0,0.0,-23718.0,-134793,30432.0
2014-05-13,1,2014,,981177.0,,-12577483,-12734607,-282429,,,,208054,-13927.0,,,1079,1460,0.0,,-129874,385203,128350,-1402773,,-29708,,,0.0,-4503,-479,-452925.0,,-8804,,-7650.0,0.0,20447.0,-545481,,467137,169718,1241000,104873,,-875106,-172.0,,-978828,1198341,-3263387,-1042631,42243,-488867,119420,25134,,2014年01月01日至2014年03月31日,19184742,7387787,154735,,-11796955,2014079,,,-2371186,-1555637,,,1099701,,-8575291,2014079,,-1271,286695,-4837588,-4550893,15140996,126628,763406,-4092,-104530,,,,,,,-3569716,3509,356459.0,7387787,-471236,,-240496,-17021.0,,-723321.0,-16131.0,-76572.0,-184112,130661.0
2014-08-08,2,2014,,-1052123.0,,-12759025,-54774860,14363,0.0,,,-178707,0.0,-105049.0,,1335,3059,,-40270.0,-274778,811079,-25037,-1288476,0.0,-1484100,,0.0,0.0,-4503,-5641,-688426.0,,38585,7984.0,0.0,0.0,6126.0,-176919,-2772564.0,204833,-159237,3697900,-619518,,-542374,-342.0,-557422.0,-5146190,2456096,133099,-2519030,102364,-684430,248770,69263,,2014年01月01日至2014年06月30日,19184742,7918436,-525605,,-11266306,6895906,,,2144481,3706896,,8000000.0,5028983,,-8239560,6895906,,-708986,-153046,-1983841,-2136887,43700307,147286,979804,-11068,-98602,,3239.0,,0.0,,,-3189010,29179,356480.0,7918436,-1196018,,-175602,-34043.0,,-1035800.0,-76954.0,-76572.0,-613785,11397.0
2014-11-11,3,2014,,472575.0,,-18130035,-33108733,49313,0.0,,,-127356,0.0,-79665.0,-2794.0,0,3851,,-58675.0,-395171,1246132,98513,-2674915,-3307.0,-2626883,,-127383.0,0.0,-214491,-9491,,,41105,,-13049.0,0.0,748.0,-441353,-2772564.0,442817,-2652782,7556900,-907961,,443099,-2102.0,-662777.0,-6717004,3951921,-13676,-3608646,227477,-1118264,384373,3665237,,2014年01月01日至2014年09月30日,19184742,8000913,132463,,-11183829,9614314,,,7324312,5976882,-5931673.0,8000000.0,7473667,,-11889650,9614314,0.0,-720708,-2587110,-1522897,-4110007,23597195,334142,1246738,-9483,-97016,,10150.0,,,181721.0,,-3637432,-4676,356480.0,8000913,-1583916,,-286204,-51064.0,,-1254257.0,-73094.0,-76572.0,-524963,123514.0
2015-03-20,4,2014,,1238612.0,,-18148889,-46917171,174482,0.0,,,-248092,,-118554.0,,-19566,4995,,-74879.0,-477369,1667598,98513,-4166990,-3307.0,-7492054,,-128219.0,0.0,-397688,-14741,,,156678,,-36429.0,-8091.0,,-763209,-2848728.0,970241,-3836677,8737700,-787811,,-148326,-3836.0,-1426537.0,-12619151,5628378,448181,-4350273,313519,-1460549,504217,3999751,,2014年度,19184742,12739834,391654,,-6444908,13719739,,,10642592,9658770,-5931673.0,8000000.0,7976022,,-4566862,13719739,0.0,-727018,-3966227,-1333354,-5299581,43127324,61718,1309730,-9249,-114480,0.0,10150.0,-20903.0,,1153514.0,,-4060969,23426,356480.0,12739834,-2059597,,-1034483,-68086.0,51387.0,-1255192.0,-65434.0,-76572.0,-8579,-81054.0
2015-05-13,1,2015,,,,-2500000,-2198727,-206117,,,,122042,,-19655.0,,97678,2366,-535.0,,-99019,412287,-161410,-892991,,-1192850,,-550.0,,-795,-25659,,-2723597.0,-29608,6343.0,0.0,,4905.0,-446797,,-150080,-1499208,3793800,639337,,1121820,,-162697.0,-3612811,1374038,14703,-960033,82172,-407354,78641,1292,69294.0,2015年01月01日至2015年03月31日,12739834,10953430,-273459,,-1786404,1844700,,-25946.0,349763,915805,,,443467,,1638054,1844700,,-1292,-1480760,482571,-998189,2112826,12970,1108613,-7442,-157608,,,,,,,-928895,5466,0.0,10953430,-238621,,21598,-17021.0,,0.0,18071.0,0.0,-762417,55949.0
2015-08-11,2,2015,,,,-2500000,-8924638,-274024,,,,210550,-44220.0,,,95633,3025,,-32420.0,-218501,826712,-277396,-1487505,,-2007775,,-550.0,,-120337,-15224,,-3313326.0,-28709,,15120.0,-5598.0,,-156505,0.0,-338752,-533582,652400,877213,,1568399,,-415503.0,-3308090,2711982,9493,-2039067,170799,-878829,171405,44931,-949131.0,2015年01月01日至2015年06月30日,12739834,11887636,-191197,,-852198,5126208,,-26459.0,3828764,5149212,,0.0,670245,,-1095476,5126208,,-632936,-617025,1589160,972135,9703687,35493,3543519,-13282,-574907,,0.0,,,,,23004,2681,0.0,11887636,-657955,,-228256,-34042.0,27000.0,-668070.0,-7539.0,0.0,-645966,-25623.0
2015-11-11,3,2015,,,,-2500000,-10252732,-384573,,,,341883,,-15196.0,0.0,95431,3724,-60271.0,,-300141,1243021,409394,-2270889,0.0,-2045453,,-2126.0,,-120178,-23941,,,-23886,,-24205.0,-1202598.0,0.0,918377,0.0,523136,-1470904,4462100,893883,,2237105,,-486756.0,-1205742,4060164,-20719,-2417969,264804,-1083287,245038,3488889,1557627.0,2015年01月01日至2015年09月30日,12739834,20913228,784684,,8173394,5089087,,-26026.0,10403459,8614036,-7395159.0,0.0,0,-882437.0,-1433717,5089087,,-668685,-1379824,3347146,1967322,15843101,121512,3714049,-19840,-598926,,0.0,,,,588722.0,3524949,8498,0.0,20913228,-861217,,-820224,-51063.0,27000.0,-669189.0,-12479.0,0.0,-638810,159671.0
2016-03-25,4,2015,,,28713.0,-2500000,-33553827,-191261,,,,354728,,-12428.0,0.0,95928,4502,-92625.0,,-397031,1647870,39437,-3479729,0.0,-2046066,,-2126.0,,-129379,-51689,,,216598,,-911.0,-1127478.0,,2035814,0.0,503840,-1362084,202100,1815562,,1217938,,-1278760.0,-2433174,5400304,-20720,-2986137,339259,-1491715,366274,3798693,1511103.0,2015年度,12739834,11024089,139145,,-1715745,6814158,0.0,-4452.0,13665234,12208113,-7395159.0,0.0,0,-3571459.0,-12987242,6814158,,-678148,-1393637,5276489,3882852,34512584,78816,3719317,-7151,-599049,,58716.0,283.0,,,511376.0,5393955,11390,0.0,11024089,-1216131,3052.0,-826151,-68085.0,65374.0,-668142.0,-33645.0,0.0,64428,29594.0
2016-05-10,1,2016,,,,-1386383,-16440214,-60243,,,,24018,,-72678.0,-2890.0,0,901,-10191.0,,-67983,418599,-164499,-768689,,-342048,,-6880.0,,0,-1717,,0.0,3146,0.0,-900.0,-4132.0,0.0,289104,,-247360,-908561,1956200,778070,,1791249,,-133839.0,390839,1345772,0,55695,75526,-329441,68042,1275,1664035.0,2016年01月01日至2016年03月31日,11024089,10388866,83111,,-635223,282550,,-2428.0,3170445,3562862,,,0,-1633472.0,-4032008,282550,,-1275,-794440,2410717,1616277,13545439,8546,0,-418,0,,,,,,1518840.0,3280312,1001,,10388866,-132293,,165473,-17021.0,,,-33313.0,,-411481,132569.0
2016-08-11,2,2016,,,,-13894347,-32328729,58791,,489200.0,,1117835,,-79970.0,-6418.0,0,1554,-596367.0,,-120721,815760,-173585,-639034,,-1581356,,-6820.0,,0,-4430,,0.0,1887,2800.0,,-43213.0,,358068,,-159220,-943171,5665900,5937,,2449681,,-154179.0,1936543,2672679,-222,-277696,132072,-760304,149022,25243,3064761.0,2016年01月01日至2016年06月30日,11024089,7509140,442666,,-3514949,1946106,,-8203.0,6663586,7878024,,,7937753,,-11941493,1946106,,-685176,-936799,3803956,2867157,20903098,21856,953346,-7191,-72413,,,,,,3349779.0,5931918,-5615,298893.0,7509140,-628399,,186736,-34042.0,24000.0,-147998.0,,-34890.0,-186134,54232.0
2016-11-11,3,2016,,,,-13894347,-34035089,-112638,,528436.0,,1204915,,-99075.0,-6770.0,0,2626,-612789.0,,-154054,1199398,-365779,-995178,,-2644572,,-8281.0,,-79806,-58404,,,2295,2300.0,0.0,-53220.0,,936074,,-161965,-1567657,2874900,-89983,,2711056,,-203413.0,-181978,4057187,-27992,-652375,208083,-1087432,186908,2688137,4427925.0,2016年01月01日至2016年09月30日,11024089,5620949,603956,,-5403140,3324612,,-11773.0,11684573,10785177,-3697567.0,6000000.0,4735137,0.0,-16539956,3324612,,-774600,-1495030,4527670,3032640,21720349,49821,2357198,-10297,-168265,,,,,,1341587.0,7460565,-2042,298893.0,5620949,-888217,,170499,-51064.0,52302.0,-146564.0,-42345.0,,-93762,137506.0
