date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加
2013-04-25,1,2013,56153.0,-88561.0,-115987,-27750,-86.0,7528,-405,,-315.0,442,-325,6586,7358,-15576,,0,-41523.0,,-13010,,,,,18,,-67229,,182120,-2525,0.0,,5903.0,34089,-1964,-4825,,-70406,31954,,14854,-6503,685,,2013年01月01日至2013年03月31日,743308,1023818,,,280510,56054,,175544,185099,435000.0,,306814,-485239,168014,56054,1667,81980,-9088,72892,0.0,0,,,,0,,,,,,,129045,4941,1023818,-3737,-797.0,1772,,,59082,
2013-08-08,2,2013,114067.0,-133561.0,-28136,-35305,8.0,11057,291,,-804.0,896,-1443,12472,8783,-30080,,0,-162957.0,,-21709,-94200.0,,,,-1353,,-71748,,410229,-1614,0.0,,3914.0,-436596,-4404,-2708,-1016.0,-95315,64930,,30106,-14044,1500,,2013年01月01日至2013年06月30日,742913,902763,,,159850,264356,,216291,259856,435000.0,,498386,-769734,30091,264356,3332,406532,-525099,-118567,0.0,127,,,192841.0,-31,,,,,22820.0,,-4500,12098,902763,-31021,-3305.0,5673,1437.0,,25363,
2013-10-30,3,2013,194488.0,-178561.0,-3324,-15423,98.0,25391,-122,0.0,,1283,-2992,16159,2949,-40544,,0,-162957.0,,-27728,-94200.0,,,2422.0,-779,,-195436,,429631,-487,0.0,,1954.0,-310351,-4026,-9557,-1320.0,22017,98479,,48422,-17381,2757,,2013年01月01日至2013年09月30日,742913,1116685,,,373772,415199,,496608,557961,435000.0,-171000.0,704436,-940099,-147802,415199,4800,467253,-518979,-51726,0.0,164,,,253466.0,-67,,,,,94595.0,,142762,15408,1116685,-46729,-3471.0,7943,23932.0,,15838,
2014-03-12,4,2013,272450.0,-236061.0,6705,-15869,98.0,-2473,-1692,0.0,,1714,-3961,19174,7790,-61473,,0,-162957.0,,-30272,-94200.0,,,7216.0,-8806,,-62047,,213151,-1361,0.0,,8524.0,-135377,-160,-38537,-1560.0,-9471,133121,,61580,-20117,2657,,2013年01月01日至2013年12月31日,742913,1177682,,,434769,530278,,756757,841563,435000.0,-171000.0,1040254,-1395716,-320307,530278,5642,239410,-200575,38835,0.0,176,,,253466.0,-72,,,,,94595.0,,311285,16424,1177682,-67346,-3471.0,10244,48479.0,,53009,
2014-04-28,1,2014,74299.0,-97500.0,32716,19041,0.0,2410,1031,,,442,-630,2577,16324,-16471,,-224070,0.0,,-17114,,,-737.0,1990.0,-1768,,-140744,,138748,4490,,,41.0,33450,-243,5070,-109.0,-259326,36355,,19424,-3144,955,,2014年01月01日至2014年03月31日,1177682,1213474,-1593.0,,35792,137844,,255087,266663,0.0,,147519,-28302,23707,137844,710,178417,-123897,54520,,97,,,,-78,,,,,0.0,,128819,121,1213474,-9387,0.0,1581,16248.0,,-41502,
2014-07-29,2,2014,141535.0,-135000.0,34951,-11013,0.0,-457,1630,,,879,-2658,5894,2111,-91024,-15075.0,-224070,0.0,,-26143,-14986.0,,2510.0,4417.0,-1845,,-366698,,626157,1158,,,401.0,-422608,-1399,4925,-114.0,-372601,73994,,39140,-6018,2860,,2014年01月01日至2014年06月30日,1177682,997338,-803.0,,-180344,403897,,263229,335659,0.0,,237741,-180241,-73083,403897,1420,662707,-872480,-209773,,323,,,0.0,-275,,,219.0,-15.0,0.0,,-68238,611,997338,-69272,0.0,3158,18291.0,,-77317,
2014-10-30,3,2014,219190.0,-197500.0,77161,-19966,0.0,-4394,2646,,,1315,-4300,9152,5224,-142648,-15120.0,-224070,0.0,,-33061,-15234.0,,2972.0,11781.0,-2986,,-540686,,430703,1717,99842.0,,0.0,-245866,-484,-3464,-64.0,-432435,113559,,58836,-8416,3595,,2014年01月01日至2014年09月30日,1177682,1078749,-7577.0,,-98933,607878,,356621,472913,0.0,-256883.0,722836,-408419,-28343,607878,2012,506537,-860692,-354155,,420,45.0,,0.0,-341,-45.0,,219.0,-15.0,0.0,,-134965,1414,1078749,-111471,0.0,4697,38925.0,,-52872,
2015-03-05,4,2014,306398.0,-207500.0,142425,-3954,0.0,15652,-2584,,,1765,-6401,15033,26770,-158817,-15120.0,-15078,0.0,,-38805,-15622.0,,2794.0,16087.0,-3259,,-413037,-224070.0,144111,2111,200000.0,-100000.0,0.0,-255928,611,-16732,-667.0,-453431,155121,,79043,-15560,8310,,2014年度,1177682,1183185,-14945.0,,5503,755073,,497833,647690,0.0,-256883.0,1470139,-1187512,-65669,755073,2224,303436,-717217,-413781,,406,45.0,15094.0,0.0,-254,-61.0,,220.0,-15.0,15220.0,,-107383,-196,1183185,-142607,0.0,6205,65889.0,,-25593,-13645.0
2015-04-29,1,2015,,0.0,17353,35890,,3015,3763,,,459,-2988,5388,-15793,-44833,,-10000,,,-16188,,-116781.0,-1914.0,2986.0,-3962,,-291801,0.0,460029,820,316.0,,,83526,316,18355,,-158315,45515,,19685,-5266,2988,67887.0,2015年01月01日至2015年03月31日,1183185,1637787,-6905.0,,454602,247247,-234.0,580751,602821,,,767584,-722927,47959,247247,84,482756,-195069,287687,,12,23702.0,10002.0,,34,-8629.0,,,,,,355574,1773,1637787,-19792,,920,16238.0,,-45118,-267.0
2015-08-03,2,2015,,0.0,62051,27619,,4626,3996,,,910,-5395,9608,-24419,-97846,0.0,-47560,,,-35751,,-147610.0,-1463.0,10676.0,62,,-434252,0.0,511191,3795,,-100000.0,,-67510,376,57799,,-296667,90416,,35690,-10265,5395,144359.0,2015年01月01日至2015年06月30日,1183185,1630416,-9677.0,,447231,462958,-335.0,599386,712904,,,960536,-702281,168931,462958,167,584973,-479386,105587,,5936,24011.0,47570.0,,-1497,-8946.0,,0.0,0.0,,,249946,3645,1630416,-108648,,5886,28660.0,,-67414,-45479.0
