date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付款項（增加）減少
2013-05-10,1,2013,11852.0,-19060,-9873,,,,,,-30,7172,-12,0.0,,-2043,1379,4835,-12118,,0.0,,-6428.0,-107,,,,0.0,-1351.0,,3144,,-14195,,,15329,-14251,34710,-25182,77,-1435,1962,,,2013年01月01日至2013年03月31日,1060194,1257507,197313,218629,225789,227267,,,,-19060,218629,-16896,13682,-3214,,371,,,,2911,,3420.0,,8638,1257507,-43,,,,-4749
2013-08-09,2,2013,80754.0,-36640,37623,,,,,,-400,6117,-29,0.0,-6387.0,-4106,2749,5918,-33075,-150000.0,0.0,0.0,-11348.0,-107,,,49.0,0.0,-561.0,,2016,,-6405,,,14137,-160366,68008,16045,154,-2700,4152,,,2013年01月01日至2013年06月30日,1060194,1225076,164882,308886,355921,439726,,,,-36591,308886,37335,12751,50086,,573,,,,5607,,30000.0,,130840,1225076,-81105,-1316.0,,,-2973
2013-11-07,3,2013,143424.0,-57180,46526,-400000.0,,,,,-239,5227,-45,,-11219.0,-6949,4138,3258,-51014,-150000.0,0.0,,-17849.0,-708,-16562.0,,,-17.0,-1993.0,0.0,1106,,-5838,,,26451,-507941,97446,48780,279,-4372,6529,122815.0,,2013年01月01日至2013年09月30日,1060194,611454,-448740,431035,505093,647540,-441953.0,,,-449150,431035,45915,27166,73081,50000.0,841,,0.0,,9863,,0.0,,216505,611454,-138075,1086.0,,,-107
2014-03-20,4,2013,194367.0,-74760,43287,-400000.0,,,,,-6353,1515,-66,,-19281.0,-11023,5396,43937,-94106,-150000.0,0.0,,-28519.0,-1614,-190249.0,,0.0,-18.0,-26748.0,0.0,367,-15081.0,2,20399.0,,5814,-756773,126665,83650,421,-5655,10444,122815.0,,2013年01月01日至2013年12月31日,1045253,428827,-616426,509149,613141,757192,-441953.0,,,-516731,509149,29723,23953,53676,,1204,,0.0,,12127,0.0,,,248043,428827,-138396,-3588.0,,,3792
2014-05-08,1,2014,-21873.0,-17580,-55768,,,,,,4486,5651,-63,,,-4172,1094,4119,-41238,,,,0.0,-107,,,,,0.0,9632.0,3779,11587.0,-2,-4234.0,-12.0,936,150443,24705,-45360,169,-1096,5318,,,2014年01月01日至2014年03月31日,428827,755467,326640,251824,189658,191111,,,,-17580,251824,-38532,-308,-38840,,355,,,,570,,176483.0,,-60713,755467,-357,1121.0,,,-5200
2014-08-12,2,2014,30960.0,-35160,-7317,,,-3758.0,-27.0,,1639,4209,-114,,0.0,-8395,2107,1802,-177262,0.0,,,0.0,-107,0.0,,127.0,,0.0,12633.0,4932,,23984,,,5255,69679,50317,-25512,338,-2117,7834,4396.0,,2014年01月01日至2014年06月30日,428827,809360,380533,348713,344085,402712,,,,-35033,348713,20876,2163,23039,,678,,,,3536,,221507.0,,53999,809360,-56510,6106.0,,2463.0,-5764
2014-11-11,3,2014,3489.0,-52740,-18427,300000.0,,-250.0,,-1984.0,1724,4788,-161,,0.0,-10566,3163,1859,-217851,0.0,,,0.0,-416,0.0,,,253.0,10697.0,,5878,,16394,,,12343,297955,76031,-68967,519,-3175,11311,142296.0,,2014年01月01日至2014年09月30日,428827,554187,125360,555045,467303,579324,-589270.0,,,-641757,555045,2755,18035,20790,0.0,1427,,,,6527,,52475.0,,24279,554187,-108846,-5681.0,,2463.0,-1499
2015-03-26,4,2014,-4725.0,-70640,-12555,300000.0,,4635.0,,-4946.0,2110,3194,-1266,,0.0,-12730,4026,1986,-235834,0.0,,,0.0,-416,35399.0,,,236.0,14442.0,,187,,22493,,,4719,266115,101897,-90276,704,-4035,13454,142296.0,,2014年度,428827,718488,289661,758622,681234,777033,-589270.0,,,-659674,758622,13132,10004,23136,,1720,,,,9313,,,,18411,718488,-91764,-20122.0,,2463.0,-381
2015-05-07,1,2015,,-18060,-47282,,,-12271.0,,,290,2159,-35,,,-2268,762,-35,-15349,,,,,-106,,68019.0,,,2220.0,,3977,,778,,,-2915,110483,24528,-136026,186,-765,2120,,-109498.0,2015年01月01日至2015年03月31日,718488,1038317,319829,400894,227441,228258,,,,-18060,400894,-44345,-18793,-63138,,392,1410.0,51777.0,-1410.0,2880,-20401.0,,,-172636,1038317,-52,22251.0,,,-7839
2015-08-12,2,2015,,-35640,-13750,,,-471.0,-1.0,-2174.0,332,6860,-71,,,-5383,1446,-80,-25798,,,,,-106,,,0.0,,,2276.0,5156,,-11814,,,-2512,402455,47529,-219879,372,-1454,5352,0.0,-249998.0,2015年01月01日至2015年06月30日,718488,1454016,735528,703723,368793,431115,,,,-35640,703723,-18704,-3906,-22610,,969,1410.0,293482.0,-1410.0,3781,-102340.0,,127044.0,-272608,1454016,-60868,25886.0,,0.0,-6339
