date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工購買庫藏股,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,按攤銷後成本衡量之金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
1925-05-13,1,2014,,12661.0,-10897,-22821,,-800,412,-301,-6520,,-407.0,,,-434.0,-686,-843,1266,-1802,-5826,,,-1124,,,1326,,,,-58463,,,8248,-21395,-3703,34748,11109,-3402,-365.0,-5958,11777,-7801.0,0.0,-885,1592,-1253,761,,,2014年01月01日至2014年03月31日,294714,260637,-501,97.0,-34077,6604,,-57519,-53918,,40620,31202,6604,,-40302,-32881,-73183,,39,74,,,,,626.0,,-60522,25,260637,-2348,-24,1886.0,0.0,-532.0,,-2164.0,,10.0
2013-05-15,1,2013,,22297.0,-10390,-15228,,1494,-5807,-3172,3711,,,-39.0,,-395.0,-653,-153,1215,5672,-8403,,,0,-36634.0,,2412,,406.0,,-30987,,0.0,31288,-18617,255,15250,-9011,651,-793.0,-38938,13430,-57000.0,,-2068,1219,-1005,158,5930.0,,2013年01月01日至2013年03月31日,253729,220323,4268,135.0,-33406,20165,,-55554,-49314,,65843,55414,20165,0.0,-9716,-82060,-91776,0.0,0,4,,,,,,,-69479,-5362,220323,-5235,-62,,2550.0,0.0,,-361.0,,1913.0
2013-08-14,2,2013,,34333.0,-21219,-14899,,-4570,-17,3218,6056,,,-103.0,,-684.0,-1323,-868,2338,8611,-20552,,,-260,-49722.0,,1996,0.0,678.0,,-13473,,0.0,14608,-4952,-388,-15202,-23412,46,-1542.0,-64009,26974,-12800.0,,-5728,2546,-2201,680,5930.0,,2013年01月01日至2013年06月30日,253729,255179,4461,79.0,1450,60089,,8313,19507,,69857,48535,60089,0.0,-11962,-62953,-74915,0.0,408,186,,,193.0,-72.0,,,-40582,-5284,255179,-9673,-104,,4301.0,-453.0,,419.0,,-2723.0
2013-11-13,3,2013,5198.0,65866.0,-32070,-12979,,-4569,-228,-3659,7353,,,-177.0,,-6530.0,-1997,-1845,3637,10649,-20781,,,-389,-83549.0,,4656,0.0,553.0,,-25053,,0.0,29859,1772,-822,-23145,-24520,-1007,-2306.0,-133828,39618,4300.0,,-11976,3868,-3362,1451,5930.0,,2013年01月01日至2013年09月30日,253729,230362,-475,-17.0,-23367,65284,,54022,67918,-51231.0,129268,45790,65284,0.0,8552,-71784,-63232,0.0,473,1911,,,193.0,-72.0,,,2634,-5104,230362,-11985,-123,0.0,28112.0,-4629.0,-9229.0,-4915.0,-20499.0,1791.0
2014-08-13,2,2014,,21061.0,-21816,-22798,,-2059,934,514,-27446,,,-471.0,-15379.0,,-1342,-1638,2581,-4387,-6252,-10000.0,,-1124,0.0,,1760,0.0,,0.0,-68350,,0.0,26495,-10802,-4632,17548,-9768,2641,-1069.0,13640,23084,2356.0,,-3584,2525,-2596,1713,4007.0,,2014年01月01日至2014年06月30日,294714,280911,-1759,52.0,-13803,25417,,-60255,-48830,,57600,37199,25417,,-4670,-90638,-95308,,54,92,,,0.0,0.0,42334.0,,-74247,-40,280911,-10542,-61,1886.0,0.0,-649.0,,-6494.0,,7662.0
2014-11-12,3,2014,0.0,19453.0,-32061,-9071,,-14853,-301,1365,-34002,,,-517.0,-4170.0,,-2023,-2544,3823,2322,-9056,-10000.0,-5800.0,-1558,0.0,,2321,,,,-123364,,,47860,17563,-6419,-27073,-35811,-1851,-1725.0,13171,34342,2355.0,,-9314,5067,-3821,2621,9118.0,,2014年01月01日至2014年09月30日,294714,201582,-984,49.0,-93132,71704,,-96487,-77374,-45229.0,63783,-12138,71704,,73834,-242365,-168531,,56,158,-13800.0,,0.0,0.0,42334.0,,-149078,-85,201582,-17913,-62,1886.0,0.0,2420.0,0.0,-7465.0,-7753.0,24346.0
2015-03-31,4,2013,,83105.0,-42947,1950,,280,-400,-5184,3971,,138.0,,,-6185.0,-2668,-2428,4912,19959,-53944,,-9229.0,-481,-41774.0,,2317,0.0,0.0,,1480,,0.0,17749,11386,5479,-30622,-8026,-4406,-3067.0,-102719,51151,2300.0,,-16597,6173,-4901,2298,5930.0,,2013年01月01日至2013年12月31日,258387,294714,1611,6.0,36327,77161,,120195,145364,-51231.0,92932,-1108,77161,0.0,23751,-38653,-14902,0.0,545,1856,,0.0,121.0,,0.0,,68203,-5072,294714,-20268,-127,,36899.0,,,-3230.0,,510.0
2015-03-31,4,2014,,29751.0,-39227,802,7.0,498,-1049,6300,3010,,295.0,,-3421.0,,-4278,-3232,5060,10796,-22408,-10000.0,-5800.0,-1816,,,2501,,,,-39984,,,-20219,11927,-3000,-32223,-41901,-5491,-2755.0,19312,45836,2356.0,0.0,-13124,6994,-5003,3338,9118.0,,2014年度,294714,254133,2505,373.0,-40581,112061,,-646,23067,-45229.0,12232,-70043,112061,,-2540,-116205,-118745,,24221,-15223,,,0.0,,42334.0,,-88994,-4,254133,-22048,-64,1886.0,288.0,2115.0,,-1421.0,-12916.0,4402.0
2015-05-13,1,2015,,,-3750,-21185,,35,791,-3467,-2319,,-79.0,,0.0,294.0,-1098,-462,1067,-3845,-5831,,,-500,,,1542,,,,8456,,,29074,-29632,-1572,3993,23620,1133,,-6037,11547,0.0,,-2587,1834,-1082,451,,18061.0,2015年01月01日至2015年03月31日,254133,252363,5991,-348.0,-1770,20987,-676.0,42393,44520,,-30452,-34281,20987,,-27418,32890,5472,,0,0,,,,,,0.0,23533,41,252363,-1496,-2,0.0,,577.0,,-2819.0,0.0,-1.0
2015-08-12,2,2015,,,-7500,-3566,3.0,-5314,1162,-5453,-3050,-31623.0,-155.0,,268.0,,-2178,-707,1562,-12005,-8193,0.0,,-500,,,914,,,,-23535,,,92010,-11367,-3982,-2639,11152,-8356,,-4257,22971,63.0,,-5313,3686,-1699,734,4156.0,25416.0,2015年01月01日至2015年06月30日,254133,244166,4617,-421.0,-9967,61930,-7030.0,87424,90415,,-73474,-81129,61930,,67844,-64775,3069,,12,-7,,,,,,0.0,28485,570,244166,-2026,-66,0.0,,358.0,,-2635.0,,6659.0
