date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融負債增加（減少）,其他金融資產增加,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少,預付設備款增加
2013-08-07,2,2013,45245,-300000,-27481,-10665,769,-4322,910,,,,-1666,,,,2501,20855,-18748,,,,587,-43439,5466,-8384,-3859,-150,-59044,45428,,,-2715,,,2013年01月01日至2013年06月30日,305763,287869,-17894,232206,145787,193246,,,,174508,,-125492,232206,-28720,-55485,-84205,,67,85,-38960,287869,-44744,-3356,8616,-40363
2013-11-08,3,2013,69004,-300000,-14661,1721,-3530,1483,1364,,,,1127,-58350,,,3954,21277,-25304,,,,317,-66181,56339,-8300,-63537,-75,-83524,69108,,,-4331,,,2013年01月01日至2013年09月30日,305763,351891,46128,345956,233867,317218,0,,,174508,0,-125492,345956,31212,-128954,-97742,,130,114,-28738,351891,-79020,-4489,-3492,
2014-03-18,4,2013,95657,-300000,3855,-3348,3548,-2228,1826,,,,388,-35186,,,4941,36564,-92913,,,,103,-55065,25201,-8128,-64255,0,-125636,92613,,,-5318,,,2013年01月01日至2013年12月31日,305763,493268,187505,456770,358087,448859,487055,-143073,,0,-125492,-81510,456770,26302,-129870,-103568,0,2463,720,-7911,493268,-85454,-2720,-5362,
2014-04-29,1,2014,27816,0,-25673,-2963,-770,665,441,,-1860,,3081,,4890,,0,8619,-42703,-25000,,,-194,42982,-16107,-343,-52876,,-61605,24417,,,0,,,2014年01月01日至2014年03月31日,493268,572390,79122,166691,132108,144583,,,,0,,0,166691,-44312,-5612,-49924,,1208,323,-22108,572390,-12475,3270,3499,
2014-08-06,2,2014,53640,0,-53,1185,-4985,1121,860,,671,,3081,-6249,,,0,-6378,-63572,-25000,,,2065,-38581,23401,560,-12864,,-92787,49105,,,0,,,2014年01月01日至2014年06月30日,493268,665963,172695,302882,271860,339030,0,,,0,0,0,302882,20454,-37946,-17492,,2034,667,36148,665963,-67170,1803,8112,
2014-10-29,3,2014,79248,0,19677,13576,-8178,3511,1274,,244,,954,,,,0,-8691,-132627,-25000,,,3139,23943,1123,-340,-116461,,-172206,74988,,,0,,,2014年01月01日至2014年09月30日,493268,473815,-19453,482802,412412,509641,,-250968,,0,,-250968,482802,13800,-66209,-52409,,2472,667,26839,473815,-97229,454,8268,-17051
2015-05-04,1,2015,,,-46014,10670,-14613,-994,475,,-3482,,8939,10507,,,67,-55530,-83417,-140246,,,-831,45961,2722,-1264,55924,,-211688,27473,,,,,11806,2015年01月01日至2015年03月31日,528517,634819,106302,179602,223520,238135,0,,,150000,0,150000,179602,-62176,108903,46727,,1468,288,58533,634819,-14615,-15191,-11597,
2015-08-06,2,2015,,,-33947,10591,12365,-2191,947,0,,-133714,,-22556,,,316,-50865,-108621,-140246,,,893,52086,-24461,-1260,2779,,-402057,58020,11716,22,-315,,49521,2015年01月01日至2015年06月30日,528517,727716,199199,347419,352121,424403,0,,300000,0,0,300000,347419,-34640,62103,27463,,3080,1288,76984,727716,-71967,-10996,-1184,
2015-11-09,3,2015,,,-25818,17450,-12390,1040,1421,,,-199322,,-86066,,,2883,-6549,-178711,-140246,,,1953,8588,20772,5569,-81683,,-602160,90599,-159,-15482,-315,,85379,2015年01月01日至2015年09月30日,528517,654297,125780,600239,475722,602204,209735,-250968,300000,0,0,258767,600239,-10605,-72809,-83414,,2185,1451,1965,654297,-126167,-11507,-2722,
2016-03-14,4,2015,,,-7297,-4834,-8431,248,1969,,,-45683,,5595,,-8834,3580,-30963,-408168,-140246,0,0,-2650,-74279,84345,3084,8213,,-585679,123818,217,-31920,-559,8834,105429,2015年度,528517,943156,414639,824100,772514,894405,209735,-250968,300000,0,0,258767,824100,73887,-109011,-35124,,2823,2884,70305,943156,-130166,-13369,-6439,
2016-08-05,2,2016,,,-38262,23078,-15420,-416,-20267,,,1866,,,-1802,0,785,-43491,-194476,0,0,0,560,23709,-49871,-2413,-88347,,-194412,70663,0,-1956,-785,0,75449,2016年01月01日至2016年06月30日,943156,1013911,70755,482592,308658,395584,0,0,0,0,0,0,482592,-126233,-36224,-162457,,0,916,-87008,1013911,-86141,2525,7708,
2016-11-04,3,2016,,,-6034,4621,-17003,1096,-19912,,,45683,,,8402,0,927,-88431,-317920,-12000,0,0,1042,39007,-59956,-3211,-64201,,-275668,105114,0,913,-351,0,108855,2016年01月01日至2016年09月30日,943156,1120426,177270,705403,549742,690342,0,-338373,0,330000,0,-8373,705403,-106116,-17800,-123916,,167,1328,-15061,1120426,-140249,444,764,
