date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得無形資產,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-14,1,2013,-910.0,-737,65085,,31,-91.0,18629,22481,0.0,,1312.0,-149750.0,,-11,3654,,,0.0,,,,200000.0,0.0,589.0,170409,-168053,-20580,,-3091,,-45277,-9020,19901,396,,92,-221,11,8717.0,,2013年01月01日至2013年03月31日,188740,398287,209547,339397,390676,386746,,-1938,269615,-708710,-201030,339397,,59933,-11674,48259,40740,,,,133.0,18000.0,47349,1976,398287,-4577,-5174,0.0,-457,,165967
2013-08-12,2,2013,1416.0,-1192,75448,,31,-124.0,16478,9663,,-188537.0,,,,-439,7913,,-95.0,-1250.0,,,,200000.0,0.0,589.0,1058482,-212927,-25200,,65343,9240.0,-35264,10034,-171293,765,,134,-691,439,8736.0,,2013年01月01日至2013年06月30日,188740,432792,244052,1067219,2138358,2152753,,-3876,349615,-2308300,-1723013,1067219,-19.0,-90,1084208,1084118,40740,,,,133.0,18000.0,1085534,1638,432792,-22879,-12910,5839.0,41386,,69890
2013-11-12,3,2013,-2453.0,-1937,54485,1070.0,27,-171.0,9293,12071,,-188537.0,,-170600.0,,-471,8071,,-190.0,-1250.0,,,,200000.0,,406.0,929530,-234726,-25200,,34311,20790.0,-7630,-2038,-171571,1145,,151,-906,471,9247.0,,2013年01月01日至2013年09月30日,188740,388901,200161,1353650,2135394,2158953,,-5780,349615,-3330300,-1763662,1353650,-530.0,5112,802644,807756,1024740,,,0.0,133.0,18000.0,805303,1134,388901,-32371,-16791,5839.0,41455,,143955
2014-03-26,4,2013,-1980.0,-54583,76019,,-338,,7934,12599,,-189967.0,,-169220.0,0.0,-1111,8234,,-190.0,-1250.0,,0.0,,200000.0,,718.0,490217,-259562,-17010,,53090,13860.0,-14080,6690,-176159,1525,0.0,167,-1064,1111,9246.0,,2013年01月01日至2013年12月31日,188740,290874,102134,1399634,1815069,1839939,-247726.0,-7636,597341,-3499626,-1536776,1399634,-530.0,79236,363049,442285,1475454,,,,134.0,18000.0,440305,656,290874,-34163,-16238,5839.0,37181,-3470.0,204249
2014-05-07,1,2014,2035.0,-186608,9926,15.0,361,0.0,-1056,65,,,0.0,-1090.0,,-7,422,,,,,,,0.0,,95.0,-463930,-46048,-8190,,-341,-3108.0,16040,1960,190,519,,17,-156,7,0.0,,2014年01月01日至2014年03月31日,290874,191788,-99086,169994,-365864,-363203,,-1738,453000,-173066,266588,169994,,-86595,-448637,-535232,175000,95.0,,-95.0,0.0,0.0,-533197,-242,191788,-2512,1179,,-2043,,-37551
2014-08-12,2,2014,-7298.0,-225220,150393,,369,0.0,-7480,-4303,,0.0,,-36025.0,,-587,579,,-123.0,0.0,,,,0.0,,95.0,-1110509,57006,20475,,-5947,-13860.0,15450,-22028,28305,1033,,34,-310,587,326.0,,2014年01月01日至2014年06月30日,290874,443885,153011,278023,-686749,-603844,,-3232,726742,-396985,811455,278023,-326.0,304694,-1179263,-874569,710150,28333.0,,-10494.0,0.0,0.0,-881867,-308,443885,-83508,2463,0.0,-22217,,104415
2014-11-11,3,2014,-23778.0,-261835,-39806,0.0,369,0.0,-4552,-482,,0.0,,-129471.0,,-598,727,,-123.0,-5000.0,,,-114.0,0.0,,0.0,-1659592,189625,20580,,-8216,-13860.0,16120,-300,23096,1522,,50,-461,598,552.0,,2014年01月01日至2014年09月30日,290874,271811,-19063,328519,-1178531,-1055361,-856285.0,-4728,1873045,-666985,1136372,328519,-552.0,439681,-1799783,-1360102,1053160,28333.0,,-10494.0,0.0,0.0,-1383880,64,271811,-123859,-14433,0.0,-26427,,295846
2015-03-24,4,2014,-16793.0,-508779,-63885,730.0,304,,-8942,-7524,,0.0,,-240431.0,,-1347,881,,-123.0,-5000.0,,,-114.0,0.0,,0.0,-1985110,377791,31408,,-32070,-13860.0,4215,-11589,23096,2003,,65,-610,1347,552.0,,2014年度,290874,217824,-73050,484593,-1245147,-1116689,-856285.0,-6223,1984685,-906977,1149001,484593,-552.0,696258,-2280747,-1584489,1442580,28333.0,,-10494.0,0.0,0.0,-1601282,771,217824,-129747,-7349,0.0,-40612,0.0,404315
2015-05-06,1,2015,,-71385,4067,580.0,43,,3818,201,,,,-47501.0,,-438,146,,-137.0,,,,,,,0.0,-677031,513636,0,,18675,0.0,11429,1827,-137,484,,10,-146,28,,1079.0,2015年01月01日至2015年03月31日,228824,289144,60320,41798,37640,41590,,-1212,199128,-336474,22817,41798,,730789,-732076,-1287,232760,0.0,,0.0,,,-208,977,289144,-3832,877,,-21044,,189036
2015-08-11,2,2015,,-237647,25494,-36.0,54,,839,-1067,,,,147544.0,,-855,288,,-137.0,,-30000.0,,-964.0,,-1960.0,0.0,-730503,617955,660,,10437,0.0,10835,5179,-24631,968,,57,-288,855,977.0,-365.0,2015年01月01日至2015年06月30日,228824,379827,151003,384004,417886,461741,,-2147,299127,-648525,-242252,384004,-977.0,679371,-601269,78102,346940,8430.0,,-1573.0,,,77737,649,379827,-45399,1727,,-33311,,23373
2015-11-11,3,2015,,-463069,35558,-466.0,-28,,6481,-1203,,,,357671.0,,-879,426,,-265.0,0.0,-30000.0,,-964.0,,-3412.0,,-1135653,691712,-10266,,-1981,0.0,3505,10943,-26211,1460,,118,-426,879,996.0,283.0,2015年01月01日至2015年09月30日,228824,329529,100705,478540,404014,461689,-450527.0,-2147,2203430,-2103565,-277098,478540,-996.0,797910,-815044,-17134,538780,8430.0,,-1573.0,,,-16851,3853,329529,-59124,1727,,-50279,,73019
2016-03-23,4,2015,,-807687,28388,-730.0,37,,72942,2,,-166070.0,,599125.0,,-1540,2105,0.0,-265.0,0.0,-30000.0,,-964.0,,-3261.0,,-1179831,479275,-32458,,15997,0.0,3148,15889,-162061,1949,,179,-2106,1524,997.0,2902.0,2015年度,228824,521663,292839,619905,554156,625971,-450527.0,790378,2153864,-2593674,-99256,619905,-997.0,615250,-612086,3164,808390,8430.0,30069.0,-1573.0,-69.0,,6066,4255,521663,-72230,2848,,-50456,,47581
2016-05-04,1,2016,,-61347,-8885,547.0,24,,2259,-853,,,,-10170.0,,-12,1577,,0.0,-3750.0,,,-95.0,,-20247.0,,-120072,-171589,-7140,375000.0,-22612,,7467,-850,-24092,477,,63,-2194,12,,-2615.0,2016年01月01日至2016年03月31日,521663,352795,-168868,13791,-307233,-301485,,-2242,323000,-532144,162457,13791,,-170513,-142148,-312661,60190,,,,,,-315276,-97,352795,-3566,-4720,,-17694,,37004
2016-08-08,2,2016,,-594425,82166,357.0,29,,154,-1053,,-91.0,,-20573.0,,-408,13483,,-120.0,-3750.0,0.0,,-177.0,,-20247.0,,-793127,302803,-7140,375000.0,-22890,,-81216,-108,-20725,950,,136,-10961,408,977.0,3058.0,2016年01月01日至2016年06月30日,521663,448520,-73143,140912,-342560,-321464,,-4484,623000,-955194,290142,140912,-977.0,434795,-900229,-465434,846245,3660.0,,-1646.0,,,-462376,772,448520,-11520,-8480,,-4181,,78573
2016-11-04,3,2016,,-2331880,240786,293.0,29,,-44668,-12,,,,-32493.0,,-463,18874,,-120.0,-3750.0,0.0,,-177.0,,-19613.0,,1873074,103693,-7140,375000.0,-30437,,-246725,-1909,-20000,1421,,209,-17643,478,997.0,7318.0,2016年01月01日至2016年09月30日,521663,709065,187402,640879,1947831,1984261,-243984.0,-6722,1018000,-1434493,-1740429,640879,-997.0,-314652,1650716,1336064,883650,3660.0,,-1646.0,,,1343382,376,709065,-20262,-10080,,58752,,-577555
