date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動負債增加,其他非流動負債減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少
2013-05-10,1,2013,-78912.0,0.0,15672,-276283,111,596,47043,,,-267,,-3440,11,3119,-10889,0.0,0.0,,,-15781.0,,,,,7996,121535,1466,,,10754,-102570,-311,-2162.0,-23657,24195,-124022,,-25731,,-11,3274,,,2013年01月01日至2013年03月31日,1309595,1052956,-1367,-256639,142439,,-235593,-237108,-241.0,,-508,142439,,-92729,-207906,-300635,,,3013.0,,13941.0,,0.0,,-379547,0.0,1052956,-1748,-60542,,,-25979.0,,-460
2013-08-07,2,2013,-150541.0,1666.0,29271,-132533,113,-14056,-1287,,,-257,,-10410,48,3843,-39986,0.0,0.0,,-370.0,-6874.0,,,,,59677,108001,2113,,,-101065,-22411,572,-2053.0,-22798,48726,-235655,,-43520,,-27,10284,,,2013年01月01日至2013年06月30日,1309595,1135243,-885,-174352,317260,,-154837,-130091,-303.0,,-560,317260,-89915.0,4785,-301595,-296810,,,3013.0,0.0,13355.0,19753.0,0.0,,-447351,1273.0,1135243,-35003,-67940,,,,,11230
2013-11-11,3,2013,-46234.0,12186.0,35395,-211944,39,69,-1695,,0.0,-239,,-13851,124,2261,-193786,0.0,0.0,,-370.0,,,,0.0,,273502,147122,1102,,,-120693,-123947,-422,-2437.0,-135704,72295,-52367,,-52464,,-91,13734,20545.0,,2013年01月01日至2013年09月30日,1309595,1044496,1268,-265099,458507,,336374,370957,-467791.0,,-468030,458507,-577.0,-29870,-11446,-41316,,,3013.0,1.0,12061.0,19753.0,23500.0,,-87550,2587.0,1044496,-68771,-65091,,,,0.0,12373
2014-03-13,4,2013,-194346.0,12186.0,2895,-266178,1514,38451,1023,0.0,,0,-189.0,-17595,238,2439,-244548,0.0,-13082.0,,-370.0,-26395.0,,0.0,-678.0,,453242,201025,1377,,,-68147,-155448,796,-1590.0,-93086,95935,-170166,,-66550,,-193,17569,157035.0,,2013年01月01日至2013年12月31日,1309595,1167110,-2986,-142485,605957,,416142,470214,-467791.0,,-467980,605957,-136490.0,-61448,120051,58603,,,3013.0,6.0,57322.0,19753.0,0.0,,-135743,0.0,1167110,-71448,-120451,22255.0,,-26030.0,,19809
2014-05-09,1,2014,24192.0,,57039,153278,29,-40984,9900,,,42,,-3291,12,3121,-136925,,,,,0.0,,,-46.0,,-152108,-95520,-1063,,,-5788,41161,-567,-2296.0,-87076,22107,-134840,,-9420,208.0,0,3226,,,2014年01月01日至2014年03月31日,1167110,1058233,-1558,-108877,127286,,-24964,-27650,0.0,,42,127286,,121338,-300466,-179128,,,0.0,,-108.0,,49895.0,,-154936,,1058233,-540,13646,,2596.0,0.0,,-7369
2014-08-07,2,2014,-11439.0,1499.0,-165063,202172,-688,-2184,-3161,,,2,,-10055,23,237,-534808,-200000.0,,,0.0,0.0,,,-727.0,,-28524,-59433,18531,,,20354,-62637,312,-2611.0,-749343,44503,297525,,-9403,416.0,0,10125,,,2014年01月01日至2014年06月30日,1167110,916745,290,-250365,314150,,498739,523359,0.0,,2,314150,-54125.0,-8887,229535,220648,,,0.0,,-4060.0,0.0,49895.0,,209209,678.0,916745,-34745,19894,,,1078.0,-65202.0,5377
2014-11-07,3,2014,-50795.0,6899.0,80935,67400,-170,-40719,6235,-2300.0,,38,,-12821,34,2942,-749626,-200000.0,-55936.0,,0.0,,,,,660.0,-65570,-47482,25794,,,-37573,36855,-283,-3460.0,-882744,66817,649866,7500.0,-18161,623.0,0,12978,123066.0,,2014年01月01日至2014年09月30日,1167110,857810,-2016,-309300,484086,,1036901,1088758,-466437.0,,-466399,484086,-85645.0,130821,524646,655467,,,0.0,59.0,-14887.0,0.0,49895.0,,604672,1399.0,857810,-64835,14066,,,1136.0,-65202.0,-15460
2015-03-11,4,2014,-16344.0,6899.0,73341,64179,-26011,-26219,3117,-2300.0,,567,0.0,-16162,101,9027,-1151759,-200000.0,-118611.0,-65202.0,0.0,0.0,,,-156.0,,-271914,-89104,2361,,,101975,84305,122,-3783.0,-1344307,89935,1158191,7500.0,-10664,831.0,-56,16253,123065.0,,2014年度,1167110,914090,-648,-253020,583913,,1549577,1598773,-467884.0,,-467317,583913,-85645.0,50111,981093,1031204,,,4062.0,59.0,-13276.0,0.0,49895.0,,1014860,0.0,914090,-65393,12648,3006.0,,3471.0,,-37056
2015-05-11,1,2015,,,-104147,-50643,26610,29227,2640,,,-12,,-1615,61,-1905,-492693,,,,,,-32799.0,,0.0,381.0,144852,-31538,8163,,,-32139,-25363,-78,,-525111,23591,-2229,,-7014,207.0,-49,1778,,2190.0,2015年01月01日至2015年03月31日,914090,508108,-593,-405982,141255,-2355.0,121046,119750,0.0,,-12,141255,,-177880,154185,-23695,,,,,,,,0.0,-21505,,508108,-433,-12904,,457.0,,,13305
2015-08-07,2,2015,,0.0,-100412,-29068,26590,28045,45647,,,3151,,-7315,398,-4417,-1323268,0.0,,,-2863.0,,-18518.0,,792.0,,1805,102719,9453,499862.0,,-102375,34360,-1104,,-1343857,47216,248940,,-26329,574.0,-375,7466,,-47554.0,2015年01月01日至2015年06月30日,914090,607345,29,-306745,362256,-2540.0,538516,589694,,,503013,362256,-38985.0,25799,249193,274992,,,,,,,,0.0,227438,0.0,607345,-58269,-21227,,,-1915.0,0.0,12932
