date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動資產（增加）減少,其他營業資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2013-04-30,1,2013,10312.0,,-52021.0,-107150,14667.0,173188,-21.0,-27638,315,,-5420,870,99181,-50103,-8847.0,,-4670,-3555.0,,-653.0,7872,-302.0,,-3540.0,,-209100,,-160.0,-692285,-2798.0,417633,2635.0,-220.0,26400,83358,-5846.0,-3062.0,23272,-914,5490,,,2013年01月01日至2013年03月31日,3560093,3177210,-15916,,-382883,97331,,-464013,-436081,,0.0,,-44451,97331,5983,,-788999,245275,-543724,0.0,4072,,87553,-23,,,-32295,,,,,,-533412,13968,3177210,-27018,0,0.0,0.0,0.0,-45642.0,-105891,-15181
2013-08-09,2,2013,-7388.0,0.0,-82668.0,-152447,13119.0,86900,94.0,-15120,1183,,-11529,1635,118728,-115651,-14850.0,,-43163,-3333.0,,-657.0,26854,-316.0,,-6018.0,,-146569,,-249.0,-63057,-128179.0,-99122,5023.0,-1051.0,57581,170707,16090.0,-5579.0,37824,-1694,11627,,,2013年01月01日至2013年06月30日,3560093,3349711,-4735,,-210382,327562,,-330561,-288197,,0.0,,-56130,327562,10625,-105.0,-372312,-236059,-608371,0.0,4081,,224888,262,0.0,,-82063,0.0,,,,,-615759,14775,3349711,-40670,-3744,0.0,0.0,0.0,-119780.0,-84538,-55472
2013-11-12,3,2013,-38814.0,0.0,-116932.0,-217127,12336.0,156279,73.0,-14434,719,,-17460,2337,74787,-154431,-14850.0,,-52217,-2369.0,,-657.0,59583,-412.0,,-1969.0,,-86794,,0.0,-251220,-127816.0,386881,-86.0,-1180.0,150689,257806,12316.0,-8328.0,55239,-2400,17692,,,2013年01月01日至2013年09月30日,3560093,3078460,-32886,,-481633,496066,,133409,209376,-782757.0,0.0,,-840518,496066,12515,-7830.0,-617576,369700,-247876,0.0,4681,0.0,354152,330,0.0,,-179038,,,,,,-286690,15945,3078460,-73567,-3744,8180.0,0.0,0.0,-125278.0,-85254,-48514
2014-03-17,4,2013,67103.0,0.0,-110080.0,59103,-71.0,-12833,183.0,223,-3986,14151.0,-23824,3253,130062,-181505,-72284.0,,-65078,-2481.0,,20272.0,69558,-654.0,,-5073.0,,-218262,,-364.0,126188,-127791.0,916505,9509.0,-2165.0,104374,339439,10387.0,-9405.0,72817,-3414,22543,7830.0,,2013年01月01日至2013年12月31日,3560093,4271163,-54659,,711070,694768,,1295870,1415896,-782758.0,0.0,,-819236,694768,16340,-7830.0,-3318,657343,654025,0.0,5106,0.0,395316,660,0.0,,-197485,,,,,,721128,14245,4271163,-116612,0,20036.0,4698.0,0.0,-126298.0,-44383,-72827
2014-05-09,1,2014,81942.0,,-19517.0,-231822,-10.0,131490,4.0,-32023,-4,,-11064,639,82536,-38332,-9132.0,-24695.0,-4573,-36647.0,,-261.0,11010,,-15618.0,0.0,1315.0,128350,,830.0,-272499,462.0,-220219,-6850.0,-418.0,586375,71541,0.0,-2182.0,14997,-646,10236,,,2014年01月01日至2014年03月31日,4271163,4702872,-16488,,431709,199317,,-213077,-198499,,,,-24125,199317,1580,,-482872,3114,-479758,,4925,,15278,15183,,668000.0,-6522,,,,,,-397816,34,4702872,-13932,2334,22455.0,,,-11100.0,2366,21381
2014-08-08,2,2014,163496.0,,-19516.0,-210468,-9.0,201762,25.0,-43361,-4,,-25992,1373,-29105,-92967,-9132.0,-64695.0,-13518,-37463.0,,-13267.0,20640,-16042.0,,-603.0,,262340,,716.0,-78300,-1515.0,-800280,-596.0,-903.0,566035,156838,,-3882.0,28100,-1607,24312,,,2014年01月01日至2014年06月30日,4271163,4611894,-29431,,340731,348176,,-181281,-138967,,,,-14918,348176,2218,0.0,-282923,-367716,-650639,,12060,,80041,18851,,668000.0,-8254,,,,,,-487143,11234,4611894,-40707,1997,22455.0,,,11774.0,12398,-2962
2014-11-12,3,2014,151895.0,5019.0,-163824.0,-46867,-8.0,62063,25.0,-24292,-5,,-37457,1748,77453,-129462,-12430.0,-64695.0,-15652,-59033.0,,-14387.0,37586,,-14362.0,0.0,1923.0,-208870,,,67698,-939.0,-234747,1900.0,-1125.0,539937,238093,1919.0,-5298.0,40222,-2770,34879,,,2014年01月01日至2014年09月30日,4271163,4430442,-89524,907.0,159279,417025,,165878,227503,-483389.0,,,-623989,417025,598,-2800.0,56321,-397738,-341417,,31347,,80041,316,,668000.0,-8254,,,,,,-189522,14816,4430442,-58855,0,22455.0,,,5276.0,4269,22746
2015-03-20,4,2014,311052.0,5619.0,-259028.0,-55330,-14.0,30336,25.0,-3252,-11,8702.0,-48850,2482,328359,-170192,-12430.0,-115334.0,-18849,-57912.0,,-5306.0,45643,-16094.0,,2059.0,,-358068,-77591.0,-283.0,91332,-1793.0,-831657,16008.0,-3158.0,422093,316269,0.0,-5643.0,52420,-2835,46433,4187.0,,2014年度,4271163,4485059,-164166,,213896,704021,,85217,162201,-483389.0,91095.0,,-621773,704021,5526,-4187.0,270335,-1123207,-852872,,37706,,80041,7565,,668000.0,-6782,24672.0,877.0,1132.0,5684.0,,-541820,228064,4485059,-74149,1997,42343.0,0.0,106956.0,,23412,11234
2015-05-12,1,2015,,,0.0,-118080,,97677,,-26261,9997,,-11184,691,-74402,-50522,0.0,-102198.0,-2553,,-1186.0,0.0,2283,0.0,,,1239.0,93937,,,-763779,0.0,745920,0.0,,-143756,78466,,0.0,12871,-720,10719,,158637.0,2015年01月01日至2015年03月31日,4485059,4490318,46125,0.0,5259,118846,-978.0,312229,359364,,442540.0,-533635.0,-88812,118846,9350,,-820126,902007,81881,,745,,0,94,,0.0,0,,,,,,240518,24592,4490318,-46415,-3477,0.0,,25701.0,,-19263,38119
2015-08-11,2,2015,,10293.0,0.0,-69183,,61973,,-9238,16996,,-24708,1057,-150282,-76212,-31025.0,-102198.0,-8249,,-22938.0,0.0,10711,,0.0,,5097.0,261299,,,15704,,420186,0.0,,-200073,154485,,0.0,25629,-1086,22663,623.0,307217.0,2015年01月01日至2015年06月30日,4485059,5362901,53661,0.0,877842,386644,-3207.0,1308581,1344269,,,-91095.0,-80384,386644,17918,-623.0,-69857,720265,650408,,1873,,0,323,,0.0,0,,,,,,957625,-71094,5362901,-34602,10997,0.0,,68478.0,,-30951,57923
