date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少,預付費用（增加）減少
2013-05-09,1,2013,1620.0,-833,-16214,658,-76,37986,,-22393.0,0.0,-409,482,-506,-876,,,,,-47.0,0.0,,,-3892,,10277.0,,-74852.0,1370,-11465,5006,190523,-27.0,-23316,1532,-10000.0,15,-532,343,,2013年01月01日至2013年03月31日,153019,215834,62815,-16049,,192322,192537,,,,,-30000.0,-105685,-16049,,-8669,215635,206966,0.0,,,,208586,-107,215834,-26,,,2927.0
2013-08-09,2,2013,2919.0,-1666,-13242,772,-182,40334,,-16152.0,,-975,800,-660,-1974,-500.0,,,,,557.0,,,6021,,11909.0,,-74852.0,631,-14381,30099,190523,-47.0,-18069,3056,,38,-834,903,,2013年01月01日至2013年06月30日,153019,202077,49058,-30458,,175139,175977,,,,,-30000.0,-107352,-30458,,4817,198699,203516,0.0,0.0,,,206435,-273,202077,-1741,0.0,-48648.0,
2013-11-12,3,2013,4534.0,-2500,-17154,1104,713,25696,0.0,-36021.0,,-1391,1170,-557,-5278,-500.0,,0.0,,,511.0,,,-10549,,15830.0,0.0,-24964.0,6694,-34800,22409,190523,-66.0,-41288,4662,-10000.0,78,-1200,1353,,2013年01月01日至2013年09月30日,153019,153755,736,-40728,,95722,96155,,-18221.0,,,-6256.0,-53141,-40728,,-4889,137238,132349,0.0,0.0,0.0,,136883,-357,153755,-1786,15.0,-57694.0,
2014-03-25,4,2013,6380.0,-3333,-15742,1176,753,30968,0.0,-62354.0,,-1831,1742,-728,-6138,-980.0,,36.0,,,268.0,,,252149,,30640.0,-49864.0,,11973,-307636,-42574,166685,-85.0,-69204,6343,,126,-1602,1870,,2013年01月01日至2013年12月31日,153019,99116,-53903,-15907,,64013,63978,,-18221.0,,25000.0,,-47984,-15907,,278551,-205046,73505,0.0,0.0,0.0,,79885,-1137,99116,-1835,,-53665.0,
2014-05-07,1,2014,2473.0,-833,-2620,-117,-126,26071,,-16756.0,,-350,920,40,-4200,,,,,-3.0,,-1151.0,,-130425,-7068.0,,,-9989.0,6753,97554,86434,-19069,16.0,-20959,1718,-14908.0,64,-817,356,,2014年01月01日至2014年03月31日,99116,136469,37353,4380,,54277,53957,,,,,15634.0,3995,4380,,-132962,180066,47104,0.0,,,,49577,508,136469,-36,121.0,,5252.0
2014-08-12,2,2014,13131.0,-1860,14292,-103,103,-3446,,21135.0,,-675,1636,224,-14098,0.0,,,,,-937.0,-3695.0,,-96283,4411.0,,,-27.0,-2379,45727,-898,14554,32.0,6100,3512,-9908.0,128,-1974,700,,2014年01月01日至2014年06月30日,99116,163429,64313,11823,,670,27,,,,,61180.0,57319,11823,,-79832,54905,-24927,,0.0,8260.0,,-11796,-8,163429,-57,270.0,12674.0,
2014-11-12,3,2014,15357.0,-2850,21571,-240,284,26076,0.0,10325.0,,-993,2618,-31,-17939,0.0,,0.0,,,-3285.0,-2274.0,,-97785,-12239.0,,0.0,34944.0,-3623,61922,8044,23838,42.0,-10899,5354,-9908.0,192,-3226,1093,,2014年01月01日至2014年09月30日,99116,210651,111535,25237,,74908,73904,,0.0,,,18689.0,47557,25237,,-91259,124569,33310,0.0,,8260.0,,48667,491,210651,-89,-74.0,17111.0,
2015-03-19,4,2014,17947.0,-3840,30211,-2719,202,10340,0.0,36563.0,,-1402,3877,-364,-20821,0.0,,0.0,-2.0,,-5830.0,-1175.0,,-73522,-30640.0,,-24988.0,,-5974,83940,-39973,-7299,1585.0,9912,7375,-9954.0,256,-3574,1602,,2014年度,99116,342876,243760,38898,,11881,11956,89711.0,0.0,185024.0,-20000.0,,222331,38898,484.0,-77568,32679,-44889,0.0,0.0,8260.0,,-26942,570,342876,-1677,-903.0,-481.0,
2015-04-29,1,2015,,-991,-15016,-453,0,16064,,8951.0,,-351,1463,105,-1163,-45.0,,2.0,,450.0,,332.0,,-84399,7990.0,,,0.0,3167,111385,-82700,17727,,8193,2110,-20000.0,65,-540,505,3641.0,2015年01月01日至2015年03月31日,342876,326903,-15973,-4842,33.0,-17742,-18050,,,,0.0,-5000.0,-6529,-4842,,-88225,71376,-16849,,,,,-13208,0,326903,-197,354.0,,29021.0
2015-08-07,2,2015,,-1981,-24069,-872,382,-225,,41203.0,,-839,2786,257,-2496,-45.0,,,,,-856.0,639.0,,-38416,11164.0,,,0.0,11343,19004,-157756,27937,,37806,4229,-15000.0,131,-1229,1219,7997.0,2015年01月01日至2015年06月30日,342876,218228,-124648,549,66.0,-138096,-139234,,,,-21405.0,0.0,-24615,549,,-39330,-108450,-147780,,0.0,0.0,,-139783,200,218228,-81,1690.0,17823.0,
2015-11-11,3,2015,,-2971,-24533,-2569,345,-12012,0.0,,14339.0,-1156,4261,-166,-4150,-44.0,,0.0,,,-2064.0,548.0,-30890.0,-34363,5323.0,,0.0,0.0,-2996,77487,-291506,26003,,8081,6357,6642.0,197,-1630,1671,9727.0,2015年01月01日至2015年09月30日,342876,114029,-228847,1614,98.0,-225778,-227324,,,,,24507.0,-10984,1614,,-56167,-182498,-238665,0.0,,0.0,-1689.0,-228938,-41,114029,-125,1757.0,12909.0,
2016-03-30,4,2015,,-3961,-27700,0,473,-8216,0.0,2224.0,,-1528,6190,216,-5159,-485.0,0.0,0.0,2700.0,,-2153.0,-300.0,-30890.0,16140,5866.0,,19962.0,,1215,-5757,-316630,29426,,-5554,9654,6640.0,278,-2745,2312,14697.0,2015年度,342876,124104,-218772,-55527,-126.0,-325552,-327951,0.0,-25969.0,0.0,153021.0,,112118,-55527,0.0,-4332,-282789,-287121,0.0,19.0,-19.0,-1688.0,-272424,-200,124104,87,1810.0,12048.0,
