date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他借款增加,其他借款減少,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款增加,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付費用（增加）減少,預收款項增加－處分資產
2013-04-29,1,2013,156524.0,,,-4476,,,-297118,,,,9866,13927,-44073,20834,,,,,557,-4651,12468,-26100,-43828,-444.0,,,-242697,,,,-1305,-976,3417,-8529,214578,-14,,,83,-62867,35020,2592,1060.0,,-89088,42643,-885,220192,,55190,48018,-12305,4882,,,2013年01月01日至2013年03月31日,1790437,1202876,-587561,-1231692,,-966592,-958607,,494219,-1231692,,-33807,150368,116561,500000,17656,0.0,2299,,0.0,,,,,177784.0,,273085,13728,1202876,-562,,,,-1833.0,
2013-08-14,2,2013,-469561.0,,,-1214093,499475.0,,-114196,,,,-8924,31484,-50061,-9211,,,-90000.0,,1127,-8257,28220,6850,-46599,-445.0,,,-389539,-186800.0,,0.0,-1321,-1973,4322,2015,42573,198,,,-438,-28810,-612746,587,127.0,,-155544,84444,-885,246698,,281741,88062,-27826,8592,,,2013年01月01日至2013年06月30日,1790437,1588868,-201569,-1003931,,-2036936,-2010065,,1984061,-1003931,,-83600,-452973,-536573,2700000,2853,0.0,4256,,-949154.0,7269.0,,,,545368.0,,-1006134,-33252,1588868,-7637,0.0,,,-1732.0,
2013-10-31,3,2013,-970949.0,0.0,,-2536242,1498209.0,-1000000.0,-225004,,,-136022.0,-11989,46592,-86452,-9367,,-27592.0,-90000.0,,1712,-10589,49243,-26203,-58969,-445.0,,,-427924,-356876.0,,50.0,-1338,-1990,8843,-367748,274866,130,,,8,-117673,-805076,-1852,-797.0,,-507812,135455,-885,696242,,-325312,133753,-46512,10699,9801.0,,2013年01月01日至2013年09月30日,1790437,1104803,-685634,-1134113,,-2782386,-2747795,197680.0,2630767,-1134113,-11169.0,53547,-696280,-642733,4500000,2934,0.0,5112,,-949154.0,7269.0,,,,545368.0,,-1613682,-31996,1104803,-8579,0.0,,,-1732.0,
2014-03-27,4,2013,-1089686.0,0.0,,-3628124,,,111616,511156.0,,,5262,204399,-83535,-8134,,,0.0,90000.0,2285,-13689,72630,-21110,-89616,-445.0,0.0,-588143.0,-417563,-525625.0,,1389.0,-1339,-110179,10446,-137582,-85967,126,2995865.0,-2500000.0,-1753,-237407,-188061,-2012,-3520.0,,-275540,177354,-885,668238,205625.0,-48855,183507,-70963,14085,11332.0,,2013年01月01日至2013年12月31日,1790437,1884537,94100,-1126484,,-2061516,-2001861,,2452266,-1126484,-11332.0,190422,23887,214309,5100922,2482,0.0,6421,,-949166.0,7269.0,,,-508841.0,808176.0,,-875377,-25460,1884537,-14109,,-27603.0,0.0,-1016.0,332033.0
2014-05-06,1,2014,430783.0,,,-353440,,,-365915,11405.0,,,-22425,801401,-11924,1042115,,,,,587,-6217,19750,21712,-23073,0.0,-80.0,-1093906.0,-14180,-57197.0,,,-1548,-5623,4922,40969,88865,-123,1378603.0,-1500000.0,3637,161846,-491643,706,-776.0,,-721584,45643,0,-360906,,322004,47422,-20661,6055,,,2014年01月01日至2014年03月31日,1884537,1740807,-143730,-405517,,821122,909220,,-264980,-405517,,1567331,-683377,883954,200000,2054,,1594,,,,,405817.0,,59682.0,,1314737,-1873,1740807,-73492,,,,0.0,
2014-07-29,2,2014,573435.0,,,-660410,,,-165234,,-42873.0,,-50970,7061,-22948,1019277,,,0.0,,1158,-14284,41729,17061,-53655,0.0,-80.0,-1388066.0,-20478,-144974.0,,,-1529,-5809,6078,165455,105504,-45,3116263.0,-3200000.0,765,12781,147638,2925,-1247.0,,-994410,90578,0,-267378,,449457,98459,-39229,14592,648.0,,2014年01月01日至2014年06月30日,1884537,1604927,-279610,-456346,,946288,1056418,,-248549,-456346,-648.0,951826,-12497,939329,540000,3180,,2393,,-28549.0,0.0,,489285.0,-66858.0,120109.0,,1512764,-14255,1604927,-86141,,,,0.0,
2014-10-29,3,2014,649940.0,0.0,,-1552366,4464610.0,-4500000.0,-291257,,-123605.0,0.0,-34528,111107,-52325,1044253,,,0.0,,1733,-18631,62484,-7210,-99489,0.0,-80.0,-1388066.0,-59333,-206796.0,,14.0,-1525,-6717,8927,164190,31984,299,0.0,0.0,2288,141737,183976,-4059,-1694.0,,-854361,132146,0,-238819,,558363,144981,-57434,18902,860.0,,2014年01月01日至2014年09月30日,1884537,1635503,-249034,-816515,,745409,874679,0.0,-132872,-816515,-860.0,881082,160172,1041254,1580000,219114,71064.0,-82951,-5484.0,-59128.0,0.0,-21388.0,489290.0,-66809.0,123209.0,,1691194,-15898,1635503,-91598,,0.0,,0.0,
2015-03-16,4,2014,876914.0,0.0,1442.0,-2250548,4492789.0,-4500000.0,-4995,326303.0,,,-5131,-77915,12937,1083746,,,0.0,0.0,2324,-24399,83278,-32714,-153640,0.0,-80.0,-1388066.0,-42220,-311614.0,,1382.0,-1540,-7048,9954,374793,31901,-5,,,891,198798,113303,2590,18356.0,,-873468,170527,0,-307030,0.0,701737,192277,-75945,24469,1772.0,,2014年度,1884537,1863275,-21262,-1510453,,606534,793164,,278386,-1510453,-1772.0,1037102,389601,1426703,2210000,221929,71064.0,-78038,-2424.0,-111303.0,0.0,,489290.0,-66809.0,237945.0,,2303617,-14877,1863275,-136926,,0.0,9092.0,-659.0,0.0
2015-04-22,1,2015,,,,-61017,,0.0,-317000,-9261.0,,,-37413,70437,-7073,-2088,,,,,609,-3676,19598,2292,-33328,0.0,0.0,0.0,-17513,,-7977.0,,-1427,0,4414,48929,3888,544,,,-334,58749,64756,27,,,4756,43972,1020,25334,,-9654,41189,-19395,3589,,92040.0,2015年01月01日至2015年03月31日,1863275,1627078,-236197,-360562,41.0,-371540,-355115,,128295,-360562,,-239902,153309,-86593,200000,1862,,2,5191.0,,,,0.0,,,52107.0,5447,3590,1627078,-619,,,,0.0,
2015-08-06,2,2015,,1060.0,,-155321,,,-202032,,-20903.0,,-14283,83261,-19776,-9062,,,0.0,,1207,-6328,39976,3253,-59000,0.0,0.0,0.0,-28584,,-120590.0,1749.0,-1477,-6923,4415,74340,-83462,112,0.0,0.0,1274,74808,97328,-2544,,,-139335,84849,132,451630,,106649,81604,-41219,6545,576.0,-570337.0,2015年01月01日至2015年06月30日,1863275,1312849,-550426,-428718,210.0,-588392,-546468,,174048,-428718,-576.0,-208916,661503,452587,350000,7825,510.0,-5791,5191.0,-223.0,0.0,,0.0,-871704.0,,56761.0,-117750,651,1312849,-7826,,,,0.0,
2015-11-09,3,2015,,1060.0,,-238619,0.0,-40000.0,-221072,32281.0,0.0,0.0,-12443,130597,15247,-8628,,,0.0,,1812,-7752,60552,2643,-78207,0.0,0.0,0.0,-35755,,-132279.0,1749.0,-1477,-7943,4415,127323,-105487,-37,,,551,33534,90353,2014,,,-152338,129113,0,508713,,-2082338,147345,-61116,7810,2964.0,-2634500.0,2015年01月01日至2015年09月30日,1863275,1230552,-632723,1294996,352.0,-836962,-768646,250000.0,353934,1294996,-2964.0,-193883,764741,570858,350000,9008,510.0,-6957,5191.0,-223.0,0.0,0.0,0.0,-873088.0,,81662.0,-2063642,9841,1230552,-17974,,0.0,,0.0,
2016-03-11,4,2015,,2191.0,0.0,-1421203,0.0,-220000.0,25589,1000711.0,,,-34263,101787,23076,-4777,,,0.0,0.0,2418,-10150,77735,52563,-120263,,0.0,0.0,-40362,,-132279.0,3163.0,-1497,-8923,4937,143741,-44089,81,,,-1179,-22894,109315,660,,,1633133,172904,0,416876,440454.0,-2039378,178584,-78538,10254,,-2509036.0,2015年度,1863275,2285089,421814,918058,-299.0,-975056,-871646,,-288826,918058,-2964.0,82754,636578,719332,350000,15569,510.0,6124,5191.0,-223.0,0.0,0.0,0.0,-894086.0,,305999.0,-1789704,5641,2285089,-38090,,0.0,0.0,67.0,0.0
2016-05-13,1,2016,,,,-425491,204000.0,,-253618,320688.0,,,-31722,-79929,-23931,-3964,0.0,,,,602,-2416,14689,-27768,-17823,,-2486.0,,-7415,,-168075.0,29.0,-3184,-17116,3307,-34101,-44388,561,,,-103,62856,-42078,1354,,,-167728,43583,1183,-83738,,-271512,23096,-12375,2447,,-215139.0,2016年01月01日至2016年03月31日,2285089,1889626,-395463,63138,157.0,-704009,-681124,,504042,63138,,-377763,-151360,-529123,408000,147,21730.0,2665,0.0,-12017.0,,,3.0,-13829.0,,20000.0,-744262,2338,1889626,-12957,,,,,
