date,season,year,不影響現金流量之收益費損項目合計,保證責任準備淨變動,停業單位稅前淨利（淨損）,備供出售金融資產（增加）減少,償還公司債,償還金融債券,其他借款增加,其他借款減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他負債增加（減少）,其他資產（增加）減少,其他金融負債增加（減少）,其他金融資產（增加）減少,再保險合約資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產及設備,取得投資性不動產,取得採用權益法之投資,取得無形資產,各項保險負債淨變動,呆帳費用提列（轉列收入）數,員工福利負債準備增加（減少）,央行及同業融資增加,央行及同業融資減少,央行及銀行同業存款增加（減少）,存入保證金增加,存入保證金減少,存放央行及拆借金融同業（增加）減少,存款及匯款增加（減少）,應付商業本票增加,應付商業本票減少,應付款項增加（減少）,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,發行金融債券,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產及設備,處分及報廢不動產及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分採用權益法之投資,調整項目合計,負債準備增加（減少）,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,金融資產減損損失,附買回票券及債券負債增加（減少）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-28,1,2013,-6644909.0,,,-10460524,-4487785.0,,13000.0,,,-295386,39416,786259,135065,118797,-10894708,3305903,1003516,-150826,-138742,,-3447,-97943.0,861176,,,-50905465.0,5372195,,-954859.0,,33930409,5312546.0,,2548775,9233164,-273077,179011,-844649,,-26424,14218,-3778808,14755759,4229,,2013年01月01日至2013年03月31日,460772181,428790633,-31981548,7202156,18287895,7300907,,,,,222587222.0,5680453.0,-50999882,7202156,,-3884,35696138,-28952478,6743660,836,-504,19102,-5068,,98751,227475,-23026197,200522958,5808,944593,-4147550,23314,-7818182,22681.0,,
2013-08-27,2,2013,-13517695.0,,,-37989995,,,-605865.0,,,-1744918,792588,-907133,-623764,-134971,-22171526,6893761,486695,-244214,-142015,,-4777,-160922.0,1479688,-369056.0,,-57926938.0,16752009,,,-30978740.0,72841087,4377606.0,,12948946,-15893572,-198307,355063,-5041497,139431.0,-60416,22246,-6737375,21599035,206587,,2013年01月01日至2013年06月30日,315710144,216239837,-99470307,14767610,-26436467,-39711866,,-12604346.0,-6575589.0,,6925361.0,,-73322228,14767610,,-65032,120296974,-161258755,-40961781,997,141,52271,-28676,,-54479476,614645,-60762502,209314476,-1792848,834102,-10626302,217978,19327292,12904.0,,
2013-11-26,3,2013,-19693996.0,,,-1070097,-6563325.0,,0.0,-1261710.0,0.0,-1129693,1277044,606614,1835781,-227630,-33995616,11132757,153274,-376395,-145152,,-4777,-122733.0,2796231,-467237.0,0.0,-51115344.0,26324073,,,-34990086.0,80261037,4857537.0,,26506169,-45835593,-248828,561464,-18809447,139431.0,-86542,29767,-10429635,33446349,1335778,,2013年01月01日至2013年09月30日,315710144,209300888,-106409256,22016677,-39633503,-55811591,,-12604346.0,0.0,0.0,,4764427.0,-66680199,22016677,,-222134,144460708,-202594980,-58134272,20865,141,117200,-73254,,-77828268,814851,-109327140,204536461,-4502842,1450750,4552188,285449,10094144,6989.0,474.0,0.0
2014-03-26,4,2013,-27027019.0,,0.0,-49848233,-6600000.0,,0.0,-1031787.0,0.0,-2241691,71184,-1633566,3845982,7613,-48619411,15468578,40247,-457437,-2324,,-51809,-112327.0,5276424,45263.0,0.0,-52496698.0,162125237,,,-38195107.0,215733043,2513000.0,,5320507,-60155809,-16879,701988,-23157251,214431.0,-203681,37540,-15427301,47942040,459744,,2013年01月01日至2013年12月31日,315710144,370575632,54865488,27000082,102442378,74744367,21500000.0,-11394773.0,,0.0,0.0,2585345.0,-47600258,27000082,346353.0,-219419,411690081,-336918777,74771304,2488,51,277772,-36302,,47744285,-8005,-158402839,367990287,-5276472,179799,-11084317,333187,32169494,-90000.0,,
2014-05-27,1,2014,-8833323.0,3814.0,,-5787164,-6000000.0,,1731088.0,,0.0,-369931,3297751,814351,-457359,-112972,-13912779,4763239,700666,-78917,-280000,,0,,141186,,7190018.0,0.0,-36139461,,-620222.0,-17367446.0,17279011,2010000.0,,-8379,-8468809,-304296,171893,2262291,,-26614,7952,-3918214,13817409,61,,2014年01月01日至2014年03月31日,370575632,340470098,-30105534,9420937,-39712788,-48871033,,,,4900000.0,0.0,4999898.0,9210884,9420937,,0,-27246061,-22212586,-49458647,37009,-90,17612,4714,,-58291970,-1211202,-19748096,335470200,-741011,-1464174,24169218,13362,-6146276,0.0,,
2014-08-26,2,2014,-17810120.0,,,-1179383,-6000000.0,,5420907.0,,,-321180,4609060,1851960,2661345,-187559,-28513753,9711339,154685,-217695,-280000,,0,-64846.0,662304,,,7180138.0,-114839705,,-251419.0,62047008.0,-17763326,2795000.0,,-4258289,-20683508,-471474,341695,5448220,0.0,-47480,16434,-9129870,27988256,27528,,2014年01月01日至2014年06月30日,311013320,288733682,-22279638,19342757,-43107475,-61339749,,,,12000000.0,108896653.0,5641383.0,21144626,19342757,,-5598,-122472372,59599986,-62872386,5164,763,21057,3678,,-80682506,-161836,-13190235,174195646,-653640,-529978,20075038,85344,13549982,,,
2014-11-25,3,2014,-27952935.0,,,-8890661,-6000000.0,-5000000.0,2823149.0,0.0,,3025804,4526924,1625108,2560625,-235529,-43267273,14686307,372403,-315786,-290259,,-42588,73595.0,1164496,,7559530.0,0.0,196737780,,-454063.0,-196799729.0,-36080958,8605000.0,,8247338,-17782214,-304822,495037,20367434,0.0,-87558,25723,-13469561,43055789,1472980,,2014年01月01日至2014年09月30日,311013320,302432939,-8580381,28070876,-15590778,-44490953,,-12590800.0,,12000000.0,118780966.0,7483024.0,6942816,28070876,,-1338984,186129940,-230738834,-44608894,809,777,343002,1234,,-72561829,-287767,-53621958,176168949,-2159033,-1192528,19136274,293711,14055163,,,
2015-03-24,4,2014,-36883901.0,,0.0,-6200811,-6000000.0,-5700000.0,417550.0,0.0,0.0,2769853,2530071,683659,2413258,76252,-58137682,19794401,1496054,-463155,-292334,,-26701,-207527.0,1588465,-118944.0,21576296.0,0.0,-16312405,1267889.0,0.0,11542898.0,102681323,10975000.0,,-7008637,-19603693,-389277,666646,20703157,0.0,-152363,37054,-19564672,58629026,941091,,2014年度,311013320,415144124,104130804,35328826,81078092,43242920,0.0,-12590800.0,,12000000.0,231709523.0,11874327.0,21945935,35328826,0.0,-805145,99588837,-54790842,44797995,1047,79,391866,-42252,,7914094,9840,-80685890,171560274,-2170273,14725952,14433916,374423,2158196,0.0,,
2015-05-26,1,2015,,,,-16404185,0.0,,-455474.0,,0.0,386173,-4008866,-90061,460045,48880,-14701176,5061275,-1343589,-139642,0,,-5621,-42052.0,-62659,,-154421.0,,143343670,,-162032.0,-225828729.0,39350369,495000.0,,50826,-8015793,1029690,162819,-1450857,,-54434,22410,-4495109,15661716,644,-10111401.0,2015年01月01日至2015年03月31日,415144124,319928643,-95215481,9366982,-94624655,-105538011,,,,0.0,163233079.0,6914831.0,-276927,9366982,,-581,140886825,-245680417,-104793592,1421,-821,1173532,-496996,,-114904993,32488,2515734,149780733,-253895,-4487007,7003354,814,-37699633,,,
2015-08-25,2,2015,,,,-33012487,0.0,-6000000.0,-890589.0,,0.0,-1808600,2695488,428335,-220892,-26338,-29293438,10274139,-1981970,-269489,0,-255000.0,-63376,-113173.0,-1916658,,,-7277380.0,-159031007,,-511490.0,80569854.0,121456185,-3465000.0,,-583604,-20549444,684923,321581,-10389907,69750.0,-153751,22661,-10261196,30074249,313786,-21237656.0,2015年01月01日至2015年06月30日,415144124,333063410,-82080714,19480167,-62639208,-80812071,,,,0.0,195610650.0,5156686.0,-18144459,19480167,,-142929,-89885608,10831026,-79054582,4363,-3706,1176751,-497417,21924.0,-100292238,-26433,-16257533,132296074,-1953976,-9061468,8022285,265035,-41259016,,,
