date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產減少,其他非流動負債增加,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少
2013-05-06,1,2013,,25801.0,409,-597,21030,-2388,,,0.0,,,85.0,-655,863,-53,-12741,,,,-116,-10591.0,,,-1521.0,13,16907,,48188,2345,-11685,,2410,-214.0,-24695,17480,-487.0,-10164.0,,7932,-886,-7970.0,655,,2013年01月01日至2013年03月31日,303869,348924,,45055,56086,,139440,147641,,,-69637.0,-69637,56086,71271,-5517,65754,261,,96,,,,,91555,348924,,,,
2013-08-08,2,2013,,49992.0,20621,-4302,10642,-5881,,,0.0,,,172.0,-1394,1366,3096,-21411,,,,-116,-40722.0,,,-1550.0,193,-1553,,53991,4700,-37501,,1063,-409.0,-63477,33816,269.0,-10025.0,,15877,-1439,,1394,,2013年01月01日至2013年06月30日,303869,328369,,24500,124794,,182774,206401,,,-97893.0,-97893,124794,89814,-58199,31615,129,,155,,,,,81607,328369,-23582.0,,,
2013-11-08,3,2013,,75918,7755,-8722,16433,-4063,,,0,,,258,-2214,1869,6205,-37791,,-80802,,-116,-40722,,,-1550,193,-8859,0,246,-1119,-23634,,1833,-594,-65841,52064,1062,0,,23803,-1952,,2214,,2013年01月01日至2013年09月30日,303869,291014,,-12855,151213,,160169,207469,-41693,9107,,-113388,151213,23783,-43445,-19662,220,,138,,,13925,,56256,291014,-47562,,,
2014-03-25,4,2013,,104435.0,13447,-732,3268,-721,,,0.0,,,346.0,-3639,2671,14559,-60916,,-80802.0,,-1402,-207998.0,,,-1521.0,193,-11433,0.0,-1576,-1265,-17400,,3893,-806.0,-112077,72746,2271.0,-10008.0,,32131,-2692,,3639,,2013年01月01日至2013年12月31日,303869,324055,,20186,203557,,219054,286930,-41693.0,21145.0,,-101350,203557,15339,-36401,-21062,1125,,180,,,158442.0,,83373,324055,-68823.0,,,
2014-05-06,1,2014,3,19438,44632,-25290,25294,-7624,,-83,400,,,1647,-835,774,17782,-10557,,,,-82,-22776,,-266,-2433,,-58157,,53514,-1314,-61309,,-21590,-143,-35448,18369,-621,-10,,822,-838,,835,,2014年01月01日至2014年03月31日,324055,352990,-1110,28935,80217,,43724,46954,,,2877,2877,80217,121362,-174063,-52701,0,,34,,,,,-33263,352990,-3227,,,
2014-08-01,2,2014,317.0,55256.0,72892,-17935,1276,-2780,,-309.0,400.0,,-12576.0,,-2065,1581,2512,-24262,,,,-263,-24523.0,,-972.0,,263,-63232,,32585,1902,-51689,,-2481,-143.0,-60951,36908,-2758.0,-775.0,,17377,-1567,,1774,,2014年01月01日至2014年06月30日,324055,398022,1887.0,73967,160990,,162444,182799,,,-30038.0,-30038,160990,105754,-139201,-33447,10,,223,,,,,21809,398022,-20562.0,,,
2014-11-06,3,2014,317.0,76396.0,50560,-11725,-9660,-28010,,-540.0,400.0,,,,-3187,2350,278,-37209,,-12576.0,,-1915,4700.0,,-1295.0,0.0,291,-70044,,19610,-3577,-29554,,-2615,-143.0,-33612,55812,0.0,5233.0,,25858,-2447,,2644,,2014年01月01日至2014年09月30日,324055,367489,-3503.0,43434,229087,,182219,225018,-58370.0,0.0,-34505.0,-105451,229087,56790,-137255,-80465,121,,44,,,0.0,,-4069,367489,-42996.0,,,
2015-03-24,4,2014,666.0,110575.0,42655,-7934,-8565,825,,,,,,,-4513,2904,-1476,-58331,,-12576.0,,-3334,-219428.0,,-3759.0,0.0,335,-20339,,-5003,-4263,-15927,,287,-419.0,-63900,74709,-2758.0,-30005.0,,34817,-3020,,4280,,2014年度,324055,354558,3503.0,30503,251973,,248329,296802,-58369.0,-81505.0,,-152450,251973,21647,-87393,-65746,8860,,2248,,,207998.0,,44829,354558,-49733.0,,,-14300.0
2015-04-27,1,2015,0,,-34379,-3796,16740,-1419,118,0,,,,,-997,508,-12413,-5957,,,,-143,,-24686,14,,333,-17927,,32837,790,-26736,,-4252,,9591,17445,0,13,,8325,-514,,784,26602,2015年01月01日至2015年03月31日,354558,363874,1351,9316,73750,-207,59992,65935,,-33451,,-47854,73750,15899,-50316,-34417,4,40040,-4,-40,,,,-7815,363874,-6213,,-14403,3801
2015-08-14,2,2015,21.0,,-14930,-6109,4917,-687,97.0,0.0,,,0.0,,-2430,1087,-12516,-17957,,,,-143,,-14310.0,95.0,,158,4478,,13254,1106,-15540,,-5138,,-30787,34771,,,,16585,-1090,,2465,12735.0,2015年01月01日至2015年06月30日,354558,464347,2603.0,109789,151932,-413.0,134309,160116,,,22469.0,18783,151932,4031,-8582,-4551,1465,,52,,,,,8184,464347,-27182.0,-40049.0,-3686.0,14414.0
2015-11-13,3,2015,550,,17949,-7157,12541,-21275,60,0,,,,,-3546,2159,-43179,-26049,,-317711,,-963,,34835,101,,101,-46896,,23432,830,25119,,-7992,,9501,51815,,18405,,24991,-2039,,3401,76953,2015年01月01日至2015年09月30日,354558,466033,831,111475,167804,-564,218233,267674,-83385,501157,-178761,-73080,167804,54248,-31331,22917,1577,,52,,,,,99870,466033,-50803,,5620,8465
2016-03-25,4,2015,175.0,,-19459,-6678,9677,-9403,,,,23.0,,,-4614,3722,-9276,-36310,,-375616.0,,-963,,-190514.0,-264.0,,69,-45208,,-17038,-144,51373,,-4478,,-5936,69297,0.0,40013.0,,33000,-3659,,4604,102337.0,2015年度,354558,479279,460.0,124721,224632,-808.0,277010,331363,-83385.0,312248.0,,-137077,224632,-27772,32166,4394,2354,,561,,,,219428.0,106731,479279,-55298.0,,9653.0,6547.0
2016-04-29,1,2016,0.0,,-24636,-1232,-1362,-1813,0.0,0.0,,,,,-764,1761,-17132,-8421,0.0,,-197447.0,-1267,,-322.0,-10.0,-442.0,0,23211,,29527,553,-92866,-2452.0,-2131,,-207614,16444,0.0,0.0,-922.0,7661,-1739,,1007,24349.0,2016年01月01日至2016年03月31日,479279,360513,448.0,-118766,59962,1763.0,6051,18738,,306975.0,-207633.0,99929,59962,5845,-71418,-65573,285,0.0,-269,0.0,,,,-41224,360513,-11955.0,,587.0,5865.0
2016-08-10,2,2016,92.0,,1584,-25372,-10495,6694,61.0,,,,0.0,,-1416,3546,-28555,-15996,,,-216246.0,-1267,,46450.0,15.0,-3835.0,0,4978,,-20749,2510,9695,-1832.0,-369,,-189913,31871,,,-513.0,15239,-3494,,1659,48729.0,2016年01月01日至2016年06月30日,479279,438596,449.0,-40683,112988,-296.0,106403,129839,,1575951.0,-1505155.0,71382,112988,-27385,-4493,-31878,981,,-257,,-297.0,,,16851,438596,-21601.0,0.0,586.0,1713.0
2016-11-07,3,2016,118.0,,-21449,-8203,-6773,8393,290.0,0.0,,,,,-1970,5236,-45646,-27690,,0.0,-216246.0,-4284,,53674.0,19.0,-3814.0,0,-33651,,29053,740,27609,-1370.0,-715,,-196596,46116,,0.0,-2394.0,22311,-5144,,2213,69289.0,2016年01月01日至2016年09月30日,479279,356549,474.0,-122730,141874,-455.0,159628,203132,-83385.0,2151211.0,-2108515.0,-40116,141874,1406,-9437,-8031,1764,,-327,-294.0,,,,61258,356549,-40573.0,,573.0,-1500.0
