date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預收款項增加（減少）
2013-04-30,1,2013,68298.0,,,-39324,4169,1190871,5114,9520.0,-58420.0,,,,,,-1900,22188,-6150,-55824,,,-86914,,-1950,,,-73826,,290586,414,0.0,-922166.0,-5031,-101600.0,101047,-39713,-143926,76666,-2474,2553,-59505,2342,,,2013年01月01日至2013年03月31日,3531850,3678681,146831,380275,1710873,1730281,,,0.0,-610000.0,-1413966,380275,-197,1345436,-63728,1281708,177705,762,,,-45,,,,,,1350006,3678681,-21750,,-28493.0,,-2099,
2013-08-12,2,2013,166945.0,0.0,,-23663,113739,247701,10021,12726.0,-164893.0,,,,,,-6530,43341,-10000,-105524,,,-88885,,-4775,-15250.0,,1172721,,208713,18154,,-1000456.0,-14633,-184050.0,111044,-3426,-871221,155514,-6147,5881,-115708,6578,3197.0,,2013年01月01日至2013年06月30日,3401334,4457368,1056034,1339940,3861604,3991149,,,0.0,-1500000.0,-1924349,1339940,-3197,1224033,1260231,2484264,237937,5499,8764.0,,-3102,0.0,,,9678.0,,2651209,4457368,-136123,453878.0,-28493.0,-674247.0,21025,959085.0
2013-11-06,3,2013,147447.0,0.0,,76433,158673,6226,-3864,,,22124.0,0.0,-124079.0,,,-15942,66409,2320,-210219,,-117107.0,-92613,0.0,-11821,,,870066,-2222185.0,-57257,84137,,-509375.0,-14866,-198130.0,35177,-6566,-2538691,237594,-8448,9743,-174103,16219,46562.0,,2013年01月01日至2013年09月30日,3401334,3972347,571013,1574107,3867575,3996830,-1656516.0,,0.0,-180000.0,-760191,1574107,-46562,1217072,1058204,2275276,1283801,5947,16740.0,146502.0,-3102,,0.0,,-63752.0,23582.0,2422723,3972347,-145474,453878.0,-28493.0,,4718,1320529.0
2014-03-14,4,2013,161044.0,0.0,,127561,159551,17924,-7770,,,75629.0,0.0,-34832.0,,,-25062,103463,14350,-337109,,-207676.0,-318084,0.0,-14957,-3534.0,0.0,-1024975,-2282724.0,127644,32497,,-472057.0,-19165,-152172.0,35704,15560,-2791005,320545,-11647,13866,-253717,25106,46562.0,,2013年01月01日至2013年12月31日,3507350,4629950,1122600,1667350,3225387,3356774,-1656516.0,,910000.0,,673868,1667350,-46562,2393645,-865265,1528380,1590032,10583,26419.0,321886.0,-2941,,2461.0,,-162125.0,,1689424,4629950,-156493,480497.0,-28493.0,,-43335,2259356.0
2014-04-22,1,2014,127616.0,,,-161830,4985,25438,2642,,,3311.0,,-1284318.0,,,-5851,45535,-24180,-150261,,,-128636,,-9123,,,-946463,,-100332,177249,1123099.0,0.0,4369,-108793.0,19885,-8832,-1562088,88990,-6349,2961,-90129,5745,275.0,,2014年01月01日至2014年03月31日,4629950,4072931,-557019,-119740,-882153,-887773,,,,-234000.0,1911402,-119740,-275,113626,-1009275,-895649,1109121,1466,,8509.0,-965,,,7839.0,-4269.0,,-768033,4072931,-125,,0.0,,-81492,277525.0
2014-08-12,2,2014,184085.0,1069.0,,-154946,-76961,-3499,29649,,,-26056.0,,-332825.0,,,-12154,93847,-28822,-180542,,-1029682.0,-294280,,-9243,,,-2641647,,44054,-24235,878668.0,0.0,11228,-46978.0,-4272,-3389,-1710022,179466,-9487,5946,-187233,12079,86628.0,,2014年01月01日至2014年06月30日,4629950,4218527,-411423,366469,-1919089,-1777733,,,496000.0,0.0,3246510,366469,-86628,459695,-2787982,-2328287,2070105,3786,,45067.0,-2172,,,36452.0,-21185.0,,-2144202,4218527,-153435,15026.0,0.0,0.0,-91362,634071.0
2014-11-11,3,2014,212256.0,1069.0,,-97293,-1745,59677,31029,,,0.0,-28117.0,-325750.0,,,-16092,154638,-11757,-192641,,-1029682.0,-339302,,-10697,,,-5134045,0.0,-782610,-9318,2070754.0,0.0,22477,-108793.0,-17648,-24158,-1470931,270694,-10799,9024,-295921,15807,88712.0,,2014年01月01日至2014年09月30日,4629950,3329185,-1300765,849756,-4465385,-4268596,-1656516.0,,726000.0,0.0,4647308,849756,-88712,-81060,-5249548,-5330608,3815989,6595,0.0,330765.0,-3077,,,56060.0,-159480.0,,-5118352,3329185,-212596,15119.0,0.0,,-102981,834800.0
2015-03-18,4,2014,405350.0,1069.0,,-71952,-120010,17582,14269,,,-46742.0,,-267964.0,,,-20558,212428,-27509,-361153,,-1029682.0,-561071,,-15335,,,-6316236,0.0,-881273,181718,1630708.0,0.0,13433,-108793.0,49390,-36243,-1803404,364439,-4785,12236,-403113,20348,88762.0,,2014年度,4629950,2998223,-1631727,3148457,-2977419,-2700579,-1656516.0,,0.0,-167000.0,3176605,3148457,-88762,269297,-6523683,-6254386,3773149,11034,171.0,330765.0,-3883,,,83311.0,-149076.0,,-5849036,2998223,-297188,46119.0,0.0,,-114853,1118582.0
2015-04-27,1,2015,,,,-23874,112960,-13366,10248,,,0.0,-18265.0,-109587.0,,,-2003,51709,2182,-207857,,,-379364,,-5095,,,-356809,,334571,194137,0.0,-332311.0,-108,0.0,12135,7283,-699966,92864,-455,3415,-105416,1958,300.0,148178.0,2015年01月01日至2015年03月31日,2998223,3523489,525266,1554620,845443,951722,,,537000.0,0.0,377607,1554620,-300,-485235,-265841,-751076,296599,1637,,0.0,-192,,,3140.0,0.0,,-602898,3523489,-108237,,,,-51658,-976595.0
2015-08-11,2,2015,,0.0,,-22251,114807,-13496,20882,,,,-4807.0,-175757.0,,,-5843,99172,7686,-240558,,0.0,-521413,,-7442,,,-618417,,303648,47135,0.0,-859812.0,3029,0.0,-29647,7979,-752821,185920,4259,7414,-213943,5693,14697.0,183855.0,2015年01月01日至2015年06月30日,2998223,3357840,359617,1960781,675286,782751,,,1227000.0,,429466,1960781,-14697,-765440,-596445,-1361885,262561,7267,,170385.0,-3399,,,3139.0,-92110.0,,-1178030,3357840,-113158,18467.0,,,-92049,-1083505.0
2015-11-05,3,2015,,0.0,-476874.0,-44096,113166,-17649,15842,,,,-2847.0,-443968.0,,,-8416,141609,-68142,-257850,,-300000.0,-909179,,-21428,,,-1662475,,235902,-34557,218259.0,,6366,0.0,-52981,40494,-1616802,280817,9306,11809,-337110,8588,126914.0,234270.0,2015年01月01日至2015年09月30日,2998223,2971917,-26306,1935164,-290636,-179260,-1656516.0,3000000.0,1163000.0,,1949274,1935164,-126914,-667800,-1680894,-2348694,0,18324,,170385.0,-5516,,,23685.0,-92110.0,,-2114424,2971917,-119964,41362.0,,,-134940,-813766.0
2016-03-17,4,2015,,0.0,-126117.0,57054,109133,-27753,-20800,,,7602.0,0.0,-467029.0,,,-14766,183219,-55795,-399404,,-950000.0,-1434444,,-28639,,,-1389269,,500195,-16049,0.0,-1516872.0,-4752,0.0,-41192,54744,-2959337,378565,8657,16908,-444839,13572,126914.0,370941.0,2015年度,2998223,3496080,497857,2436354,966776,1145170,-1656516.0,3000000.0,3230000.0,0.0,2546213,2436354,-126914,-249346,-1412779,-1662125,0,22880,0.0,170385.0,-6303,,,23685.0,-92110.0,,-1291184,3496080,-191966,52955.0,,,-125395,-758041.0
2016-04-25,1,2016,,,-295619.0,84608,9464,17938,9898,,,,-39914.0,465628.0,,,-3369,46047,9142,-51354,,,-186670,,-2693,,,-1151057,,399141,-83288,1673503.0,0.0,21453,,-4462,6955,230813,102126,6209,5261,-115359,4416,0.0,159842.0,2016年01月01日至2016年03月31日,3496080,2327127,-1168953,239201,-1528996,-1346820,,,0.0,-1129000.0,120088,239201,0,136449,-1882312,-1745863,0,5902,,,-1053,,,4621.0,,,-1586021,2327127,-186592,26477.0,,,-753110,-303403.0
2016-08-11,2,2016,,,,-167081,2171,-5746,23900,,,,-15961.0,-108234.0,,58780.0,-8787,94415,-51504,-91373,,,-374015,,-6966,,,466186,,203566,-30137,952345.0,0.0,13772,38669.0,-7041,-22858,-555005,212898,9978,10470,-217436,9926,13832.0,361983.0,2016年01月01日至2016年06月30日,3496080,1997334,-1498746,1570084,955496,1364202,,,0.0,-4906000.0,-1847733,1570084,-13832,-857796,289931,-567865,2312841,11751,,0.0,-1939,,,,0.0,,-205882,1997334,-418632,26478.0,,,-172427,-910839.0
2016-11-09,3,2016,,10370.0,0.0,-116259,449,27211,32761,,,,-12044.0,0.0,521111.0,58780.0,-10112,153501,-138656,-135755,-157175.0,0.0,-656564,,-8436,,,1533480,,663884,-20894,0.0,-266983.0,21321,,-96782,-49895,-283785,348132,12733,15257,-374467,11355,126393.0,441749.0,2016年01月01日至2016年09月30日,3496080,1350024,-2146056,2248645,2099199,2651695,0.0,0.0,0.0,-4989000.0,-3822814,2248645,-126393,-679044,640345,-38699,1759248,16271,,0.0,-2776,,,,-7373.0,,403050,1350024,-563851,60432.0,,,-779668,-1254307.0
