date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款減少,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融負債增加,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得子公司股權,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付款項增加,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產重分類淨損失（利益）,非金融資產減損損失,預付設備款增加,預收款項增加（減少）,預收款項減少－處分資產
1927-03-29,4,2015,,-32500.0,-131699.0,95273,,16594,-50096.0,-13806.0,,-1091.0,,,-998.0,,-17397.0,,35796,,-656,55252,27231,-68484,,,,-4030.0,-37139.0,,-200.0,,-6807.0,-49759,-104515,,19993,33563,513,,-164573,74567,,63909,-64778,656,146748.0,2015年度,177131,220713,43582,71595,-689.0,144254,208535,120000.0,90055,,36670,71595,-10719,911,-9808,9409.0,24649,4578.0,-4661,8636.0,-317.0,-1063.0,136940,,220713,-159.0,2423.0,,-5567.0,-108815.0,-5884,
2013-05-15,1,2013,59045,0,0,-92261,,41943,,2700,3157,,0,-700,,,,,30658,71,-964,18870,-15,-4040,,,,-321,,,,0,60,18413,-14302,,25724,1587,4072,,23271,25721,,12746,-18233,964,,2013年01月01日至2013年03月31日,86218,81459,-4759,-83311,,-69139,-45679,,17276,0,41124,-83311,-90585,69172,-21413,24548,22,,3,,,,37632,0,81459,-6191,2598,,,-3108,-12446,
2013-08-12,2,2013,121896.0,0.0,-64352.0,-90663,,4259,32216.0,4032.0,-4146.0,,,-1100.0,,,,,0,276.0,-2084,38226,5739,-14445,,,,-321.0,1500.0,0.0,,0.0,,4069,-70715,,61443,108394,-7157,,17472,49594,,31526,-37178,2084,,2013年01月01日至2013年06月30日,86218,102648,16430,-87013,,-19877,26336,,78548,,13096,-87013,-113966,105419,-8547,,22,,3,,,,113349,0.0,102648,-11119.0,,2855.0,,,-18063,
2013-11-11,3,2013,206218.0,0.0,-87989.0,-75721,,1873,33238.0,,-13430.0,6471.0,,-4000.0,,,,,4749,761.0,-3260,62648,-484,-17765,,,,0.0,1500.0,0.0,,32.0,,19921,-26028,,54332,41202,5524,,18712,71466,1185.0,54081,-59353,3260,,2013年01月01日至2013年09月30日,86218,89635,3417,-131519,,1758,70749,,75420,,-16569,-131519,-59040,55090,-3950,,1158,2415.0,10,,,,202268,0.0,89635,-12898.0,3337.0,,14490.0,-5115.0,-18094,
2014-03-31,4,2013,328352.0,0.0,-244133.0,-7088,,109048,,7197.0,-38442.0,,,,,0.0,-4000.0,,3484,1009.0,-3874,87100,4505,-24694,0.0,0.0,0.0,-612.0,80133.0,0.0,,0.0,32.0,167518,-278339,,54674,20312,3149,,415311,91746,,64785,-83565,3874,,2013年01月01日至2013年12月31日,86218,133873,47655,-479355,,-219016,-126427,61000.0,33988,,-153145,-479355,-237009,261585,24576,,189017,2464.0,-46239,,,,352928,0.0,133873,-12898.0,2740.0,,50952.0,-7703.0,-13453,253323.0
2014-05-12,1,2014,-286728.0,0.0,,-4122,,-18748,,-9573.0,3087.0,,0.0,0.0,,845.0,,,4193,71.0,-3,13964,26414,-15424,,,,0.0,52000.0,,,,0.0,20368,-113322,,-20274,64876,2148,,103017,16487,,15185,-11408,3,,2014年01月01日至2014年03月31日,133873,135180,1307,239486,,-128694,-117289,,7543,0.0,570,239486,-141778,71731,-70047,-7818.0,0,,0,114248.0,-384503.0,,-356775,0.0,135180,0.0,71.0,,,0.0,5513,
2014-08-13,2,2014,-240545.0,,-24985.0,-12461,,-25114,,-11063.0,-28630.0,-180.0,,28069.0,,,,,-2127,-109.0,-176,30242,17818,-16113,,,,0.0,52000.0,,,-2000.0,,36865,-220949,,14002,15193,-1437,,171933,33269,,30331,-27765,176,,2014年01月01日至2014年06月30日,133873,84480,-49393,225438,,-280931,-253342,,38703,,41787,225438,-235112,-3123,-238235,,509,,0,205658.0,-383485.0,,-478780,,84480,0.0,,-2617.0,,-13994.0,-4461,
2014-11-12,3,2014,-192957.0,0.0,-12950.0,-18253,,-19612,-26385.0,,54415.0,-7507.0,,20801.0,,,,,-24853,1751.0,-436,45500,16729,-30291,,,,-300.0,47608.0,,-180.0,-2000.0,,8868,-312525,,12691,182039,3101,-71.0,106148,51637,0.0,47823,-45582,436,,2014年01月01日至2014年09月30日,133873,68071,-65802,178750,,-158725,-113579,,-37625,,-29954,178750,-328183,228811,-99372,,487,0.0,1282,205658.0,-383485.0,,-292329,0.0,68071,0.0,-4637.0,,0.0,-16168.0,-2518,
2015-03-27,4,2014,-114365.0,,-58483.0,-210,,-16962,998.0,-13708.0,0.0,90.0,,,,,17817.0,,-24590,843.0,-1853,59191,112221,-68281,,,,-2300.0,18795.0,,-180.0,,3001.0,-35639,-261619,,-8402,228522,2851,,359198,76623,,64374,-51750,1853,,2014年度,133873,177131,43258,78942,,-444745,-391052,80000.0,-22570,,16584,78942,-534401,178772,-355629,,2117,0.0,8,449981.0,-334157.0,,-469994,,177131,-3796.0,-5970.0,,7781.0,-1728.0,-250552,0.0
2015-05-13,1,2015,,0.0,-20647.0,-30336,,19265,-50096.0,988.0,8831.0,,0.0,24006.0,,-23.0,,-48.0,1562,-71.0,-388,13815,-8598,-11971,,,,,-15699.0,,,-3137.0,,-26051,-20682,,19005,7868,-360,,-46271,18425,,15966,-11283,388,37070.0,2015年01月01日至2015年03月31日,177131,169410,-7721,29183,,26656,37551,,17156,0.0,20492,29183,-38255,9553,-28702,,13235,,12,4805.0,1426.0,,8368,0.0,169410,,768.0,,2816.0,-621.0,-7230,
2015-08-06,2,2015,,-32500.0,-54007.0,14508,4209.0,24386,-50096.0,-3227.0,14798.0,,,-30986.0,,,-814.0,,2202,-4917.0,-996,28059,-6790,-46202,,,,-48.0,-20078.0,,-200.0,-6137.0,,34374,-77080,,21853,81690,121,,-85874,36136,,31462,-32785,996,65000.0,2015年01月01日至2015年06月30日,177131,110549,-66582,59077,,196756,228545,,-52167,,-170674,59077,-50901,155369,104468,,18825,3084.0,-5709,8636.0,-317.0,-1063.0,169468,,110549,,,2423.0,,-20347.0,-6955,
2015-11-13,3,2015,,-32500.0,-87219.0,12765,4436.0,15824,-26947.0,,-10621.0,-11664.0,,-30861.0,,,-884.0,,232,-11573.0,-1204,43186,30259,-55413,,,,-48.0,-23046.0,,-200.0,-7454.0,,-64819,-8033,106839.0,-228,-31089,-68,,-152887,54648,0.0,47809,-50105,1204,112667.0,2015年01月01日至2015年09月30日,177131,68627,-108504,65256,-71.0,23788,72689,,25752,,-9664,65256,-14461,-90773,-105234,9409.0,17536,3084.0,1804,8636.0,-317.0,-1063.0,7433,0.0,68627,,2423.0,,0.0,-96949.0,-7230,
2016-05-12,1,2016,,,-34990.0,21963,,-2179,-6200.0,4389.0,-7248.0,,0.0,0.0,,1131.0,,-247.0,7087,0.0,-97,12349,-12378,-10295,,,,,4591.0,,,-16.0,,13497,-100851,,49528,-78418,737,,-2420,18244,,15866,-15082,97,52812.0,2016年01月01日至2016年03月31日,220713,131115,-89598,21905,-70.0,-33943,-18958,,-32898,,-40857,21905,-20064,-73611,-93675,25900.0,265,,371,0.0,0.0,,-40863,,131115,,0.0,,1488.0,6986.0,4977,
2016-08-12,2,2016,,0.0,-84392.0,35210,0.0,-6373,-23030.0,4242.0,7159.0,,,-5000.0,,,0.0,,26028,1493.0,-225,24739,178,-18972,,,,-247.0,-5968.0,,0.0,-16.0,,35622,-58281,,75504,-3611,-37,,-20233,36806,,31570,-29589,225,88838.0,2016年01月01日至2016年06月30日,220713,190070,-30643,43770,,189302,221066,,-136616,,-199890,43770,55698,32760,88458,26118.0,258,0.0,423,0.0,0.0,0.0,177296,,190070,-2400.0,,0.0,,-4254.0,-977,
