date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他借款增加,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2013-05-08,1,2013,10527.0,,,-172084,6239,,-296,8992,,,,,-3896.0,13710.0,,0,,,,170,,0.0,251.0,-936083,,-324278,,,10197.0,30002.0,,4620,52350,0.0,-15334,36396,-24256.0,1203,1665,-153074,,0,-13525,549,,2013年01月01日至2013年03月31日,507886,647642,139756,650540,,1006373,1019349,,-389400.0,0,-666462,-867820,650540,,1198709,-840427,358282,,952.0,,0.0,-952.0,,157870.0,,368809,2752,647642,,,,,,,,160087,1702054
2013-08-13,2,2013,15521.0,,,-93535,-72507,,43,-77753,,,,13829.0,,,,-1763,,-1083.0,,0,-139.0,-546.0,,1497209,,-440979,,,15866.0,0.0,-49941.0,897,97105,0.0,27052,-20988,-24256.0,-3392,3154,-48772,-5.0,592,-25724,7037,,2013年01月01日至2013年06月30日,507886,678989,171103,904082,,1638017,1656910,,-389400.0,1395000,-2576912,-1463522,904082,,-767034,1504341,737307,,,,0.0,-1524.0,,157870.0,,752828,2752,678989,-206.0,-525.0,,,,,,102995,-227822
2013-11-08,3,2013,22239.0,,,-105901,9863,-198425.0,-16959,-17370,,,,16529.0,,,,-7504,0.0,-1723.0,,0,-287.0,-1042.0,0.0,2022466,,-487883,-58339.0,,60864.0,0.0,-49941.0,-4562,144992,0.0,33651,5772,-23389.0,-208694,4806,-101664,-4.0,1722,-36766,9987,,2013年01月01日至2013年09月30日,507886,995660,487774,1340730,,2515942,2562091,,-389400.0,1535000,-3072716,-1819474,1340730,,-1008298,2207420,1199122,,0.0,0.0,0.0,-29.0,,157870.0,0.0,1221361,2752,995660,-19370.0,-785.0,,,,,,109710,-374881
2014-03-10,4,2013,54018.0,,,-121598,4020,-197430.0,5283,5084,,,,30875.0,,,,-6483,-633875.0,-650.0,0.0,0,-299.0,-49288.0,0.0,1650152,,-72091,-41574.0,,-22404.0,0.0,-49941.0,-3518,50811,0.0,1034,40243,-23927.0,-887697,6815,-45043,14442.0,487,-29616,4185,,2013年01月01日至2013年12月31日,507886,1846935,1339049,1909137,,2896650,2949800,1250000.0,-389400.0,3306192,-4867128,-669904,1909137,2983.0,-1031882,2018527,986645,,29.0,0.0,,-13.0,0.0,,0.0,1040663,53414,1846935,-27719.0,-1571.0,,,80672.0,0.0,,312226,-805467
2014-05-12,1,2014,16736.0,,,-4332,17,,-18228,-22405,,,,,-741.0,1418.0,0.0,-342,,,,90,,-1016.0,0.0,1285795,,-238523,-30816.0,17123.0,,0.0,0.0,-1713,101769,,32396,23933,-49.0,-1358,3739,-42920,9863.0,1316,-2935,907,,2014年01月01日至2014年03月31日,1846935,2164334,317399,1790857,,1719667,1746037,,0.0,0,-1401000,-1400910,1790857,,-1585402,1523846,-61556,,0.0,,,0.0,,0.0,,-44820,3356,2164334,-24342.0,1141.0,,,,,,145261,-1312220
2014-08-08,2,2014,30219.0,,,-409744,6185,-174982.0,-19114,11658,,,-57891.0,918.0,,,-2922.0,-1231,,0.0,,3922,0.0,0.0,43757.0,152483,,-245553,-33908.0,25855.0,,20000.0,,6263,110359,,29780,17100,2493.0,-132456,13154,-88430,17190.0,1231,-35510,4267,,2014年01月01日至2014年06月30日,1846935,753789,-1093146,1844625,,134483,301726,,-24210.0,630000,-1721963,-1092251,1844625,,-1960128,387010,-1573118,,,,,0.0,,0.0,-29.0,-1542899,3356,753789,-136000.0,-2245.0,,,,,,205766,-1289776
2014-11-10,3,2014,44150.0,,,-423799,4879,-174982.0,-23502,9763,,,-40753.0,,,2650.0,7709.0,-3965,-10000.0,-12.0,,4849,0.0,-2745.0,,19493,,-384142,-40991.0,96507.0,,,0.0,66452,107220,,33444,2031,-50.0,-191489,19356,-75654,23069.0,3822,-55761,5524,,2014年01月01日至2014年09月30日,1846935,550660,-1296275,1804165,,-28453,190147,,-24210.0,600307,-1664988,-1084042,1804165,,-1930420,272252,-1658168,,215.0,,,369.0,,0.0,,-1614018,3356,550660,-168363.0,-5116.0,,,,,,211829,-1224251
2015-03-12,4,2014,224520.0,,,136515,1187,0.0,-23644,12583,,,-71002.0,,-7574.0,11204.0,12546.0,-7079,-10000.0,-624.0,,604,0.0,46459.0,,-2732312,-174982.0,-169378,,28836.0,,,19991.0,-5046,93226,,-80605,25331,162.0,-146041,26372,-107602,28296.0,5080,-78732,7669,,2014年度,1846935,542362,-1304573,1471559,,-2251850,-2026889,0.0,-24210.0,1822368,-1914228,1080772,1471559,0.0,-978091,-2744877,-3722968,,185.0,,,440.0,,,,-3498448,13459,542362,-153898.0,-8702.0,169404.0,,1176247.0,0.0,,114317,-958995
2015-05-08,1,2015,,,,-67634,-1057,,2353,90,,,-23190.0,,-615.0,3665.0,-1654.0,-2379,,,,0,-36.0,-636.0,,-305205,,-248312,,53342.0,,59940.0,,-2119,5456,,67941,-18438,,-3015,7162,55463,4258.0,1271,-21561,641,16855.0,2015年01月01日至2015年03月31日,542362,390132,-152230,-48846,315.0,-471825,-450906,,,445360,-181000,324264,-48846,,-196039,-222876,-418915,,,,,,,,,-402060,-932,390132,1.0,1114.0,,,,,,-3936,66948
2015-08-07,2,2015,,,,-60140,584,0.0,3701,-140,,,-29006.0,,-2362.0,7080.0,-2877.0,-9596,,,,1479,,-530.0,0.0,-503164,,-167623,-3753.0,145109.0,,30000.0,-20000.0,20295,-141526,,124572,-50055,,-10126,14574,6717,9617.0,2500,-41326,2371,26271.0,2015年01月01日至2015年06月30日,542362,357685,-184677,-66713,315.0,-626513,-583627,,0.0,805360,-362000,454839,-66713,,49214,-592399,-543185,,,,,,,,0.0,-516914,-435,357685,-3931.0,-5138.0,,,,,,-381,111745
