date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得持有至到期日金融資產,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付款項增加,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分按攤銷後成本衡量之金融資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-14,1,2013,,309796,-152409,-298431,35364,0,-6653,-7129,7182,68,,,,,-83801,,36350,,30776,19200,-52149,-7000,,,-12000,0,-40703,0,,,,,,,-75842,,,-46563,,7605,287063,61568,0,4856,,-162065,267896,,,16188,3416,-24756,,,,2013年01月01日至2013年03月31日,1179773,1504868,-8299,325095,-156970,,394735,419491,,,524065,,73225,-156970,1289,,3656,263009,266665,,14,,597,,,,,576461,5509,1504868,,-3223,0,0,,,-7983,,
2013-08-09,2,2013,,644817.0,-336509,-305697,87636,,-10909,-13041,56068.0,4159.0,,,,,-116759.0,,76586,,62870,-16267,-132116,-13486.0,,,-12000,-740.0,-41412,0.0,,,,,,,-147930,12397.0,,67254,10000.0,12119,320378,109541,0.0,-104193,,-273664,536247,,,19130,6910,-54729,,,,2013年01月01日至2013年06月30日,1179773,1475107,-9186.0,295334,-353002,,639916,695033,,,548470.0,,-54651,-353002,4044,1364.0,227236,175982,403218,,2081,,-14458,,,,,1048035,5509,1475107,-388.0,-2787,0.0,29085.0,,,9095,,
2013-11-12,3,2013,,996543.0,-336509,-963124,51237,,-15286,-15524,5732.0,105077.0,615.0,,-296883.0,110045.0,-21395.0,,124525,,97948,-24052,-263248,-4000.0,,-621.0,-12000,-1630.0,-64942,270.0,,,90.0,,,,-82960,,,-3752,3000.0,-49847,216745,12035,0.0,6823,,-636343,811369,,,14807,12646,-80248,,,,2013年01月01日至2013年09月30日,1179773,1042275,3468.0,-137498,-477161,,682556,762816,,,1048529.0,,-159659,-477161,6799,,115204,128230,243434,59000.0,20260,,-12992,,,,,1239977,5509,1042275,-12.0,-2594,0.0,29085.0,,,-9742,-151347.0,6757.0
2014-03-27,4,2013,4709.0,1265314.0,-336509,-969221,86833,,-12555,-20968,0.0,102352.0,-789.0,,-64990.0,110045.0,,2012.0,30889,,130021,-34748,-412722,-6904.0,-83690.0,-621.0,-12000,-4279.0,-60981,270.0,,14916.0,122.0,,-4834.0,,-12233,,0.0,-120163,0.0,16276,229441,133172,0.0,-13507,,-700852,1116174,,,17864,16246,-121344,,,,2013年01月01日至2013年12月31日,1179773,966126,,-213647,-491319,,1051641,1173275,,,228994.0,,-529688,-491319,7365,,84529,314751,399280,517571.0,31203,,-2912,,,,,1664594,5509,966126,-290.0,-2712,0.0,29085.0,3142.0,,-8778,-248020.0,-769.0
2014-05-07,1,2014,,309547.0,-69737,-671615,-48301,,22299,-1907,,-1197.0,,,2208.0,0.0,,463.0,5387,,36233,-4159,-80280,2952.0,,,0,,-37983,,,,77.0,,-2396.0,,66935,,,37796,,-73139,-336391,124738,,7377,,-41536,291053,,68989.0,-209,3339,-33169,,,,2014年01月01日至2014年03月31日,966126,1113716,,147590,35000,,123458,156627,575000.0,,236102.0,,69827,35000,10993,,-84764,-103156,-187920,0.0,3794,,172,,,,,121627,4155,1113716,,-3593,,,,,11886,-35359.0,77.0
2014-08-12,2,2014,0.0,551774.0,-69737,-684286,-5365,,15930,-1252,,-3958.0,,,-5275.0,0.0,,1093.0,-16625,-4413.0,67315,-2535,-101347,-1096.0,,,0,-1524.0,-74102,,,0.0,-5.0,,2949.0,,171960,,,109554,0.0,-73297,-355682,60850,,-55723,0.0,-99259,563719,,83690.0,-5142,7051,-66047,5214.0,,,2014年01月01日至2014年06月30日,966126,1176270,,210144,97509,,469552,543309,575000.0,,-4586.0,,-157614,97509,12532,,26430,-132404,-105974,26000.0,3792,,877,,,,,445800,4155,1176270,-12924.0,-3593,0.0,0.0,0.0,,30261,-80289.0,-504.0
2014-11-07,3,2014,,879053,-135600,-1577422,74652,,9085,180,0,0,,-70137,-200215,47337,-1836,,2591,-5742,95667,-2161,-124438,8951,,0,0,-1524,-75455,0,,,73,,,2545,-53889,,,212843,0,-209532,-310347,25602,,-77915,,-318521,834809,,83690,-9134,7708,-115856,5431,,,2014年01月01日至2014年09月30日,966126,805178,,-160948,153420,,590050,713400,913500,600000,-216730,,-430316,153420,26781,,77380,-396453,-319073,56000,4251,,8227,,,,,559980,15,805178,-12925,-3293,,0,,-3121,11011,-137462,-583
2015-03-17,4,2014,0.0,1215848.0,-135600,-1580603,66451,,9683,-2107,,0.0,-668.0,-70137.0,-120065.0,-234275.0,,-1167.0,24836,-9621.0,117117,-1077,-137985,-27861.0,,-90000.0,0,-7159.0,-76599,0.0,,,245.0,,3555.0,,-287164,,,176705,0.0,-208261,-208029,36334,0.0,-1413,0.0,-727128,1110192,-41562.0,83690.0,-7758,13708,-137403,8602.0,,,2014年度,966126,817820,,-148306,97462,,716827,858555,913500.0,600000.0,49667.0,,-136928,97462,35436,,33823,-488578,-454755,86000.0,4268,,11214,,,,,761093,4170,817820,-12927.0,-3671,0.0,0.0,0.0,-3176.0,4241,-198022.0,-1072.0
2015-05-14,1,2015,,,0,-607878,-50767,,-2083,0,,,0.0,,163236.0,-21231.0,,669.0,69332,-4726.0,24404,-5124,-11589,-2578.0,,0.0,0,0.0,13696,,,,-49.0,,514.0,,-83219,,,-32817,,2533,-1398,21763,0.0,34420,,107204,281556,-2997.0,0.0,-53,3600,-21493,,,395870.0,2015年01月01日至2015年03月31日,817820,717766,,-100054,-231354,0.0,44380,63675,0.0,,11413.0,,-246514,-231354,7033,,-81164,-19677,-100841,350000.0,70,,647,,,,,295029,0,717766,0.0,381,0.0,,0.0,0.0,13837,-24798.0,-113.0
2015-08-10,2,2015,,,0,-3195464,-30550,,8604,2205,,,0.0,,169650.0,-60304.0,,1298.0,137798,-7689.0,46752,-5236,-56383,32812.0,,0.0,0,0.0,14634,,,,-111.0,,519.0,,-15964,,-74164.0,-17437,,-2998,-15448,75937,0.0,22171,,52639,555289,-27846.0,0.0,-4590,6715,-43781,,,769079.0,2015年01月01日至2015年06月30日,817820,629463,,-188357,-554236,0.0,198520,237827,0.0,,37459.0,,-434280,-554236,13870,,-51257,74241,22984,2798000.0,70,,5081,,,,,792063,0,629463,-449.0,1219,0.0,,0.0,0.0,26787,-39807.0,-272.0
