date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付款項（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,-345851,0,,,-974892,6053,935627,3484,166807,,,-155904,-1095308,,,,-90202,,,,-122426,112016,1381516,-266879,,-139468,,-2525,54863,126718,,,,,,672738,-3763688,-10940,200000,,-488742,-6383,5369891,-22072,778227,-1191,,-178024,-90022,,-311234,6889,-91729,122426,,,2013年01月01日至2013年03月31日,12994012,13812816,818804,1152240,,1226015,1489088,,-1847219,,-1610703,1152240,,-5394496,6077195,682699,,64041,0,674,,0,0,0,336848,,13812816,-293770,3389,,,-564201,
2013-08-09,2,2013,-122937.0,61755,,,-936692,2187,397567,-178589,-13126,,,,,-176962.0,,-1094787.0,,-32137.0,,45733.0,-260279,243973,67211,-753997,,-50553,-850.0,-8722,183870,137066,238024.0,41438.0,,,53669.0,-4521772,-2873505,-12989,-640000,,-848721,-19468,2975632,-136100.0,423805.0,-4182,1379.0,-559349,175181,0.0,-531059,14030,-204706,260279,59440.0,,2013年01月01日至2013年06月30日,12994012,11502842,-1491170,3093332,,-4437358,-3819474,,3823507,,3438326,3093332,,-4926977,-1862892,-6789869,,64110,0,1235,,0,0,0,-6912806,,11502842,-673457,4379,,76315.0,275534,-239168.0
2013-11-13,3,2013,-231701.0,94714,,,-1110138,61,441097,-41872,43612,-71922.0,,,,,23038.0,-1244840.0,0.0,-75156.0,,59152.0,-394565,409206,-375828,-1371626,0.0,-51846,-852.0,-102029,192776,167303,238024.0,-116938.0,,,56990.0,-6981327,-419928,-17069,400000,,-1005710,-25006,-96631,-77422.0,777699.0,11030,25623.0,-945018,258515,0.0,-788073,21466,-353253,394565,135719.0,,2013年01月01日至2013年09月30日,12994012,10464557,-2529455,4736218,,-4383360,-3573439,-3173778.0,5908359,,3174751,4736218,,-2793639,-5284317,-8077956,,64394,0,1610,,0,0,0,-8309657,,10464557,-851233,8212,,-10195.0,1927949,-169550.0
2014-03-21,4,2013,-8488.0,94651,-151800.0,,-712177,8816,-2711210,-2828,217368,72443.0,-40694.0,3407.0,,-1096506.0,,-543992.0,0.0,-88569.0,,317426.0,-589003,578421,-156974,-1758224,0.0,-55634,-969.0,-63783,277169,209526,,-90872.0,,57375.0,,-3485719,4199987,-3379,160000,,-759200,-25006,623700,-70110.0,-164058.0,11058,-12209.0,-2649695,463246,0.0,-984861,47842,-506594,589003,128557.0,,2013年01月01日至2013年12月31日,12994012,11469901,-1524111,6391824,,3552069,4452549,-3173778.0,787608,,-2269511,6391824,-128557.0,2523369,-4454156,-1930787,,44596,0,6170,,0,0,0,-1939275,,11469901,-1111446,3659,,-10195.0,1929697,-249313.0
2014-05-12,1,2014,-501057.0,0,-5000000.0,,148140,-2067,284276,3960,733,56914.0,36630.0,1774.0,,-22401.0,,-85521.0,,-5495.0,,-171452.0,-151651,161269,1045378,-316233,0.0,-489,0.0,-10841,-154318,0,,170101.0,,4659.0,,-4954179,1019786,-22292,800000,,181368,0,970721,24163.0,553433.0,0,-520.0,-349859,83198,-1727.0,-269115,7841,-155561,151651,0.0,,2014年01月01日至2014年03月31日,11469901,11999640,529739,1181221,,-1899868,-1739116,0.0,5763987,,1734088,1181221,0.0,1383103,-3802383,-2419280,,208,0,112,,0,0,0,-2920337,,11999640,-156842,-6941,,0.0,-634139,0.0
2014-08-11,2,2014,-559342.0,2873,-5000000.0,,-34402,-4425,-764357,-151058,-12122,78971.0,-32236.0,99486.0,,988043.0,,-113113.0,,33959.0,,-79387.0,-310771,340494,470657,-694798,0.0,-1012,-22953.0,-22880,-29256,0,,92487.0,,,16504.0,-513718,-5962125,-5314,1300000,,-1530,0,4647524,-19449.0,495718.0,0,1485.0,291219,174713,1560.0,-531829,15797,-335265,310771,0.0,,2014年01月01日至2014年06月30日,11469901,13466847,1996946,2614370,,-2345384,-1853977,,7187967,,3580454,2614370,-112927.0,-5827854,1918849,-3909005,,3605,0,4316,,0,0,0,-4468347,,13466847,-466913,-30492,,0.0,-1632022,0.0
2014-11-13,3,2014,-546116.0,61590,-5000000.0,,-213262,-5924,382990,2913,-46226,92759.0,40694.0,102478.0,,1089880.0,,-452803.0,,62318.0,,46487.0,-515024,532944,329625,-714066,0.0,1193,-22908.0,-34751,28606,0,,99360.0,,,8749.0,1037631,1296465,40058,2290000,,533271,0,-1081128,-63317.0,-1508144.0,0,0.0,406484,262973,131652.0,-772900,23416,-522295,515024,112909.0,,2014年01月01日至2014年09月30日,11469901,19900237,8430336,4529894,,3521839,4007628,-4447860.0,5145963,,4172388,4529894,-112909.0,1845845,-1821995,23850,6084925.0,705,0,780,,0,0,0,-522266,,19900237,-591427,-40489,,0.0,-312483,0.0
2015-03-16,4,2014,-390648.0,61606,-5000000.0,,-605083,-5206,823406,-5057,-67391,47871.0,-677257.0,91172.0,,1019507.0,,-898185.0,,17472.0,,302238.0,-776333,706562,1451120,-984195,0.0,1574,-23037.0,-59688,306594,0,,139356.0,,,-21563.0,1314662,-137692,150358,2290000,,550881,0,1321863,-142178.0,-873630.0,0,,-49616,288546,134005.0,-1128824,54999,-733169,776333,112929.0,,2014年度,11469901,22632188,11162287,6217233,,5049256,5815188,-4447860.0,7688281,,4711527,6217233,-112929.0,92301,-103698,-11397,4041750.0,6099,0,1284,,0,0,0,-402045,0.0,22632188,-922025,-32785,,0.0,-1101327,0.0
2015-05-11,1,2015,,0,0.0,,-862290,-3699,-239632,2177,-14573,85305.0,353904.0,-1849.0,,-37.0,,-357512.0,,0.0,,-18728.0,-281413,182929,-1191026,-417948,0.0,-3081,,-9576,60361,0,,-52544.0,,,34460.0,-1446530,-500939,-25140,-250000,,-615038,0,5491081,157783.0,1815982.0,0,,-395869,92802,3047.0,-342536,14372,-185591,281413,0.0,-280863.0,2015年01月01日至2015年03月31日,22632188,25432942,2800754,1343693,,5093487,5374970,0.0,-358669,,-705838,1343693,0.0,-1923650,6235790,4312140,-44625.0,14886,0,8317,9896.0,0,0,0,4031277,,25432942,-377305,-6863,,,455490,
2015-08-05,2,2015,,0,0.0,,-1756539,-124,1385554,-180557,-3272,-97407.0,322056.0,-3851.0,,-202397.0,,-516792.0,,0.0,,264710.0,-570477,388331,-1631323,-667869,0.0,-3105,0.0,-16001,174766,0,,-39260.0,,,35473.0,-1502375,-2159169,17058,-750000,,-573116,0,5530238,,,169275,,-837304,157326,4964.0,-655345,28371,-374895,570477,0.0,-328462.0,2015年01月01日至2015年06月30日,22632188,24527510,1895322,3019345,,3209696,3779885,,2044238,,1154253,3019345,-123868.0,-4573148,5662150,1089002,-100725.0,19867,0,9802,4668.0,0,0,0,760540,,24527510,-765771,-6746,,,449787,
