date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融負債增加（減少）,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得持有至到期日金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票處分,庫藏股票買回成本,應付公司債匯率影響數,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分避險之衍生金融資產,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,金融資產減損損失,長期應收租賃款增加,長期應收租賃款減少,除列避險之衍生金融負債,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2014-05-07,1,2013,,309147.0,,,,-244472,-642658,-63355.0,,,,-90191,-9990,-41223,,,30291.0,-120855,,,0.0,3130.0,,-55183.0,,-77845,81043,354716,-261832,,,,,2279,19797.0,,429179,,,-997964.0,,515268,25497,,-38351.0,-467403,-8309,5328.0,-220951,305078,,-1284,23663,-88566,78540,,,2013年01月01日至2013年03月31日,5562189,5272022,,-290167,42163,,-11562,-53265,,,1000541,0.0,-412370,42163,,-70102,-334473,-404575,,16841,,,,59,,,,45802.0,,,,-95428,,,5272022,-36837,-23846,,,,,,,,,-35671,36453
2014-05-07,2,2013,,430150.0,,49.0,,-285803,-83036,65560.0,,0.0,17458.0,-160868,35844,-11430,,-287627.0,0.0,-1743386,,,0.0,45468.0,,-35019.0,,-157549,161081,208811,-356168,,-2000.0,0.0,,-7846,27219.0,,326902,,,-997964.0,,387390,-83894,180361.0,0.0,-738549,-22094,-2954.0,-310850,591798,,-61055,50591,-167986,158396,,,2013年01月01日至2013年06月30日,5562189,3818787,,-1743402,176500,,-1654180,-1516838,,,1023444,,12817,176500,-122099.0,365592,-2489080,-2123488,,52146,,122099.0,,-2895,,,,132744.0,,,,-1693338,,,3818787,-127752,-21876,,,,,,,0.0,,-139655,112242
2014-05-07,3,2013,,773635.0,,130.0,,-612884,-414795,28646.0,,0.0,17458.0,-207656,57139,-22951,,0.0,22206.0,-1463735,20726.0,0.0,-85249.0,,,-65035.0,,-238882,266074,106465,-537421,-1110.0,,0.0,,16249,28252.0,,170759,,,-997964.0,,525441,-64968,214417.0,,-515608,-9065,-20093.0,-280198,865213,,-122266,67574,-266412,241654,61477.0,,2013年01月01日至2013年09月30日,5562189,3952136,,-1610053,118759,,-1034108,-893167,-403370.0,,5436973,-4232240.0,-402212,118759,,384150,-2169711,-1785561,158778.0,158996,,9886.0,6168.0,-46951,,,,132296.0,,,,-1011926,108180.0,,3952136,-116183,-8511,,,,,,-43546.0,-24865.0,,-121455,193246
2014-05-07,4,2013,,883103.0,,0.0,,-750247,-178714,-29411.0,,0.0,39848.0,-184179,56854,-101207,,-21594.0,,-1177093,0.0,-273300.0,-188886.0,,0.0,-78936.0,,-320370,346815,147749,-699828,129.0,,,,-22880,59064.0,,361195,,,-997964.0,,294865,-31172,0.0,-4437.0,-147837,-3803,-80763.0,-338169,1116060,,-311221,94279,-349762,322428,125425.0,,2013年01月01日至2013年12月31日,5562189,3738139,,-1824050,-275859,,-1294955,-462423,-403370.0,,6866090,-4755193.0,-338675,-275859,-116405.0,177768,-1247435,-1069667,332395.0,145881,,-91429.0,0.0,-63578,19542.0,,109999.0,132744.0,0.0,-14372.0,,-186564,31925.0,,3738139,-832532,-10243,,36493.0,,,-43493.0,-32540.0,38526.0,,5489,84773
2014-05-14,1,2014,,288753.0,,,,-745493,-380172,0.0,9830.0,,,63310,-7969,9685,,,3786.0,-275583,29616.0,,0.0,26455.0,,-3784.0,,-63097,88158,39127,-133689,,,,,359,0.0,-4393.0,-761802,,,0.0,,862074,-276,-56596.0,,-691878,31180,-16567.0,-2597,261837,,8180,23632,-87493,64985,,,2014年01月01日至2014年03月31日,3738139,4595506,,857367,-185010,,-1132174,-1113219,,1669305.0,4242801,-3692163.0,1953011,-185010,,593511,-1810473,-1216962,587597.0,29889,,,,-5782,,,,0.0,,,9761.0,-928209,1092.0,,4595506,-18955,-24534,,,,,,,,,-185385,135329
2014-08-12,2,2014,,214994.0,,0.0,,-984037,14994,0.0,,,,-61822,27389,25306,,,24150.0,-29512,13236.0,,32080.0,,6320.0,,,-125704,206286,-11875,-340302,,0.0,,,1965,12757.0,,-1226881,,965102.0,0.0,-20367.0,899915,-67604,155571.0,,-1199913,80821,-25646.0,-167857,520295,,-12367,53816,-192719,143681,51962.0,,2014年01月01日至2014年06月30日,3738139,4359600,,621461,275326,,-1167715,-1071255,-403370.0,1669305.0,6048342,-6381524.0,1968908,275326,-51962.0,1064992,-2626567,-1561575,849299.0,105663,,,,-49859,,,,0.0,,,,-1346581,17386.0,,4359600,-47422,-313429,,,-41410.0,,,24227.0,,,-214566,198558
2014-11-14,3,2014,,694420,,197,,-789035,78500,0,,,,-99186,-41538,-5663,9015,-4606,0,-131501,,,-43343,,-35200,,,-213150,320740,44223,-546798,0,,,,3488,20465,,-928572,,965102,0,1083,663035,-66998,253784,,-908050,80617,-38285,-297380,779391,,-82563,73413,-255476,228453,195534,,2014年01月01日至2014年09月30日,3738139,4396388,,658249,-17093,,-829029,-714614,-403370,1669305,7436259,-7771138,1740435,-17093,-51962,742477,-2134418,-1391941,402423,110808,,0,,-58686,,32238,,0,,,,-697521,22423,314931,4396388,-87392,-357065,,,-41410,0,,-43360,,0,-142063,116325
2015-03-26,4,2014,,618405.0,,197.0,-1478655.0,-966934,139095,0.0,,,,-104759,2350,40185,13320.0,-24794.0,,7485,,,0.0,57964.0,-78486.0,,,-267943,402559,124050,-860229,,,-138500.0,-9900.0,22859,19498.0,,-223917,-146.0,965102.0,0.0,1083.0,143064,-107389,286709.0,0.0,-579264,80094,-37158.0,-567125,1033314,,-416732,80226,-363374,255403,195797.0,,2014年度,3738139,4816320,,1078181,-144210,,-371042,-155106,-403370.0,1669305.0,11090041,-9580021.0,1892298,-144210,-52225.0,178245,-807546,-629301,336540.0,136026,,0.0,90909.0,-22544,97.0,34260.0,-62147.0,0.0,,0.0,,-10896,46595.0,314931.0,4816320,-107965,-357073,,0.0,-48806.0,0.0,,-45917.0,20583.0,,-27370,-21632
2015-05-15,1,2015,,,,,,-22172,-284306,0.0,,,,4650,15347,-20001,14209.0,,20229.0,-1163306,,,,7335.0,-6014.0,,,-45668,77042,-80072,-180667,,,,,17789,110176.0,0.0,-677356,10141.0,,,,185766,24280,92192.0,0.0,-80574,812,,18888,255880,138500.0,-20991,21543,-82093,46009,62245.0,236196.0,2015年01月01日至2015年03月31日,4816320,4006670,,-809650,101077,-21919.0,-1633512,-1630498,,0.0,4173301,-3460434.0,885046,101077,-62245.0,100773,-2068544,-1967771,0.0,23350,,,,-1140,,,,,,,,-1731575,-6331.0,,4006670,-29175,0,,,,,,-8017.0,,,-132769,173727
2015-08-12,2,2015,,,-3869.0,37.0,0.0,-158362,-220778,,,,,-3190,20355,-19568,32324.0,,97557.0,-575382,,,-16940.0,,3962.0,,,-119310,168172,-167351,-399051,,,,,25448,,118439.0,-1698017,10141.0,0.0,,0.0,489528,86959,-170914.0,,-23735,773,,-17800,501936,138500.0,-147488,40343,-169571,119605,104178.0,380808.0,2015年01月01日至2015年06月30日,4816320,3498187,,-1318133,447141,-46323.0,-1417266,-1197574,0.0,,6645211,-6265074.0,284284,447141,-103414.0,514152,-2539675,-2025523,149880.0,62202,,,,11159,,,,,,,,-1644715,2273.0,,3498187,-169726,0,,,-14424.0,,,-34896.0,,,-220556,153683
