date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,員工執行認股權,員工購買庫藏股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少
2013-05-13,1,2013,,8286.0,,7568,-16780,,-38347,-24395,,-1606,,,,,-1244,705,56,-638544,,-12117.0,,-525,12101.0,4941.0,1229.0,,,842.0,-440091,0.0,104492,4634,-52028,,-384,-1661.0,-650168,3614,349,244917.0,,1054,-695,1493,,,2013年01月01日至2013年03月31日,1244755,540231,-704524,179828,,-29733,-25491,,,,0.0,-42950.0,-24679,179828,1746,,77035,-290640,-213605,176,,-176,,,-205319,,540231,-5040,2587,,,,,-273.0
2013-08-08,2,2013,,17916.0,,53360,-20449,0.0,-25460,-7756,,-219,,,,,-2057,1214,295,-658351,,-12117.0,,-2317,13355.0,4941.0,581.0,,,-1179.0,-752668,0.0,334642,-440,-274233,,-687,-3331.0,-723788,7917,2051,374382.0,,2197,-1234,2306,943.0,,2013年01月01日至2013年06月30日,1244755,420646,-824109,344926,,-11466,38812,,,,-108027.0,,-89150,344926,3523,-943.0,360822,-684852,-324030,176,,-176,,,-306114,,420646,-52293,6241,,,,-50000.0,-3222.0
2013-11-12,3,2013,,22008.0,,5694,-35690,0.0,-19782,-7174,-1645.0,-1097,,,,,-2470,2054,378,-675848,-50000.0,-12117.0,,-5220,14766.0,4941.0,1033.0,,,579.0,-543833,0.0,190443,-364,-261833,,-427,-4998.0,-740852,12494,0,377902.0,,3274,-1889,2749,,,2013年01月01日至2013年09月30日,1244755,463991,-780764,435104,,55565,154308,,,-213489.0,96894.0,,-95855,435104,5302,,169348,-472152,-302804,1754,,-363,,,-280796,,463991,-99603,1717,,,,,
2014-03-13,4,2013,,33328.0,,14801,8802,0.0,-19955,3213,-1560.0,-539,,,907.0,632.0,-3402,2833,-1452,-692474,-50000.0,-12117.0,,-12318,14766.0,4941.0,1033.0,,,,-412757,0.0,227064,2517,-95067,,5,-7326.0,-764454,18008,1479,377146.0,,5246,-2804,3618,,,2013年01月01日至2013年12月31日,1244755,772147,-472608,580921,,597515,705576,,,-213489.0,0.0,-111468.0,-304217,580921,6897,,210524,-119197,91327,1548,,-363,,,124655,-6496.0,772147,-108875,3477,,,,,
2014-05-02,1,2014,,15563.0,,-49617,-30383,,2892,-4989,,-166,,,,158.0,-737,988,-170,-18566,,0.0,,-998,11085.0,2885.0,0.0,,,200.0,56130,,-249843,-2899,-73456,,116,-501.0,-17432,5960,-7475,0.0,,1951,-420,746,,,2014年01月01日至2014年03月31日,772147,697059,-75088,151349,,-192752,-193425,,,,121296.0,,135266,151349,0,,-307589,-52748,-360337,1932,,69,,,-344774,-146.0,697059,347,7174,,,,,0.0
2014-08-12,2,2014,33.0,24979.0,,11402,-16160,-7226.0,-9006,-2508,,0,,,,,-1985,2046,-1162,-23306,,0.0,-30000.0,-3634,12765.0,2885.0,0.0,,0.0,850.0,-312468,,176832,-2110,-265783,-1541.0,0,-910.0,-53872,11988,-5542,0.0,5454.0,4041,-1735,1957,0.0,,2014年01月01日至2014年06月30日,772147,806397,34250,302437,,-176083,-108980,,,,249717.0,0.0,265367,302437,0,0.0,169290,-605686,-436396,2218,,-217,,,-411417,-1376.0,806397,-67325,3619,,,,0.0,
2014-11-09,3,2014,33,44294,,-27322,-40679,-7247,-6553,-3754,0,470,,,,,-2833,3435,-1019,-26485,0,0,-30000,-4915,12874,2885,0,,,878,-148946,,95721,-2350,-385966,-44,116,-1127,-58304,18135,-5337,0,11301,6022,-3138,2895,,,2014年01月01日至2014年09月30日,772147,394353,-377794,462511,,-144688,-26989,,,-270887,81345,,-173783,462511,1400,,52256,-586050,-533794,2218,,-217,,,-489500,-776,394353,-117456,7018,,,,,
2015-03-12,4,2014,,72727.0,0.0,-3542,5322,-96.0,-5888,2770,0.0,-3,,,26.0,631.0,-4050,4270,-608,-30147,0.0,,-30000.0,-6497,13475.0,2885.0,0.0,,,,-77113,,-52972,-2423,-189689,,-677,-1263.0,-64400,24573,-16867,0.0,16896.0,8114,-4148,3834,,,2014年度,772147,878466,106319,609250,,201198,336265,,,-270887.0,224656.0,0.0,-29871,609250,5600,,-86226,-259486,-345712,2218,,-217,,,-272985,-3271.0,878466,-134753,16734,,,176.0,,
2015-04-30,1,2015,0.0,,,-41595,-5602,,1273,3919,,2529,0.0,,,,-1718,1072,-1171,-3905,,,,-1523,0.0,0.0,,,-1079.0,0.0,283000,,-49827,-511,-19525,,-108,,-6489,6520,325,,4476.0,2024,-1030,1673,,14249.0,2015年01月01日至2015年03月31日,878466,1499303,620837,74376,-289.0,260585,263846,380700.0,,,0.0,-12788.0,367912,74376,4200,,-88992,264213,175221,18,,-16,,,189470,1632.0,1499303,-3904,-2309,,,,,
2015-08-11,2,2015,0,,,-22402,7671,80,1018,5425,,2682,,,,,-4385,1687,1724,-14946,,,0,-1999,0,0,,-581,-959,0,515340,,-123718,-70,102983,0,453,,505,13100,3920,-240000,7341,4135,-1812,3957,,15161,2015年01月01日至2015年06月30日,878466,1441572,563106,151697,-317,355356,418752,380700,,,0,-174598,205521,151697,8400,,-142740,394634,251894,18,18391,-16,-12120,,267055,-1171,1441572,-65541,-2981,,,,,
2015-11-10,3,2015,0.0,,,-90223,11117,96.0,-3211,-28217,,2855,,,,,-6649,2107,8165,-22599,,,0.0,-2584,0.0,0.0,0.0,-581.0,-1132.0,0.0,570605,,-73061,-159,64856,0.0,-20,,-7879,19441,-12136,-240000.0,9988.0,6279,-2189,6296,,84009.0,2015年01月01日至2015年09月30日,878466,1272476,394010,211528,-223.0,395609,498926,380700.0,,-333506.0,0.0,-48498.0,-1885,211528,12600,,-177903,381292,203389,45,18391.0,-16,-12120.0,4794.0,287398,1110.0,1272476,-107424,12519,35066.0,,,,
2016-03-10,4,2015,,,,-95062,10155,,-777,2130,,2388,,,182.0,0.0,-8418,2581,7913,-200379,,,0.0,-3597,550.0,0.0,154.0,,,,626132,,-99629,1977,217087,,793,,-185358,26273,-12760,-240000.0,11914.0,7731,-2781,8382,,90048.0,2015年度,878466,1194293,315827,280457,-129.0,691227,793755,380700.0,,-333506.0,0.0,-245853.0,-197955,280457,-5600,,-195435,618685,423250,45,18391.0,-16,-12120.0,,513298,10945.0,1194293,-108129,12909,50000.0,,4794.0,,
2016-04-21,1,2016,,,,-34203,-12698,,-2033,-4745,,0,,,,,-1486,126,608,-18616,,,,-2607,,,6636.0,,-533.0,,-92193,,47021,-825,140203,,-998,,-21203,7026,-6363,,2127.0,1493,-159,1456,,10823.0,2016年01月01日至2016年03月31日,1194293,1245011,50718,110849,27.0,163152,167525,0.0,,,,-98475.0,-91839,110849,0,,16284,29569,45853,553,,-192,,,56676,12660.0,1245011,-5670,1729,,,,,
2016-08-09,2,2016,,,,25680,3598,,117,1624,,0,,2189.0,,,-2819,179,1263,-22651,,,,-2759,,,6636.0,0.0,0.0,114.0,-237363,,50986,-2314,55125,,-511,,-24743,14349,-5829,-60000.0,4143.0,2971,-210,2864,,22140.0,2016年01月01日至2016年06月30日,1194293,1186892,-7401,193398,3.0,25041,54959,0.0,,,,-17787.0,-8962,193398,0,,76948,-237527,-160579,553,0.0,-192,0.0,,-138439,8305.0,1186892,-32572,3509,,,,,
2016-11-08,3,2016,,,,60106,-23767,,3628,1340,,0,,-110921.0,,,-3564,319,-7947,-37772,,,,-4774,,,9358.0,0.0,-1241.0,,-365748,,-4850,-2511,-42826,,-392,,-43234,22191,-3935,140000.0,4966.0,4430,-345,3880,,29300.0,2016年01月01日至2016年09月30日,1194293,404402,-789891,306521,39.0,33756,94076,0.0,-496959.0,-190077.0,11285.0,0.0,-772466,306521,0,,49648,-291393,-241745,553,0.0,-192,0.0,,-212445,-2829.0,404402,-63855,1150,0.0,4848.0,0.0,,
