date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得避險之衍生金融資產,呆帳費用提列（轉列收入）數,員工執行認股權,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分避險之衍生金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,預付款項（增加）減少
2013-05-14,1,2013,676594.0,-744000,139835,-73081,79905,,,65291,,-106770,-570671,,,-26968.0,,-52801,69210,-251442,-473981,,,,-5532,,,-84755.0,,,73488,,,-733927,86966,0.0,,469190,16677,,,-565440,568855,-25134.0,-498284,-8081,82496,-68345,25266,,,2013年01月01日至2013年03月31日,12871012,12036364,5060,-834648,1314613,913024.0,913024,913024,,,-118445.0,-930790,1314613,0.0,,-713330,-364853,-1078183,0.0,319,211.0,,-112,,,,239.0,,,-401589,-1219,12036364,,,1322.0,10406.0,-449
2013-08-09,2,2013,1261563.0,-3544000,501326,129734,38961,,,-22344,0.0,-320117,-1850849,,,-146778.0,0.0,-86406,113870,57020,-722102,,,,-165321,,,-113100.0,,24656.0,379996,,,-1077328,329431,0.0,,622807,-682693,,,-1046869,1148768,-4031.0,-839402,-176249,161560,-122723,82646,,,2013年01月01日至2013年06月30日,12871012,10191784,4706,-2679228,3837114,,2299386,2299386,,,-346698.0,-3988765,3837114,0.0,,-444869,-2354422,-2799291,0.0,17575,211.0,0.0,-1165,,,,239.0,,0.0,-1537728,-3884,10191784,,,90470.0,5770.0,-898
2013-11-06,3,2013,1929397.0,-4216000,478517,257815,84774,,,6923,0.0,-353807,-1518767,,,-211095.0,,-117425,141772,43037,-3888295,-279500.0,,,-165329,,,-74389.0,,35148.0,331962,,,-534823,-215995,0.0,,-502899,-762087,,,-4483729,1729750,-26261.0,-13592,-210564,250887,-154894,114940,,,2013年01月01日至2013年09月30日,12871012,8313977,16436,-4557035,6028327,,5259711,5259711,,,-1040308.0,-5376054,6028327,0.0,,-399987,-2298026,-2698013,0.0,19728,211.0,0.0,21562,,,,239.0,,,-768616,-5433,8313977,0.0,,90999.0,5741.0,75660
2014-03-20,4,2013,3407047.0,-4216000,-10433,97521,85249,,,47112,0.0,37522,-1934884,,,7902.0,,-152698,166075,48883,-6305026,-279500.0,,,-209424,,,-74617.0,,35148.0,615887,,,-1571078,-318694,0.0,,576458,-922719,,,-6671565,2324821,-14982.0,-437104,-98284,326794,-166828,136477,7072.0,,2013年01月01日至2013年12月31日,12871012,6637979,13328,-6233033,6177427,,5831221,5831221,,,-1093892.0,-5441572,6177427,0.0,-7072.0,-1781456,-1971797,-3753253,0.0,45340,211.0,0.0,21645,0.0,,,239.0,,,-346206,-1312,6637979,,,92086.0,720113.0,-1796
2014-05-09,1,2014,632330.0,-280000,33413,353735,-162886,,,-420836,,-48280,2085437,,,11185.0,,-23400,20326,12216,-2867291,,,,-4463,,,-90286.0,,,-220066,,,-319512,6822,,,-122025,840794,,,-2905419,620546,11477.0,95906,-48000,59050,-19093,42157,2237.0,,2014年01月01日至2014年03月31日,6637979,7354004,-581,716025,1076096,3839246.0,3839246,3839246,,,69075.0,-230018,1076096,,-2237.0,34910,2095910,2130820,,1042,0.0,,4775,,,,0.0,,,2763150,-2745,7354004,,,1851.0,0.0,-414
2014-08-14,2,2014,1421290.0,-280000,216517,439675,53354,,,-202480,,-48398,-426272,,,10662.0,,-47141,39991,-4108,-3068885,,-128765.0,-158059.0,-154477,,,-72439.0,,0.0,-390153,,,75294,-5035,,,-343013,673248,,,-3508030,1369286,-12390.0,105856,-81270,118293,-41167,59061,2395.0,,2014年01月01日至2014年06月30日,6637979,6388428,899,-249551,1780922,,3334058,3334058,,,249696.0,-71471,1780922,,-2396.0,662135,-530289,131846,,2477,0.0,,21777,,,,0.0,,,1553136,-3528,6388428,,,1851.0,0.0,-829
2014-10-31,3,2014,3147949.0,-560000,204175,18992,42125,,,-38293,,-66996,425449,,,-969.0,,-68510,58929,9457,-3685935,0.0,-296516.0,-1933055.0,-154477,,,-68953.0,114818.0,0.0,-767245,,,203894,-8744,,,93203,608889,,,-6051340,2125133,,-46019,-77389,157904,-59817,82924,2780.0,,2014年01月01日至2014年09月30日,6637979,4677607,-2407,-1960372,1200489,,5012925,5012925,-439818.0,,128221.0,-931414,1200489,,-2780.0,347621,316866,664487,,2861,0.0,,25140,,,,0.0,,,3812436,-3700,4677607,,70138.0,746973.0,0.0,-1243
2015-03-17,4,2014,4707331.0,-560000,895527,-39185,23274,,,-72569,,184500,339346,,439853.0,3619.0,,-88996,76078,-2438,-4216865,0.0,-297999.0,-2048055.0,-171437,-331154.0,,,-2006.0,0.0,-234052,,,-629725,160717,,23960.0,189848,426526,,-3056.0,-6628372,2898138,-1853.0,203616,-60357,207079,-77291,110146,31168.0,,2014年度,6637979,5884260,-5976,-753719,572002,,7181087,7181087,-439818.0,,-226887.0,-1303996,572002,,-31168.0,590625,1311129,1901754,,3790,0.0,433917.0,27428,,,,93529.0,,-145502.0,6609085,-3316,5884260,,,901851.0,691731.0,-1657
2015-04-29,1,2015,,-280000,-651253,-47555,-25545,,-252231.0,21978,,-88752,105446,,623749.0,3488.0,,-21140,18454,17167,-408950,,-270.0,,-7935,,,,5072.0,,163983,209080.0,,4900,-226400,,-6020.0,-754179,-70464,,,309220,761791,-10036.0,77318,-12481,38904,-17686,19652,0.0,249820.0,2015年01月01日至2015年03月31日,5884260,5906716,-6119,22456,704930,,64123,64123,,-70368.0,,-368054,704930,,0.0,-1032442,141815,-890627,,17067,,,15922,,840000.0,-550583.0,,,-110681.0,-640807,-7326,5906716,,,0.0,,-471
2015-08-06,2,2015,,-280000,-829790,-358954,-187880,,-252231.0,22301,,-17384,142877,11858.0,-615467.0,,5434.0,-41238,32462,30418,-873656,,-270.0,0.0,-138644,,,,14927.0,,119502,209080.0,-421683.0,531176,-216027,,-15354.0,-1123054,356911,-80729.0,,-254832,1547504,-4468.0,85271,65171,76292,-33529,35751,0.0,1199499.0,2015年01月01日至2015年06月30日,5884260,3712817,-7712,-2171443,-44332,,-1045542,-1037751,,-166275.0,,-901487,-44332,,0.0,-911708,-1281210,-2192918,,16293,,,16883,,840000.0,-550583.0,,,-96589.0,-993419,-12765,3712817,-7791.0,,45793.0,,-942
