date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,預付款項（增加）減少
2013-05-13,1,2013,,10809.0,-4846,-1388,-2608,543,,-313.0,-175.0,,-794,68,5356,-4421,0.0,,,,,,-11496,41591,30007,-46846,2789,-1996,659.0,-4421,11410,23,-79,1011,,2013年01月01日至2013年03月31日,285741,290440,4699,16694,,9604,8732,,-5840.0,-5840.0,16694,65046,-83817,-18771,,0,,-7962,290440,-60,102,243.0,-24935
2013-08-09,2,2013,0.0,-50328.0,-893,745,-1328,7859,,,27.0,,-1466,80,10022,-8479,0.0,,400.0,,,0.0,-14944,-451,18563,-12268,7892,-7281,1232.0,-8479,22893,45,-92,1507,,2013年01月01日至2013年06月30日,285741,256042,-29699,31916,,-25802,-26861,,-5840.0,-5440.0,31916,17123,-25572,-8449,,0,,-58777,256042,-356,-71880,,-7602
2013-11-11,3,2013,0.0,13579.0,-4066,653,-2294,7221,,,377.0,,-2639,85,6132,-6923,-84.0,,200.0,,,0.0,-11269,11996,13407,-5202,2080,-10976,1012.0,-7007,34191,68,-94,2770,,2013年01月01日至2013年09月30日,285741,286348,607,41496,,37171,38726,-30049.0,-5840.0,-35689.0,41496,20055,-36404,-16349,,0,,-2770,286348,-4231,-18126,,-19288
2014-03-17,4,2013,0.0,-3839.0,-7825,-449,1800,-1071,,,-19620.0,,-3363,101,7990,-14065,-567.0,,200.0,,0.0,,-2402,7244,27267,-33020,1633,-5349,1629.0,-14632,45381,255,-105,3410,,2013年01月01日至2013年12月31日,285741,255855,-29886,54132,,12445,14769,-30049.0,-5840.0,-35689.0,54132,30115,-65639,-35524,,3,,-39363,255855,-5629,-46216,,-5361
2014-05-05,1,2014,,-8007.0,-6996,296,0,8071,,0.0,109.0,-16.0,-785,8,-424,-23724,,55.0,,,,,4690,18457,-20246,28690,2755,-457,61.0,-23550,10403,65,-22,894,,2014年01月01日至2014年03月31日,255855,267587,11732,18515,,35706,34889,,0.0,0.0,18515,-14267,38648,24381,174.0,245,,16374,267587,-55,-17982,-5543.0,-5506
2014-08-08,2,2014,,40265.0,-3042,-193,-6837,8061,,,122.0,-1547.0,-1608,24,-2500,-26133,,234.0,-180.0,,,433.0,-21163,7251,-19227,16907,2806,-1102,1364.0,-25700,20756,129,-43,1684,,2014年01月01日至2014年06月30日,255855,287790,31935,29888,,60315,63508,,0.0,-180.0,29888,-20491,13846,-6645,,272,,33620,287790,-4834,22005,,8408
2014-11-13,3,2014,,80835.0,9618,1687,-5875,8341,,,104.0,-1964.0,-2941,34,354,-27756,0.0,-1162.0,-180.0,,,,-6067,896,-1736,29327,4141,-611,2018.0,-27318,31309,195,-47,2930,,2014年01月01日至2014年09月30日,255855,291783,35928,42919,,160730,167484,-97658.0,0.0,-97838.0,42919,4921,38809,43730,438.0,385,,124565,291783,-9637,54979,,1887
2015-03-27,4,2014,,100284.0,8802,1078,-4376,8629,25.0,,182.0,-2169.0,-4038,39,4196,-35773,0.0,-1011.0,-180.0,,-130.0,,7521,-10265,-9855,15149,8611,9843,1831.0,-35458,41817,262,-45,4047,,2014年度,255855,322683,66828,52047,,195928,201600,-97658.0,0.0,-97838.0,52047,-13838,63107,49269,445.0,385,,149553,322683,-9674,64999,,12094
2015-05-07,1,2015,,,-8694,699,-1684,-224,-172.0,,,484.0,-764,8,-1839,-3222,-535.0,-49.0,,,-175.0,,12186,10511,-16846,18775,-192,-2085,,-3925,10025,81,-23,946,-14511.0,2015年01月01日至2015年03月31日,322683,322583,-100,11574,977.0,5664,5494,,,,11574,-15908,24339,8431,0.0,0,7.0,-6080,322583,-753,-24296,,-4820
2015-08-13,2,2015,,,4000,-559,1328,299,-172.0,-5992.0,,-70.0,-1785,13,-3598,-10035,-535.0,-52.0,,,-8614.0,,14022,-3627,-2608,6035,-3289,-3757,,-18932,19854,191,-18,1941,-41185.0,2015年01月01日至2015年06月30日,322683,291954,-30729,29240,1768.0,-8199,-6599,,,,29240,689,4657,5346,0.0,125,252.0,-35839,291954,-3523,-59461,,-2102
2015-11-12,3,2015,,,9894,914,1515,-545,-172.0,-5992.0,,780.0,-3114,17,1303,-12605,-535.0,-46.0,0.0,,-8564.0,,15247,-7285,-15003,-6275,-6562,-11938,,-21467,29227,302,-28,2997,-32352.0,2015年01月01日至2015年09月30日,322683,263815,-58868,54871,-3969.0,-16167,-11441,-22537.0,,-22537.0,54871,-15020,-18940,-33960,0.0,130,237.0,-66312,263815,-7695,-59648,,-3789
2016-03-25,4,2015,,,5348,457,634,6,349.0,-973.0,176.0,-1156.0,-3911,24,-2467,-23289,-535.0,-105.0,0.0,,-8564.0,,20519,-25876,-6791,12061,-2399,-6864,,-32388,37338,411,-17,3755,-12943.0,2015年度,322683,295017,-27666,74650,-27690.0,29726,34466,-22537.0,0.0,-22537.0,74650,-54026,26785,-27241,0.0,128,,-40184,295017,-8478,-45672,,3802
2016-05-05,1,2016,,,-9905,-1059,7249,-2994,-521.0,,973.0,764.0,-632,8,-400,-17879,0.0,253.0,,-100.0,0.0,,-4320,9071,-17383,-419,1237,5885,,-12301,8090,69,-31,1089,18512.0,2016年01月01日至2016年03月31日,295017,304811,9794,21465,1281.0,22595,21609,,,-100.0,21465,-10208,-8160,-18368,5576.0,-4990,2.0,144,304811,-72,14950,,-7463
2016-08-04,2,2016,,,-1025,-920,4731,-1552,-521.0,973.0,,1086.0,-1154,20,-3511,-25305,0.0,685.0,,-100.0,-23.0,,-20465,30746,14991,-29416,2399,7855,,-15833,15881,138,-36,1657,-8524.0,2016年01月01日至2016年06月30日,295017,315964,20947,49275,2018.0,40391,47370,,,-100.0,49275,50940,-44321,6619,5577.0,-4987,3918.0,-1905,315964,-8600,-20193,,-3195
2016-11-10,3,2016,,,7579,-145,-1951,-5533,-521.0,973.0,,-685.0,-2173,26,-7142,-27572,-83.0,1019.0,,-100.0,-23.0,,-10065,5394,534,1312,-600,410,,-17847,23425,206,-43,2608,-3623.0,2016年01月01日至2016年09月30日,295017,282773,-12244,61308,2770.0,42894,55694,-30049.0,,-30149.0,61308,13805,-15796,-1991,5757.0,-5168,4074.0,-5614,282773,-15365,-20273,,-2148
