date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產減少,其他非流動負債減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,預付款項（增加）減少,預付設備款增加
2013-05-03,1,2013,91390.0,,10154,-51657,-3432,-193275,0.0,,-1303.0,-59947,7294,-10515,15684,85919,-16024,,-28611.0,-500.0,-37707,302.0,,-164453.0,0.0,-148056,,,567773,49985.0,0.0,35726,-901269,-160512,,-185872,129831,,2943,-15309,13817,,,2013年01月01日至2013年03月31日,2028221,1650910,-4184,-377311,372413,-458711,-386616,,132369,0.0,181353,372413,,,610221,-1460640,-850419,,2869,66977,-2030,,,-10442,,,,-759029,0.0,1650910,-56786,516.0,,0.0,-5871,
2013-08-07,2,2013,133067.0,-1171996.0,65256,-362493,62085,-75034,0.0,233012.0,0.0,-179795,-60153,-7173,28169,75590,-29899,,-61156.0,-500.0,-38083,8369.0,,-158018.0,,-76742,,,293142,199790.0,,31686,115778,-178290,,11173,251137,,5885,-29564,10475,,,2013年01月01日至2013年06月30日,2028221,2058838,-38842,30617,766885,648017,837967,,259674,,-704163,766885,,,452169,-514154,-61985,,3149,87905,-37,,,-8300,,,106000.0,71082,0.0,2058838,-160386,-2580.0,,3044.0,62627,
2013-11-11,3,2013,391622.0,-1173623.0,264789,-102446,48386,-43105,0.0,233544.0,39139.0,-539558,-54366,-8427,48200,-3129,-46502,,-89338.0,-500.0,-38266,37489.0,,-206314.0,,-350220,,,504826,199735.0,,47498,-463598,-310737,,-430695,386774,,8827,-41393,13628,,,2013年01月01日至2013年09月30日,2028221,1590028,37712,-438193,1167054,919476,1188155,-810913.0,284328,,-923845,1167054,,,865499,-1236020,-370521,500000.0,3748,94597,12599,,,-8753,,,106000.0,21101,0.0,1590028,-227286,1195.0,,6127.0,34086,
2014-03-27,4,2013,509342.0,-1169759.0,71531,47237,11244,8923,0.0,232280.0,0.0,-118019,-35727,-11208,63665,184308,-23833,,-109270.0,-500.0,-31643,9083.0,,-204991.0,,-69208,,,357348,249921.0,,42996,-397503,-425346,0.0,-604223,512836,2698.0,11770,-52827,15422,7821.0,,2013年01月01日至2013年12月31日,2028221,1757476,3226,-270745,1475319,1330238,1737032,-810913.0,-142733,,-1181068,1475319,,-7821.0,483119,-730748,-247629,683333.0,6549,109802,19264,,,-6609,,,106000.0,261713,,1757476,-353967,0.0,0.0,-11109.0,105149,-625484.0
2014-05-06,1,2014,150319.0,,-45010,-99820,101524,8913,0.0,,0.0,-26491,1405,-1283,16568,-4637,-18070,,-5116.0,0.0,-971,-4904.0,,-6144.0,,-273813,,,102747,-330.0,,111858,-192890,79992,,-361752,136963,794.0,2943,-16013,1283,,,2014年01月01日至2014年03月31日,1757476,1787496,-15148,30020,231017,74993,120535,,126650,,321416,231017,,,271119,-531920,-260801,200000.0,32,5466,1355,,,-348,,,,-110482,,1787496,-29529,0.0,,8041.0,-54302,-312712.0
2014-08-12,2,2014,417177.0,0.0,-173385,-130023,61782,-42131,,0.0,,-38407,11489,-2680,33788,-33852,-44805,,-5116.0,0.0,-365,-7120.0,,-5750.0,,-48639,,,-436507,8.0,,103579,82954,62265,,-879789,297769,2487.0,5885,-33736,2680,,,2014年01月01日至2014年06月30日,1757476,1394171,50169,-363305,465423,52561,300992,,204887,,497775,465423,,,-444531,-137077,-581608,300000.0,100,5466,1458,,,-348,,,0.0,-164431,,1394171,-214695,0.0,,17525.0,-61503,-793957.0
2014-11-12,3,2014,611658.0,-200000.0,-66606,-122121,-2723,4793,0.0,0.0,0.0,-32284,39788,-3923,54447,50961,-140865,,-5116.0,0.0,-364,-5994.0,,-8960.0,,-264389,68700.0,,188000,-216.0,,22164,-111435,-136240,,-978073,465088,2487.0,8827,-52860,3923,9367.0,,2014年01月01日至2014年09月30日,1757476,1665000,-4576,-92476,649028,311974,648964,-720203.0,280375,,522662,649028,27150.0,-9367.0,140835,-752557,-611722,1100000.0,100,5466,1486,,,-348,,,0.0,-64,,1665000,-284130,0.0,,30963.0,-123165,-809704.0
2015-03-19,4,2014,793829.0,-100000.0,-193225,-202999,-9750,24086,,0.0,,-19090,62728,-5157,74360,18429,-66989,,-9354.0,0.0,320,0.0,-4108.0,0.0,26034.0,-32833,68700.0,-221125.0,-192231,0.0,-99901.0,44553,-73071,-63537,,-990792,646567,5976.0,11770,-72247,5157,9367.0,,2014年度,1757476,1903343,-29699,145867,930373,599417,935962,-720203.0,295450,0.0,518813,930373,27150.0,-9367.0,-350653,-437587,-788240,1300000.0,3507,5466,1357,,,-350,,,0.0,5589,,1903343,-264298,,,8174.0,-89233,-944890.0
2015-05-05,1,2015,,-90415.0,-60151,156460,30552,-16673,0.0,,,-20262,-14391,-1660,18332,57334,-3736,,0.0,,-1369,,-9767.0,108.0,,36468,0.0,-8975.0,-308193,,-104.0,-55951,-208420,-251604,,-43493,180171,2851.0,2943,-17330,1660,,129026.0,2015年01月01日至2015年03月31日,1903343,1619429,-60781,-283914,206056,-363444,-313829,,174950,,65689,206056,0.0,,-393743,-255168,-648911,0.0,0,8221,545,,,-905,,,,-519885,,1619429,-32285,,,3290.0,28601,-29484.0
2015-08-11,2,2015,,-191939.0,-35993,39202,-5348,-29389,,,,-25106,-3696,-3447,35127,-15837,-14661,,0.0,,-1371,,-9333.0,-14008.0,,65570,0.0,-124421.0,-1134430,119643.0,,-91284,828752,97199,,-83916,357181,4826.0,5885,-34827,3447,,392541.0,2015年01月01日至2015年06月30日,1903343,2138783,-1671,235440,355190,313858,502931,,227385,,21335,355190,0.0,,-1267055,1022255,-244800,0.0,1287,8221,612,,,-905,,,,147741,,2138783,-154246,,,0.0,20921,-43096.0
