date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動資產增加,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分投資性不動產,處分投資損失（利益）,處分持有至到期日金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-07,1,2013,32724.0,,,3343,4667,972,-930,0.0,,240.0,,-9,5354,59,-3137,,0.0,0.0,,,-300.0,,38,,-9.0,0.0,-13639,21998,,,-26409,-19879,807,-858.0,-3317,20209,250,728,-5080,9,120,,2013年01月01日至2013年03月31日,228783,133869,107,-94914,-11701,,-31751,-26672,,,-59943.0,-59905,-11701,-120,13035,-60730,-47695,,,,0.0,,,,,,-14971,133869,1.0,,,,5965,-31756,,13989
2013-08-08,2,2013,-75049.0,,,27646,2621,-485,-911,,,,-56232.0,-72,10602,102,-21153,,,-43.0,,,-900.0,,1897,,-59.0,,6700,5334,,,-5603,-16722,-4800,-1734.0,-24360,40385,818,1457,-10714,72,6191,,2013年01月01日至2013年06月30日,228783,157940,1115,-70843,115833,,46294,58124,,,-94826.0,-92879,115833,-89037,45270,-27930,17340,,,,-40505.0,,50.0,47764.0,,,-57709,157940,-1116.0,0.0,,,188,-14818,,20112
2013-11-12,3,2013,-133727.0,0.0,,52918,1928,-256,1323,,,,,-88,16010,82,-118003,,-81954.0,0.0,,0.0,-600.0,,2223,,-565.0,,-17913,9519,,,-31564,-48061,1604,-2635.0,17380,61813,-3179,2041,-15790,88,170041,,2013年01月01日至2013年09月30日,228783,167709,-2707,-61074,178683,,-878,16029,-150021.0,,70140.0,-77658,178683,-170041,46469,-75396,-28927,0.0,,601.0,-40505.0,,,47772.0,206.0,,-162654,167709,-1117.0,,,,2723,-14277,,18487
2014-03-17,4,2013,-107591.0,1499.0,,2427,638,-2628,2322,,,,,-164,32732,53,-121766,,-234037.0,-1070.0,,-1447.0,-600.0,,4606,0.0,-109.0,,-27182,4617,,,-17569,-30678,-2987,-3594.0,4733,86485,-2775,2880,-32598,164,187675,,2013年01月01日至2013年12月31日,228783,179856,717,-48927,167995,,-188149,-149192,-150021.0,279801.0,,134436,167995,-187675,-137741,-71855,-209596,,,161610.0,-40504.0,,,49830.0,-1907.0,,-317187,179856,-6359.0,,,50.0,2620,-13968,-37016.0,-120994
2014-05-06,1,2014,36809.0,,,14693,2593,850,-1212,0.0,,0.0,,-15,6194,1,-4743,,-32864.0,-6700.0,,,0.0,,167,,-178.0,0.0,-6493,10910,,,-26290,1741,8016,-1010.0,-18866,27193,285,733,-6491,15,120,,2014年01月01日至2014年03月31日,179856,183552,107,3696,-11689,,12153,18644,,10241.0,0.0,10408,-11689,-120,-5761,-715,-6476,,,32019.0,1.0,-993.0,,,-61.0,,30333,183552,0.0,,,,2492,-5360,-5542.0,-4914
2014-07-30,2,2014,-15383.0,,,30842,956,396,-1048,0.0,,,0.0,-86,12454,28,-15433,-50000.0,-49002.0,-7317.0,,-809.0,0.0,,318,,-324.0,,-16425,7269,,,-18192,4416,8355,-2072.0,-111925,56286,615,1507,-12525,86,2220,,2014年01月01日至2014年06月30日,179856,193476,85,13620,63723,,34859,48988,,,90340.0,90658,63723,-86221,12355,-11707,648,,4247.0,38099.0,1.0,-993.0,,0.0,-4329.0,,-14735,193476,-1604.0,,,0.0,4305,-7961,-32699.0,-5888
2014-11-11,3,2014,-79883.0,,,61329,-1954,4105,3717,0.0,,,,-103,18987,2275,-76829,-50000.0,-59002.0,-534793.0,,-3577.0,0.0,,0,-15689.0,-324.0,,-78070,19170,,,4788,-18115,6917,-3214.0,-494966,84659,-3095,2410,-19254,103,184669,,2014年01月01日至2014年09月30日,179856,239474,-1192,59618,144840,,33260,54262,-134657.0,669395.0,,519049,144840,-184669,81130,-91825,-10695,,11743.0,40126.0,5.0,-993.0,,0.0,-4314.0,,-90578,239474,-1748.0,,,,7429,-4320,-6089.0,-5048
2015-03-23,4,2014,-11596.0,30142.0,,11477,3872,3667,-12518,0.0,,,,-186,26771,7760,-91808,-50000.0,-84004.0,-534875.0,,-3578.0,0.0,-2163.0,0,-17647.0,-2244.0,,-56168,14374,604440.0,,-18468,-39744,3598,-3996.0,-478874,114866,-2715,3351,-27125,186,192469,,2014年度,179856,258024,-6324,78168,107986,,-42854,-13975,-134657.0,140000.0,,592136,107986,-192469,-1025,-109340,-110365,,,70248.0,48028.0,-993.0,,0.0,-4435.0,,-121961,258024,-1754.0,,,0.0,3680,-8380,-4417.0,-8079
2015-05-12,1,2015,,,,-4688,1057,-1069,337,0.0,,,,-17,8144,-2377,-1967,,-20428.0,0.0,,,,,29370,,0.0,989.0,-9162,-1912,-334711.0,,-835,20606,790,,-9140,27214,295,941,-7704,17,120,40899.0,2015年01月01日至2015年03月31日,258024,427107,2261,169083,-26393,-1230.0,8441,16145,,410000.0,,172159,-26393,-120,-11864,13503,1639,,,15582.0,0.0,0.0,,,-807.0,,42538,427107,,,,67500.0,2988,-125,-3453.0,-2130
2015-08-10,2,2015,,3472.0,,19787,1078,-3470,20129,,,,,-343,16459,-5023,-13651,0.0,-33312.0,0.0,,-30.0,,,51882,,0.0,865.0,-14798,-2774,-359505.0,,-11454,32912,403,,-16721,54680,887,1892,-15687,343,1657,63454.0,2015年01月01日至2015年06月30日,258024,481628,4833,223604,-48207,-2406.0,35471,52927,,,450000.0,209877,-48207,-15509,5450,32230,37680,,0.0,26747.0,0.0,0.0,,,-1009.0,,101134,481628,-1769.0,,,67500.0,1564,-7494,-2812.0,5767
