date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付款項（增加）減少,預付費用（增加）減少
2013-05-13,1,2013,193298.0,-37296,-5806,,,9999,-10528,1643.0,-29375.0,,,,,,-1745,746,66260,-194950,,,-14578,,-78.0,6613.0,,,,,60792,,-140477,,0.0,-208,-49121,56664,,-214175,186039,,2895,3407,-1124,1698,,,2013年01月01日至2013年03月31日,994290,1116885,-9144.0,122595,216093,,255279,254726,,,336988.0,-328370.0,15231,216093,0.0,,-166339,11674,-154665,6052,,1338,,,,,-10699.0,38633,1116885,-21,9840,0.0,,-10952.0,
2013-08-13,2,2013,135327.0,14649,-6753,,,18659,-43960,2843.0,-3141.0,,,,,-15714.0,-4833,2514,-18129,-228982,0.0,,-25837,,-135.0,6613.0,,,,,299240,,-26409,,0.0,-256,-39457,84080,,-245419,132687,,-280,7474,-2405,4662,,,2013年01月01日至2013年06月30日,994290,1522938,,528648,325957,,681328,745462,,,760080.0,-655825.0,110868,325957,0.0,,9486,274692,284178,18375,,5354,,,,,-8975.0,419505,1522938,-66391,8260,0.0,,-15317.0,
2013-11-13,3,2013,194058.0,26328,-3323,,,28158,-85681,2537.0,-5449.0,,,,,-9113.0,-9112,4043,-52578,-247205,0.0,,-26403,,-113.0,15394.0,,,,,64393,,545555,,0.0,-163,-522630,81411,,-237551,206656,,-9216,15251,-4051,8815,,,2013年01月01日至2013年09月30日,994290,1412767,,418477,716234,,950788,1015621,-332038.0,,1252870.0,-1178408.0,-242182,716234,0.0,,602415,-497086,105329,22799,,4897,,,,,13258.0,299387,1412767,-69597,-9235,0.0,,,-25807.0
2014-03-24,4,2013,260841.0,137707,-6427,,0.0,32372,-96329,,,,6524.0,,-24090.0,-13778.0,-11076,5797,-62225,-459469,0.0,-309823.0,-43361,,-1018.0,15394.0,,,,,299571,,858651,,0.0,68,-584059,79942,1161.0,-793947,276857,18862.0,-1559,22921,-5805,10824,3513.0,,2013年01月01日至2013年12月31日,994290,1995479,,1001189,1276095,,2182228,2275060,-332038.0,,,-14747.0,-324867,1276095,0.0,-3513.0,1029959,-291835,738124,33826,8970.0,6712,,,,,,998965,1995479,-101364,-20502,0.0,,,-3395.0
2014-05-13,1,2014,58169.0,-74788,-1223,,,3555,203374,,,,0.0,-614.0,-1830.0,-19141.0,-7736,941,425,-204789,,-146331.0,-6151,,0.0,0.0,,,,,111625,,-652582,,,1804,399451,1970,403.0,-355549,73814,-2296.0,-764,8177,-918,7502,,,2014年01月01日至2014年03月31日,1995479,2146132,,150653,337815,,381843,382483,,,124548.0,,123934,337815,0.0,,-721608,708107,-13501,3552,,3426,,,,,,44668,2146132,-7224,-548,0.0,,-4794.0,
2014-08-13,2,2014,122233.0,-16298,-5707,,-447868.0,12789,162174,,,-662.0,,,-987.0,-17502.0,-15823,1321,-15237,-328841,,,-7939,,0.0,0.0,,,,,78890,,-553160,,,1283,231210,15706,,-773465,139321,258903.0,-4953,15691,-1571,15241,,,2014年01月01日至2014年06月30日,1995479,2069010,,73531,713184,,910753,1008715,,,0.0,-47858.0,-48520,713184,0.0,,-555386,728684,173298,12170,,5142,,,,,,295531,2069010,-111632,-964,0.0,,-12492.0,
2014-11-12,3,2014,194309.0,7784,-10933,,,40528,109912,387.0,-9272.0,,,,,-13568.0,-21574,1492,-4428,-599480,,,-19743,,0.0,0.0,0.0,-551.0,1833.0,0.0,-38161,,-73582,,,803,-200660,17975,,-595127,206710,314043.0,-9269,26935,-1741,21708,,,2014年01月01日至2014年09月30日,1995479,1791277,,-204202,1207386,,1360828,1533778,-652002.0,,0.0,-312922.0,-965475,1207386,,,-24080,156163,132083,22263,,12884,,,,,,326392,1791277,-192917,-9301,,,,-26741.0
2015-02-25,4,2014,274565.0,41061,-42057,,,22694,14028,,,,5641.0,,-63166.0,-50427.0,-9654,1609,72475,-969227,,,-44314,,0.0,0.0,,,,1833.0,-34227,,-130961,,,454,-299462,12998,-8977.0,-973497,283855,257080.0,-2110,32061,-1609,9654,0.0,,2014年度,1995479,1667294,,-328185,1559089,,1532120,1659353,-652002.0,,,-312922.0,-959283,1559089,,0.0,-75729,-98572,-174301,99481,1896.0,19912,,,,,,100264,1667294,-135278,-681,0.0,,,-6932.0
2015-04-29,1,2015,,-53403,25441,,,53544,114075,,,,0.0,-50.0,-3305.0,11103.0,-4793,4041,-60990,-160838,,50754.0,-33537,,0.0,0.0,,,,,-24141,,-509043,,,-740,661494,712,,-104572,78380,-206862.0,3173,8619,-5,3751,,111591.0,2015年01月01日至2015年03月31日,1667294,3202029,,1534735,98843,302.0,192847,209400,,1507500.0,0.0,,1507450,98843,0.0,,-509340,508306,-1034,42354,,9482,,,,,,110557,3202029,-20299,1586,0.0,,-62413.0,
2015-07-30,2,2015,,33307,40396,,0.0,81421,98765,,,1038.0,,,-4757.0,-20012.0,-13412,11064,-14894,-583505,-179326.0,,-3160,-104256.0,,,,,,,68186,-6774.0,-618705,,,2676,525132,7365,,-776276,155367,-250731.0,7164,21103,-973,10570,,141969.0,2015年01月01日至2015年06月30日,1667294,2599281,,931987,118342,601.0,78499,219743,,1507500.0,142894.0,,1644658,118342,0.0,,-500700,460132,-40568,98728,,6876,,,,,,101401,2599281,-150841,-26181,0.0,,-28981.0,
