date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得透過其他綜合損益按公允價值衡量之金融資產,員工執行認股權,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分投資損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付設備款增加,預付設備款減少
2013-05-07,1,2013,1866,44600.0,,-32109,1783,0.0,-11553,-13332,-4870.0,,30256,-35179.0,0.0,7053,-130,7823,-38796,-11697,,,,,-10000.0,,,,0.0,134200,-160249,157,115339,-4472,-698.0,62234,70985,,,-8652,,,,2013年01月01日至2013年03月31日,715823,1133536,417713,188237,,310746,319398,,,-119976.0,83529,188237,468,,-175430,261991,86561,235657.0,,,119110,,9,,-43474,,131161,1133536,0,0,,-43.0,,,,
2013-08-12,2,2013,3955,123635.0,,-63658,-32460,1476.0,-27744,-13359,-5173.0,,34317,-305882.0,,8381,-502,15316,-52064,-23700,,,,,-10000.0,,,,3051.0,28824,-141733,-1538,99404,10066,-1349.0,-215471,142038,,789.0,-18388,,,,2013年01月01日至2013年06月30日,715723,775210,59487,307859,,343906,380749,,-181716.0,,-16884,307859,947,,-209997,159252,-50745,228757.0,,,119584,,9,,-45424,0.0,72890,775210,-18455,426,,-267.0,,-2300.0,,
2013-11-11,3,2013,9384,209585.0,,-95077,-36602,3143.0,-25787,-21216,,0.0,31515,0.0,2295.0,9809,-746,22991,-61955,-46635,-29210.0,,,,-10000.0,,,,3052.0,-72499,-238555,-8041,131812,30276,-1998.0,-310593,214163,,,-23915,,,,2013年01月01日至2013年09月30日,715723,660828,-54895,421439,,355957,419929,-78919.0,0.0,-126876.0,-38304,421439,1404,,-310983,99888,-211095,263173.0,800.0,,119584,,64,,-45424,0.0,-1510,660828,-40057,240,,-605.0,,-2300.0,-353622.0,0.0
2014-03-25,4,2013,17495,294002.0,3143.0,-126299,3132,,-15303,4126,,0.0,29135,2195.0,,0,-1092,32940,-112994,-65372,-29210.0,-85.0,,,-10000.0,,,,3049.0,129387,-268926,-4026,65217,14434,-2847.0,-889181,291043,,,-31967,1598.0,722.0,,2013年01月01日至2013年12月31日,715723,914069,198346,555511,,734515,803842,-78919.0,,-145161.0,466006,555511,1872,-722.0,-287970,242299,-45671,817040.0,800.0,474.0,119110,,64,,-45424,0.0,248331,914069,-39680,126,0.0,-655.0,,-2300.0,-913285.0,
2014-05-12,1,2014,4961,80455.0,,-44989,-6255,,-10214,-11656,,,-6472,-337.0,,1373,-227,11581,6899,-13128,-74097.0,,0.0,,,,,-1581.0,,13566,90016,-2274,71174,18960,-465.0,-272879,79997,,,-11140,244.0,59.0,,2014年01月01日至2014年03月31日,914069,1312986,398917,212789,,438764,449624,,,270864.0,226133,212789,376,-59.0,70808,85572,156380,0.0,,,30923,10007.0,0,,-17414,,236835,1312986,-23,-133,,258.0,,,-224666.0,
2014-08-13,2,2014,15456,185647.0,1666.0,-97710,-2016,,35126,-25740,,,2544,-986.0,,2412,-634,25099,-1462,-62447,-74097.0,,0.0,,,,,-4819.0,0.0,-22079,-2211,-1410,-5478,-4387,-465.0,-610638,160167,,,-25004,675.0,59.0,,2014年01月01日至2014年06月30日,914069,965688,51619,428040,,507772,587571,,259202.0,0.0,155947,428040,753,-59.0,29024,-55140,-26116,0.0,,,30923,10007.0,0,,-17414,,159531,965688,-55529,-133,,-5545.0,,0.0,-510885.0,
2014-11-10,3,2014,21323,281217.0,4139.0,-150655,22399,,-5608,-42219,,,-5383,-1734.0,0.0,3404,-1126,36312,13413,-134326,-74097.0,,-10000.0,,,,,-5016.0,0.0,-165105,101228,2819,-19752,-16589,-465.0,-701865,240776,,,-36487,977.0,1171.0,,2014年01月01日至2014年09月30日,914069,973548,59479,635023,,675606,787565,-82866.0,311391.0,0.0,72325,635023,1130,-1171.0,120373,-249048,-128675,0.0,35068.0,,30923,10007.0,-1944,,-17414,,152542,973548,-77620,-73,,-5545.0,,0.0,-556829.0,
2015-03-23,4,2014,27531,380456.0,4138.0,-236326,50527,,3677,-8728,,,-4787,-1012.0,0.0,4818,-1911,46934,23488,-248163,-74097.0,0.0,,,-15000.0,,,-6214.0,0.0,-55755,115635,6852,-90567,-12004,-2484.0,-894150,323341,,,-46812,1761.0,1171.0,,2014年度,914069,1006196,92127,834682,,1056667,1217504,-82866.0,255300.0,0.0,-93878,834682,1506,-1171.0,174207,-171841,2366,0.0,46904.0,0.0,30922,,-2738,,-17636,20087.0,382822,1006196,-116957,-218,0.0,-29986.0,,0.0,-651715.0,
2015-04-28,1,2015,6855,,,-71081,-8085,,-10435,-17096,,,672,0.0,69.0,1730,-439,9545,-9027,-58915,0.0,,-5000.0,,,,,-6.0,,-119145,158728,-4784,-48244,-7428,,-295308,85996,,,-9331,636.0,125.0,92181.0,2015年01月01日至2015年03月31日,1006196,953332,-52864,264530,-758.0,291537,300136,,31015.0,,-40066,264530,192,-125.0,134666,-191241,-56575,,,12189.0,0,5140.0,813,,-12189,,35606,953332,-29,-197,,0.0,,,-248785.0,
2015-08-03,2,2015,17179,,2000.0,-125127,-26591,,-16120,-35007,,,7735,138.0,,3667,-839,19256,-16504,-87290,0.0,,-5000.0,,,,,-582.0,,-25882,15506,-3147,-51334,-8650,,-510015,171616,,,-19029,1059.0,125.0,187478.0,2015年01月01日至2015年06月30日,1006196,894668,-111528,522207,-1465.0,423338,564730,,121011.0,,-8347,522207,383,-125.0,-31817,-113138,-144955,,,24205.0,0,10208.0,1072,,-24528,,42523,894668,-123547,-203,,-4231.0,,,-453694.0,
