date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,,-41757.0,,15438,1455,-9374,-1166.0,21872,,,-189,1310,0,-1173,,-94768,,,-1338.0,,-540.0,11056,0.0,-8110,,-499470.0,-6266,-86015,-19485,-59.0,97808,25405,-1526,105.0,-1024,188,12,,2013年01月01日至2013年03月31日,409906,147596,,-262310,257659,,340690.0,340690,341514,,,,-200000.0,-700808,257659,-12,197305,-71693,125612,,208199.0,,-60901.0,0.0,83855,-178.0,147596,,-5949.0,,,-13910.0,,590,205854
2013-08-13,2,2013,0.0,-24116.0,,33149,12509,-12136,-1744.0,288843,-541319.0,0.0,-2610,2276,0,-6629,,-246338,,0.0,-976.0,-541.0,,-3419,0.0,-24207,,-449223.0,743,-210676,-9241,-123.0,-536354,51705,-1290,105.0,-1879,2334,180,,2013年01月01日至2013年06月30日,409906,700774,,290868,1200221,,,1377421,1470063,,,,-100000.0,-550199,1200221,-180,208249,85709,293958,,273915.0,,-74122.0,,269842,-206.0,700774,-93277.0,0.0,,,-15442.0,,9437,211029
2013-11-08,3,2013,,-44953.0,1417.0,62228,8384,-12644,-2192.0,420599,-647931.0,0.0,-6757,3769,0,-10602,,-246338,,659.0,,-540.0,,4573,0.0,-21799,0.0,-549172.0,-15751,-83854,9637,-186.0,-613331,79166,-8255,105.0,-3291,6455,31550,,2013年01月01日至2013年09月30日,409906,481294,,71388,1684740,,,2128173,2234947,,-894941.0,0.0,,-1443454,1684740,-31550,241378,353782,595160,,308552.0,4.0,-81435.0,,550207,-490.0,481294,-141488.0,0.0,,,-17889.0,,-3365,230020
2014-03-18,4,2013,,18049.0,1417.0,55133,11335,-26436,0.0,530745,-727259.0,0.0,-12074,4705,0,-19633,,-282807,,4684.0,,-540.0,,30576,0.0,-38110,0.0,-549172.0,11974,-18433,17708,-266.0,-629864,102474,-10810,105.0,-3853,11727,31561,,2013年01月01日至2013年12月31日,409906,1226597,,816691,2099830,,,2885984,2994569,,-894941.0,0.0,,-1439429,2099830,-31561,309293,567397,876690,180.0,416629.0,-82.0,-81530.0,,894739,593.0,1226597,-148020.0,0.0,,46822.0,-17851.0,,-4534,306405
2014-05-13,1,2014,,17822.0,,-7388,76,17521,0.0,91281,,193451.0,-6099,973,0,-30483,,-249290,,,-103.0,,0.0,14326,,24254,,0.0,-32014,-7956,-2614,-9.0,-66376,23799,-837,0.0,-1094,6457,12,,2014年01月01日至2014年03月31日,1226597,1605373,,378776,366433,,,495255,497752,,,,-50000.0,-50103,366433,-12,80987,32510,113497,2.0,0.0,-2.0,0.0,,131319,-441.0,1605373,-7872.0,0.0,,,0.0,19944.0,-62603,79064
2014-08-12,2,2014,,61501.0,,16940,-8775,15449,0.0,391958,-368553.0,,-13610,1600,0,-33091,-20100.0,-264466,,647.0,0.0,0.0,,15017,,27622,,0.0,-10949,-139883,-70335,-22397.0,-673446,47666,-5363,0.0,-1720,13968,247,,2014年01月01日至2014年06月30日,1226597,2273540,,1046943,2228758,,,1769742,1923297,,,,-50000.0,-49353,2228758,-247,-492601,125639,-366962,144.0,4715.0,-95.0,31550.0,,-305461,-697.0,2273540,-166050.0,,,,0.0,7905.0,-62343,-518569
2014-11-11,3,2014,,18448.0,0.0,33120,-26255,24853,0.0,521560,-399480.0,,-21803,2142,0,-36104,-20100.0,-385956,-280.0,950.0,,-1609.0,,11486,,-1149,,0.0,-12561,-20106,1923,-22397.0,-820578,71536,-8112,0.0,-2221,21490,56072,,2014年01月01日至2014年09月30日,1226597,1866910,,640313,3089332,,,2604320,2769719,,-994379.0,,-150000.0,-1143429,3089332,-56072,-768295,430234,-338061,144.0,15412.0,-95.0,30852.0,,-319613,-869.0,1866910,-240740.0,,,,0.0,7395.0,-58374,-789292
2015-03-20,4,2014,,36406.0,6096.0,22103,-7376,-3410,,549872,-1078376.0,,-31031,2561,0,-57529,-20100.0,-447630,-280.0,3420.0,,-4855.0,,49976,0.0,-38531,,0.0,-7488,-4963,-35086,-25049.0,-1550895,96250,-5029,0.0,-2655,30642,56084,,2014年度,1226597,1654772,,428175,3510445,,,3150029,3314860,,-994379.0,,-180000.0,-1170959,3510445,-56084,-746712,514721,-231991,214.0,31628.0,-83.0,29822.0,,-195585,-924.0,1654772,-248902.0,,,0.0,0.0,19937.0,-37702,-693413
2015-05-12,1,2015,,,,-31961,5845,5260,,-1762304,-82672.0,0.0,-6312,2892,0,-3089,,-218307,,,20.0,-2842.0,,-12125,,2663,,,-30778,384,22649,,-304438,24555,-8073,,-1826,7004,13,13669.0,2015年01月01日至2015年03月31日,1654772,561633,,-1093139,356323,-43.0,,-1598721,-1596438,,,810000.0,0.0,810020,356323,-13,-194462,-1771968,-1966430,0.0,,0.0,,,-1952761,0.0,561633,-7474.0,,620.0,,2472.0,,-26417,-139603
2015-08-13,2,2015,,,,-40717,-16401,6970,,-1730484,-312676.0,,-18111,7870,0,-6215,0.0,-261420,,170.0,,-2842.0,,-50220,,-6412,,,-392,-7018,-23148,,-568966,48431,-5560,,-6833,16538,186,33064.0,2015年01月01日至2015年06月30日,1654772,291739,,-1363033,507148,-71.0,,-1596237,-1463789,,,802000.0,0.0,802170,507148,-186,-143417,-1860584,-2004001,0.0,9000.0,0.0,0.0,,-1970937,0.0,291739,-142339.0,,620.0,,,5187.0,-33313,-102795
