date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得子公司股權,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無形資產,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,436,68216.0,-24700.0,15164,-5819,0.0,,,-34441,,1738.0,,161.0,-4871,1879,29766,-75492,,,-167.0,-1524,-917,,,,-301.0,,159,,-247435,4898.0,195775,-80,28.0,-61837,68177,,7200.0,359.0,2818,-1849,4827,,2013年01月01日至2013年03月31日,1129198,934416,-194782,47287,,14266,52946,,,-152277.0,-176977,47287,,-213723,151166,-62557,6548,335,,,,,5659,4149,934416,-41658,,,,,-4428,9473
2013-08-09,2,2013,230,123870.0,-49400.0,108922,-14973,0.0,,,-5618,,6197.0,,325.0,-10757,3905,51525,-85834,,0.0,-167.0,-3439,-926,,-57.0,,-2708.0,,-85243,0.0,13824,-13239.0,-100437,636,56.0,-64128,137586,,11861.0,359.0,5161,-4204,10767,,2013年01月01日至2013年06月30日,1129198,1003665,-125533,149287,,126041,187960,,,-189514.0,-238971,149287,,128821,-214018,-85197,9637,3554,-15569.0,,,,38673,8154,1003665,-68482,0.0,327.0,,,-8383,11104
2013-11-08,3,2013,783,194486.0,-74100.0,76129,-27505,,,,34580,,7251.0,-186.0,492.0,-15121,5733,47324,-142092,-62000.0,0.0,-167.0,-4873,-932,,325.0,,-3735.0,,-92756,0.0,65592,-21676.0,-171601,11129,84.0,-106427,207587,,11861.0,359.0,7218,-5896,15536,,2013年01月01日至2013年09月30日,1129198,992365,-136833,313875,,304195,380831,-250930.0,,-52758.0,-381925,313875,,145936,-273466,-127530,24836,4100,-15383.0,62000.0,,,66956,8796,992365,-86276,,328.0,-4462.0,,-27313,17011
2014-03-14,4,2013,1265,307295.0,-176500.0,105617,-35152,,,0.0,-18116,-3600.0,,-186.0,,-19969,7415,61034,-197204,-62000.0,-8.0,-166.0,-8084,-4287,,255.0,,-5847.0,0.0,-207107,0.0,195258,-21676.0,-268879,27606,265.0,-156916,276859,,11861.0,359.0,47451,-7785,19877,,2013年01月01日至2013年12月31日,1129198,1183273,54075,441129,,436911,549740,-250930.0,142755.0,,-286954,441129,,329888,-528572,-198684,46124,4373,-15383.0,62000.0,,,108611,11362,1183273,-124921,,328.0,-2526.0,9070.0,-26924,39062
2014-05-09,1,2014,68,75586.0,0.0,-68813,-3039,,,,33035,-100.0,,,,-4040,2012,474,-46297,,,0.0,-871,-5614,,9.0,,0.0,452.0,30716,,-109873,0.0,3438,-3849,147.0,-42924,69847,,0.0,0.0,12729,-2091,4215,,2014年01月01日至2014年03月31日,1183273,974984,-208289,80149,,23221,30632,,,-189069.0,-189060,80149,,-186101,60998,-125103,3395,585,,,497.0,-1.0,-49517,4260,974984,-9535,,,,,697,-11822
2014-08-08,2,2014,812,155499.0,0.0,-23886,10868,0.0,-450.0,,52250,-335.0,,,,-9700,3736,-15264,-108701,,,0.0,-2645,-5304,,20.0,0.0,-1506.0,,22949,,-34504,,-167639,-22880,-88.0,-109734,137717,,0.0,0.0,25406,-3491,10449,,2014年01月01日至2014年06月30日,1183273,963479,-219794,241479,,148888,190244,,,-243704.0,-243684,241479,,-81558,-125176,-206734,3903,2832,0.0,,,,-51235,4214,963479,-48314,,0.0,,,-20724,-27294
2014-11-07,3,2014,810,233833.0,0.0,4914,7565,0.0,-629.0,,-69915,-11371.0,,0.0,,-14457,5860,-1954,-165635,0.0,,0.0,-4164,-4942,,0.0,-214.0,-2034.0,,-59488,,260280,0.0,-401885,-13012,-323.0,-174945,204561,,0.0,0.0,37631,-5569,14545,,2014年01月01日至2014年09月30日,1183273,945575,-237698,395620,,197872,293084,-250930.0,,-7527.0,-258671,395620,,227682,-564051,-336369,8888,4370,0.0,0.0,,,-102536,3518,945575,-104188,,0.0,0.0,,-27316,-40707
2015-03-17,4,2014,1351,310058.0,0.0,85002,-23164,0.0,-1025.0,,-124475,-13528.0,,0.0,,-21552,7884,68374,-210597,0.0,0.0,0.0,-10798,-7805,,0.0,-258.0,-3614.0,,-186305,,280998,0.0,-445826,14587,-297.0,-226501,274437,,0.0,0.0,51031,-7651,20477,,2014年度,1183273,961129,-222144,525319,,270005,398384,-250930.0,0.0,-79487.0,-334022,525319,,350288,-787281,-436993,13061,4712,0.0,0.0,,,-126935,4615,961129,-141205,,0.0,-3347.0,0.0,-22098,-20030
2015-04-29,1,2015,128,,,-114355,17821,0.0,,826.0,9578,0.0,,,,-7038,1817,-35507,-57248,,,,-2700,-726,,0.0,-7.0,,2500.0,-63424,,-111856,,312569,9220,,-51921,69513,,,,11049,-2051,6881,74234.0,2015年01月01日至2015年03月31日,961129,984907,23778,39164,-296.0,166914,166949,,,-55701.0,-55708,39164,,-227812,281363,53551,4701,-509,,,0.0,0.0,127785,1316,984907,-4865,,,,,-4401,-2621
2015-08-07,2,2015,140,,,-109509,16029,0.0,0.0,1025.0,213971,0.0,,,,-13308,3300,-41072,-131253,,,,-3100,-13,,39.0,,-2667.0,,-27987,,-222901,,309277,14002,,-129447,136572,,,,21089,-3615,13380,147665.0,2015年01月01日至2015年06月30日,961129,1060116,98987,143288,-594.0,428751,454615,,,-153711.0,-159245,143288,,-349241,512903,163662,6548,-115,,,,,311327,4787,1060116,-35629,,,-5573.0,,-12389,-21024
2015-11-06,3,2015,178,,,-70969,23681,,0.0,1025.0,226416,-2750.0,,,,-19007,5182,3171,-195411,,,,-3687,1278,,51.0,0.0,-2081.0,,31023,-24731.0,25913,,-86059,5177,,-192732,204118,,,,29789,-5571,19345,222162.0,2015年01月01日至2015年09月30日,961129,1109971,148842,372911,-894.0,658642,736587,-301116.0,11130.0,0.0,-320239,372911,,-39537,181051,141514,10172,624,,,,,363676,5527,1109971,-91719,,,-5573.0,,-19187,886
