date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得避險之衍生金融資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延借項（增加）減少,遞延貸項增加（減少）,金融資產減損損失,金融資產證券化款項,金融資產重分類淨損失（利益）,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-03,1,2013,27769.0,,-23930,4532,,-13299,-3471,,2281.0,,-3434,,9709.0,,-129,7545,8289,-2217,,,,,-4500,,,-5632,,16.0,,-6557.0,,-17094,,-28,-1374.0,-14473,22554,774,-16243,14204,,-1009,3345,-6735.0,129,,,2013年01月01日至2013年03月31日,154745,182207,27462,-5446,21169,27700,,,,4278.0,0.0,14247,-5446,,11612,-6235,5377,40000,1743,0,,-76,,33146,-2.0,182207,-6660,-188,,,,,,618,,,-11364,-4712.0,0.0,3519,36256
2013-08-09,2,2013,37528.0,,-53859,1402,,-19610,-6042,,,0.0,31403,,,,-310,15047,16088,-14018,,,,0.0,-7304,,,-11479,,13.0,,-7976.0,,36156,,32382,-1374.0,-24878,-37376,1872,-34158,28837,,-1522,4754,-13232.0,310,,,2013年01月01日至2013年06月30日,154745,151934,-2811,20516,51500,56795,,,,-17653.0,0.0,-36241,20516,,-20150,18901,-1249,47320,2065,0,,-149,0.0,36279,-9.0,151934,-5605,-3818,,-582.0,6168.0,0.0,,1170,,,-11175,-6925.0,0.0,4063,-7481
2013-11-08,3,2013,59598.0,0.0,-87950,3740,,35969,-9014,,,,42193,,,,-397,22275,9508,-24481,,,,,-5738,0.0,,-12122,,0.0,,-30414.0,,120341,,4703,-2040.0,-13463,-8349,2840,-54256,43629,,-687,4633,-22367.0,397,3.0,,2013年01月01日至2013年09月30日,154745,118005,-36740,27044,91910,128055,,,,0.0,-12693.0,-83902,27044,-3.0,-106341,147754,41413,137234,2093,0,,-99,0.0,101011,-22.0,118005,-14178,-3798,,653.0,6167.0,-121242.0,,749,,,-4654,,4284.0,4397,-135881
2014-02-27,4,2013,87946.0,0.0,-112772,3740,,52394,35207,,,,9272,,,,-910,28893,16145,-29312,,,,,-7940,,0.0,-7844,4870.0,43.0,,-23275.0,,435624,,3138,-2040.0,-13463,27786,2840,-57480,58338,,-50,7566,,910,,,2013年01月01日至2013年12月31日,154745,164608,9863,74288,129860,174668,,,,13334.0,,-78662,74288,,-498038,510472,12434,137372,4942,0,,-297,0.0,100380,-29.0,164608,-18923,-3917,,-8695.0,6167.0,-123400.0,,1891,,,-4654,,-1895.0,4397,-533083
2014-04-25,1,2014,20767.0,,-24228,1448,,-20344,1502,-2338.0,0.0,,2428,,,,-127,6395,5123,-3063,,,,,-200,,,-1151,,2.0,,5182.0,,-330,,896,0.0,-2973,23142,2201,8022,15059,,583,1335,-6236.0,127,,,2014年01月01日至2014年03月31日,164608,156738,-7870,-10676,17432,24275,,,,-14001.0,,-38447,-10676,,-18788,32972,14184,0,907,4106,1090.0,-51,246.0,34951,15.0,156738,-734,-1522,,,,,,-220,,,3889,,0.0,140,4508
2014-08-08,2,2014,51569.0,,-41333,9509,,-24802,422,4758.0,20447.0,,-54407,,,,-353,12857,21698,-4729,,-3570.0,,,-200,,,130,,-59.0,,15133.0,,465,,36634,0.0,-2361,-56059,96,1730,30550,1090.0,1035,2166,-12892.0,353,,,2014年01月01日至2014年06月30日,164608,217734,53126,17447,-7967,6030,224000.0,,,,-144710.0,37665,17447,,24458,-87444,-62986,0,890,5999,,292,246.0,-11417,33.0,217734,-1458,-1522,,,6168.0,,,-233,,-11793.0,-71,,,573,687
2014-11-07,3,2014,73478.0,,-65760,3030,-21792.0,-30162,-1684,3956.0,33663.0,,-25626,,,,-843,18880,5136,-21822,,-8677.0,,,-629,,,1275,,,-45.0,16341.0,,-20608,,9480,0.0,-1231,-89188,2445,-3082,45782,1090.0,540,2922,-19358.0,843,0.0,,2014年01月01日至2014年09月30日,164608,201078,36470,31453,-60190,-38276,224000.0,,,,-136037.0,94606,31453,0.0,-12930,-130277,-143207,46583,1415,10527,,276,,-69729,53.0,201078,-3399,-1522,,,6168.0,0.0,,25865,,-237.0,-8645,,,68,1944
2015-03-13,4,2014,100241.0,,-176333,-557,-16028.0,-19343,1684,2426.0,,,13912,,,,-1328,25435,19811,-26669,,-14061.0,,,-629,,,2155,0.0,-62.0,,-11272.0,,-42394,,9321,0.0,-1231,-96920,3340,-45341,64159,1090.0,-45,3557,-25803.0,1328,,,2014年度,164608,286266,121658,27798,-51237,-23081,224000.0,-9239.0,200000.0,,-112664.0,198425,27798,,-7227,-143893,-151120,47299,3274,13992,,1135,-975.0,-50879,77.0,286266,-3681,-20,,,6168.0,0.0,,25424,,,-8645,-9976.0,,68,2080
2015-05-08,1,2015,,,-13905,3114,7789.0,-18525,-3988,,,,-17337,,,,-399,5957,-4538,-2115,,-60759.0,,,0,,,1234,,3.0,,,,-4361,,-9523,,-4864,21348,-7476,-39353,16609,0.0,1426,566,-5585.0,399,,25524.0,2015年01月01日至2015年03月31日,286266,236445,-49821,-23958,-41529,-36325,,,,19443.0,,35599,-23958,,-28610,-9281,-37891,30986,133,30483,,53,0.0,-12367,51.0,236445,-18,78,,,,,,-928,,,-2267,-7095.0,,-2989,1137
2015-08-07,2,2015,,,169073,-8301,14338.0,-31680,4924,0.0,0.0,,-10436,,,,-744,12207,-10678,-184664,,-71335.0,,-4410.0,-6000,,,24345,,,0.0,-8302.0,,-23210,-1459.0,36018,,-3261,-33965,-3915,-238224,33209,0.0,2328,1292,-11417.0,744,,77832.0,2015年01月01日至2015年06月30日,286266,194837,-91429,-59245,-59923,-49213,0.0,,,64311.0,,217396,-59245,,-11176,-56624,-67800,-12401,132,50029,,393,0.0,10032,104.0,194837,-37,97,,,0.0,,,-2128,4705.0,,-3147,-13674.0,,-1213,-4056
