date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得子公司股權,取得投資性不動產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-14,1,2013,1333464.0,,0.0,0.0,-4380888,-11859,399037,-17155,4937,,-266515,361339,88403,,0,,11736.0,0.0,69821.0,3511.0,,,,227755,73934,-352187,-35000,-7069,-129575,,-2000,-27342,,2043753,-177187.0,-1363494,-99288,0.0,,-4565880,183446,1481204,575475,-133996,208376,50050,-250138,,,,,2013年01月01日至2013年03月31日,8905101,12128735,3223634,-688865,-3002364,-2590778,,8154185,,4670860,-688865,,,-1597834,-1637543,-3235377,880132,3819,2206095,,17,,,,268280.0,,0.0,-1901913,54919,12128735,-161448,,,24500.0,0.0,
2013-08-06,2,2013,1798310.0,,,0.0,-5288933,7916,184493,-23622,5025,190817.0,367888,293639,48397,-137040.0,0,-5591.0,,87112.0,,6990.0,,,-105668.0,519115,260702,-730155,-35000,-7069,-352986,,-2000,-84617,,532743,-177187.0,1552301,213846,0.0,,-3875292,-681172,1285332,1157789,-175890,-63074,102458,-516187,,60400.0,7230.0,,2013年01月01日至2013年06月30日,8905101,11742627,2837526,212218,-318280,342233,,4376357,,1609772,212218,,-7230.0,2185199,-3853494,-1668295,2510508,25116,2249487,-53777.0,-1293,,,,,243000.0,138367.0,130015,-5149,11742627,-211956,,,24500.0,0.0,
2013-11-06,3,2013,2468359.0,0.0,,0.0,-10582085,8414,269658,-23622,5578,190817.0,327913,550017,62475,-137040.0,0,-5591.0,-611326.0,,,0.0,,,-148533.0,781261,188981,-1068620,-35000,-7069,-697646,,-2000,-132035,,250774,-177187.0,1590984,174617,0.0,,-3273416,-1156386,-142253,1737260,30697,-230603,154845,-763404,,118301.0,68073.0,,2013年01月01日至2013年09月30日,8905101,8644573,-260528,865065,1081608,1960670,,6670873,,-1388864,865065,,-16635.0,2087364,-3460118,-1372754,2510508,26512,2249487,-53777.0,2725,,,,,241816.0,138367.0,1095605,-77039,8644573,-302032,0.0,0.0,24500.0,0.0,
2014-03-20,4,2013,3257462.0,0.0,,0.0,-10858527,33242,41002,-39608,-3018,0.0,893615,502094,-20809,280250.0,0,-5591.0,-488515.0,,,0.0,,,-191207.0,1016010,347171,-1949505,-35000,-7069,-809229,,-2000,-101218,42071.0,359559,-177187.0,2891124,249026,,,-2363686,-745748,-804425,2301479,-41505,-287767,203987,-974884,,153253.0,103381.0,,2013年01月01日至2013年12月31日,8905101,11479890,2574789,1726187,5803722,6961477,,1713807,,-2771679,1726187,,-17140.0,3948880,-1971052,1977828,6361201,355903,2303078,,-50877,,,,,240387.0,138856.0,5235290,-97318,11479890,-439505,0.0,,24500.0,519.0,
2014-05-09,1,2014,627132,,,,-5040604,2480,483961,-2065,8068,,-453071,453674,25268,-19913,0,2999700,,37127,,,,,-70007,238770,306602,-436283,-406,-1225,-205279,-40517,-11777,-33956,9544,215450,0,-1121786,-49157,0,-10666,-3243861,-1518138,-682335,497442,67682,18844,45328,-231474,,67795,5870,,2014年01月01日至2014年03月31日,11479890,14532298,3052408,514294,-4188388,-3923905,,9660579,,7616529,514294,2462,-5870,-1512254,-3553077,-5065331,0,851,9970,,1583,8745,,,,-110296,,-4438199,84012,14532298,-106674,,,0,,-668
2014-08-08,2,2014,1060694.0,,,,-5575710,29194,640069,-11651,2191,-35855.0,281260,769502,168,-60024.0,0,3021764.0,,205696.0,,,,,-165189.0,478599,147217,-379734,-212106,-1225,-619728,,-40904,-61979,18227.0,-29887,0.0,193637,-20587,0.0,-21332.0,-6879376,-2796132,-1143909,1004074,-196310,-261252,106261,-460414,,159376.0,18277.0,,2014年01月01日至2014年06月30日,11479890,10667458,-812432,1561386,-5978228,-5395424,,4369783,,6162488,1561386,5646.0,-18277.0,532463,-8549967,-8017504,4085250,1784,10568,,2718,344950.0,,,,-110113.0,0.0,-6956810,48791,10667458,-300043,,,-60992.0,,
2014-11-12,3,2014,1304576.0,,,,-12768725,21970,1021693,-26232,4676,-35855.0,882869,773185,15452,-81615.0,0,0.0,0.0,295620.0,,,,,-228211.0,682632,131376,-991436,-333981,-63416,-358049,,-253784,-84255,10941.0,-2201745,0.0,4204325,352922,,-32922.0,-11116553,-2417884,-1767789,1495074,-199578,-776357,166166,-657942,,212867.0,192451.0,,2014年01月01日至2014年09月30日,11479890,9641240,-1838650,2740214,-5270210,-4627077,,5737604,,5067973,2740214,7053.0,-40229.0,5545954,-14217821,-8671867,8885250,3462,14261,0.0,10151,344950.0,,,,-22644.0,2460.0,-7367291,68416,9641240,-390509,,,2965232.0,,
2015-03-19,4,2014,1392869.0,,,,-13211069,-35666,653678,-30861,1333,-35855.0,929459,736130,112747,-46578.0,0,-61039.0,-22508.0,,,,,51807.0,-274554.0,876317,529329,-1413320,-373162,-69410,-437940,,-325072,-148564,-1214.0,-3100406,0.0,3528751,788218,,-46360.0,-10220585,-2528589,-2662433,1996479,-186638,-1205447,182313,-845445,,257964.0,192497.0,,2014年度,11479890,8988974,-2490916,3687870,-5256494,-4237051,,4276458,,4898682,3687870,9513.0,-40275.0,5373865,-14691655,-9317790,10634750,25596,44986,,11234,344950.0,,,,-161497.0,2460.0,-7924921,50356,8988974,-624459,,,3030402.0,0.0,
2015-05-05,1,2015,,,,,-3023710,-5544,442307,-18490,7037,,-700827,309755,15971,1182,0,,,251801,,,,,-53323,193920,-116950,-402856,-162563,-31460,-31345,0,-63000,-8200,4827,554637,,-3177931,-353490,,-13438,814516,248598,-244165,505960,-212822,-349981,53673,-178861,-120892,34150,192,315801,2015年01月01日至2015年03月31日,8988974,10550741,1561767,776736,-1278791,-1013380,,4237547,,3201673,776736,2433,-192,-4271127,2165210,-2105917,1989000,16112,174376,,-970,23499,,,,-40546,,-1790116,-49306,10550741,,,,20235,,0
2015-08-12,2,2015,,,,,-3966602,2036,278782,-16021,-4332,0.0,-495414,170421,51325,16109.0,0,22046.0,,-120971.0,,,,,-100885.0,386778,-203684,-761645,-612664,-510265,-47344,,-63000,-31342,8829.0,50783,,-4165419,-238831,,-15731.0,2796940,1147031,-1308116,1015518,59305,-647297,106434,-359031,,110455.0,192.0,590288.0,2015年01月01日至2015年06月30日,8988974,9436706,447732,1820467,1390226,2059631,,1291559,,569306,1820467,4831.0,-34366.0,-4866163,4515039,-351124,3724800,19740,180039,,689,23499.0,145092.0,-112180.0,,-38063.0,,239164,-19860,9436706,-421021,,,0.0,,
