date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融負債增加（減少）,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付建造合約款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-04-26,1,2013,34751.0,-4662,-66870,-376,9886,931,-123.0,-323.0,,,,,-2961,1619,14363,-6863,-884,,,-5941,,0,-2153,-26928,-242431,,-4912,282416,7460,-617.0,40723,8393,556,-1619,4119,,2013年01月01日至2013年03月31日,1310855,1532716,32015,221861,188154,,171437,179627,,,-4662,188154,,-314178,270900,-43278,95,-95,50528.0,,-8527,,1532716,-10690,1165,7720.0,,-9111
2013-08-14,2,2013,80325.0,-9321,-44731,13404,-3080,1000,-150.0,-346.0,,0.0,,,-6810,3313,20026,-9192,-6586,-6737.0,,12562,13457.0,0,-10495,-77743,-138177,,-4104,270629,-3043,-1294.0,-32800,15952,1068,-3769,8213,,2013年01月01日至2013年06月30日,1310855,1615661,45894,304806,405926,,334085,425392,,-20641.0,-16505,405926,,-230290,169431,-60859,210,-1164,,,19466,,1615661,-95751,9510,-34470.0,,-38754
2013-11-12,3,2013,101110.0,-14002,-18043,-4806,3123,1271,0.0,141.0,,0.0,,,-10158,4932,8905,-15430,-6886,-183388.0,,38595,,13469,4166,-71573,-109238,,-357,126088,22959,-1984.0,-202898,23627,1588,-5179,10990,,2013年01月01日至2013年09月30日,1310855,1230406,32585,-80449,617911,,468894,615574,-415488.0,60671.0,-355350,617911,,-143120,39673,-103447,210,-1167,,,-2337,,1230406,-152491,11108,-34407.0,-1570.0,-16621
2014-03-21,4,2013,125293.0,-18704,-6201,-16746,-379,1317,-33803.0,188.0,,0.0,,,-15256,7117,19584,-21191,-8983,-221588.0,,37902,,13470,2000,53957,-51965,,2767,29332,-18812,33784.0,-250735,31586,2100,-6686,14621,,2013年01月01日至2013年12月31日,1310855,1315555,52006,4700,836609,,595135,758790,-415488.0,61438.0,-359284,836609,,-178332,-24780,-203112,210,-1103,,,-77819,,1315555,-171590,10941,-74016.0,-1183.0,-122535
2014-05-09,1,2014,11513.0,-4724,-56106,18842,-968,-13382,-528.0,,,,,48.0,-4100,1639,11026,-5799,0,,,-8898,,1205,-525,16953,-225062,,-5853,284415,23855,-2566.0,-11680,7943,597,-1592,4414,,2014年01月01日至2014年03月31日,1315555,1554032,11768,238477,220605,,242650,255362,,,-3519,220605,,-251433,274677,23244,619,8,-5778.0,,34757,,1554032,-15534,2556,-56006.0,-245.0,39650
2014-08-08,2,2014,879.0,-9469,-50219,6062,-1337,508,-48.0,,,96.0,,,-9519,3493,283,-12343,-112,,,-10386,,-13457,-5922,76688,-225241,,-11455,262862,58582,-5183.0,-67962,16177,1243,-3543,10456,,2014年01月01日至2014年06月30日,1315555,1642633,-3300,327078,396891,,432669,522995,,-14986.0,-37912,396891,,-317847,443072,125225,851,-163,-49291.0,,126104,,1642633,-97239,3238,38370.0,-1145.0,-24364
2014-11-10,3,2014,347.0,-14237,-19789,10861,19035,159,-1372.0,,,143.0,-3200.0,,-14125,4960,17945,-86472,-112,-133381.0,,-9741,,-13471,-5061,-55536,-106865,,-12582,213941,-197,-7830.0,-229420,24410,1797,-5704,16792,,2014年01月01日至2014年09月30日,1315555,1232770,-7604,-82785,598251,,526985,671916,-356132.0,-14455.0,-398295,598251,,-112840,186158,73318,851,-162,,,73665,211.0,1232770,-156019,669,16930.0,-2045.0,16352
2015-03-20,4,2014,-8135.0,-19027,17806,8580,-3785,639,-488.0,,,192.0,,,-19582,6655,28981,-105411,-1535,-228372.0,,-11432,,-13471,2110,-94205,-151505,,-9304,417443,59514,-10463.0,-334402,32648,2414,-190,21357,,2014年度,1315555,1461862,-25232,146307,828230,,855398,1001615,-356132.0,-15040.0,-403670,828230,-737.0,-263598,445118,181520,851,-163,,,173385,138.0,1461862,-167384,7102,53147.0,-2045.0,-105997
2015-05-11,1,2015,,-4811,-70848,2707,4897,139,0.0,,,49.0,,,-4628,1440,-7968,-6069,-3720,,,3558,,-1,17404,-44519,-1607,,6856,-33997,-10937,,-48930,7989,743,-1440,6064,2680.0,2015年01月01日至2015年03月31日,1461862,1394276,-2460,-67586,113069,-2567.0,56412,62140,,-62288.0,-67100,113069,,39648,-93257,-53609,0,0,,-59224.0,-50929,,1394276,-10352,-4011,-6650.0,2679.0,102917
2015-08-06,2,2015,,-9645,-66629,8631,1135,1381,467.0,,,,,,-10081,2626,-15240,-10693,-3720,,,7174,,-1,16747,-250074,-95346,1593.0,11922,31623,10729,,-47467,16305,1646,-2455,10702,11217.0,2015年01月01日至2015年06月30日,1461862,1396042,-2586,-65820,277466,-5194.0,68326,133329,,-61793.0,-71439,277466,,42356,-197710,-155354,0,0,,-45934.0,-144137,,1396042,-73250,-3867,,-3867.0,194408
2015-11-09,3,2015,,-14501,-52216,3162,3103,14931,467.0,,,,0.0,,-14574,3819,21101,-11806,-3720,,,6629,,29,12961,-292616,-120516,1816.0,3703,15242,-31673,,18717,24893,2435,-3932,16690,18838.0,2015年01月01日至2015年09月30日,1461862,1292243,300,-169619,457661,-7839.0,223090,334395,-356132.0,-61923.0,-432527,457661,,148850,-290954,-142104,15,51,,77088.0,-123266,,1292243,-124063,-4715,,-55821.0,320332
2016-03-25,4,2015,,-19394,-31835,10251,1277,31631,,,1703.0,,,,-19446,4852,18456,-17628,-3842,,-102809.0,18404,,1035,18560,-82537,-60674,,97,-72648,-32807,,-185590,32891,3161,-6977,22813,26360.0,2015年度,1461862,1497947,-10475,36085,737719,-10184.0,711589,834508,-356132.0,-133879.0,-508370,737719,0.0,216539,-146110,70429,15,53,,,96789,,1497947,-138755,-3080,,-79886.0,316155
2016-05-10,1,2016,,-4918,-29363,37318,-3362,-28852,,,506.0,,,,-8385,769,-9309,-1965,-327,,-161652.0,-12146,,83,2008,108544,-84029,,12832,72973,62154,,-176414,7791,734,-769,8893,-9638.0,2016年01月01日至2016年03月31日,1497947,1495613,312,-2334,126918,-2599.0,188224,187877,,0.0,-4835,126918,,-181540,252137,70597,27,53,,,60959,,1495613,-7777,1234,,-14505.0,-75525
2016-08-10,2,2016,,-9862,-21007,52415,-3250,15555,,,,,,,-13190,1506,-13581,-5970,-733,,,-11589,,750,-6545,163008,-90732,366.0,-1542,160542,102076,,-576606,15535,1489,-1506,13428,5294.0,2016年01月01日至2016年06月30日,1497947,1400244,9159,-97703,301755,-5200.0,501596,557012,,0.0,-9112,301755,,-243633,493596,249963,27,53,,-505506.0,255257,,1400244,-67338,2331,,-57879.0,-122268
2016-11-07,3,2016,,-14840,-4382,39873,-54,-12094,,,,,,,-14190,2195,-35504,-66371,-732,,,-10054,,973,-126,40075,55634,-42.0,22330,-54849,102406,,-787153,23264,2256,-2195,16581,28976.0,2016年01月01日至2016年09月30日,1497947,781706,6323,-716241,446411,-7804.0,476415,570862,-356132.0,0.0,-369999,446411,,-19936,115411,95475,27,52,,-710345.0,124451,,781706,-108833,19130,,-9606.0,-85618
