date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融負債增加（減少）,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得子公司股權,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,員工執行認股權,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分無形資產,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,避險之衍生金融負債增加（減少）,避險之衍生金融資產（增加）減少,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加－處分資產
2013-05-15,1,2013,1003554.0,,-5800000,-1702278,696539,-16289,-137496,-473,,-161409.0,,,,-12414,79117,441935,-703813,0.0,,0.0,-9746,,,-33960,22894.0,-995036,,-5746320,-178197,20582,5581699,91300,657,-618452,1006331,,,,-82369,24037,-82199,12414,,,2013年01月01日至2013年03月31日,8579354,6498682,-2080672,769069,184293,521114,,,-1962398.0,-2088448,769069,,-7724666,6473157,-1251509,5661101,94668,439,5217,,343,,,,-247955,6498682,-267036,18642,19043.0,792151.0,,-10045.0,,-1390.0,,484018,,,
2013-08-14,2,2013,1873941.0,-3000.0,-5800000,-1781050,922283,-22054,-358543,-15758,,184102.0,,,,-33787,150144,536405,-1453025,,-552136.0,0.0,-12885,,,-35792,36071.0,446195,,-5451772,-77489,5649,6499003,-109469,-5809,-572251,1840422,28368.0,,,-137387,37349,-160946,33787,,,2013年01月01日至2013年06月30日,8579354,5988794,-2590560,1089028,2729013,3438694,,,-4407581.0,-5283727,1089028,,-7634837,8110562,475725,5567632,75330,19173,55334,0.0,-535,,1579.0,800577.0,2349666,5988794,-582522,-412,,,,-127713.0,,-1395.0,0.0,212069,,,
2013-11-14,3,2013,2880174.0,,-5800000,489430,759334,144231,-288345,-3974,,378350.0,,,,-48070,224267,-51364,-3964536,-3000.0,-552136.0,0.0,-18110,,-30000.0,-34888,62894.0,-1338551,0.0,-1765083,-75298,39509,3465373,-523787,-9116,-2680907,2722673,8191.0,,,-229285,51592,-228139,48070,,,2013年01月01日至2013年09月30日,8579354,6072342,-2507012,1733082,5087118,5902111,-1235415.0,,-2735439.0,-4861859,1733082,163968.0,-1591596,2880451,1288855,5525151,342146,19378,80293,7907.0,-35400,,2663.0,800577.0,4169029,6072342,-634924,-13576,,,,-126914.0,,-1400.0,,8591,,162068.0,
2014-03-31,4,2013,3549376.0,,-5800000,750639,266817,139914,-705906,170804,,498403.0,8191.0,,,-63012,290868,743141,-4916023,-3000.0,-552136.0,0.0,-30458,,-30000.0,-55673,379550.0,-588583,-10811.0,3441059,51796,-2,-595946,-513155,-11566,-3221096,3627361,,,,-353691,67308,-299294,63012,168029.0,,2013年01月01日至2013年12月31日,8579354,7917337,-662017,2997128,8375529,9355436,-1235415.0,,-4943543.0,-6559591,2997128,,3545777,-736845,2808932,5696826,47030,421554,89805,237704.0,-64002,,2181.0,830586.0,6358308,7917337,-911654,10388,,,1429.0,-104873.0,,-1405.0,,-103533,,230141.0,
2014-05-15,1,2014,814132.0,,-98038,-1445741,138580,2411,408645,14038,,208518.0,,,,-18348,75141,-102620,-881093,-500000.0,,,-12816,,,-29073,160997.0,2074139,,-6978388,637,92012,4257679,354530,-102925,-1296737,852682,-10338.0,0.0,43104.0,-84828,12692,-75254,18348,,,2014年01月01日至2014年03月31日,7917337,6990144,-927193,306922,19534,355506,,290462.0,,452630,306922,,-7933173,7167625,-765548,0,53131,937,5114,,259,,,,48584,6990144,-279066,488,,,,99209.0,5.0,,,220655,,,
2014-08-14,2,2014,1585596.0,,-98034,-1652613,353778,4188,203577,17993,,112588.0,,,,-41041,149105,-437028,-1652144,-500000.0,-10464.0,,-22914,,,-63459,209485.0,2774032,,-8867926,-88806,6157,7350331,336236,-15667,-2055082,1671801,-10338.0,,,-134834,25329,-150406,41041,43104.0,,2014年01月01日至2014年06月30日,7917337,6825401,-1091936,480016,2029100,2673863,,-777121.0,,-628926,480016,,-10409949,11018200,608251,0,78112,-1240,7282,,-27577,,0.0,0.0,2193847,6825401,-535398,-1000,,,,47208.0,-10.0,,,84721,,,
2014-11-14,3,2014,2413995.0,,-66321,-638052,-140349,-10237,68968,-15640,,79846.0,-10338.0,,,-56191,224507,-28785,-2678109,-500000.0,-10440.0,,-36646,,0.0,-60620,320898.0,1096800,,-5252234,-97732,6791,5362687,43990,-30751,-2930585,2496482,,,,-226925,53458,-231235,56191,,,2014年01月01日至2014年09月30日,7917337,7216328,-701009,1392917,3447083,4379825,-1518197.0,,-9599.0,-1188722,1392917,,-5922597,6495510,572913,0,199814,-1240,10232,0.0,-27463,,34.0,0.0,2986908,7216328,-953755,530,,,,94937.0,,-15.0,,109164,42458.0,,
2015-03-31,4,2014,2927613.0,,-61311,-620568,-256808,-528309,-435161,-6837,-49544.0,40753.0,-10338.0,,,-82506,298890,728083,-3582124,-501626.0,-186708.0,-932793.0,-50271,,0.0,80268,455293.0,2276147,0.0,-4536543,-13020,3347,2507083,184008,-24291,-3596964,3454059,,,,-273139,70744,-281626,82506,,,2014年度,7917337,7435487,-481850,2839672,3014429,4224322,-1518197.0,356916.0,,-627398,2839672,,-5661827,4118864,-1542963,0,388413,633187,49163,0.0,-723309,77115.0,36.0,0.0,1384650,7435487,-1206830,-79,,,0.0,326609.0,,53522.0,,-72882,278451.0,,49544.0
2015-05-15,1,2015,,,0,-174250,442009,-528309,-83198,-31676,21637.0,-13183.0,,,,-29628,72840,-30522,-1630032,-31300.0,,,-26039,,,-17052,0.0,474285,,-4763987,-70771,10842,4850934,184008,14733,-1178143,830854,,,,-48098,17958,-82985,29628,0.0,381713.0,2015年01月01日至2015年03月31日,7435487,6821833,-613654,557609,890781,1295968,,-336716.0,,-295770,557609,,-5059727,5416373,356646,40946,29601,478212,5008,602.0,-450179,,813.0,,738359,6821833,-351830,10,0.0,79.0,,0.0,0.0,,,23493,,,
2015-08-14,2,2015,,,0,305873,244000,20437,65191,-280374,172402.0,-464319.0,,,,-56029,146399,-280902,-2324924,-30860.0,0.0,-900000.0,-48413,,,21966,0.0,-609981,,-2001860,-67692,10059,3023922,213327,15408,-1623619,1677302,,,,-155612,36264,-154605,56029,0.0,369879.0,2015年01月01日至2015年06月30日,7435487,6171226,-1264261,1130162,740927,1451202,,-393080.0,,-100667,1130162,,-1516027,1467188,-48839,292413,112554,1567310,22116,,-1322527,602.0,112.0,,321040,6171226,-611699,0,0.0,79.0,,0.0,0.0,,,-695311,,,
2015-11-13,3,2015,,,-45077,968381,172709,42605,111553,-190268,263789.0,-226685.0,,,,-69679,218618,435799,-3928391,-65737.0,0.0,-900000.0,-52120,,,115578,0.0,-6505443,,9139255,240389,42405,-6084255,78729,41997,-3865135,2525402,,,,-315945,52337,-228242,69679,,1239681.0,2015年01月01日至2015年09月30日,7435487,6415881,-1019606,2455550,-281659,634725,-1024654.0,2123396.0,,2691389,2455550,,10765772,-13826278,-3060506,1637724,146368,1567310,36241,,-1322871,1970.0,113.0,,-1820825,6415881,-974488,0,0.0,79.0,,0.0,0.0,,,-1155746,-634648.0,,
2016-03-31,4,2015,,,-62799,1222879,592361,22695,382606,-11936,411072.0,,,29423.0,-852006.0,-86784,340153,89697,-5643894,-136220.0,0.0,-900000.0,-68371,,,-109918,0.0,-4451889,,4194404,253606,-766,-991561,-88035,36203,-5836941,3596860,,,0.0,-230833,73717,-345409,86784,203036.0,1641493.0,2015年度,7435487,7314136,-121351,2848667,4204448,5467201,-1024654.0,871174.0,,1421445,2848667,,6463801,-5486760,977041,1637724,433240,1395284,160712,0.0,-1329563,2090.0,834.0,,2618534,7314136,-1207164,0,0.0,79.0,,0.0,79155.0,,,-624100,-919904.0,,
