date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款－關係人增加（減少）,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分採用權益法之投資損失（利益）,處分無形資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損迴轉利益,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加－處分資產
2013-05-08,1,2013,,92565.0,,-99126.0,-306,,,30230.0,-43896,-12872,,,,,,,,10882.0,,-341,20050,-12.0,-37744,,-1096,,,,,-917,-38557.0,,0.0,,15285.0,-35155.0,,-1878.0,455.0,-27958,69708,,-579,3674,-19365,341,,,2013年01月01日至2013年03月31日,1166070,1028792,-137278,-42352,,-60182,-41158,,50000.0,,-49126,-42352,,-67019,-24352,-91371,0.0,0,53.0,,,,,,1194,1028792,,,,-3760,
2013-08-13,2,2013,,192439.0,,-153252.0,-5254,,23814.0,,-57284,-25749,,-190.0,,,,-15836.0,,,,-1411,39674,-16.0,-85666,,-798,,,13201.0,,-14766,-63024.0,,0.0,,4199.0,5703.0,,-7964.0,274.0,-73253,145099,,-1456,7658,-44074,1411,,,2013年01月01日至2013年06月30日,1166070,791508,-374562,-113934,,-102205,-58695,,-30000.0,,-199088,-113934,,-121089,-16111,-137200,0.0,10,,2875.0,,,,,55239,791508,-847.0,,,3041,
2013-11-13,3,2013,,290757.0,,,-5206,,,26018.0,-98365,-9752,,3396.0,,,,-25303.0,,,,-1876,61825,-6.0,-166711,,-798,,,19037.0,,-10153,-82438.0,,130000.0,,-414.0,11414.0,,-1858.0,726.0,-148304,218051,,-4384,11568,-61825,1876,,,2013年01月01日至2013年09月30日,1166070,881124,-284946,-173117,,-111456,-50191,,120000.0,,-25180,-173117,,-185697,17866,-167831,-249877.0,168,,5573.0,,,,,122926,881124,-1316.0,,,-1199,
2014-03-27,4,2013,,328257.0,,-316504.0,-4866,,25897.0,,-106080,-12150,-32545.0,824.0,-11068.0,,,,,,,-3037,78851,0.0,-197392,-928.0,-1957,,-4551.0,,11302.0,-15614,0.0,-59948.0,99988.0,,,,5.0,5795.0,1416.0,112643,301471,,-6205,3575,-69719,3037,,,2013年01月01日至2013年12月31日,1166070,776878,-389192,-138805,,-74500,-6787,,-195200.0,,-427335,-138805,0.0,-202023,5784,-196239,,301618,-45991.0,,,,-407.0,0.0,132018,776878,-1031.0,,,1027,
2014-05-09,1,2014,,104020.0,,-96626.0,-272,,1825.0,,-23116,-1055,-1847.0,,,,,,4254.0,,,-318,18902,0.0,-51565,,-65,,,,,-1193,-20190.0,,,-99988.0,-2112.0,1358.0,,839.0,-759.0,-47276,85883,,-2048,749,-19843,318,,,2014年01月01日至2014年03月31日,776878,623842,-153036,-35494,,-9146,10398,,100000.0,,-96614,-35494,,-48296,-9832,-58128,,100,852.0,,,,,,45892,623842,-19.0,,,-11606,
2014-08-08,2,2014,735.0,208583.0,,-220252.0,-334,,1437.0,,21858,7650,-8012.0,,,,,,-19293.0,,,-1272,37540,0.0,-78834,-2737.0,-117,,,,,-4008,-18791.0,,,50012.0,3127.0,-32915.0,,1661.0,-156.0,-100881,165084,,-3111,1477,-37676,1272,,,2014年01月01日至2014年06月30日,776878,721070,-55808,-102447,,35313,72587,,180000.0,,9760,-102447,,-2308,-31241,-33549,,100,8130.0,,,,,,175034,721070,-870.0,,,-5066,
2014-11-11,3,2014,774.0,303934.0,,-318878.0,-313,,2058.0,,33128,-7430,-8146.0,0.0,,,,0.0,-23588.0,,,-1639,55872,0.0,-191965,-2737.0,-117,,,,0.0,-4291,,,50012.0,,28456.0,,,-380.0,172.0,-218258,241730,,-5081,2084,-55872,1639,,,2014年01月01日至2014年09月30日,776878,754086,-22792,-60308,,204332,259449,,260000.0,,-8866,-60308,2000.0,53297,-37474,15823,,149,8194.0,,,,,,319757,754086,-884.0,,,-27431,
2015-03-26,4,2014,701.0,290622.0,,-132994.0,-141,,-2663.0,,79027,-31113,-12116.0,-4341.0,,,,,,,,-5838,75880,,-302737,-2737.0,-425,,,,-37443.0,-1041,,,50012.0,,52958.0,,0.0,-12356.0,-1592.0,-341141,317714,,-6310,2615,5838,-75880,2000.0,,2014年度,776878,933299,156421,63902,,315544,386266,,265000.0,,182018,63902,,118136,-86394,31742,,201,,9053.0,,,0.0,,322364,933299,-680.0,-103193.0,,-34880,
2015-05-12,1,2015,4972.0,,232875.0,-64226.0,-297,,1709.0,,5220,2656,14883.0,,,,-312787.0,,,,,-1129,18972,,-92025,,-37,-150.0,,,,-9490,,-18645.0,0.0,,,,,-416152.0,,767704,75291,,-2861,411,-18972,1129,,-144571.0,2015年01月01日至2015年03月31日,933299,851589,-81710,225080,155.0,-645188,-627331,,-140000.0,,-204226,-7795,,1316,-709156,-707840,,51,-4.0,,859715.0,-240410.0,,337.0,-852411,851589,-14.0,,,24908,
2015-08-11,2,2015,4972.0,,232875.0,-31951.0,248,,-872.0,,1626,4165,12583.0,-4120.0,,,,,,,,-5370,38033,,-342911,0.0,-7230,-150.0,,,,-10256,85887.0,,0.0,,52572.0,,,18067.0,,92182,144592,,-5378,1128,-38033,5370,,-62258.0,2015年01月01日至2015年06月30日,933299,1149569,216270,215354,-2733.0,296039,328817,,-140000.0,,-171951,-17521,,150183,25538,175721,,128,,-12.0,442195.0,-240410.0,,337.0,113463,1149569,-115.0,,,18554,
