date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-08,1,2013,57034.0,,1175,314.0,,-15894,,,-31419,-27786,9311.0,9258,,288.0,-360,9896,-4859,-17863,,-7252.0,-1757,,6334,,,-9445,,5543.0,-212384,,,112022,,19771,-70430,,99995,,4171,,147.0,-641,40587,1594,-10028,360,,,2013年01月01日至2013年03月31日,848436,1220164,371728,184376,,117155,122374,,,408403.0,,260073,184376,,,30832,-149868,-119036,-115074,3481,0.0,0.0,,21,0.0,,0.0,-62002,414,1220164,-5579,-1326,-33868.0,,-7228,,17207.0,9612
2013-08-07,2,2013,112909.0,,-8738,384.0,,-15658,,6550.0,-12748,-52542,,8608,,,-1348,19561,26961,-91732,,-14290.0,-2931,,8410,,,-25851,,,-218196,,0.0,74937,,69892,12260,,135918,,-99101,,179.0,-65699,86211,3068,-19200,1348,,,2013年01月01日至2013年06月30日,848436,916137,67701,351537,,134901,262374,,,116790.0,,-28462,351537,,,60604,-262676,-202072,-115253,5071,0.0,0.0,,-2503,-42.0,,67.0,-89163,-1388,916137,-128821,-448,-55224.0,,-21705,,31566.0,-3898
2013-11-12,3,2013,162267.0,,-37438,4640.0,,-14716,,,-8967,-20573,,10190,,,-2756,30042,4318,-99397,-39.0,,-3169,,6749,,,-26688,3889.0,,-325354,,0.0,55704,,59498,26960,,239262,,-116336,,273.0,-59317,128646,4520,-29490,2756,307.0,,2013年01月01日至2013年09月30日,848436,890806,42370,476195,,227967,421579,-275971.0,,445946.0,,-130598,476195,,-307.0,35330,-252213,-216883,-215538,9124,0.0,0.0,67.0,-2745,-42.0,,,-54616,-3189,890806,-196368,-1840,-92995.0,,-24686,,29901.0,1987
2014-03-18,4,2013,232512.0,,-4187,4770.0,,708,,,9449,4618,,9114,-80035.0,,-4473,40149,41039,-550179,,-21006.0,-3303,-40.0,29876,3720.0,0.0,-15430,,1226.0,-208538,,,52402,47.0,229393,-66601,47.0,186272,,-105134,-58.0,-50.0,-737768,171055,5558,-39359,4473,308.0,,2013年01月01日至2013年12月31日,848436,1132452,284016,680676,,598100,796974,-195936.0,,583341.0,,382645,680676,572.0,-308.0,21282,-137496,-116214,-7392,21218,0.0,0.0,,-7280,-583.0,,102.0,116298,-8409,1132452,-203347,-2054,-100427.0,-188141.0,-24478,,2047.0,38584
2014-05-13,1,2014,49309.0,,-42399,365.0,,-11356,,,-10457,-11002,0.0,-2482,,,-1038,10649,-1583,-152981,,-26836.0,-494,,3052,,,9971,,7745.0,-79718,3070.0,,125681,-47.0,11,45945,48.0,-67076,-21796.0,-98401,55.0,35.0,-164855,41453,1076,-10190,1038,,,2014年01月01日至2014年03月31日,1132452,1081444,-51008,200739,,96257,99747,,,79813.0,,19173,200739,,,152100,-302401,-150301,-60797,1064,0.0,0.0,,-674,,,0.0,-100992,5556,1081444,-4528,-5209,0.0,,-10625,,3577.0,27738
2014-08-12,2,2014,91335.0,,21231,32.0,,-11552,,7577.0,-16026,2764,,-2630,,,-2418,22298,-17593,-185096,,-32894.0,-888,,-7486,,,1370,,,-61679,3070.0,,73926,1022.0,107,229439,237.0,-287950,-15485.0,-203913,58.0,47.0,-213489,82921,2136,-22599,2418,,,2014年01月01日至2014年06月30日,1132452,942864,-189588,401556,,171393,228729,-3.0,,-120161.0,,-129899,401556,,,337349,-601511,-264162,11355,1064,,,,-674,0.0,,0.0,-172827,7259,942864,-59754,-5442,0.0,,-21124,,-6322.0,20214
2014-11-11,3,2014,148089.0,,19373,337.0,,-11833,-466.0,,-4993,-23666,,-4832,,,-3592,34979,5541,-257082,0.0,-32894.0,-1149,,-5674,,,7593,,7659.0,-153611,3070.0,,134048,-47.0,20060,249489,808.0,-414683,-2293.0,-220021,58.0,62.0,-289941,124006,3203,-35403,3592,353.0,,2014年01月01日至2014年09月30日,1132452,1311193,178741,651389,,439558,545608,-102554.0,,58945.0,,23583,651389,,-353.0,634438,-888308,-253870,74605,1064,,,2591.0,-741,-524.0,,,-105781,10377,1311193,-109642,-3215,0.0,,-56961,,-13553.0,225321
2015-03-11,4,2014,234007.0,,67475,-16366.0,,-60134,-216.0,,54718,10399,,-4619,-102554.0,,-5028,47306,41548,-418611,,-66636.0,-1927,-228.0,8484,3870.0,,-3296,,3422.0,6738,3070.0,,120094,829.0,151985,344171,284.0,-705837,-8947.0,-157248,58.0,267.0,-512646,166967,4303,-47692,5028,353.0,,2014年度,1132452,1484801,352349,1097905,,923639,1043240,-261206.0,,171827.0,,-100192,1097905,417.0,-353.0,714241,-1002913,-288672,3240,3693,,,,16681,-158.0,,2894.0,-54665,10925,1484801,-124629,-4612,0.0,0.0,-83107,,-38676.0,115478
2015-05-13,1,2015,,,-29700,0.0,,-93189,16.0,,-52816,8065,,5229,,,-1065,12700,-18944,-44164,,-160.0,-88,-328.0,352,,,6703,,4301.0,-281523,0.0,,169503,-781.0,-289601,-51381,225.0,31261,497.0,49201,-3.0,,-40300,40357,994,-13183,1065,,60671.0,2015年01月01日至2015年03月31日,1484801,1466371,-18430,210822,-22.0,-32326,11583,,598679.0,-193540.0,,73140,210822,,,29662,-289572,-259910,-35918,952,,,,9160,,,,-199239,3325,1466371,-44974,-1827,0.0,,-9126,,-813.0,-8691
2015-08-07,2,2015,,9537.0,9469,0.0,,36869,13.0,,-53830,-5964,,8268,,,-3389,27719,-24799,-92073,-340.0,-641.0,-87,,9795,,,264,,4863.0,-321127,0.0,,43791,-381.0,3247,-18105,540.0,51072,-3583.0,76770,0.0,,-33600,86085,1912,-22841,3389,,144679.0,2015年01月01日至2015年06月30日,1484801,2053885,569084,359822,-11.0,138883,287171,0.0,993060.0,,-199578.0,488600,359822,,,-8780,-208550,-217330,-285552,3319,,,753.0,13156,-254.0,15.0,,-72651,1388,2053885,-151677,9655,,,-50868,41054.0,,8359
2015-11-06,3,2015,,9537.0,-6914,0.0,,38923,201.0,,-66716,-64614,,4481,,,-4716,44329,12178,-153886,,-641.0,-5107,-371.0,-1685,,,-3902,,4953.0,-538324,0.0,,-17469,1554.0,-46794,-104658,1643.0,13843,385.0,-8495,0.0,,-94832,129326,2820,-25535,4716,427.0,199294.0,2015年01月01日至2015年09月30日,1484801,2047944,563143,806342,25.0,-14351,215382,,993060.0,,118645.0,660148,806342,,-427.0,-204473,-585781,-790254,-423340,5137,,,,14176,1621.0,15.0,754.0,-590960,-2012,2047944,-234449,13850,48014.0,,-32181,44350.0,,-9926
2016-03-09,4,2015,,9537.0,-41353,,0.0,30013,204.0,,-77837,6996,,15332,,,-6159,61177,-17662,-178011,,-4401.0,-5197,-371.0,-14921,2980.0,,6731,-4364.0,,-246075,-190723.0,,-126697,-196.0,262826,-268056,3208.0,192845,3809.0,-44470,-13.0,,-321211,177028,3570,-46804,6159,429.0,241481.0,2015年度,1484801,2539081,1054280,991180,-972.0,328022,572453,-350113.0,993060.0,724388.0,,1065131,991180,225.0,-429.0,-613400,-46808,-660208,-465090,6496,,,,14501,1621.0,15.0,754.0,-418727,-7209,2539081,-250590,4868,-62847.0,,-5449,44625.0,,-94288
2016-05-11,1,2016,,8218.0,-96743,,,22308,-1.0,,18852,8926,,3112,,,-1594,17936,-7848,-14455,,-3408.0,-962,0.0,654,,,-2477,,6414.0,100006,,,-20030,-88.0,-99812,-148264,-1870.0,161909,1593.0,47418,13.0,,-8599,45845,733,-12662,1594,,64436.0,2016年01月01日至2016年03月31日,2539081,2357106,-181975,81753,-13086.0,219784,209440,,0.0,-228611.0,,-385312,81753,,,-257123,320374,63251,-41750,484,,,,-199,,,,127687,1329,2357106,8750,1061,,,-24910,,-4890.0,2777
2016-08-03,2,2016,,8218.0,-61832,,,28450,12.0,,4866,1319,,9116,,,-3280,34080,-32631,-43687,0.0,-3408.0,-1416,,2443,,,20309,,6101.0,365875,,,-17944,-161.0,-339661,-175047,-2350.0,296177,977.0,53748,13.0,,-33219,91063,1429,-24014,3280,,131894.0,2016年01月01日至2016年06月30日,2539081,1963646,-575435,257736,-12915.0,833237,919727,0.0,0.0,,-865956.0,-1342822,257736,,,-223913,754010,530097,-133500,1487,,,0.0,-1783,0.0,0.0,,661991,397,1963646,-89770,7942,,,-1677,-514.0,,41073
2016-11-04,3,2016,,8218.0,-45390,,,16409,-93.0,,11792,9566,,17218,,,-4537,47751,-69873,-55637,,-3401.0,-1696,0.0,-1637,,,11771,,9582.0,290324,,,72263,35.0,-309721,-33967,-1316.0,434280,193.0,128654,13.0,,-37468,135225,2123,-32189,4537,786.0,182116.0,2016年01月01日至2016年09月30日,2539081,2170913,-368168,323838,-10799.0,1273110,1443825,-50165.0,0.0,,-1072054.0,-1533937,323838,,-786.0,43413,894458,937871,-56500,4098,,,,-1458,0.0,0.0,0.0,1119987,-843,2170913,-175252,5435,-25079.0,,-2106,582.0,,51638
