date,season,year,不影響現金流量之收益費損項目合計,償還公司債,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,呆帳費用提列（轉列收入）數,員工購買庫藏股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-10,1,2013,31291.0,0.0,-40826,-5507,4103,-3698,,,-1424.0,-567.0,,,-2491,0.0,62365,-15756,,1704,,,-75.0,,525.0,-29861,-15387.0,-27910,193414,2342,292.0,-17852,24124,-3690,-24.0,5720,0.0,2499,,2013年01月01日至2013年03月31日,964821,1077445,,112624,-31409,,83573,95369,,0.0,-15462.0,-31409,,-90699,186186,95487,,552,3905.0,126778,669,1077445,-14295,-2223.0,30944,-2054.0,,-23337
2013-05-14,1,2014,28350.0,0.0,-10191,-999,-14534,-924,,,381.0,-1358.0,,,-3309,1.0,38897,-39180,,-539,,,0.0,,0.0,-1448,0.0,-68879,67298,-2486,47.0,-44717,21584,6807,-4781.0,1951,-1.0,3306,,2014年01月01日至2014年03月31日,1034564,993353,,-41211,-30858,,-35391,-48701,,0.0,0.0,-30858,,-85923,39730,-46193,,107,-1033.0,-17843,86,993353,10005,9588.0,-17311,-4179.0,,741
2013-08-05,2,2013,62711.0,0.0,9710,-7890,7712,-56369,,,1834.0,,-8545.0,0.0,-4370,0.0,48017,-21545,,1704,,,-75.0,551.0,,13257,-15387.0,31882,84867,2331,586.0,-32959,51519,-2008,-2602.0,10765,0.0,4281,,2013年01月01日至2013年06月30日,964821,1071363,0.0,106542,-44691,,106946,122809,,,-15462.0,-44691,,28692,76097,104789,0.0,703,,167500,-810,1071363,-20144,2390.0,40669,-3420.0,0.0,-18380
2013-11-06,3,2013,90227,0,6672,362,8739,-56020,,,2278,,-13351,0,-6231,0,32951,-29130,,1704,,0,-75,554,,20410,-15387,12909,92209,2061,879,-34461,77648,-1651,2659,16107,0,6439,,2013年01月01日至2013年09月30日,964821,979602,,14781,-51992,,112888,130435,-81135,,-96597,-51992,,-3401,95601,92200,522,756,,182427,-320,979602,-23986,243,31642,6944,,-30629
2014-03-20,4,2013,116803.0,0.0,14658,-8468,-8139,4446,0.0,1931.0,,-12797.0,0.0,0.0,-6333,0.0,27343,-66327,,2220,,,-75.0,0.0,487.0,4762,-15387.0,72280,93127,1981,86.0,-56578,100326,-2008,-759.0,19528,0.0,6604,,2013年01月01日至2013年12月31日,964821,1034564,,69743,-61557,,195575,213194,-81135.0,,-96597.0,-61557,,98199,59749,157948,535.0,1062,,274751,74,1034564,-24223,,-35340,,19593.0,21248
2014-08-12,2,2014,40496,0,-3817,-6308,-4613,850,,,0,-2617,,0,-7197,1,-11045,-19548,,-1070,,,0,,0,49833,0,-54026,74234,-1101,93,-44597,43896,7596,3774,4392,-1,7331,,2014年01月01日至2014年06月30日,1034564,1087420,,52856,-28523,,108498,91776,,,0,-28523,,-49749,129552,79803,0,474,,120299,-441,1087420,9392,,8270,-22432,0,5459
2014-11-06,3,2014,65513.0,,21362,-4292,5089,-2831,,,0.0,-3682.0,,,-10105,1.0,12445,-24447,,1380,6351.0,,0.0,,0.0,30258,0.0,72890,-126453,-8047,138.0,-66514,66016,978,2743.0,5739,-1.0,10495,,2014年01月01日至2014年09月30日,1034564,1075104,,40540,3493,,88258,68412,0.0,,6351.0,3493,1980.0,97816,-98410,-594,0.0,502,,64919,837,1075104,9352,,10212,-38385.0,0.0,-3478
2015-03-06,4,2014,84550.0,,39498,-7613,4231,-8993,,381.0,,-5661.0,,,-14478,1.0,16014,-34017,,-832,,,0.0,,13.0,-21061,6351.0,139478,-308102,-3139,256.0,-41770,89092,3721,3774.0,8115,-1.0,14379,,2014年度,1034564,1002575,,-31989,56050,,-12584,-35114,0.0,,6351.0,56050,1980.0,183249,-358963,-175714,725.0,672,,-91164,4187,1002575,8152,,-13829,-3211.0,0.0,-8122
2015-05-08,1,2015,,,-33629,-3627,-5007,6451,,,0.0,-526.0,,,-2265,0.0,-11243,-6676,,-1904,,,,,,6413,,-205447,351106,-1566,,-27980,21899,-3687,-356.0,667,0.0,2401,18404.0,2015年01月01日至2015年03月31日,1002575,1098446,,95871,-31939,75.0,135094,133792,,,,-31939,,-209540,356867,147327,,7,,165731,-2074,1098446,-1099,,-1554,-20778.0,,40229
2015-08-11,2,2015,,,-42335,9126,1694,6562,,,,-963.0,,,-4381,0.0,-26668,-13514,,-2475,,369.0,,-60.0,,49241,,-218205,353605,-1352,,-32568,44505,-3721,-423.0,1291,0.0,4474,37828.0,2015年01月01日至2015年06月30日,1002575,1131006,,128431,-59098,148.0,187298,183232,,,369.0,-59098,,-231668,436170,204502,3247.0,-1112,,242330,-4943,1131006,-408,,19411,-21278.0,,35694
2015-11-06,3,2015,,,-11132,14794,-2122,-61747,,,0.0,-3396.0,,,-6908,6.0,64097,-87318,,-2748,0.0,369.0,,-62.0,,-6440,-45354.0,-100069,108049,426,,-86436,69956,-2399,0.0,1291,-6.0,6961,60579.0,2015年01月01日至2015年09月30日,1002575,1010293,,7718,-18254,221.0,108409,101255,-33367.0,,-78352.0,-18254,0.0,-76656,135586,58930,10508.0,-1018,,119509,-4698,1010293,199,,80504,-6168.0,0.0,43543
2016-03-16,4,2015,,,-20544,4894,52085,1880,,0.0,,-3813.0,,,-8713,6.0,38007,-96096,,-2238,0.0,369.0,0.0,,-282.0,45768,-45354.0,-140882,98968,-8605,,-89868,93718,-3713,0.0,2800,-6.0,8713,85140.0,2015年度,1002575,1012941,,10366,13535,340.0,140579,133500,-33367.0,,-78352.0,13535,0.0,-123007,157832,34825,11315.0,-433,,119965,-5478,1012941,-1628,,14927,-992.0,0.0,-4815
2016-05-05,1,2016,,,-18759,8950,7427,1854,,,0.0,-216.0,,,-1646,0.0,-12139,-5555,,-471,,,,,2.0,-45823,,-68796,239989,7201,,-10498,24319,697,0.0,725,0.0,1620,23099.0,2016年01月01日至2016年03月31日,1012941,1136212,,123271,-27137,-64.0,145908,146433,,,,-27137,,-88600,239071,150471,1097.0,172,,173570,-423,1136212,-2145,,26900,-5826.0,,-8682
2016-08-11,2,2016,,,-23278,7739,28075,4969,,,,-1045.0,,,-3904,,-31187,-9600,-9723.0,-993,,0.0,,70.0,,-11020,,-10483,15657,15319,,-29449,45000,-8,-56.0,1391,,3803,41759.0,2016年01月01日至2016年06月30日,1012941,1012576,,-365,11512,-126.0,60271,60205,,,0.0,11512,,-36813,43747,6934,1061.0,265,,48693,-636,1012576,-3737,,11139,-10212.0,,-30357
2016-11-10,3,2016,,,5698,3561,3935,2538,,,,-1694.0,,,-6082,0.0,-69189,-9796,-9723.0,-1671,,0.0,,-332.0,,3842,-68345.0,37255,-12995,15319,,-30037,63941,173,,2247,0.0,6257,58030.0,2016年01月01日至2016年09月30日,1012941,977765,,-35176,46970,-186.0,143217,142171,-10822.0,,-79167.0,46970,,20173,16998,37171,6515.0,-405,,95201,-671,977765,-5211,,4733,-15007.0,,-26031
