date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收款項增加,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分避險之衍生金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,避險之衍生金融負債增加（減少）,避險之衍生金融資產（增加）減少,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2013-05-14,1,2013,801573.0,,-9278418,-93746,,,-38410,-20136,-33960,4006.0,-106386,,,,-38293.0,,,-1385,148156,-45782,-198172,,-82208,,-1773,,,,-97803,0.0,169371,-39729,640531,-590639,6076,,-451520,,-2797,1421.0,-385997,111226,-8636,-27015,476,-137932,1192,,,2013年01月01日至2013年03月31日,1243052,1532652,46894,289600,184634,,418685,424051,,6799041,-6236617,302694,184634,,,-6672,-555484,-562156,9174884,0,37957,21,,,,,-313,-87.0,239417,1532652,-5366,-21293,0,-72162,498271,,96021,
2013-08-13,2,2013,511466.0,2700.0,-18150051,-91727,,,20253,-14515,-72,-2024.0,-128487,,,,-78933.0,,,-6096,298749,-72173,-238497,,-121846,,-2405,,,,1070363,0.0,239968,-22400,1375497,-1330000,60174,,-486413,,2029,2842.0,-297247,224056,11391,2334,960,-296844,5459,,,2013年01月01日至2013年06月30日,1243052,1609779,21837,366727,232866,,1488244,1519222,,13575013,-12986162,-752097,232866,,,165110,609780,774890,17134636,10238,252249,-160,,,,,-73386,-130.0,1286356,1609779,-30978,-20623,-5526,-72162,47911,,6812,
2013-11-12,3,2013,770215.0,2700.0,-27625523,-62140,,,-113902,-7621,-3034,-9086.0,-177775,,,,-119662.0,,,-9312,441043,-54197,-302728,,-134046,,-2358,,,,1420774,0.0,221932,-39558,1804975,-1950000,-23988,,-485761,,4573,-1136.0,-434979,331522,-16685,22429,1444,-414148,8729,,,2013年01月01日至2013年09月30日,1243052,2492307,-9715,1249255,281764,,1711766,1779362,-137834.0,19217409,-19005987,26665,281764,,,55870,671513,727383,26485322,10130,275618,4025,0.0,0.0,,,-73960,2055.0,1497598,2492307,-67596,-14934,0,1661537,87526,,-173566,
2014-03-24,4,2013,1113851.0,2700.0,-41332720,-14579,-58654.0,,-21045,6495,-867,-15206.0,-37384,,,,-168145.0,,243.0,-13155,608005,-79669,-496610,,-173820,-524453.0,864,,,,-1232421,0.0,330776,28108,1140331,-1290000,-16762,,-441770,,-10792,285.0,-1106250,451607,-21510,54587,8119,-558391,12639,,,2013年01月01日至2013年12月31日,1243052,1828222,-24903,585170,536221,,-57291,-94613,-137834.0,25828597,-25429545,1828380,536221,,,292375,-2037060,-1744685,41989466,28482,307312,-11905,0.0,0.0,,,-73974,1683.0,-630834,1828222,37322,-20438,0,1633682,168950,,-384752,
2014-05-12,1,2014,140277.0,,-7657505,48491,20048.0,,20081,-12057,-5794,-7454.0,-31321,,,,-24544.0,,,-2492,137266,-46366,-121114,,-30493,,-1072,,,,699763,0.0,171159,-62775,267722,-240000,11715,,-1056438,,20653,-52462.0,-141128,115390,83036,7544,9307,-124318,1891,,,2014年01月01日至2014年03月31日,1828222,1920007,-9098,91785,342742,,247683,362075,,7247724,-6973639,31596,342742,,,175227,-296171,-120944,7699352,1285,43452,-783,,,,,-11,-332.0,19333,1920007,-114392,-11880,-2349,-180286,-108230,,20369,
2014-08-13,2,2014,424758.0,6561.0,-7983910,63024,,13580.0,-289785,13512,-1765,,-33438,,0.0,-8472.0,,4013.0,,-6661,274431,134160,-218387,,-62611,,2122,275939.0,-45907.0,,-68877,,342274,-49858,527481,-480000,2264,-9217.0,-1369878,,6960,-57023.0,-152019,234127,650,-4671,16219,-256575,5934,,,2014年01月01日至2014年06月30日,1828222,1924106,26742,95884,1330316,,466331,561230,,11554316,-11496497,-352588,1330316,48483.0,,307434,-1501278,-1193844,7704505,4296,141514,-1856,,,37235.0,-1311.0,12351,-668.0,-769086,1924106,-94899,-7409,15922,-180158,0,-179889.0,210816,-4141.0
2014-11-13,3,2014,805966.0,6561.0,-18520681,256957,,51969.0,-102554,-5630,-6313,,0,49755.0,0.0,-3981.0,0.0,547.0,,-15365,417781,147273,-252772,,-95758,-30008.0,901,275939.0,-22374.0,0.0,-1942122,,706862,-55168,617333,-480000,12363,-12126.0,-1265477,,5986,-61985.0,-101106,351699,23967,-69796,23927,-390032,14509,,,2014年01月01日至2014年09月30日,1828222,2364640,-4320,536418,2553743,,813118,1011519,-466258.0,17481314,-16801438,-322867,2553743,48483.0,,861740,-3209930,-2348190,18361556,9583,166435,-1523,,,37235.0,-1311.0,12532,1741.0,-1542224,2364640,-198401,-15626,10360,-384493,0,-26838.0,159986,-38529.0
2015-03-27,4,2014,1009692.0,10109.0,-37675866,376073,0.0,59639.0,-48628,-5733,333,5281.0,-76162,,,,0.0,108.0,,-18807,562241,17487,-369605,-6500.0,-181609,-30008.0,1078,275939.0,-17929.0,,-4180599,,585948,-34910,1095840,-960000,246988,,-698040,,18307,-39596.0,-775806,475717,45773,-102483,31669,-515156,17769,,,2014年度,1828222,1980940,67382,152718,2914310,,-751691,-279908,-466258.0,22952009,-21227985,1662728,2914310,48483.0,,1169401,-5373311,-4203910,38594637,12794,216863,-5546,,,37235.0,-1311.0,11817,,-3194218,1980940,-471783,-5142,-14393,-415713,-163031,,-347808,-448510.0
2015-05-12,1,2015,,,-13516728,-236855,-45651.0,0.0,42636,12957,-11053,-26798.0,-128074,,,,-68086.0,350.0,,-2666,169253,214202,-298931,,-45150,-56315.0,994,,,,-1739359,,172890,5960,281776,-240000,-105362,,-630697,,-23105,,-719285,121342,-35047,94840,8677,-159289,3304,,944213.0,2015年01月01日至2015年03月31日,1980940,2419179,142344,438239,41832,-4627.0,-1528692,-1465363,,4940959,-4656153,2472014,41832,,,-183816,-2267592,-2451408,15848247,3894,56545,7826,,,,,-667,0.0,-1507195,2419179,-63329,6268,4747,0,497110,,-5601,-141171.0
2015-08-12,2,2015,,0.0,-23922579,-313870,,0.0,-227639,8438,-1010,-27539.0,-119867,,,,,443.0,,-9639,342757,-61689,-347033,,-79313,-123097.0,-527,0.0,-57043.0,,-1659223,-226929.0,48009,-7486,521714,-480000,-43481,,-491643,-78025.0,-32031,,-985101,243064,-26891,-73088,20667,-329624,9591,,664820.0,2015年01月01日至2015年06月30日,1980940,2028981,-279553,48041,444899,-10414.0,-1544829,-1215369,,10630595,-10954417,2639660,444899,0.0,,-334236,-1990852,-2325088,27428439,21518,70147,-10544,,,0.0,0.0,-775,-4575.0,-1660268,2028981,-329460,11459,12428,0,364618,-5248.0,481354,-277847.0
