date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他借款增加,其他借款減少,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,遞延貸項增加（減少）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付設備款增加
2013-05-06,1,2013,,47587.0,-9479,,,31212.0,0,-30,27539,-30796,,,,-1179.0,,-1330.0,,-22,5510,7299,-3525,0,,,0.0,103.0,,-10544,,24350,0.0,4963,,-20497,13821,-1118,3507,-20.0,-4752,41030,1360,-6262,22,,2013年01月01日至2013年03月31日,66374,59879,-6495,-86100,,-3545,2695,3982.0,,-5497,-86100,88044,-46836,41208,0.0,,-291,,,,88795,59879,0.0,,,,,
2013-08-12,2,2013,0.0,94954.0,-14710,,,8962.0,33574,-2100,-7075,-4294,,,,-1983.0,,0.0,,-58,11695,6642,-4218,-4779,,60.0,0.0,8325.0,0.0,-8331,,27227,,20468,,-7539,11498,-1059,1217,-35.0,-5141,81179,2720,-12536,58,,2013年01月01日至2013年06月30日,66374,85005,18631,-138975,,14031,26509,4127.0,,3099,-138975,83121,-12591,70530,13622.0,,-582,,,,165484,85005,0.0,,,,,-4469.0
2013-11-07,3,2013,0.0,141064.0,-12003,,,-1732.0,50329,91,-8230,1470,,,,-799.0,,0.0,,-92,18176,5025,-10321,-4889,,60.0,0.0,8325.0,0.0,-4985,,25745,,31474,,-22564,5497,-471,790,-41.0,-13453,119916,3936,-19501,92,,2013年01月01日至2013年09月30日,66374,57358,-9016,-189298,,8931,28340,2424.0,0.0,-9519,-189298,97545,-20971,76574,0.0,,-872,,,,217638,57358,0.0,,,,,-6568.0
2014-03-25,4,2013,0.0,400448.0,-48605,55127.0,,-3736.0,-11549,156,95948,14044,,-10765.0,,-3756.0,0.0,0.0,,-140,24327,9915,-14004,-4889,,60.0,0.0,8332.0,0.0,-16312,-1162.0,37113,,30364,4213.0,3787,15325,-572,1567,-43.0,-28989,158757,4851,-26026,140,,2013年01月01日至2013年12月31日,66374,117144,50770,-466624,,74487,100373,,-11225.0,-4643,-466624,152310,14239,166549,,,20658,,,,566997,117144,0.0,,2526.0,190631.0,,-7663.0
2014-05-08,1,2014,,-32133.0,-25011,,-109319.0,43441.0,46246,57,-97570,-11631,-24689.0,,,,,-13333.0,,-28,5232,-245,-3904,-667,-84.0,376.0,,,8169.0,20171,-291.0,-26766,-1318.0,-11227,,-19270,-3514,369,-9026,-5.0,227119,21843,834,-6786,28,,2014年01月01日至2014年03月31日,117144,100599,-16545,24158,,-109465,-102707,0.0,0.0,-133954,24158,-71888,-22844,-94732,,17542.0,-5678,219312.0,-53961.0,,-126865,100599,,,,,,
2014-08-11,2,2014,,-14335.0,-201784,,-105143.0,-6727.0,-6641,499,124823,-36489,-24689.0,,,-2227.0,,-32643.0,,-70,9757,-5333,-11812,-1509,-209.0,376.0,,,8172.0,18242,-582.0,-32788,-4196.0,-29572,,-18366,-6100,449,-17123,2.0,199620,35016,1743,-12125,70,,2014年01月01日至2014年06月30日,117144,127385,10241,19798,,-47495,-35440,,-30000.0,-136551,19798,20212,-61115,-40903,200000.0,18183.0,-6029,219312.0,-53961.0,,-55238,127385,,,,,,-83.0
2014-11-07,3,2014,,14384.0,-251365,,-155802.0,-8059.0,-15302,410,202404,-51974,-24689.0,,,205.0,,-53365.0,,-119,16133,1556,-16296,-2461,-545.0,469.0,,,2795.0,23845,-872.0,-42555,,-30318,,-16321,-4165,519,-14422,10.0,157781,47961,2905,-19022,119,,2014年01月01日至2014年09月30日,117144,199578,82434,-14452,,617,19520,,-20822.0,-77520,-14452,81491,-61903,19588,350000.0,9349.0,2882,219312.0,-53961.0,,33972,199578,,,,,,-1553.0
2015-03-25,4,2014,,35773.0,-295618,0.0,-141485.0,-8521.0,-13604,393,196976,-50893,-24689.0,-14682.0,,2711.0,,,,-924,21969,11593,-18726,-2987,-678.0,474.0,,-1210.0,,14918,-1198.0,-41351,,-30753,-4197.0,-14535,-7072,-92,-8629,22.0,187435,60775,4250,-25550,924,,2014年度,117144,174868,57724,-53203,,-31372,-6746,,-23303.0,-109932,-53203,73883,-63199,10684,350000.0,9349.0,4000,219312.0,-53961.0,44.0,46457,174868,,,0.0,1496.0,,-3621.0
2015-05-06,1,2015,,,-1900,6486.0,0.0,-342.0,-656,241,-6626,-7733,,,7.0,,,-14.0,,-50,4710,-2615,-2650,-665,-466.0,0.0,-50.0,,2.0,-2014,0.0,-1121,-16.0,-26662,,-12114,463,405,5041,,-18503,12682,1029,-5276,50,89790.0,2015年01月01日至2015年03月31日,174868,109615,-65253,-86971,8.0,-53533,-48307,7359.0,-2497.0,9398,-86971,-35415,-15711,-51126,,47.0,337,0.0,0.0,,38664,109615,,0.0,,71548.0,,-15230.0
2015-08-11,2,2015,,,-13625,10167.0,0.0,,-1420,-7011,-440,-14650,,,,,,-2666.0,,-124,11933,-11793,-20616,0,-1055.0,0.0,-144.0,,5376.0,8163,0.0,10142,-16.0,-3732,,-19160,9575,727,3877,,-21076,24299,2444,-12712,124,171268.0,2015年01月01日至2015年06月30日,174868,122717,-52151,-161508,26.0,-16747,-4159,7764.0,-6697.0,-2535,-161508,4560,-18479,-13919,0.0,454.0,648,0.0,0.0,,157349,122717,,0.0,,133123.0,,-3624.0
