date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融負債增加,以成本衡量之金融負債增加（減少）,以成本衡量之金融負債減少,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,備供出售金融資產減資退回股款,償還公司債,償還特別股負債,償還長期借款,其他借款增加,其他借款減少,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他現金流入（出）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融負債增加,其他金融負債增加（減少）,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債增加,原始認列時指定為透過損益按公允價值衡量之金融負債減少,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得待出售非流動資產,取得投資性不動產,取得持有至到期日金融資產,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,合併發行新股追溯調整,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,因合併產生之現金流入,子公司發行特別股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,庫藏股票處分,庫藏股票買回成本,應付公司債匯率影響數,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付款項增加,應付款項減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收款項增加,應收款項減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,按攤銷後成本衡量之金融負債增加,按攤銷後成本衡量之金融負債減少,按攤銷後成本衡量之金融資產到期還本,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,概括承受他公司之淨現金收取數,概括承受他公司之賠付款,淨確定福利負債增加(減少),無活絡市場之債務工具投資到期還本,營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,生物資產（增加）減少,發放現金股利,發行公司債,發行特別股負債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分按攤銷後成本衡量之金融資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債務工具投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,退還（支付）所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,逾期未領股利及董監酬勞轉列其他收入,遞延借項（增加）減少,遞延貸項增加（減少）,避險之衍生金融負債增加（減少）,避險之衍生金融資產（增加）減少,金融資產減損損失,金融資產減損迴轉利益,金融資產證券化款項,金融資產重分類淨損失（利益）,長期應收租賃款增加,長期應收租賃款減少,附買回票券及債券負債增加,附買回票券及債券負債減少,除列按攤銷後成本衡量金融資產淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付投資款減少,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）,預收款項增加－處分資產,預收款項減少－處分資產
2013-05-02,1,2013,,89208.0,,,,,,,,,,,,,,,,,,-52303,,,,,-59801,602,,,,,,,,,,,,,,,,23654,,1125.0,-8976,187,,,,-4641,-16894,,,,,,,,0.0,-451,,,,,453329.0,167673.0,,,-453.0,,,912.0,-105515,,,,,,-460,,,,,,,323.0,,,,-3463,,,,,944,,,-19949,29134,,83221,,,,,,2835,12017,-144.0,7740.0,,,2013年01月01日至2013年03月31日,3283999,4285999,,,1002000,451234,,,,,,383400,403990,,,,,,,18000.0,,638549,451234,30357.0,,-59938,-76514,-136452,,0.0,,,,,,,,,,,,,,,,,,,,,-47244,,,4285999,-28186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-06,2,2013,,143159.0,,,,31809.0,,,,,,,,,,,,,,-85977,,,,-704300.0,130426,2626,,,,,,,,,,,,,,,,40723,,2205.0,-19738,300,,,,-16581,-41894,,,,,,,,0.0,-3557,,,,,666628.0,167673.0,,,1001.0,,,1229.0,-185790,,,,,,130248,,,,,,,-292.0,,,,-280858,,,,,-18207,,,-731089,58492,,20447,,,,,,9208,23639,-361.0,18812.0,,,2013年01月01日至2013年06月30日,844749,1662925,,,818176,1010054,,,,,,733137,865836,,,,,,,-20000.0,,816128,1010054,30535.0,,260382,-547759,-287377,,0.0,,,,,,,,,,,,,,,,,,,,,-144218,,,1662925,-151150.0,,,,,,,,,0.0,,,,,,,,,826.0,,,,,,,,,,,
2013-11-01,3,2013,,228356.0,,,,36817.0,,,,,,,,,,,,,,-59473,,,,-409009.0,194431,-4551,0.0,,,,,,,,,,,,,,,60362,,,-31645,386,,,,-31314,-41894,,,,,,,,0.0,-4595,,,,29068.0,695363.0,167673.0,,,1139.0,,,,-176424,,,,-323541.0,,4543,,,,,,,,,,,-241772,,,,,-14490,,,-306495,87758,,141433,,,,,,12643,34684,-425.0,30187.0,,,2013年01月01日至2013年09月30日,844749,1113945,,,269196,1323754,,,,,,1276238,1395807,,,,-1240008.0,,,-2000.0,,-700547,1323754,30561.0,,198974,-355277,-156303,,,,143500.0,,,,,,,,,,,,,,,,,,,72053,,,1113945,-149331.0,,,,,,,,,4539.0,,,,,,,,,827.0,,,,,,,,,,,
2014-03-20,4,2013,,296851.0,,,,46070.0,,,,,,,,,,,,,,-67246,,,,-885100.0,32303,16742,0.0,,,,,,,,,,,,,-4543.0,0.0,101031,,,-41256,558,,,,-43057,-57395,,,,,,,,0.0,-14586,,,,20909.0,695363.0,219121.0,,,0.0,3569.0,,,-164407,,,,-362294.0,,-51002,,,,,,,1831.0,,,,-99209,,,,,-7389,,,-815111,117004,,116439,,,,,,15711,45718,-619.0,40756.0,,,2013年01月01日至2013年12月31日,844749,994563,,,149814,1719779,,,,,,1670146,1794692,,,,-1240008.0,,,0.0,-25000.0,-705221,1719779,36722.0,,-16868,-205070,-221938,,0.0,,143500.0,,,,,,,,,,,,,0.0,,,,,,74913,,,994563,-164683.0,,,-10894.0,,,,,,11348.0,,,,,,,,,4028.0,,,,,,,,,,,
2014-05-12,1,2014,,28149.0,,,,,,,,,,,,,,,,,,130450,,,,-220700.0,-48094,-10339,,,,,,,,,,,,,,,-2197.0,3869,,,-10985,11,,,,-3845,0,,,,,,,,,-64482,,,,,84750.0,0.0,,,2791.0,,,,-29178,,,,,,11065,,,,,,,-1553.0,,,,91399,,,,,-24434,,,-291224,21324,,-22895,,,,,,2357,10513,-2.0,8094.0,,,2014年01月01日至2014年03月31日,994563,1331913,,,337350,359253,,,,,,491853,483823,,,,,,,6000.0,,136721,359253,1060.0,,-38582,135003,96421,,,,,,,,,,,,,,,,,,,,,,,124570,,,1331913,-62.0,,,,,,,,,,,,,,,,,,43180.0,,,,,,,,,,,
2014-08-13,2,2014,,-23556,,,,39160,,,,,,,,,,,,,,85040,,,,-295900,59374,-34368,,,,,,,,,,,,,,-3299,,35723,,0,-23822,11,,,,-14162,0,,,,,,,,,-79251,,,,2099,252032,21710,,,5458,,,0,-49145,,,,,,72022,,,,,,,-2318,,,,23268,,,,,-51573,,,-220683,42232,,6192,,,,,,3878,23137,-2,20675,12422,,2014年01月01日至2014年06月30日,994563,1919590,,,925027,893741,,,,,,801831,978677,,,,,,,21500,0,343879,893741,10346,-12422,129078,-20586,108492,,0,,114960,,,390,,,,,,,-94488,,,17809,-663,,,,,84936,,,1919590,-209941,,,-9977,,,,,,,,,,,,,,,43179,,,,,,,,,,,
2014-11-06,3,2014,,111.0,,,,39160.0,,,,,,,,,,,,,,59928,,,,248200.0,127138,-6379,,,,,,,,,,,,,,,819.0,47612,,0.0,-34874,278,0.0,,,-30784,0,,,,,,,,-27029.0,-171894,,,,-339.0,284386.0,21710.0,,,863.0,,,,-6804,,,,0.0,,3728,,,,,,,-539.0,,,,-42948,,,,,4053,,,213369,63949,,-111107,,,,,,6006,40442,-236.0,32121.0,12969.0,,2014年01月01日至2014年09月30日,994563,1196857,,,202294,1334731,,,,,,1024921,1361912,,,,-1460581.0,,,44000.0,,-1035996,1334731,10506.0,-12969.0,130327,-103257,27070,,572.0,,136516.0,,,-545.0,,,,,,,-111927.0,,,17809.0,-663.0,,,,,27181,,,1196857,-381845.0,,,-11616.0,,,,,,4251.0,,,,,,,,,73626.0,,,,,,,,,,,
2015-03-03,4,2014,,68628.0,,,,39160.0,,,,,,,,,,,,,,111557,,,,-40500.0,168059,2571,,,,,,,,,,,,,,427.0,,80551,,,-60343,535,,,,-37300,-55750,,,,,,,,-177029.0,-178078,,,,-2191.0,363845.0,21710.0,,,5512.0,,,,-109354,,,,0.0,,86644,,,,,,,2465.0,,,,18336,,,,,-14741,,,-294131,85914,,-242221,,,,,,13470,59152,-535.0,42911.0,15731.0,,2014年度,994563,1158599,,,164036,1686447,,,,,,1453576,1778391,,,,-1460581.0,,,,0.0,-995409,1686447,10675.0,-15731.0,257168,-233852,23316,,613.0,,136516.0,,,,,,,,,,-111927.0,,,17810.0,,,,,,91944,,,1158599,-382922.0,,,-6440.0,,,,,,14963.0,,,,,,,,,74105.0,,,,,,,,,,,
2015-05-11,1,2015,,,,,,1200.0,,,,,,,,,,,,,,28471,,,,-239098.0,-144912,2613,,,,,,,,,,,,,,,1941.0,13346,,,-13212,13,,,,-5372,-15990,,,,,,,,,-4841,-17251.0,,,-377.0,0.0,0.0,,,-9062.0,,,,7447,,,,,,-106851,,,,,,,-3579.0,,,,134971,,,,,-1206,,,-274554,20202,,15997,,,,,,2809,16545,-13.0,13036.0,,51841.0,2015年01月01日至2015年03月31日,1158599,1154261,,,-4338,277955,,,,,,273268,262747,,,,,,,6000.0,,-3052,277955,116.0,,-255342,188293,-67049,,4857.0,,,,,2454.0,,,,,,,,,,,,,,,,-15208,,,1154261,-2502.0,,,-1239.0,,,,,,11184.0,,,,,,,,,10.0,,,,,,,,,,,
2015-08-03,2,2015,,,,,,111698.0,,,,,,,,,,,,,,117979,,,,533300.0,-118741,-5469,,,,,,,,,,,,,,2084.0,,26749,,0.0,-28388,249,,,,-11880,-95990,,,,,,,,-80000.0,-11246,-17251.0,,,-1079.0,0.0,0.0,,,0.0,-9209.0,,,-4051,,,,,,-118173,,,,,,,-4745.0,,,,212770,,,,,-17423,,,485986,40413,,75983,,,,,,-798,33379,-249.0,28310.0,25243.0,93680.0,2015年01月01日至2015年06月30日,1158599,2370238,,,1211639,457814,,,,,,662852,689624,,,,,,,72000.0,,62801,457814,116.0,-25243.0,-241659,379789,138130,,4856.0,40000.0,10415.0,,,2551.0,,,,,,,17795.0,,,0.0,0.0,,,,,231810,,,2370238,-80076.0,,,5374.0,,,,,,22562.0,,,,,,,,,10.0,,,,,,,,,,,
