date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動
2013-05-07,1,2013,11604.0,,7295,-3073,,239,4094,30700,,,,,,-4215,1266,1640,-1861,-32000,-11122,0.0,-135,1435,,,57.0,90909,0.0,-110187,181318,,-23827,9114,-128.0,1765.0,,-737,12297,-1245,3992,,,2013年01月01日至2013年03月31日,2077925,2401909,-2288,323984,145894,,353596,355155,,515945,-524805,-7425,145894,0.0,,-77356,275013,197657,,,21234,,-3833,,209261,-5275,2401909,-4306,,0
2013-08-07,2,2013,23199.0,,21687,11332,,-797,6976,64438,,,,,,-9170,2608,2357,-6788,-32000,-341122,0.0,-662,1434,,,65.0,160936,0.0,-31610,95163,0.0,-25863,18503,-889.0,26912.0,,-802,24648,-2726,8705,,,2013年01月01日至2013年06月30日,2077925,2710110,-7485,632185,306767,,610582,680305,,1097875,-1054200,45109,306767,0.0,,49020,301319,350339,,,354644,,-5103,,373538,-3809,2710110,-75702,,0
2013-11-06,3,2013,53679.0,,42010,10014,26660.0,1200,3741,84206,,,,,,-14016,4000,-1929,-11332,-77100,-404476,0.0,-743,6754,,,61.0,92258,0.0,60435,93848,0.0,-109365,27990,-940.0,161831.0,,-816,37039,-4207,13894,3377.0,,2013年01月01日至2013年09月30日,2077925,2385375,8342,307450,485775,,1021479,1084625,-608674.0,1635710,-1636525,-602735,485775,0.0,-3377.0,183479,361692,545171,0.0,,357565,0.0,-5483,,598850,-3432,2385375,-76210,,0
2014-03-20,4,2013,58480.0,,53018,17709,26660.0,13251,82,-25583,,,,,,-18974,5229,1960,-11767,-77100,-406498,0.0,-804,8230,,,65.0,116505,0.0,-68886,223807,-1119.0,219013,37299,-968.0,171701.0,,-890,37366,-5342,18770,3377.0,,2013年01月01日至2013年12月31日,2077925,2677480,8203,599555,635511,,1132141,1192074,-608674.0,2094200,-2247315,-753559,635511,0.0,-3377.0,-31721,529804,498083,0.0,,688457,0.0,-6376,,556563,-1434,2677480,-76738,,0
2014-05-13,1,2014,-23764.0,,-44571,285,497.0,-14438,2635,39200,,,-320.0,,,-7209,895,1019,-1730,0,-19850,,-2672,3080,,,-53.0,-29910,,24526,19623,,130991,9100,0.0,0.0,,-9,379,-943,6845,,,2014年01月01日至2014年03月31日,2677480,2971024,-8623,293544,180978,,155243,154087,,334486,-340120,6291,180978,,,4240,-7367,-3127,25000.0,,130119,-2698.0,-15590,-9.0,-26891,-477,2971024,-4746,,8845
2014-08-07,2,2014,-20035.0,,-37737,597,497.0,-9932,4536,68000,,,-320.0,,,-16461,2164,-919,-9611,0,-19850,,-2671,3080,,,157.0,-98546,,56237,18597,,142640,18609,0.0,0.0,,-67,844,-2189,15953,,,2014年01月01日至2014年06月30日,2677480,3120334,-7358,442854,327278,,236889,305841,,906476,-854156,64244,327278,,,73414,-74816,-1402,25000.0,,149438,-2698.0,-15059,-9.0,-21437,-3154,3120334,-82716,,8844
2014-11-11,3,2014,-22097.0,,-25667,-11858,497.0,-12817,-3875,103747,,,-320.0,,,-25386,3423,4592,-14660,0,-19850,,-16502,8306,,,152.0,-154678,,115057,-89551,,125136,28089,0.0,0.0,,-128,3596,-3389,24997,6600.0,,2014年01月01日至2014年09月30日,2677480,2793905,-6956,116425,537116,,343344,433985,-484367.0,1566996,-1456426,-356647,537116,,-6600.0,178928,-259962,-81034,26381.0,,149438,-3067.0,-15059,-9.0,-103131,-1392,2793905,-118849,,8844
2015-03-18,4,2014,3184.0,,-722,-1059,497.0,-8916,4194,1540,,-320.0,,-111.0,,-34215,4632,9386,-15969,0,-139818,,-16502,9254,,,165.0,-101301,,2319,-86676,-1167.0,24073,37478,0.0,0.0,,-158,7426,-4723,34093,6600.0,,2014年度,2677480,2668213,-1658,-9267,702194,,422613,512060,-484367.0,1937706,-1936776,-465339,702194,,-6600.0,-8476,-184842,-193318,26381.0,19394.0,150356,-3067.0,-21727,,-190134,-1530,2668213,-125417,21073.0,8844
2015-05-13,1,2015,,,-44145,-657,0.0,-1214,-8238,25300,,,,-11.0,,-6184,973,551,-3040,-50000,-130481,,-18652,15,,,0.0,-18808,,12427,94151,,-143084,9201,,,,-53,5862,-913,539,,-25749.0,2015年01月01日至2015年03月31日,2668213,2730592,-17293,62379,132089,,162559,163496,,378320,-337860,42353,132089,,,-9292,66448,57156,0.0,49223.0,9877,0.0,-18255,0.0,31407,-1660,2730592,-563,,1878
2015-08-12,2,2015,,9000.0,-36567,2376,,-4246,-3440,30584,0.0,,,111.0,,-10491,2038,5357,-8107,-50000,-155134,,-18645,942,,,8.0,-15156,,-61266,112135,,-159061,17882,,,0.0,-97,11715,-3354,10900,,-25612.0,2015年01月01日至2015年06月30日,2668213,2757244,-26809,89031,222948,,174936,220076,,872520,-807540,67799,222948,,,-73175,95915,22740,4606.0,49223.0,9877,-1595.0,-18255,0.0,-2872,-1680,2757244,-52686,,1877
