date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付設備款增加
2013-05-14,1,2013,857162.0,,,-3577734,81275,,154286,,-80134,157587,-35586,-239182,-1050256.0,,,,,,-80669,115759,87016,-369656,0.0,0,-60661.0,-67.0,-5577,-2322,39924,,,-35585.0,,-33529.0,-568807,,-4302,-11905,,,-66818,388890,91951,7902,698.0,-1476973,783114,,-6014,7844,-110185,67420,,,2013年01月01日至2013年03月31日,11907578,11951358,43780,-64764,578653,668253,,,-406409.0,855084,-64764,0.0,,-116772,-7373,-124145,4873796,22658,,0.0,22437.0,-7830,,,,,0.0,733017,,11951358,-46835,784,1016.0,4250.0,,
2013-08-13,2,2013,1790397.0,,,-3620588,-168729,-3379.0,-256102,-4058.0,-40589,152689,0,-230564,-3457144.0,,,,,0.0,-175859,235864,213506,-577488,0.0,0,-61356.0,-67.0,-17807,-12839,52904,,0.0,-13640.0,0.0,1716.0,-463421,-68513.0,595471,-13638,,,-66799,205965,137285,9473,1351.0,-4077140,1585077,,-7168,12224,-220849,167711,,,2013年01月01日至2013年06月30日,11907578,11131788,-775790,-144744,1204627,1500608,,234442.0,,1883217,-144744,,,303688,-448733,-145045,5350776,25408,,0.0,22437.0,-2435,,,,,0.0,1645352,,11131788,-242843,7995,740.0,81795.0,,
2013-11-12,3,2013,2706275.0,,-946600.0,-2711595,-43495,,-129807,115.0,-1150,178193,-501,69951,-3631096.0,,0.0,,,,-288200,368259,-68846,-695980,0.0,0,-61356.0,-67.0,-17807,-2342,51645,,-5611.0,,,20540.0,-460586,-68513.0,1199455,11269,,,-55118,-1125473,132744,10623,2250.0,-4733493,2371423,,-7332,24238,-348183,291153,1491.0,,2013年01月01日至2013年09月30日,11907578,10981982,-925596,-136167,2084630,2358578,-182174.0,129589.0,,1792113,-136167,0.0,-1491.0,1112710,-1324240,-211530,5443595,33527,,0.0,22437.0,5408,,,,,-1297.0,2494745,55951.0,10981982,-216918,-21051,133422.0,148722.0,0.0,-402840.0
2014-03-13,4,2013,3603632.0,,-1600000.0,-1863935,242779,,30187,,49395,310648,-110,-126137,-2127634.0,0.0,,-554074.0,,,-418534,504766,306437,-953243,0.0,0,,-67.0,-24932,-10688,39683,0.0,37998.0,,0.0,4169.0,-172528,-68513.0,1599852,14595,,,-122778,-709108,120563,15299,,-3623253,3129157,-53687.0,-20925,32481,-483417,455175,1491.0,,2013年01月01日至2013年12月31日,11907578,14156871,2249293,-219298,4214311,4583304,-182174.0,631131.0,0.0,1351798,-219298,0.0,-1491.0,1783733,-584763,1198970,4397291,41725,,0.0,,16084,,,0.0,,-1297.0,4802602,57751.0,14156871,-340751,-24019,0.0,289976.0,0.0,
2014-05-08,1,2014,691458.0,,,-2183221,-352070,,162385,,15400,75944,223,40457,-5283227.0,,,0.0,2054.0,,-164985,147591,49799,-391238,,-29903,,0.0,-10343,-845,-562,,,-5751.0,-35895.0,,359890,,-1417615,-24241,,,-84675,1163568,49884,-14312,,-5708392,756025,9461.0,-17854,8631,-137315,137883,,,2014年01月01日至2014年03月31日,14156871,9679516,-4477355,46314,699830,722071,,459929.0,0.0,481408,46314,,,-1862978,1847277,-15701,2210451,41005,,,,-25678,,,,,0.0,675757,,9679516,-22809,-4067,0.0,,-7643.0,
2014-08-11,2,2014,1344408.0,,,-3364844,-391109,,176695,,29207,3260,540,66160,-5211188.0,,,-181532.0,,,-348799,302856,-147093,-774931,,-151587,0.0,0.0,-10343,-1399,-2706,,,-535.0,-32757.0,0.0,129455,0.0,-984097,-15520,,,-113449,137293,43413,-20058,,-6318649,1448594,-423990.0,-21721,18420,-286793,312235,655.0,,2014年01月01日至2014年06月30日,14156871,8836737,-5320134,272455,208556,254663,,150533.0,,937052,272455,,-655.0,-1474428,112228,-1362200,4149183,44433,,,0.0,-23090,,,,,,-17792,,8836737,-71549,-11148,2715.0,,-17343.0,
2014-11-11,3,2014,1995283.0,,0.0,-4067361,-144360,,290847,,136448,-65358,543,-784183,-3354694.0,,,-353460.0,,,-517198,452593,-21304,-921808,,-151588,-2495910.0,0.0,-10343,-958,1841,,,-14849.0,-35868.0,0.0,-76857,0.0,-374704,751,,,100055,-925246,77417,-3746,,-6930871,2126822,-371172.0,-27324,27057,-436579,478838,2105.0,,2014年01月01日至2014年09月30日,14156871,10425828,-3731043,655465,446491,511183,0.0,3037751.0,,2774641,655465,,-2105.0,-281267,-1858298,-2139565,3350390,59562,,,332091.0,-11888,,,,,0.0,-144282,0.0,10425828,-106951,-35306,468710.0,,-19209.0,
2015-02-16,4,2014,2649943.0,,0.0,-5611752,91026,,151652,,84061,-60278,234,-1157475,-4847165.0,,,-528382.0,,,-649215,599289,864237,-1080624,,-151586,-5774486.0,0.0,-110824,-1023,-10641,,0.0,-22915.0,-37481.0,0.0,470123,0.0,-1476258,-2167,,,4758,-723891,98654,1879,,-8684149,2783779,-69571.0,-33909,36257,-606499,621029,2182.0,,2014年度,14156871,8071906,-6084965,914104,863429,976794,0.0,1969209.0,,871518,914104,,-2182.0,-1298346,-1288907,-2587253,3585200,424316,,,3420924.0,-9869,,,,,0.0,62690,0.0,8071906,-127895,-84775,951776.0,21209.0,,
2015-04-28,1,2015,,,,-702485,-381756,,78009,,-48610,34516,0,25641,0.0,5225299.0,,-83230.0,0.0,,-117839,134900,-139025,-295293,,-71583,-2282342.0,,-10862,-662,23150,,,-35658.0,0.0,712.0,-437375,,-506654,-23105,,,-100441,2185691,2053,-12288,,3816707,666468,-421928.0,-2818,8744,-133219,62316,,654962.0,2015年01月01日至2015年03月31日,8071906,11889441,3817535,-120536,819660,928179,,0.0,-1607257.0,-679807,-120536,,,-1060566,1454319,393753,1665593,2487,960.0,,1331221.0,496,,,,,-1178.0,1048715,,11889441,-37616,-49340,,,-7621.0,
2015-07-28,2,2015,,,,-1317391,-711508,,77555,,-1980,-21722,-3,-694181,0.0,5319251.0,,-139438.0,,,-214554,253738,-329635,-486145,,-124721,-3567899.0,,-10862,-1582,-28707,,,-52942.0,0.0,3499.0,-172982,,-1202886,-21782,447722.0,,-10966,3498622,1491,-23635,,5299181,1306822,-1667976.0,-136,17408,-252868,147128,0.0,1149225.0,2015年01月01日至2015年06月30日,8071906,10706552,2634646,49908,41184,247180,,0.0,-3102014.0,-2376084,49908,,0.0,-1949125,997172,-951953,1648541,32446,960.0,,3789362.0,-16096,484310.0,-49259.0,,,-4761.0,197272,,10706552,-100256,-102550,0.0,,-12680.0,
