date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動
2013-05-15,1,2013,118052.0,,541846,-40112,68259,118825,42840,-304142.0,-1265441.0,,,,-25168,1250,89879,-64786,-106830,,,-49629,-45501.0,15286,3365,4877.0,,-3760.0,,1035485,0.0,-1163321,-5681,-392263,1831,-1483759,92659,-103989,,-165,41377,-1250,25168,,,2013年01月01日至2013年03月31日,8737663,9209600,,471937,677371,610044,586932,,1247531.0,,1255773,677371,,-524126,315635,-208491,1195,50993,1280,-7426,,,,,,-90439,-8069,9209600,-806,-1041,,
2013-08-14,2,2013,226713.0,,933321,8621,-251598,-27169,3859,19244.0,-2678219.0,,,,-62259,5314,166197,-117908,-230023,-147120.0,,-85360,-67156.0,8045,4952,5079.0,,,-3020.0,14030,0.0,403122,8020,-178434,-3252,-3112921,189568,697252,,415,93763,-5314,62259,,,2013年01月01日至2013年06月30日,8737663,11180327,,2442664,1272087,3166657,3204682,,2212700.0,,2222731,1272087,,1175590,530292,1705882,1207,144157,2211,-16296,,,,70521.0,,1932595,78866,11180327,-94970,5952,,
2013-11-14,3,2013,306081.0,45000.0,1320400,-14552,-27560,-255126,-4530,21065.0,-3416960.0,,,44772.0,-113986,14029,123431,-154962,-269473,-147120.0,-207000.0,-121577,-67155.0,25741,5841,,5036.0,,,-784922,0.0,-298001,6268,-984495,-3571,-3895336,279737,348504,88000.0,-5096,139902,-14029,113986,,,2013年01月01日至2013年09月30日,8737663,8319729,,-417934,2246091,1967209,1969052,-1252453.0,2630062.0,,1386762,2246091,,1089977,-1673097,-583120,5545,211338,-1058,-34873,,,,94256.0,,-277039,93400,8319729,-101800,1685,,-1724.0
2014-03-18,4,2013,450557.0,45000.0,915404,-124783,78806,-153122,41007,,-3124631.0,,,11521.0,-158977,26109,190105,-199288,-427477,-148410.0,-207000.0,-130225,-67155.0,65417,8990,,2809.0,,,-850925,0.0,-962639,12830,-510384,-2853,-3732188,376857,57865,88000.0,13701,179647,-26109,158977,15197.0,,2013年01月01日至2013年12月31日,8737663,8146406,,-591257,2732357,1802852,1770031,-1252453.0,2390352.0,,1147974,2732357,-15197.0,171319,-1584202,-1412883,5946,303217,3433,-44765,,,,118314.0,,-962326,85911,8146406,-115244,-3151,7483.0,-1724.0
2014-05-15,1,2014,37969.0,,634579,70699,-17491,-38318,-10831,,,613203.0,-11018.0,,-72048,8601,-68718,-311290,-70865,,,-58265,0.0,-24560,3194,463.0,,,,-293798,,683411,9053,-992912,4483,187418,88067,73359,,7605,45023,-8601,70212,,,2014年01月01日至2014年03月31日,8146406,9145026,,998620,873017,1090045,1030096,,,-213782.0,-210125,873017,,1295597,-1176487,119110,267,25386,15509,-2507,,,,,,157079,-3124,9145026,-1662,-27721,,
2014-08-14,2,2014,104733.0,63000.0,691846,27507,-127318,-32417,-42962,,,1796842.0,-54904.0,,-141872,16987,-66108,-341189,-149743,0.0,,-30108,0.0,-15608,3194,,-11070.0,,,-169103,,-293201,93927,-300763,5273,1492508,181360,238319,,9131,92993,-16987,136309,,,2014年01月01日至2014年06月30日,8146406,8936596,,790190,1516227,1418992,1666237,,,-2047326.0,-2055202,1516227,,276461,-231184,45277,28949,159895,26855,-22097,,,,19766.0,,150010,-45831,8936596,-366567,-43016,,
2014-11-14,3,2014,229137.0,63000.0,1083699,18912,-137678,16827,-44048,,,2741600.0,-185463.0,,-179372,17723,8901,-378149,-171827,0.0,-48600.0,-34242,0.0,25179,3313,,-8286.0,,,-858219,,229451,21499,-1423410,2222,2322888,274086,98663,79200.0,-1087,139582,-17723,173555,,,2014年01月01日至2014年09月30日,8146406,7173267,,-973139,2315186,1090413,1479429,-1884017.0,,-2514190.0,-4395341,2315186,,1080111,-2145005,-1064894,28939,208664,29523,-36395,,,,19766.0,,-835757,-72812,7173267,-544848,-40102,,7839.0
2015-03-16,4,2014,267258.0,84000.0,492371,37660,25959,-60586,1160,0.0,,3279771.0,-168881.0,,-217218,18478,-87067,-418338,-216990,0.0,-48600.0,-59721,0.0,25661,27708,,-7690.0,,,-504540,,64591,12693,-407388,3753,2820999,346643,370560,0.0,-8648,173154,-18478,217218,23069.0,,2014年度,8146406,9336355,,1189949,2944346,2846499,3220315,-1884017.0,,-2534323.0,-4390482,2944346,-23069.0,569252,-560541,8711,26696,244096,33789,-38843,,79200.0,654.0,19766.0,,275969,-27522,9336355,-595625,-43343,0.0,7840.0
2015-05-15,1,2015,,,97808,1676,-206135,41330,5552,,-451515.0,,-44110.0,,-33671,382,-9416,-43709,-21931,,,-3237,,110385,1547,,-159.0,,,-491657,,-467757,15650,-168232,629,-501338,97623,-96951,,8354,50757,-382,33671,,181425.0,2015年01月01日至2015年03月31日,9336355,8336355,,-1000000,559680,-505436,-486808,,14802.0,,16190,559680,,-514708,-713205,-1227913,1192,61972,37,-29574,,,,,,-1046488,40174,8336355,-51917,-22868,,
2015-08-14,2,2015,,0.0,190351,21607,-188243,45917,-3476,,-241490.0,,-45021.0,,-75197,663,-97181,-59941,-100199,,,-37293,,41577,2142,,-604.0,,,1021342,,-83515,117,634609,-1480,-390968,194306,-132372,,23988,101509,-663,65630,6154.0,253923.0,2015年01月01日至2015年06月30日,9336355,11493338,,2156983,1055485,2628757,2849335,,14837.0,,16375,1055485,-6154.0,-49696,1589623,1539927,1906,91070,118,-30292,,,,,0.0,1793850,35070,11493338,-291699,3405,,
2015-11-13,3,2015,,0.0,678274,-55588,-77119,78106,9373,0.0,,1134860.0,-70461.0,,-106284,1013,87187,-106415,-118977,,0.0,-41327,,41765,2142,5449.0,,,,22616,,800224,-6249,-568617,-1143,892224,289784,-14884,0.0,32170,151843,-1013,115305,,378627.0,2015年01月01日至2015年09月30日,9336355,11524775,,2188420,2039365,2902749,3323089,-1701050.0,,-281.0,-1693740,2039365,,1444607,-539510,905097,2043,92501,1962,-29936,,0.0,0.0,,0.0,1283724,40104,11524775,-534632,-3690,0.0,0.0
2016-03-15,4,2015,,10500.0,-184572,-84288,-76322,192123,16527,0.0,,32765.0,-128720.0,,-140570,1438,-63337,-195359,-125771,,0.0,-48460,,30455,2142,5219.0,,-2723.0,,436122,,-509446,-13065,857323,1390,-351448,384536,58916,,64275,195418,-1438,150697,38374.0,436941.0,2015年度,9336355,10723611,2490.0,1387256,2671659,3500537,3838711,-1701050.0,,-1326.0,-1698496,2671659,-38374.0,-731475,1461586,730111,2592,103728,24339,-32149,,0.0,0.0,,0.0,1167052,35403,10723611,-525807,-54917,,-3481.0
2016-05-13,1,2016,,,139336,21669,-166636,-20820,4688,,,364773.0,-220.0,,-30212,100313,-43551,-25240,-19635,,,-40740,,-16300,0,246.0,,-104.0,,64811,,-632770,6085,-491088,-617,532739,88462,110010,,7597,49319,-321,30058,,109700.0,2016年01月01日至2016年03月31日,10723611,11090559,,366948,802826,-52486,-50770,,,-70000.0,-69754,802826,,-647261,-316035,-963296,1178,101737,6923,-52518,150990.0,,,,,-853596,2036,11090559,-31453,-43884,,
2016-08-12,2,2016,,,89933,62562,-202917,-35029,-14283,0.0,,437039.0,-10758.0,,-55747,99341,-57156,-64607,-85815,,,-63459,,-26160,0,,-10056.0,-30349.0,,1194709,,312547,17480,-739822,-5628,447671,175510,184367,,26875,94141,-99341,55205,17022.0,196582.0,2016年01月01日至2016年06月30日,10723611,12779940,,2056329,1289651,1745870,2343294,,,-70000.0,-80056,1289651,-17022.0,195902,661159,857061,3880,110750,13034,-43882,150990.0,,,,,1053643,-6858,12779940,-570310,-69508,,
