date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分無形資產,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付投資款增加,預付投資款減少,預付款項（增加）減少,預收款項增加（減少）
2013-05-03,1,2013,213630.0,,-593635,57782,-322842,,62944,-34105,37300,-97472,,189,-8238,-2169,33899,-29845,-119151,,-56640.0,,0,,,,,,0,,,70838.0,389970,-8053,0.0,15820,0,,70312,-208899,-27649,-112912,194613,,,39624,-31632,1278.0,,,2013年01月01日至2013年03月31日,1881727,1796837,,-84890,276352,458174,498968,,,-6672,-400307,276352,,,393757,-384771,8986,200000,94,,0.0,94,,-2777,0.0,,,222616,-2703.0,1796837,-10440,-41416,,,,,-83963,152302
2013-08-06,2,2013,400626.0,,-593635,-352161,-198574,,100117,-28313,-16290,-36883,0.0,-1186,-25000,-5419,73707,10976,-341256,,,,-20654,-185622.0,,-447.0,,,3064,,,-120920.0,597295,-8053,0.0,81147,40000,0.0,86874,-396691,1951,-650941,330783,32734.0,,53601,-70421,,,,2013年01月01日至2013年06月30日,1881727,1519519,-10537.0,-362208,355439,537254,663391,,,-67048,-259497,355439,,,84102,-176776,-92674,358122,199,3692.0,0.0,4665,,-4136,21673.0,0.0,,307952,,1519519,-55716,-16591,,0.0,0.0,,-147109,184415
2013-11-11,3,2013,579398.0,0.0,-593635,-274910,-435218,,91608,27380,-31554,-250034,0.0,304,-37500,-11852,109452,6624,-421875,,,0.0,-37957,-162626.0,,-453.0,,,15591,0.0,-138379.0,0.0,470233,-8053,0.0,472863,49973,0.0,-15020,-565390,3085,-727789,491954,29763.0,0.0,102987,-107885,16199.0,48140.0,,2013年01月01日至2013年09月30日,1881727,1550891,163.0,-330836,508896,553312,765526,-526055.0,155116.0,0,-162983,508896,,-48140.0,445224,-767992,-322768,736027,14588,4840.0,0.0,5923,0.0,-5018,21673.0,0.0,,256630,,1550891,-168668,-28118,,0.0,0.0,,-48115,202237
2014-03-25,4,2013,861249.0,4867.0,-2181995,-360783,-95212,,7771,-50212,-10873,198932,,337,-50000,-19754,152665,27038,-703022,,,0.0,-119806,-166123.0,,4501.0,,,17528,,-91844.0,,-313375,-8053,0.0,817872,9997,0.0,82029,-303563,31,-1040751,668398,-39092.0,0.0,143140,-151766,23636.0,,,2013年01月01日至2013年12月31日,1881727,2418439,-1553.0,536712,732722,1242003,1484530,-526055.0,492534.0,0,308422,732722,,,535324,-644765,-109441,2496413,14588,6969.0,0.0,7838,0.0,-9950,21673.0,0.0,,751808,,2418439,-114397,-34036,,0.0,,,-42611,-692
2014-08-11,2,2014,457049.0,,-1086610,-466403,-123594,,41259,28475,-16411,-439463,,-98,-25000,-8654,83894,-5455,-197890,,,-13596.0,-2818,-31121.0,,-1303.0,,322759.0,11714,,,-12538.0,405763,0,,177037,39987,,-94034,-300437,-49387,-242200,323945,-117302.0,,91424,-80604,9527.0,,,2014年01月01日至2014年06月30日,2418439,2745975,-19760.0,327536,470257,152142,325884,,,-167513,423049,470257,8250.0,,-42467,-558955,-601422,1316308,52,2115.0,,2221,,-4660,0.0,,,-144373,,2745975,-102665,6692,,,,,37088,316085
2014-11-07,3,2014,684667.0,0.0,-2005268,-293989,-38671,,20088,108323,-16099,-383369,0.0,-1454,-37500,-16454,126995,20474,-330918,,,-13596.0,-16811,13893.0,,-760.0,,322759.0,15665,0.0,-12523.0,0.0,393595,0,0.0,376591,69985,0.0,-96419,-679255,-120207,-343449,502334,16971.0,0.0,136421,-123250,16917.0,0.0,,2014年01月01日至2014年09月30日,2418439,2939935,14649.0,521496,665692,258985,628699,-502088.0,271765.0,0,585486,665692,8250.0,0.0,105216,-826876,-721660,2426264,57,2853.0,0.0,3374,0.0,-6955,0.0,0.0,,-36993,,2939935,-263381,-45687,,0.0,0.0,,-122809,115044
2015-03-25,4,2014,871570.0,0.0,-2875675,-462306,44715,,-23095,23704,11639,-231855,,-1445,-50000,-17992,188093,-4752,-731541,,-465474.0,-13596.0,-40477,7455.0,,-808.0,,322759.0,27465,,-41211.0,,-541749,0,0.0,495112,69960,0.0,-66187,-524925,-73659,-1305612,644286,81141.0,0.0,165887,-177343,17790.0,,,2014年度,2418439,2316128,248185.0,-102311,883144,175545,525369,-502088.0,493119.0,0,1032508,883144,8250.0,,-183472,-1045873,-1229345,3510564,7187,2853.0,0.0,5038,0.0,-2115,0.0,0.0,,-357775,,2316128,-190271,-317254,,0.0,-44404.0,,178200,-138635
2015-05-11,1,2015,,,-420713,-315572,172722,0.0,50090,72883,-15688,-86543,0.0,54,-12500,-5411,41535,-62223,-130767,,,-55968.0,-38,,0.0,832.0,0.0,0.0,6444,0.0,,-38390.0,512315,-144602,,-612782,9,,-22914,249251,16796,-242920,156502,9320.0,,44878,-40176,4269.0,,185022.0,2015年01月01日至2015年03月31日,2316128,2382261,10816.0,66133,389298,513727,556680,,327777.0,0,-142451,389298,0.0,,-937394,919754,-17640,0,2018,0.0,,166,,-6822,,,24455.0,167382,,2382261,-7046,-44974,,,,44404.0,-27044,-20528
2015-08-07,2,2015,,,-3457731,-434771,177343,,-11821,80003,6647,47148,,15,-25000,-10022,87322,-57099,-439965,,,-55968.0,-21155,,-73192.0,793.0,,157398.0,7802,,,27346.0,680439,-144602,,-1027004,20,,-27229,559891,36911,-566924,309561,167623.0,,78344,-86810,9553.0,,645275.0,2015年01月01日至2015年06月30日,2316128,2738838,0.0,422710,555672,1398739,1542881,,,-753223,-352006,555672,5226.0,,-1425778,1767712,341934,3749696,15785,0.0,,978,,-17144,0.0,,24455.0,987209,,2738838,-66885,215217,,,,44404.0,18339,68400
2015-11-11,3,2015,,0.0,-5490544,-62780,76324,,-205102,97126,23432,-74591,0.0,-10422,-37500,-13505,140047,-69720,-660946,,,-55968.0,-36343,,-148399.0,797.0,,157398.0,13758,0.0,0.0,32425.0,343921,-144602,0.0,-732891,40,0.0,-26566,62151,-4213,-892857,502896,-172564.0,0.0,116708,-137566,13335.0,0.0,544129.0,2015年01月01日至2015年09月30日,2316128,2213807,0.0,-102321,755270,431999,690596,-577401.0,0.0,-46122,428257,755270,5226.0,0.0,-930320,321517,-608803,6427096,2319,0.0,0.0,1828,0.0,-28019,0.0,,18285.0,-64674,,2213807,-134366,-144349,,0.0,0.0,44404.0,3785,73587
