date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發行公司債,發行特別股負債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分無形資產,處分無形資產損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,預付款項（增加）減少
2013-04-29,1,2013,654226.0,,-550000,-14974,124216,-115263,-135181,,11669,135299.0,32335.0,,,,-358.0,,,,-113,92290,-19103.0,-464728,,,,-695.0,,0.0,-60638,169354,0,,579464.0,111091.0,-409940,-27399,-412757,540816,-1915.0,3008.0,6836,-92778,111.0,,,2013年01月01日至2013年03月31日,1208707,949672,6461.0,-259035,70454,459276,551943,,,,,-315915.0,-286451,70454,3209.0,,533686,-706423,-172737,0.0,53024,,1719,,,,,,,,481489,8700,949672,,,,,-91.0
2013-08-09,2,2013,1409650.0,,-550000,91782,662057,-70945,-280775,,-7806,148672.0,26782.0,,-50000.0,,8912.0,,,,-598,176719,-2613.0,-864130,,,,-695.0,,0.0,32314,-81597,1962,,299923.0,96570.0,-745652,-44779,-742836,1068290,-2284.0,12870.0,8286,-173725,595.0,,,2013年01月01日至2013年06月30日,1208707,1214231,22423.0,5524,427242,1584482,1757612,,,,,-583432.0,-833509,427242,120.0,,1014047,-1093327,-79280,0.0,163077,,7511,,,,,,,,1330370,94601,1214231,,,,114029.0,-182.0
2013-11-06,3,2013,2152871.0,-52336.0,-1100000,13032,397501,-79309,-116540,,29651,-51157.0,-7524.0,1566.0,-50782.0,,9360.0,,,,-712,273906,11180.0,-1277779,,,,-17460.0,,0.0,186060,-465477,148,,299981.0,-6725.0,-237142,6053,-715300,1615477,-3878.0,21308.0,13834,-268898,712.0,,,2013年01月01日至2013年09月30日,1208707,1839460,121533.0,630753,695964,2386616,2654802,,,,,-251724.0,-1051743,748300,2297.0,,28871,-222904,-194033,0.0,148241,,-8852,,473120.0,,,,,,1958838,141549,1837894,,,,114080.0,-275.0
2014-03-13,4,2013,2809531.0,-1462030.0,-2100000,170240,405104,-67183,-14596,,2892,-41243.0,35941.0,,-40240.0,,9370.0,,-237971.0,,-1686,364547,-1463.0,-1480651,,,,-17460.0,,0.0,351637,-837044,578,,299903.0,0.0,248277,11061,-562592,2110424,7685.0,31656.0,21835,-358680,1683.0,,,2013年01月01日至2013年12月31日,1208707,1362350,-21406.0,153643,309339,3197133,3554130,,,,,-679338.0,-2479435,1771369,927.0,,-134469,569729,435260,0.0,404761,,-8852,561628.0,,,,,,,3244791,167896,1362350,,,,550057.0,-5985.0
2014-05-09,1,2014,313529.0,111418.0,-1930000,-290413,-302725,115256,-333130,,22406,-26332.0,-9382.0,,27397.0,,187.0,,5151.0,,-472,71525,-3663.0,-362466,,,,0.0,,-7818.0,64961,-93811,-578,,-299903.0,0.0,364528,-54852,3748551,346038,0.0,0.0,12452,-71596,469.0,,,2014年01月01日至2014年03月31日,1362350,1529735,78610.0,167385,300161,-28799,42328,,,,,-1318801.0,-3548704,188743,0.0,,-742206,170844,-571362,,4083433,,-191957,,,,,,,,-257833,-28347,1529735,,,,,1057.0
2014-08-12,2,2014,723841.0,111418.0,-2730000,-349805,-238476,134690,-395222,,24857,-30605.0,0.0,,28520.0,,6355.0,,9252.0,,-1679,144488,4225.0,-501214,-149975.0,-25000.0,,-1848.0,,-7818.0,53456,-229019,14197,,-299903.0,0.0,432401,-33572,3483093,691341,-137.0,0.0,25167,-141044,1676.0,,,2014年01月01日至2014年06月30日,1362350,1471365,60455.0,109015,519696,321326,530942,,,,,-669726.0,-3699629,408278,0.0,,-928846,216251,-712595,,4126255,,-197365,,,,,,,,11246,-95138,1471365,-70248.0,,,0.0,-222.0
2014-10-30,3,2014,1129828.0,111418.0,-3730000,-373789,-278304,143351,-91503,,1073,-35248.0,-4924.0,0.0,4440.0,,6521.0,,122.0,,-2046,210518,14622.0,-602027,-149975.0,-25000.0,,-1848.0,,,160888,-300043,14092,,-299903.0,0.0,193113,11812,3472268,1036530,1049.0,0.0,37856,-207698,2043.0,375.0,,2014年01月01日至2014年09月30日,1362350,2614208,39853.0,1251858,641226,816791,1092694,1999999.0,,,,-1021919.0,-3051823,529808,0.0,-375.0,-1092884,414524,-678360,,4239782,,-192630,,0.0,,,,,,451468,-119592,2614208,-70248.0,,,0.0,-335.0
2015-03-10,4,2014,1699392.0,-65633.0,-4530000,-401807,-82085,144243,-187708,-15893.0,-4469,,,,-1274995.0,1733328.0,,5447.0,10620.0,,-5294,258515,11599.0,-758089,-149975.0,-25000.0,,-1848.0,,8675.0,184884,-100115,13239,,-299903.0,,232394,22005,2143014,1383381,-147.0,0.0,50278,-264153,4379.0,375.0,,2014年度,1362350,1079876,0.0,-282474,661046,1706359,2036006,1999999.0,,,,-1313542.0,-4143446,726679,0.0,-375.0,-715186,390754,-324432,,148975,,-15650,0.0,2460163.0,-192074.0,0.0,5008.0,,,1374960,-128525,1079876,-70248.0,,,201316.0,-448.0
2015-04-22,1,2015,,-44180.0,-700000,-20857,39313,-3342,212203,9990.0,4030,,,,-310.0,789750.0,,-453.0,311.0,,-2536,45107,0.0,-119510,,,,-1368.0,,0.0,-31124,-214293,35691,,0.0,,94358,-340,746694,337607,174.0,0.0,12501,-43452,2694.0,,427921.0,2015年01月01日至2015年03月31日,1079876,1836236,0.0,756360,136922,649832,690590,,,,59834.0,,-640166,181102,,,-150212,275959,125747,,1347,14889.0,413,0.0,62349.0,14180.0,-9662.0,0.0,0.0,,553668,-56,1836236,,,,30000.0,0.0
2015-08-05,2,2015,,-74180.0,-1500000,-50958,-285158,-5242,205858,12799.0,15778,,,,0.0,1228889.0,-419.0,0.0,1159.0,,-5251,86370,0.0,-208374,0.0,0.0,,-1368.0,,0.0,110792,-256640,45740,,0.0,,182395,-856,1099370,675603,147.0,0.0,25232,-83243,6008.0,,847368.0,2015年01月01日至2015年06月30日,1079876,1471700,0.0,391824,29766,703083,780318,,,,89371.0,,-1410629,103946,,,-605688,508872,-96816,,2414,14889.0,-263,0.0,63339.0,14180.0,-9662.0,0.0,0.0,,750552,-71471,1471700,0.0,,,60000.0,0.0
