date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產（增加）減少,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債增加,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付款項減少,應付短期票券增加,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延借項（增加）減少,非控制權益變動,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-10,1,2013,64300.0,,,-21538,-34007,,-389,,6492,-5217,3852,-2149,-2807.0,-9419,,-9646.0,,,-788,28034,-45873,,0.0,,,-137,,-653.0,,7069.0,,-73057,-15642,1180,,,10125,4340,-7585,-1466,-234,-5581,-1671.0,-2577,29060,,3890,4310,-26596,346,,,2013年01月01日至2013年03月31日,73577,59197,-14380,-8265,,-107039,-80695,163300.0,,141109,-8265,,5563,-142293,-136730,,0.0,,,,,,,-72430,330,59197,-94,-69,-7454.0,,-33816,,,37445
2013-08-09,2,2013,121683.0,,,-40270,45222,-45161.0,-982,,-13010,-4720,4701,-2475,0.0,-8501,,-16455.0,,,-1396,50783,-82039,,-19514.0,,,2014,,-628.0,,6810.0,,-212188,89823,18592,,,39256,-5217,-51406,-3848,-1852,-5181,-4555.0,-29159,59572,,3804,9045,-49962,933,,,2013年01月01日至2013年06月30日,73577,56710,-16867,-39715,,-85403,-36247,235793.0,,179734,-39715,,262017,-380232,-118215,30000.0,0.0,,,0.0,,,,3468,881,56710,-127,-2139,-15709.0,,-61342,,,74296
2013-11-12,3,2013,179513.0,788.0,,-58366,169945,-57547.0,3413,,5135,-15479,5381,-444,0.0,-3330,,-20727.0,,,-2044,73458,-55762,,-25584.0,,,3143,,-613.0,,7690.0,,-201176,103233,11899,,,26320,-5217,-15201,-7100,1755,-6308,-8040.0,-32228,89023,0.0,1793,14602,-74028,2695,63.0,,2013年01月01日至2013年09月30日,73577,78352,4775,-116828,,35737,107362,63554.0,,57028,-116828,-63.0,393746,-349069,44677,110000.0,5605.0,,,-200.0,,,,224190,1398,78352,-355,-199,-14728.0,,-92193,,,85414
2014-03-21,4,2013,212275.0,788.0,,0,-17874,0.0,-6683,,70,-19906,24878,-73,7726.0,-9412,,-22628.0,,,-2757,103569,-87710,,-42839.0,,,-27356,,1383.0,,28053.0,,-47481,-84197,-6035,,,16950,-4879,182211,-4364,1274,-4574,-11033.0,-31419,122639,17.0,-2461,19471,-103617,2789,195.0,,2013年01月01日至2013年12月31日,73577,79321,5744,-173355,,-83477,16945,171780.0,,208350,-173355,-195.0,-81473,59498,-21975,35187.0,5717.0,89.0,,-200.0,-10.0,,,190300,-157,79321,211,-425,0.0,,-45990,-599.0,,7557
2014-05-09,1,2014,48622.0,,,-16100,-24000,0.0,10566,,-8902,694,986,-902,0.0,426,-10848.0,,-4155.0,-848.0,-766,26958,16490,,,,,1782,,,-17.0,11846.0,,-111969,2429,2144,,,2438,-140,14459,-5246,19642,-3327,-3187.0,13182,32379,167.0,-4662,5432,-30655,1377,0.0,,2014年01月01日至2014年03月31日,79321,76955,-2366,-74145,,-196845,-167522,191772.0,,164807,-74145,0.0,-51272,-90727,-141999,,,,,0.0,0.0,5384.0,-10716.0,-93377,387,76955,-45,-937,1118.0,,3113,107.0,,-42895
2014-08-08,2,2014,105893.0,,,-32200,59975,,22770,0.0,-11541,19800,1623,-347,,1647,,-5769.0,,-848.0,-1577,53659,43447,,0.0,,,765,,,-505.0,,12561.0,-128356,-33775,8885,-11525.0,,-6063,-115,40504,1538,4996,-5034,-5974.0,10790,61580,167.0,-7152,11023,-57289,2208,0.0,,2014年01月01日至2014年06月30日,79321,58856,-20465,-167742,,-180201,-123189,149729.0,,105499,-167742,0.0,54901,-116241,-61340,0.0,729.0,,,-729.0,0.0,5384.0,-10716.0,44553,637,58856,-1931,-112,6491.0,,-46106,-2115.0,,6938
2014-11-10,3,2014,160154.0,0.0,,-59780,40842,12792.0,8521,0.0,-154589,20449,22854,-1963,,-13637,,0.0,18873.0,-848.0,-2364,81999,-25625,,-122.0,,,3375,494.0,367.0,0.0,,11418.0,249672,-24700,8544,,,34304,-217,50164,17,7842,-5034,-7762.0,43796,84584,,440,15264,-85974,2874,238.0,,2014年01月01日至2014年09月30日,79321,65386,-13935,-353052,,-81690,3123,96205.0,,49584,-353052,-238.0,105008,91013,196021,0.0,729.0,,167.0,-729.0,,14539.0,-21162.0,356175,1162,65386,-1951,-167,-3963.0,,-57945,-2302.0,,21460
2015-03-23,4,2014,409971.0,772.0,,-77409,-10900,,-9272,-35067.0,-232289,19344,1059,-312,-19981.0,-26093,,0.0,13079.0,380775.0,-3195,109864,-56634,,-5405.0,-2000.0,-833.0,27567,494.0,1018.0,,,11497.0,-133115,-72401,4577,,,19007,-338,41502,2123,16049,-5816,-8749.0,576414,95812,,-6557,21192,-114268,2593,369.0,,2014年度,79321,64622,-14699,-237319,,-221092,-106633,0.0,-201929.0,-313387,-237319,-369.0,-21863,-257422,-279285,0.0,535789.0,0.0,0.0,-189993.0,-21093.0,14540.0,,130686,-7,64622,-3153,-4032,,,81166,0.0,8481.0,55161
2015-05-05,1,2015,,,,-16100,-79836,,0,,211537,-177,1353,-228,4113.0,3495,0.0,-2961.0,,0.0,-813,22245,11117,,-961.0,,,-4598,,,-7.0,,404.0,-58086,45423,-4577,,,-16692,0,21841,-4218,1647,-2665,,16426,19388,,-764,4785,-22225,172,,39868.0,2015年01月01日至2015年03月31日,64622,117929,53307,-93580,-1052.0,42203,64561,0.0,-332.0,-16439,-93580,,-25832,144105,118273,,14826.0,,3007.0,-173.0,,0.0,0.0,158141,479,117929,-305,-202,,,-33154,,2111.0,29070
2015-08-07,2,2015,,,,-32200,-64995,34126.0,-15000,,206888,-263,2095,-117,7691.0,8854,,-4924.0,,0.0,-1647,47368,26555,,-7332.0,,,4086,,354.0,0.0,,741.0,-111169,99601,-2334,0.0,,-27531,11400,21203,-1431,-9726,-712,,4993,38608,,-951,9250,-47526,3158,,98236.0,2015年01月01日至2015年06月30日,64622,90794,26172,-130426,-2104.0,-52366,-7800,44710.0,,46990,-130426,,-45525,69915,24390,,14681.0,,1827.0,-171.0,,0.0,0.0,122626,393,90794,-198,1693,,,-51303,0.0,,-47050
