date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他非流動資產增加,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,應付公司債匯率影響數,應付帳款增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-09,1,2013,2926515.0,,925471,-339312,-168114,30423,3413,,,-100.0,-135140,,-26604,62985,46100,-3016241,,-3947,118.0,,0.0,,-69,,-315948,258.0,,208866,1653935,37478,-3148434,2499603,20381,146029,-67543,22716,,,2013年01月01日至2013年03月31日,15852492,17412640,228875,,1560148,-202615,4662482,4760112,,,0.0,0.0,-202615,,,969636,1066576,2036212,,7063,,-7055.0,1925,,,,4962727,17412640,-52803,,,,
2013-08-06,2,2013,5795852.0,-1589083.0,1551642,-200838,-58078,4810,3463,,,,-411576,,-53483,124100,-18745,-7512618,,-13350,118.0,961472.0,,0.0,-54019,,-789485,-420.0,,1405715,-1071883,56774,-7970105,5040260,40829,295705,-122685,48518,,,2013年01月01日至2013年06月30日,15852492,16953454,249352,,1100962,1944956,7960423,8642928,,,0.0,1129389.0,1944956,232056.0,-150652.0,2902742,-2000622,902120,1757000.0,21458,,,-20592,,,,6697972,16953454,-608338,,,38579.0,
2013-11-07,3,2013,8527572.0,-1589083.0,2228245,-210652,-88631,-222127,403334,,,,-482544,,-75909,191696,57631,-12631865,0.0,-19403,118.0,961472.0,,0.0,-58964,,-809758,,,1053931,-2735949,48449,-13137766,7678639,58402,443345,-192471,72539,162911.0,,2013年01月01日至2013年09月30日,15852492,13816602,131362,140.0,-2035890,4660455,12106608,12854869,-5140752.0,,0.0,-1062363.0,4660455,232056.0,-159997.0,3596879,-3930037,-333158,4706000.0,51028,,,-49577,,3982.0,-1360.0,8194414,13816602,-791240,,,78657.0,
2014-03-20,4,2013,11572182.0,-3178166.0,2317869,-3140,-215774,-246747,-3844,,,,-582338,0.0,-102416,270108,113399,-14978686,-31717.0,-44932,1814.0,961472.0,,1107.0,-61047,,-522548,-1030.0,,650991,-2381845,51372,-15588261,10447444,85378,586295,-261094,94596,181469.0,,2013年01月01日至2013年12月31日,15852492,16975247,207928,,1122755,7455933,17747956,18674449,-5140752.0,,0.0,-1150339.0,7455933,232056.0,-169211.0,2749242,-3102908,-353666,6206000.0,106474,0.0,,-96536,,3985.0,-1363.0,11218516,16975247,-941464,,,111715.0,
2014-05-08,1,2014,3139337.0,,-490548,16066,-67644,-28162,1269,1774.0,,,-137150,,-39330,87720,34570,-3010312,-32171.0,-6638,0.0,,,,-6914,,-439537,-1938.0,,337180,88852,7672,-3027405,2816070,35298,142344,-83303,27958,12604.0,,2014年01月01日至2014年03月31日,16975247,18945401,255966,,1970154,2551271,4962989,5117530,,,,,2551271,,-12604.0,-219743,-353335,-573078,,165780,,,-155464,,,,2566259,18945401,-111800,,,11275.0,
2014-08-07,2,2014,5826170,-1589083,833724,191191,-17341,-72299,-19,17329,,-700,-251703,,-77405,176145,-24997,-6501999,-63818,-19465,0,0,114397,,-14028,,-688588,0,,1319692,-3255708,7752,-6608113,5711508,79664,289323,-173131,68093,12604,,2014年01月01日至2014年06月30日,16975247,18651358,52245,,1676111,6609441,9783907,10771344,,,,-1474686,6609441,0,-217835,2136056,-3800323,-1664267,0,237655,5945,,-221687,-3186,,,4161903,18651358,-895003,,,37398,
2014-11-04,3,2014,9054380.0,-1589083.0,1336249,39714,103569,-33126,-35,27912.0,,-2900.0,-384259,,-110143,266747,35560,-10896185,-63818.0,-50034,0.0,0.0,115388.0,-989.0,-18655,5620.0,-768521,,,1075615,-3526944,4708,-10442551,8748015,110265,441642,-259389,106190,218263.0,,2014年01月01日至2014年09月30日,16975247,20138596,232424,0.0,3163349,10574482,16804460,17888003,-5609436.0,,,-3234120.0,10574482,0.0,-223235.0,2515398,-4256257,-1740859,3850000.0,293058,674622.0,,-271973,-639103.0,0.0,,7313521,20138596,-1148607,,,499741.0,
2015-03-19,4,2014,13629798.0,-3178166.0,1191269,-152479,270943,-73773,8851,43354.0,,-2900.0,-530516,,-155804,403080,184916,-19560740,-63818.0,-65802,0.0,0.0,146993.0,-6747.0,-19555,10350.0,-696646,0.0,516543.0,707657,-3043597,7290,-19242803,11840340,171591,595475,-343152,146544,223478.0,,2014年度,16975247,30154713,581518,,13179466,14254972,24945173,26147639,-5609436.0,12089536.0,,7292180.0,14254972,0.0,-223235.0,2178720,-3915851,-1737131,3850000.0,315556,674622.0,,-287947,-639103.0,0.0,,11892667,30154713,-1229336,321233.0,,506107.0,
2015-05-07,1,2015,,-4942750.0,-659146,194515,150469,-139338,-46,-34912.0,,-42600.0,-137920,,-42272,156497,-44667,-3535602,0.0,-6524,,,1060.0,-6233.0,-61491,,-134824,0.0,-131635.0,-48690,1155571,1204,-3691422,3212303,21570,157252,-80466,51825,8367.0,3435261.0,2015年01月01日至2015年03月31日,30154713,28264264,-235371,,-1890449,3014152,6793563,6934216,,,,-4947923.0,3014152,,-8367.0,-557413,1042216,484803,,92715,,,-28234,,,,3920064,28264264,-120379,315198.0,,18320.0,
2015-08-06,2,2015,,-6454250.0,93179,207835,152707,-51485,-23,-55002.0,,-44800.0,-253289,,-79815,289730,-75957,-6360288,0.0,-24621,0.0,0.0,1057.0,-19429.0,-74883,57007.0,-106468,0.0,-297534.0,-228402,28398,-1825,-6605948,6450813,30663,313776,-139812,92471,8367.0,5739975.0,2015年01月01日至2015年06月30日,30154713,28103413,-373502,,-2051300,7346570,11103227,13125459,0.0,,0.0,-6472622.0,7346570,,-341378.0,17461,21453,38914,0.0,94926,0.0,,-33065,0.0,,,5778889,28103413,-1983258,-243672.0,,23959.0,
2015-11-05,3,2015,,-8235833,462746,275347,281019,-2076,-19,-40405,,-44800,-252474,,-116499,426481,12006,-10785106,0,-78965,0,0,30574,-32879,-81017,65196,86706,0,467880,-837140,1506578,2053,-11077556,9678952,34200,465771,-199591,124622,341759,9813688,2015年01月01日至2015年09月30日,30154713,22436629,-80937,,-7718084,10397301,19434687,21945798,-9349083,,0,-16087221,10397301,,-347408,-93394,1828203,1734809,1500000,99610,0,,-33899,0,,,11548497,22436629,-2777901,-721581,,40728,
2016-02-04,4,2015,,-8235833.0,410903,295714,30821,-384471,-6277,-95494.0,-120.0,-44800.0,-218536,,-155524,564540,-63776,-13855431,-2400000.0,-112692,,,65112.0,-76366.0,-162225,65326.0,-132271,,451156.0,-321445,2658604,-1325,-16587439,12903772,183708,610213,-257415,162742,347408.0,16499562.0,2015年度,30154713,25191374,-28790,,-4963339,10390857,26784166,29345178,-9349083.0,0.0,,-15096290.0,10390857,,-347408.0,114002,2340757,2454759,2500000.0,111274,0.0,,-31293,-140626.0,29645.0,,18954321,25191374,-2813747,703368.0,1856442.0,64996.0,-134992.0
2016-05-05,1,2016,,-1781583.0,-987936,57282,-333546,117904,66421,-78190.0,,-19000.0,0,,-41756,138474,-97839,-3080482,,-16819,,0.0,2923.0,-104742.0,-236869,74898.0,-459215,,-248163.0,152332,1268835,-5311,-2172720,3185853,17850,114757,-59742,36074,0.0,2801073.0,2016年01月01日至2016年03月31日,25191374,25405633,-199686,,214259,1898241,4368220,4497890,0.0,,,-1883402.0,1898241,,0.0,-1102729,901305,-201424,,28092,1077460.0,,-1369,-10256.0,,,2599649,25405633,-106002,-161382.0,,6751.0,
2016-08-05,2,2016,,-2031583.0,64561,-50388,-326531,49043,67530,-148002.0,,27100.0,0,,-80316,270399,-201932,-6909940,,-21389,,,5052.0,-106904.0,-484359,157650.0,-837881,,-213566.0,1069119,-1962055,-14979,-6039353,6388943,-13392,217840,-114463,79743,0.0,5698809.0,2016年01月01日至2016年06月30日,25191374,24507646,-113580,,-683728,5132509,7690992,8741735,,,,-2133435.0,5132509,,-265550.0,874679,-2964262,-2089583,,114125,1077460.0,,-11440,-10256.0,,,3609226,24507646,-1016023,-503334.0,,33061.0,
2016-11-03,3,2016,,-3808721.0,502335,-30293,-35342,89499,67904,-62459.0,,27100.0,0,,-110562,415184,-324926,-11858794,,-52150,,,7465.0,-107722.0,-513400,199218.0,-1143338,,-570808.0,1427463,-2012802,-11105,-10607062,9633210,-48360,305896,-178150,112276,0.0,8085149.0,2016年01月01日至2016年09月30日,25191374,19176940,-237802,,-6014434,8292368,13668704,15169379,-11842172.0,,,-8751150.0,8292368,,-265550.0,1962360,-3170498,-1208138,7000000.0,136561,1454403.0,,-23929,-217199.0,,,6877011,19176940,-1434801,-844056.0,,49125.0,
